Date,Price Open,Price Low,Price High,Price Close,Volume
2006-12-26,1117.619716803,1117.619716803,1117.619716803,1117.619716803,19437.0
2007-01-02,1283.666074728,1283.666074728,1347.530058545,1347.530058545,28961.0
2007-01-09,1628.531587341,1628.531587341,1628.531587341,1628.531587341,57922.0
2007-01-10,1628.531587341,1628.531587341,1628.531587341,1628.531587341,0.0
2007-01-11,1628.531587341,1548.701607569,1628.531587341,1548.701607569,10301.0
2007-01-12,1548.701607569,1472.064826989,1548.701607569,1472.064826989,21380.0
2007-01-15,1472.064826989,1472.064826989,1472.064826989,1472.064826989,0.0
2007-01-16,1472.064826989,1468.871627798,1472.064826989,1468.871627798,1943.0
2007-01-17,1468.871627798,1398.621245599,1468.871627798,1398.621245599,3887.0
2007-01-18,1398.621245599,1398.621245599,1398.621245599,1398.621245599,0.0
2007-01-19,1398.621245599,1331.56406259,1398.621245599,1331.56406259,194.0
2007-01-22,1331.56406259,1277.279676346,1331.56406259,1277.279676346,11662.0
2007-01-23,1277.279676346,1213.415692528,1277.279676346,1213.415692528,388.0
2007-01-24,1213.415692528,1213.415692528,1213.415692528,1213.415692528,1943.0
2007-01-25,1213.415692528,1213.415692528,1213.415692528,1213.415692528,0.0
2007-01-26,1213.415692528,1165.517704666,1213.415692528,1165.517704666,55201.0
2007-01-29,1165.517704666,1108.04011923,1165.517704666,1108.04011923,11273.0
2007-01-30,1108.04011923,1076.108127321,1108.04011923,1108.04011923,241990.0
2007-01-31,1108.04011923,1108.04011923,1162.324505475,1162.324505475,216139.0
2007-02-01,1162.324505475,1162.324505475,1219.80209091,1219.80209091,158411.0
2007-02-05,1245.347684437,1245.347684437,1245.347684437,1245.347684437,102433.0
2007-02-06,1245.347684437,1213.415692528,1245.347684437,1213.415692528,56950.0
2007-02-08,1245.347684437,1245.347684437,1245.347684437,1245.347684437,48592.0
2007-02-09,1245.347684437,1245.347684437,1306.018469064,1245.347684437,89215.0
2007-02-14,1369.882452881,1369.882452881,1433.746436698,1433.746436698,78719.0
2007-02-15,1433.746436698,1433.746436698,1433.746436698,1433.746436698,30710.0
2007-02-26,1433.746436698,1433.746436698,1500.803619706,1500.803619706,65697.0
2007-02-27,1500.803619706,1500.803619706,1574.247201096,1564.667603524,79303.0
2007-02-28,1564.667603524,1564.667603524,1564.667603524,1564.667603524,194.0
2007-03-01,1564.667603524,1564.667603524,1564.667603524,1564.667603524,48592.0
2007-03-02,1564.667603524,1488.030822943,1564.667603524,1488.030822943,7774.0
2007-03-06,1436.939635889,1436.939635889,1500.803619706,1468.871627798,108069.0
2007-03-07,1468.871627798,1468.871627798,1468.871627798,1468.871627798,130228.0
2007-03-13,1692.395571158,1692.395571158,1772.22555093,1772.22555093,45871.0
2007-03-16,1772.22555093,1692.395571158,1772.22555093,1692.395571158,6802.0
2007-03-19,1692.395571158,1612.565591387,1772.22555093,1772.22555093,90770.0
2007-03-21,1692.395571158,1612.565591387,1692.395571158,1612.565591387,61226.0
2007-03-23,1692.395571158,1612.565591387,1756.259554975,1612.565591387,68223.0
2007-03-26,1612.565591387,1532.735611615,1612.565591387,1596.599595432,42761.0
2007-03-28,1532.735611615,1456.098831034,1532.735611615,1456.098831034,19825.0
2007-03-29,1456.098831034,1385.848448835,1526.349213233,1526.349213233,4276.0
2007-04-02,1596.599595432,1596.599595432,1596.599595432,1596.599595432,10301.0
2007-04-03,1596.599595432,1564.667603524,1596.599595432,1596.599595432,18853.0
2007-04-04,1596.599595432,1564.667603524,1596.599595432,1564.667603524,23130.0
2007-04-05,1564.667603524,1564.667603524,1596.599595432,1596.599595432,15743.0
2007-04-06,1596.599595432,1596.599595432,1596.599595432,1596.599595432,29738.0
2007-04-09,1596.599595432,1564.667603524,1596.599595432,1564.667603524,27794.0
2007-04-10,1564.667603524,1564.667603524,1596.599595432,1596.599595432,1943.0
2007-04-12,1532.735611615,1500.803619706,1532.735611615,1500.803619706,8163.0
