Date,Price Open,Price Low,Price High,Price Close,Volume
2007-11-27,17518.2773182385,12513.055227313,22523.499409164,19186.68468188,24127.0
2007-11-29,18769.58284097,18352.48100006,19270.105050063,19270.105050063,27000.0
2007-12-05,24817.559534172,22732.050329619,27278.460395543,23983.355852351,34927.0
2007-12-07,22481.789225073,22314.948488709,24859.269718263,24859.269718263,91455.0
2007-12-11,26944.778922815,26861.358554633,29614.230704642,29614.230704642,132127.0
2007-12-12,29614.230704642,29614.230704642,31866.580645558,31866.580645558,67442.0
2007-12-13,31866.580645558,31074.087147828,33368.147272836,31908.290829649,56297.0
2007-12-18,28571.476102366,26402.546529631,29989.622361461,29822.781625097,33319.0
2007-12-19,29822.781625097,29280.549231913,30865.536227373,30239.883466007,17004.0
2007-12-20,30239.883466007,27737.272420545,30448.434386463,28780.027022821,15395.0
2007-12-24,29614.230704642,29197.128863731,30865.536227373,30031.332545552,17578.0
2007-12-26,29197.128863731,28780.027022821,29822.781625097,28780.027022821,15970.0
2007-12-28,29197.128863731,28988.577943276,29197.128863731,29197.128863731,4595.0
2008-01-04,26903.068738724,26736.22800236,27945.823341,27528.721500089,5170.0
2008-01-08,25651.763215992,24191.906772806,26402.546529631,25818.603952357,20106.0
2008-01-11,22648.629961437,20855.092045522,24025.066036442,22523.499409164,17923.0
2008-01-17,20563.120756885,18769.58284097,22148.107752345,21272.193886433,32285.0
2008-01-18,21272.193886433,20855.092045522,22523.499409164,20896.802229613,37110.0
2008-01-23,24859.269718263,22606.919777346,27236.750211452,25026.110454627,41246.0
2008-01-24,25026.110454627,24191.906772806,27570.43168418,25026.110454627,59285.0
2008-01-25,25026.110454627,24191.906772806,26277.415977358,24609.008613716,18727.0
2008-01-28,24609.008613716,23357.703090985,25234.661375082,23399.413275076,13442.0
2008-01-29,23399.413275076,23357.703090985,26235.705793267,25067.820638718,50668.0
2008-01-31,27445.301131907,25234.661375082,30031.332545552,27987.533525091,26885.0
2008-02-12,29822.781625097,27570.43168418,32116.841750104,28362.92518191,24817.0
2008-02-13,28362.92518191,26319.126161449,28988.577943276,27153.32984327,26655.0
2008-02-14,27153.32984327,27111.619659179,28362.92518191,27445.301131907,36076.0
2008-02-15,27445.301131907,26485.966897813,27987.533525091,26694.517818269,8387.0
2008-02-19,24900.979902354,24191.906772806,26694.517818269,25234.661375082,22174.0
2008-02-20,25234.661375082,22982.311434166,25443.212295537,22982.311434166,22174.0
2008-02-22,21605.875359161,19603.786522791,23107.441986439,22523.499409164,19991.0
2008-02-26,23482.833643258,21689.295727343,25026.110454627,22106.397568254,7697.0
2008-02-27,22106.397568254,21230.483702342,23774.804931895,22898.891065983,17348.0
2008-03-03,20896.802229613,19186.68468188,21272.193886433,20146.018915975,19991.0
2008-03-05,17768.538422785,16141.841243234,18936.423577334,17935.379159149,24012.0
2008-03-10,20688.251309158,20688.251309158,22732.050329619,21272.193886433,51012.0
2008-03-11,21272.193886433,20229.439284157,22064.687384163,20604.830940976,17004.0
2008-03-13,21480.744806888,20855.092045522,22106.397568254,21897.846647798,26080.0
2008-03-19,17643.407870512,16266.971795507,19186.68468188,16684.073636418,10800.0
2008-03-26,13096.997804588,11845.692281857,14348.303327319,13764.360750045,11489.0
2008-04-08,15766.449586415,15307.637561413,16225.261611416,16225.261611416,35157.0
2008-04-09,16225.261611416,15557.89866596,16433.812531872,15557.89866596,9076.0
2008-04-17,14306.593143228,13889.491302318,14723.694984139,14723.694984139,21600.0
2008-04-25,13701.47444015,13442.140539074,14090.475291763,13485.36285592,6434.0
2008-06-11,9336.02441149,9087.725889908,9584.322933073,9087.725889908,12800.0
2008-06-12,9087.725889908,8889.087072642,9385.684115807,9385.684115807,8400.0
2008-06-13,9385.684115807,9385.684115807,9385.684115807,9385.684115807,5200.0
2008-06-18,9882.281158971,9633.982637389,10130.579680553,9633.982637389,6200.0
2008-06-25,8839.427368326,8491.809438111,8938.746776959,8541.469142427,15100.0
2008-07-01,7846.233281997,7548.275056099,8144.191507896,8144.191507896,11600.0
2008-07-02,8144.191507896,7647.594464731,8243.510916529,8243.510916529,13500.0
2008-07-03,8243.510916529,7895.892986314,8491.809438111,8491.809438111,10600.0
2008-07-04,8491.809438111,8442.149733794,8541.469142427,8541.469142427,13500.0
2008-07-09,7945.55269063,7647.594464731,7945.55269063,7647.594464731,17600.0
2008-07-10,7647.594464731,7448.955647466,8044.872099263,8044.872099263,23100.0
2008-07-16,8839.427368326,8491.809438111,9187.045298541,9187.045298541,20400.0
2008-07-17,9187.045298541,9038.066185592,9187.045298541,9187.045298541,20700.0
2008-07-18,9187.045298541,8839.427368326,9534.663228756,8839.427368326,13400.0
2008-07-28,8044.872099263,7746.913873364,8342.830325162,7746.913873364,23400.0
2008-07-30,7945.55269063,7746.913873364,8342.830325162,7846.233281997,6300.0
2008-08-06,6853.039195668,6604.740674086,6902.698899985,6604.740674086,8300.0
2008-08-08,6902.698899985,6654.400378403,6952.358604301,6952.358604301,6000.0
2008-08-14,7597.934760415,7597.934760415,7796.573577681,7796.573577681,26700.0
2008-08-18,8094.531803579,8094.531803579,8640.78855106,8591.128846744,13400.0
2008-08-19,8591.128846744,8144.191507896,8938.746776959,8144.191507896,3000.0
2008-08-20,8144.191507896,7895.892986314,8392.490029478,8392.490029478,7500.0
2008-08-21,8392.490029478,7548.275056099,8491.809438111,8491.809438111,18500.0
2008-08-22,8491.809438111,8392.490029478,8938.746776959,8938.746776959,46500.0
2008-08-28,10527.857315085,10080.919976237,10875.4752453,10080.919976237,28500.0
2008-08-29,10080.919976237,9435.343820123,10825.815540984,10825.815540984,32700.0
2008-09-01,10825.815540984,9435.343820123,10825.815540984,10825.815540984,32700.0
2008-09-11,14997.230703564,13954.376912919,16040.08449421,13954.376912919,54100.0
2008-09-12,13954.376912919,13954.376912919,13954.376912919,13954.376912919,34200.0
2008-09-15,13954.376912919,13010.842530907,14897.911294931,13010.842530907,23400.0
2008-09-17,12365.266374793,11521.051401414,13209.481348173,11521.051401414,25500.0
2008-09-19,11570.71110573,10776.155836667,12365.266374793,12365.266374793,17100.0
2008-09-23,13110.16193954,12216.287261844,13904.717208603,12216.287261844,21200.0
2008-09-24,12216.287261844,11819.009627312,13408.120165438,11918.329035945,11300.0
2008-09-26,12315.606670477,11918.329035945,12762.544009325,11918.329035945,21900.0
