Date,Price Open,Price Low,Price High,Price Close,Volume
2007-10-08,3989.457668176,3989.457668176,3989.457668176,3989.457668176,197539.0
2007-10-10,4179.431842851,4179.431842851,4369.406017526,4369.406017526,29265.0
2007-10-18,5509.251065576,5414.263978238,5746.71878392,5699.225240251,10746602.0
2007-10-31,6079.173589601,5794.212327588,6126.66713327,6079.173589601,4655207.0
2007-11-01,6079.173589601,6031.680045932,6221.654220607,6126.66713327,950678.0
2007-11-02,6126.66713327,5889.199414926,6126.66713327,5889.199414926,621884.0
2007-11-06,5699.225240251,5461.757521907,5699.225240251,5461.757521907,664465.0
2007-11-12,5699.225240251,5414.263978238,5699.225240251,5414.263978238,762649.0
2007-11-13,5414.263978238,5176.796259895,5414.263978238,5176.796259895,700607.0
2007-11-14,5176.796259895,5176.796259895,5414.263978238,5414.263978238,658612.0
2007-11-16,5271.783347232,5224.289803563,5319.276890901,5224.289803563,251094.0
2007-11-22,4844.341454213,4796.847910544,4891.834997882,4891.834997882,623201.0
2007-11-28,5319.276890901,5081.809172557,5366.77043457,5319.276890901,1922281.0
2007-11-29,5319.276890901,5224.289803563,5319.276890901,5319.276890901,981699.0
2007-12-03,5224.289803563,5224.289803563,5271.783347232,5224.289803563,1488864.0
2007-12-05,5461.757521907,5366.77043457,5461.757521907,5366.77043457,1202797.0
2007-12-07,5509.251065576,5461.757521907,5509.251065576,5461.757521907,440147.0
2007-12-12,5176.796259895,5081.809172557,5224.289803563,5176.796259895,465901.0
2007-12-13,5176.796259895,5034.315628888,5176.796259895,5034.315628888,440586.0
2007-12-17,4939.328541551,4844.341454213,5034.315628888,4844.341454213,495751.0
2007-12-18,4844.341454213,4844.341454213,4986.822085219,4986.822085219,119401.0
2007-12-20,5224.289803563,5081.809172557,5319.276890901,5129.302716226,425368.0
2007-12-21,5129.302716226,5129.302716226,5176.796259895,5176.796259895,232657.0
2007-12-25,5081.809172557,4986.822085219,5081.809172557,5034.315628888,328940.0
2007-12-26,5034.315628888,5034.315628888,5081.809172557,5081.809172557,384397.0
2007-12-27,5081.809172557,5081.809172557,5129.302716226,5081.809172557,752553.0
2007-12-28,5081.809172557,5081.809172557,5081.809172557,5081.809172557,149837.0
2008-01-02,5081.809172557,5034.315628888,5129.302716226,5034.315628888,105939.0
2008-01-03,5034.315628888,4986.822085219,5081.809172557,5034.315628888,119987.0
2008-01-08,4678.114051373,4678.114051373,4796.847910544,4725.607595041,380739.0
2008-01-09,4725.607595041,4678.114051373,4749.354366876,4678.114051373,159348.0
2008-01-11,4488.139876698,4488.139876698,4606.873735869,4511.886648532,311673.0
2008-01-17,4274.418930188,4274.418930188,4488.139876698,4321.912473857,822350.0
2008-01-18,4321.912473857,4226.925386519,4511.886648532,4511.886648532,239827.0
2008-01-21,4511.886648532,4321.912473857,4511.886648532,4416.899561194,147057.0
2008-01-24,4108.191527347,4084.444755513,4298.165702023,4084.444755513,294553.0
2008-01-25,4084.444755513,3965.710896341,4084.444755513,4060.697983679,281384.0
2008-01-29,4013.20444001,3989.457668176,4203.178614685,4203.178614685,428880.0
2008-01-31,4393.15278936,4179.431842851,4393.15278936,4393.15278936,162421.0
2008-02-01,4393.15278936,4369.406017526,4511.886648532,4511.886648532,254899.0
2008-02-12,4511.886648532,4369.406017526,4535.633420366,4369.406017526,243925.0
2008-02-13,4369.406017526,4274.418930188,4369.406017526,4274.418930188,245534.0
2008-02-14,4274.418930188,4274.418930188,4369.406017526,4345.659245691,76821.0
2008-02-15,4345.659245691,4203.178614685,4345.659245691,4298.165702023,110768.0
2008-02-25,3562.015775157,3443.281915985,3704.496406163,3704.496406163,620713.0
2008-02-28,3372.041600482,3205.814197641,3372.041600482,3205.814197641,352937.0
2008-03-05,2778.372304622,2659.63844545,2802.119076457,2659.63844545,1815170.0
2008-03-11,3039.5867948,2897.106163794,3039.5867948,3039.5867948,814302.0
2008-03-13,3182.067425807,3182.067425807,3300.801284979,3229.560969475,268654.0
2008-03-19,3097.843025699,2951.488237084,3097.843025699,2951.488237084,337573.0
2008-03-24,2683.171124621,2561.208800775,2683.171124621,2561.208800775,46824.0
2008-03-26,2434.367983975,2317.284153082,2488.031406467,2317.284153082,593350.0
2008-04-08,2488.031406467,2488.031406467,2536.816336006,2536.816336006,410443.0
2008-04-09,2536.816336006,2536.816336006,2585.601265544,2585.601265544,542283.0
2008-04-11,2536.816336006,2488.031406467,2536.816336006,2488.031406467,14925.0
2008-04-17,2439.246476929,2390.46154739,2488.031406467,2390.46154739,255777.0
2008-04-18,2390.46154739,2351.433603759,2434.367983975,2351.433603759,103013.0
2008-04-21,2351.433603759,2307.527167174,2390.46154739,2307.527167174,59261.0
2008-04-28,2151.415392651,2112.38744902,2190.443336282,2190.443336282,118670.0
2008-04-29,2190.443336282,2190.443336282,2229.471279913,2229.471279913,132571.0
2008-05-05,2229.471279913,2229.471279913,2273.377716497,2273.377716497,126864.0
2008-05-07,2317.284153082,2292.891688313,2341.676617851,2292.891688313,73894.0
2008-05-26,1858.70581542,1824.556364743,1858.70581542,1824.556364743,57213.0
2008-06-02,1790.406914066,1756.257463389,1790.406914066,1756.257463389,43897.0
2008-06-06,1658.687604311,1629.416646588,1687.958562035,1687.958562035,260459.0
2008-06-09,1687.958562035,1658.687604311,1712.351026804,1658.687604311,310795.0
2008-06-10,1658.687604311,1629.416646588,1687.958562035,1687.958562035,80479.0
2008-06-18,1853.827322466,1819.677871789,1887.976773143,1819.677871789,77406.0
2008-06-20,1766.014449296,1766.014449296,1766.014449296,1766.014449296,43897.0
2008-06-24,1717.229519758,1668.444590219,1766.014449296,1766.014449296,225487.0
2008-06-25,1766.014449296,1766.014449296,1814.799378835,1766.014449296,75357.0
2008-06-26,1766.014449296,1717.229519758,1805.042392927,1805.042392927,74187.0
2008-06-27,1805.042392927,1751.378970435,1853.827322466,1751.378970435,208514.0
2008-06-30,1751.378970435,1751.378970435,1751.378970435,1751.378970435,79015.0
2008-07-01,1751.378970435,1702.594040896,1800.163899973,1770.89294225,402981.0
2008-07-02,1770.89294225,1731.864998619,1809.920885881,1800.163899973,175005.0
