Date,Price Open,Price Low,Price High,Price Close,Volume
2007-12-11,14714.702290596,12648.560914083,16780.843667109,16780.843667109,37900.0
2007-12-17,13466.627042855,13214.914387848,14683.23820872,13214.914387848,5500.0
2007-12-18,13214.914387848,12291.967986157,14263.717117043,13634.435479526,3600.0
2007-12-24,13634.435479526,13424.674933687,13844.196025365,13424.674933687,900.0
2007-12-28,13277.8425516,12690.513023251,13529.555206607,12690.513023251,3500.0
2008-01-04,12375.872204493,12375.872204493,12585.632750332,12375.872204493,2000.0
2008-01-18,9648.985108588,9544.104835668,9690.937217755,9690.937217755,300.0
2008-01-24,8600.182379393,7782.116250622,8600.182379393,8180.661287716,1700.0
2008-01-25,8180.661287716,7761.140196038,8180.661287716,7761.140196038,1800.0
2008-02-12,9292.392180662,8872.871088984,10068.506200265,8872.871088984,300.0
2008-02-13,8872.871088984,8872.871088984,10068.506200265,8872.871088984,800.0
2008-02-25,7509.427541031,7131.858558521,7656.259923119,7656.259923119,800.0
2008-03-10,7278.690940609,7236.738831441,7991.876796461,7236.738831441,1900.0
2008-03-13,7551.379650199,6922.098012682,7928.948632709,6922.098012682,600.0
2008-03-19,5390.846028059,5390.846028059,5915.247392656,5390.846028059,700.0
2008-03-20,5390.846028059,4929.372827213,5852.319228904,4929.372827213,1800.0
2008-03-26,3775.6898251,3461.049006341,4111.306698442,4090.330643858,2900.0
2008-04-08,4572.779899287,4509.851735536,4698.636226791,4614.732008455,18100.0
2008-04-09,4614.732008455,4551.803844703,4803.51649971,4551.803844703,2800.0
2008-04-10,4551.803844703,4467.899626368,4719.612281374,4467.899626368,7400.0
2008-04-11,4467.899626368,4404.971462616,4656.684117623,4656.684117623,13700.0
2008-04-16,4656.684117623,4656.684117623,4656.684117623,4656.684117623,500.0
2008-04-22,5055.229154717,4908.396772629,5202.061536804,4929.372827213,11100.0
2008-04-25,5004.437570983,4845.205466451,5072.679901496,5072.679901496,200.0
2008-04-28,5072.679901496,4822.458022947,5095.427345,5049.932457991,900.0
2008-04-29,5049.932457991,4890.70035346,5095.427345,4890.70035346,2700.0
2008-05-28,3252.884421139,3184.642090625,3252.884421139,3184.642090625,2300.0
2008-05-29,3184.642090625,3184.642090625,3207.38953413,3207.38953413,500.0
2008-05-30,3207.38953413,3116.399760112,3252.884421139,3116.399760112,1700.0
2008-06-03,3207.38953413,3116.399760112,3207.38953413,3207.38953413,4300.0
2008-06-18,3184.642090625,3093.652316607,3275.631864643,3093.652316607,1100.0
2008-06-20,3139.147203616,3025.409986094,3252.884421139,3025.409986094,400.0
2008-06-23,3025.409986094,2979.915099085,3025.409986094,2979.915099085,2800.0
2008-06-24,2979.915099085,2979.915099085,3093.652316607,3093.652316607,3600.0
2008-06-26,3207.38953413,3184.642090625,3207.38953413,3207.38953413,1400.0
2008-07-09,3685.085847724,3594.096073706,3867.065395759,3594.096073706,500.0
2008-07-11,3525.853743192,3412.11652567,3662.338404219,3639.590960715,4700.0
2008-07-28,3798.823065246,3662.338404219,3798.823065246,3798.823065246,800.0
2008-07-30,3918.28212148,3774.930336548,4061.633906412,3774.930336548,3400.0
2008-08-11,3822.714264858,3679.362479926,3966.066049791,3966.066049791,4300.0
2008-08-12,3966.066049791,3822.714264858,4013.849978101,3822.714264858,4500.0
2008-08-14,4109.417834723,4085.525870567,4181.093727189,4181.093727189,6200.0
2008-08-18,4276.66158381,4276.66158381,4539.473189519,4443.905332898,2000.0
2008-08-21,3942.174085635,3679.362479926,4061.633906412,4061.633906412,2600.0
2008-08-28,4826.176759384,4778.392831073,5160.664257559,5160.664257559,13100.0
2008-08-29,5160.664257559,5017.312472627,5304.016042491,5304.016042491,15400.0
2008-09-01,5304.016042491,5017.312472627,5304.016042491,5304.016042491,15400.0
2008-09-08,6403.046393638,5972.991038841,6665.857999347,6331.370501172,15300.0
2008-09-09,6331.370501172,5972.991038841,6689.749963502,6092.450859618,7200.0
2008-09-10,6092.450859618,5877.42318222,6211.910680395,5877.42318222,4600.0
2008-09-19,3870.498193169,3607.68658746,4133.309798878,4133.309798878,7500.0
2008-09-23,4228.8776555,3942.174085635,4515.581225364,4013.849978101,5100.0
2008-09-24,4013.849978101,3870.498193169,4061.633906412,4061.633906412,2200.0
2008-09-25,4061.633906412,4061.633906412,4324.445512121,4324.445512121,8400.0
2008-09-29,4491.689261209,4491.689261209,4563.365153675,4539.473189519,4600.0
2008-10-01,4228.8776555,4061.633906412,4515.581225364,4061.633906412,800.0
2008-10-09,3512.118730839,3273.199089285,3751.038372392,3751.038372392,1200.0
2008-10-13,3512.118730839,3344.874981751,3703.254444082,3703.254444082,500.0
2008-10-16,4061.633906412,4061.633906412,4085.525870567,4085.525870567,900.0
2008-10-17,4085.525870567,3846.606229014,4181.093727189,4181.093727189,3000.0
2008-10-21,3942.174085635,3846.606229014,4157.201763033,3846.606229014,200.0
2008-11-10,3822.714264858,3822.714264858,3822.714264858,3822.714264858,100.0
2008-11-17,3727.146408237,3488.226766683,3822.714264858,3822.714264858,300.0
2008-11-27,3368.766945906,3153.739268508,3392.658910062,3392.658910062,200.0
2008-12-01,3058.171411887,2867.035698644,3058.171411887,3058.171411887,5300.0
2008-12-03,2723.683913712,2652.008021245,2890.927662799,2699.791949556,2300.0
2008-12-04,2699.791949556,2675.899985401,2867.035698644,2867.035698644,1200.0
2008-12-10,2628.11605709,2460.872308003,2771.467842022,2771.467842022,1200.0
2008-12-29,2843.143734488,2771.467842022,3034.279447731,2771.467842022,300.0
2009-01-09,3082.063376042,3010.387483576,3129.847304353,3010.387483576,1400.0
2009-01-16,2843.143734488,2652.008021245,2986.495519421,2986.495519421,1200.0
2009-01-23,2867.035698644,2867.035698644,3010.387483576,2867.035698644,5000.0
2009-02-03,2986.495519421,2867.035698644,3153.739268508,2867.035698644,300.0
2009-02-13,2795.359806178,2604.224092935,2795.359806178,2795.359806178,700.0
2009-02-24,2508.656236313,2293.628558915,2628.11605709,2628.11605709,2000.0
2009-02-25,2628.11605709,2556.440164624,2771.467842022,2771.467842022,300.0
2009-03-06,2675.899985401,2675.899985401,2675.899985401,2675.899985401,500.0
2009-04-10,3585.185831285,3585.185831285,3663.124653704,3663.124653704,500.0
2009-04-13,3663.124653704,3637.145046231,3844.981906016,3844.981906016,2300.0
2009-04-14,3844.981906016,3767.043083596,4000.859550854,4000.859550854,1300.0
2009-04-28,3247.450934135,3247.450934135,3273.430541608,3273.430541608,1500.0
2009-05-14,3143.532504243,3143.532504243,3143.532504243,3143.532504243,100.0
2009-05-22,3689.104261177,3585.185831285,3819.002298543,3585.185831285,7800.0
2009-05-26,3870.961513489,3767.043083596,3870.961513489,3819.002298543,3100.0
2009-05-29,3481.267401393,3481.267401393,3741.063476123,3559.206223812,3900.0
2009-06-01,3559.206223812,3559.206223812,3767.043083596,3767.043083596,6600.0
2009-06-09,4312.614840531,4312.614840531,4598.390522735,4338.594448004,7200.0
2009-06-12,4338.594448004,4156.737195693,4598.390522735,4156.737195693,9100.0
2009-06-15,4156.737195693,4104.777980746,4182.716803166,4104.777980746,13300.0
2009-06-25,4000.859550854,3793.02269107,4182.716803166,3793.02269107,700.0
2009-06-26,3793.02269107,3715.08386865,3793.02269107,3793.02269107,1700.0
2009-07-13,3767.043083596,3767.043083596,3767.043083596,3767.043083596,300.0
2009-07-14,3767.043083596,3767.043083596,3793.02269107,3767.043083596,1200.0
2009-07-16,3767.043083596,3767.043083596,3767.043083596,3767.043083596,100.0
2009-07-23,3637.145046231,3637.145046231,3870.961513489,3870.961513489,1300.0
2009-08-03,4052.8187658,4026.839158327,4078.798373273,4026.839158327,2700.0
2009-08-04,4026.839158327,4026.839158327,4078.798373273,4078.798373273,2600.0
2009-08-06,4286.635233058,4260.655625585,4520.451700316,4390.55366295,41100.0
2009-08-07,4390.55366295,4364.574055477,4806.22738252,4416.533270423,9400.0
2009-08-10,4416.533270423,4156.737195693,4728.2885601,4156.737195693,7700.0
2009-08-12,3896.941120962,3896.941120962,4234.676018112,3974.879943381,20800.0
2009-08-13,3974.879943381,3896.941120962,4156.737195693,3896.941120962,13500.0
2009-08-17,4052.8187658,4000.859550854,4156.737195693,4156.737195693,7400.0
2009-08-21,3896.941120962,3896.941120962,3974.879943381,3896.941120962,4000.0
2009-08-25,3948.900335908,3896.941120962,3948.900335908,3896.941120962,5400.0
2009-08-28,3870.961513489,3844.981906016,3974.879943381,3974.879943381,1300.0
2009-08-31,3974.879943381,3922.920728435,3974.879943381,3974.879943381,1800.0
2009-09-01,3974.879943381,3974.879943381,3974.879943381,3974.879943381,500.0
2009-09-03,3974.879943381,3793.02269107,3974.879943381,3793.02269107,1000.0
2009-09-07,3922.920728435,3741.063476123,4026.839158327,3741.063476123,1000.0
2009-09-15,3896.941120962,3844.981906016,3948.900335908,3948.900335908,2300.0
2009-09-22,3896.941120962,3741.063476123,3896.941120962,3819.002298543,4900.0
2009-09-24,3896.941120962,3637.145046231,4156.737195693,4156.737195693,2500.0
2009-10-07,4000.859550854,3948.900335908,4156.737195693,3948.900335908,800.0
2009-10-08,3948.900335908,3896.941120962,3974.879943381,3896.941120962,3000.0
2009-10-09,3896.941120962,3896.941120962,3948.900335908,3948.900335908,1700.0
2009-10-12,3948.900335908,3767.043083596,3974.879943381,3974.879943381,4800.0
2009-10-13,3974.879943381,3896.941120962,4000.859550854,3896.941120962,1900.0
2009-10-27,6442.942653324,6001.289326281,6884.595980366,6235.105793539,150800.0
2009-10-30,5897.370896389,5507.676784293,6209.126186066,5507.676784293,68300.0
2009-11-09,5169.941887143,4832.206989993,5429.737961873,5066.02345725,12900.0
2009-11-11,4650.349737681,4572.410915262,4936.125419885,4936.125419885,30600.0
2009-11-12,4936.125419885,4572.410915262,5014.064242304,4572.410915262,8800.0
2009-11-13,4572.410915262,4572.410915262,4754.268167573,4598.390522735,4600.0
2009-11-16,4598.390522735,4442.512877896,4650.349737681,4624.370130208,32900.0
2009-11-17,4624.370130208,4494.472092843,4884.166204939,4676.329345154,20200.0
2009-11-18,4676.329345154,4546.431307789,4676.329345154,4676.329345154,5000.0
2009-11-19,4676.329345154,4676.329345154,4754.268167573,4702.308952627,7300.0
2009-11-20,4702.308952627,4676.329345154,4780.247775047,4676.329345154,13000.0
2009-11-27,3819.002298543,3585.185831285,4026.839158327,3819.002298543,8100.0
2009-12-01,4000.859550854,3948.900335908,4182.716803166,3948.900335908,7700.0
2009-12-02,3948.900335908,3896.941120962,4182.716803166,3896.941120962,5000.0
2009-12-04,3974.879943381,3896.941120962,4026.839158327,3896.941120962,5700.0
2009-12-10,3585.185831285,3507.247008866,3689.104261177,3507.247008866,10700.0
