Date,Price Open,Price Low,Price High,Price Close,Volume
2010-10-20,16677.198775589,14985.309044732,18369.088506446,14985.309044732,22861.0
2010-10-21,14985.309044732,14985.309044732,14985.309044732,14985.309044732,1944.0
2010-10-26,16435.50024261,15613.725230479,16822.217895377,16435.50024261,252.0
2010-11-01,14115.194326006,14115.194326006,14501.911978773,14501.911978773,6804.0
2010-11-02,14501.911978773,14356.892858986,14501.911978773,14356.892858986,5987.0
2010-11-03,14356.892858986,14308.55315239,14453.572272177,14356.892858986,3829.0
2010-11-05,14308.55315239,14066.85461941,14308.55315239,14211.873739198,46830.0
2010-11-08,14211.873739198,14211.873739198,14211.873739198,14211.873739198,9953.0
2010-11-09,14211.873739198,13776.816379835,14695.270805157,14695.270805157,39074.0
2010-11-11,14453.572272177,13776.816379835,14453.572272177,13921.835499622,32970.0
2010-11-15,13970.175206218,13873.495793026,13970.175206218,13873.495793026,24980.0
2010-11-16,13873.495793026,13776.816379835,14550.251685369,13921.835499622,29257.0
2010-11-17,13921.835499622,13921.835499622,14501.911978773,14018.514912814,29859.0
2010-11-18,14018.514912814,14018.514912814,14501.911978773,14308.55315239,27779.0
2010-11-22,14356.892858986,13728.476673239,14453.572272177,13728.476673239,26730.0
2010-11-23,13728.476673239,13051.720780896,14405.232565581,14356.892858986,26321.0
2010-11-24,14356.892858986,13680.136966643,14791.950218349,14405.232565581,26166.0
2010-11-25,14405.232565581,14405.232565581,14840.289924945,14743.610511753,30715.0
2010-11-26,14743.610511753,14598.591391965,14791.950218349,14646.931098561,30073.0
2010-11-29,14646.931098561,13921.835499622,14743.610511753,14743.610511753,34972.0
2010-11-30,14743.610511753,14743.610511753,15468.706110692,14888.629631541,35108.0
2010-12-02,14985.309044732,14260.213445794,14985.309044732,14453.572272177,34933.0
2010-12-03,14453.572272177,13776.816379835,14936.969338136,13776.816379835,64657.0
2010-12-06,13776.816379835,13776.816379835,14453.572272177,14453.572272177,50077.0
2010-12-07,14453.572272177,13825.156086431,15081.988457924,13825.156086431,30734.0
2010-12-08,13825.156086431,13825.156086431,14453.572272177,14260.213445794,26069.0
2010-12-09,14260.213445794,14115.194326006,14260.213445794,14163.534032602,33981.0
2010-12-10,14163.534032602,14163.534032602,14501.911978773,14501.911978773,50874.0
2010-12-14,14985.309044732,14501.911978773,15227.007577712,15227.007577712,735221.0
2010-12-15,15227.007577712,14501.911978773,15903.763470055,15855.423763459,454235.0
2010-12-17,15178.667871116,14501.911978773,15903.763470055,15903.763470055,376883.0
2010-12-20,15903.763470055,15372.0266975,16677.198775589,16677.198775589,90862.0
2010-12-21,16677.198775589,15855.423763459,17353.954667932,16677.198775589,1521589.0
2010-12-22,16677.198775589,16048.782589842,17402.294374528,16048.782589842,1429890.0
2010-12-23,16048.782589842,15952.103176651,16725.538482185,16725.538482185,1304794.0
