Date,Price Open,Price Low,Price High,Price Close,Volume
2006-12-26,28590.591817314,28590.591817314,28590.591817314,28590.591817314,44572.0
2006-12-27,28590.591817314,28590.591817314,29999.987188591,29999.987188591,1732.0
2006-12-28,29999.987188591,29999.987188591,31409.382559867,31409.382559867,3464.0
2007-01-02,32818.777931143,32818.777931143,34429.515498315,34429.515498315,20947.0
2007-01-03,34429.515498315,34429.515498315,36040.253065488,34429.515498315,224594.0
2007-01-09,39463.07039573,39463.07039573,39463.07039573,39463.07039573,65047.0
2007-01-11,41124.662970372,39463.060426115,41124.662970372,39463.060426115,114880.0
2007-01-12,39463.060426115,38424.558835954,39463.060426115,39463.060426115,109147.0
2007-01-16,40916.96265234,40916.96265234,40916.96265234,40916.96265234,131953.0
2007-01-17,40916.96265234,40916.96265234,41124.662970372,40916.96265234,123542.0
2007-01-18,40916.96265234,40501.562016275,40916.96265234,40501.562016275,115352.0
2007-01-23,41332.363288404,41124.662970372,41332.363288404,41124.662970372,78056.0
2007-01-25,41540.063606436,41124.662970372,41540.063606436,41540.063606436,40981.0
2007-01-31,47978.773465434,47978.773465434,50263.476963788,50263.476963788,3338.0
2007-02-06,57948.388730979,57948.388730979,60648.492865397,60648.492865397,1007.0
2007-02-09,66671.80208833,63556.297317848,66671.80208833,66671.80208833,137497.0
2007-02-26,78926.120852229,78926.120852229,82872.426894841,82872.426894841,28034.0
2007-03-01,82664.726576808,82664.726576808,83080.127212873,82664.726576808,156649.0
2007-03-02,82664.726576808,78718.420534197,82664.726576808,81210.824350583,121495.0
2007-03-05,81210.824350583,79964.62244239,81210.824350583,79964.62244239,76702.0
2007-03-08,72695.111311264,71656.609721103,74356.713855521,72695.111311264,95980.0
2007-03-27,84118.628803034,80172.322760422,88272.635163677,80172.322760422,397340.0
2007-03-28,80172.322760422,76849.117671907,83080.127212873,83080.127212873,166130.0
2007-03-29,83080.127212873,83080.127212873,84118.628803034,84118.628803034,234737.0
2007-04-03,78926.120852229,78926.120852229,78926.120852229,78926.120852229,186542.0
2007-04-17,71033.451940245,67668.709479917,71033.451940245,69164.150573396,83194.0
2007-04-18,69164.150573396,69164.150573396,72528.893033723,72528.893033723,58099.0
2007-04-19,72528.893033723,71781.172486984,74398.194400572,71781.172486984,46969.0
2007-04-25,63556.24647285,61686.945106002,65425.547839699,65425.547839699,56192.0
2007-05-02,65425.547839699,63556.24647285,65425.547839699,63930.10674622,40022.0
2007-05-04,65425.547839699,63930.10674622,65425.547839699,64677.82729296,13404.0
2007-05-07,64677.82729296,63556.24647285,66547.128659808,66547.128659808,62124.0
2007-05-09,69538.010846766,69538.010846766,71033.451940245,69538.010846766,71592.0
2007-05-10,69538.010846766,67294.849206548,69538.010846766,67294.849206548,15609.0
2007-05-11,67294.849206548,67294.849206548,68416.430026657,68416.430026657,31797.0
2007-05-15,67294.849206548,67294.849206548,68416.430026657,68416.430026657,203244.0
2007-05-17,67294.849206548,66920.988933178,67294.849206548,67294.849206548,89967.0
2007-05-18,67294.849206548,66920.988933178,67294.849206548,66920.988933178,112594.0
2007-05-22,68042.569753287,67294.849206548,68042.569753287,68042.569753287,130602.0
2007-05-25,68790.290300026,68790.290300026,69164.150573396,69164.150573396,82249.0
2007-05-31,66547.128659808,66547.128659808,66547.128659808,66547.128659808,110442.0
2007-06-04,66173.268386438,65425.547839699,66173.268386438,65425.547839699,106382.0
2007-06-06,63930.10674622,63556.24647285,63930.10674622,63930.10674622,375619.0
2007-06-11,65425.547839699,65425.547839699,66173.268386438,66173.268386438,216982.0
2007-06-14,66547.128659808,66547.128659808,66920.988933178,66920.988933178,162434.0
2007-06-15,66920.988933178,66547.128659808,67294.849206548,67294.849206548,213359.0
2007-06-18,67294.849206548,67294.849206548,67294.849206548,67294.849206548,166949.0
2007-06-20,66173.268386438,65425.547839699,66173.268386438,65425.547839699,164832.0
2007-06-21,65425.547839699,65051.687566329,65425.547839699,65051.687566329,134662.0
2007-06-26,65425.547839699,64677.82729296,65425.547839699,65051.687566329,101534.0
2007-06-28,64303.96701959,64303.96701959,64677.82729296,64303.96701959,46759.0
2007-06-29,64303.96701959,64303.96701959,65425.547839699,64303.96701959,120347.0
2007-07-02,64303.96701959,63556.24647285,64303.96701959,63556.24647285,74339.0
2007-07-03,63556.24647285,63556.24647285,63556.24647285,63556.24647285,201792.0
2007-07-04,63556.24647285,63556.24647285,65425.547839699,64677.82729296,70804.0
2007-07-05,64677.82729296,64677.82729296,64677.82729296,64677.82729296,74129.0
2007-07-11,68042.569753287,67294.849206548,68042.569753287,67294.849206548,154542.0
2007-07-12,67294.849206548,65425.547839699,67294.849206548,65425.547839699,76054.0
2007-07-13,65425.547839699,65425.547839699,66920.988933178,66920.988933178,33809.0
2007-07-17,65051.687566329,65051.687566329,65425.547839699,65425.547839699,22609.0
2007-07-18,65425.547839699,65425.547839699,65425.547839699,65425.547839699,63997.0
2007-07-20,64677.82729296,64303.96701959,64677.82729296,64677.82729296,78259.0
