Date,Price Open,Price Low,Price High,Price Close,Volume
2010-12-20,4266.885323996,4266.885323996,4266.885323996,4266.885323996,31730.0
2010-12-22,4053.541057796,3861.531218216,4053.541057796,3861.531218216,5830.0
2010-12-28,3413.508259197,3264.167272857,3413.508259197,3328.170552717,45270.0
2010-12-30,3170.756909237,3013.343445657,3170.756909237,3013.343445657,59120.0
2010-12-31,3013.343445657,2945.880532695,3148.269271582,3148.269271582,70340.0
2011-01-10,3238.219822199,3080.80635862,3350.65801047,3080.80635862,14820.0
2011-01-11,3080.80635862,2945.880532695,3148.269271582,2945.880532695,51810.0
2011-01-12,2945.880532695,2945.880532695,3058.318720966,2945.880532695,35460.0
2011-01-13,2945.880532695,2945.880532695,3058.318720966,2968.368170349,16920.0
2011-01-14,2968.368170349,2968.368170349,3035.831083312,3013.343445657,14030.0
2011-01-17,3013.343445657,2945.880532695,3103.293996274,2945.880532695,20690.0
2011-01-18,2945.880532695,2945.880532695,2990.855808003,2945.880532695,7370.0
2011-01-19,2945.880532695,2878.417619732,2945.880532695,2878.417619732,14620.0
2011-01-20,2878.417619732,2810.95470677,2923.392895041,2900.905257387,15120.0
2011-01-21,2900.905257387,2833.442344424,2968.368170349,2923.392895041,16610.0
2011-01-25,2788.467069116,2788.467069116,2900.905257387,2878.417619732,2710.0
2011-01-26,2878.417619732,2810.95470677,2945.880532695,2900.905257387,4540.0
2011-01-27,2900.905257387,2765.979431462,2923.392895041,2900.905257387,22160.0
2011-01-28,2900.905257387,2788.467069116,2945.880532695,2855.929982078,5070.0
2011-02-08,2855.929982078,2855.929982078,2990.855808003,2855.929982078,5820.0
2011-02-09,2855.929982078,2721.004156153,2923.392895041,2923.392895041,54830.0
2011-02-10,2923.392895041,2810.95470677,2923.392895041,2923.392895041,10610.0
2011-02-14,2855.929982078,2833.442344424,2923.392895041,2878.417619732,12040.0
2011-02-15,2878.417619732,2833.442344424,2968.368170349,2878.417619732,12540.0
2011-02-17,2855.929982078,2765.979431462,2878.417619732,2855.929982078,60.0
2011-02-18,2855.929982078,2765.979431462,2855.929982078,2765.979431462,5400.0
2011-02-21,2765.979431462,2631.053605537,2765.979431462,2631.053605537,10330.0
2011-02-22,2631.053605537,2518.615417266,2676.028880845,2518.615417266,15130.0
2011-02-24,2586.078330228,2563.590692574,2698.516518499,2563.590692574,1370.0
2011-02-25,2563.590692574,2563.590692574,2676.028880845,2563.590692574,2650.0
2011-02-28,2563.590692574,2451.152504303,2653.541243191,2451.152504303,12870.0
2011-03-01,2451.152504303,2338.714316033,2563.590692574,2428.664866649,23560.0
2011-03-04,2203.788490108,2113.837939491,2248.763765416,2203.788490108,2750.0
2011-03-07,2203.788490108,2113.837939491,2248.763765416,2158.813214799,6380.0
2011-03-08,2158.813214799,2068.862664183,2203.788490108,2158.813214799,5800.0
2011-03-09,2158.813214799,2068.862664183,2158.813214799,2068.862664183,9290.0
2011-03-10,2068.862664183,2068.862664183,2158.813214799,2158.813214799,11310.0
2011-03-14,2248.763765416,2136.325577145,2248.763765416,2136.325577145,5010.0
2011-03-15,2136.325577145,2113.837939491,2181.300852453,2136.325577145,340.0
2011-03-16,2136.325577145,2091.350301837,2158.813214799,2158.813214799,2130.0
2011-03-17,2158.813214799,2158.813214799,2248.763765416,2181.300852453,200.0
2011-03-18,2181.300852453,2113.837939491,2271.25140307,2226.276127762,4530.0
2011-03-22,2248.763765416,2203.788490108,2248.763765416,2226.276127762,370.0
2011-03-24,2181.300852453,2091.350301837,2248.763765416,2113.837939491,1570.0
2011-03-25,2113.837939491,2046.375026529,2136.325577145,2113.837939491,14130.0
2011-03-28,2113.837939491,2113.837939491,2203.788490108,2136.325577145,5690.0
2011-03-29,2136.325577145,2091.350301837,2158.813214799,2158.813214799,14530.0
2011-03-30,2158.813214799,2091.350301837,2158.813214799,2158.813214799,8170.0
2011-03-31,2158.813214799,2113.837939491,2158.813214799,2113.837939491,2630.0
2011-04-01,2113.837939491,2046.375026529,2158.813214799,2046.375026529,3590.0
2011-04-04,2046.375026529,1956.424475912,2136.325577145,1956.424475912,1060.0
2011-04-05,1956.424475912,1888.961562949,2001.39975122,1888.961562949,3240.0
