Date,Price Open,Price Low,Price High,Price Close,Volume
2006-01-05,2473.282260059,2473.282260059,2473.282260059,2473.282260059,8228.0
2006-01-17,2327.795068291,2327.795068291,2327.795068291,2327.795068291,16848.0
2006-01-18,2327.795068291,2327.795068291,2327.795068291,2327.795068291,14503.0
2006-01-20,2284.148910761,2269.600191584,2284.148910761,2269.600191584,32216.0
2006-01-25,2298.697629938,2298.697629938,2356.892506645,2356.892506645,20.0
2006-02-06,2371.441225822,2371.441225822,2371.441225822,2371.441225822,12219.0
2006-02-08,2327.795068291,2327.795068291,2327.795068291,2327.795068291,15552.0
2006-02-09,2327.795068291,2327.795068291,2327.795068291,2327.795068291,27772.0
2006-02-10,2327.795068291,2327.795068291,2342.343787468,2342.343787468,14421.0
2006-02-14,2327.795068291,2327.795068291,2327.795068291,2327.795068291,3702.0
2006-02-15,2327.795068291,2327.795068291,2342.343787468,2342.343787468,14194.0
2006-02-16,2342.343787468,2342.343787468,2342.343787468,2342.343787468,21703.0
2006-02-17,2342.343787468,2327.795068291,2342.343787468,2327.795068291,54248.0
2006-02-20,2327.795068291,2327.795068291,2327.795068291,2327.795068291,7611.0
2006-02-22,2342.343787468,2342.343787468,2371.441225822,2342.343787468,18926.0
2006-02-23,2342.343787468,2342.343787468,2356.892506645,2356.892506645,31804.0
2006-03-13,2946.67026644,2946.67026644,3086.249384324,3086.249384324,33080.0
2006-03-22,3489.4779471,3489.4779471,3644.56585586,3489.4779471,77742.0
2006-03-23,3489.4779471,3411.93399272,3489.4779471,3411.93399272,39724.0
2006-03-27,3334.39003834,3256.84608396,3334.39003834,3334.39003834,23719.0
2006-03-28,3334.39003834,3334.39003834,3489.4779471,3489.4779471,61716.0
2006-04-03,4016.776836884,3830.671346372,4016.776836884,3830.671346372,101359.0
2006-04-07,3954.74167338,3954.74167338,3954.74167338,3954.74167338,44271.0
2006-04-11,3877.197719,3753.127391992,3877.197719,3753.127391992,27319.0
2006-05-05,6482.674586167,6172.498768648,6482.674586167,6172.498768648,182516.0
2006-05-17,5304.006479592,5272.98889784,5350.53285222,5272.98889784,118598.0
2006-05-19,5040.3570347,4885.26912594,5040.3570347,4885.26912594,44045.0
2006-05-24,4420.00539966,4404.496608784,4637.128471924,4637.128471924,105391.0
2006-05-25,4637.128471924,4420.00539966,4637.128471924,4420.00539966,81712.0
2006-05-29,4342.46144528,4311.443863528,4342.46144528,4311.443863528,48797.0
2006-06-01,3908.215300752,3908.215300752,3939.232882504,3939.232882504,59906.0
2006-06-19,4094.320791264,4032.28562776,4140.847163892,4094.320791264,21436.0
2006-06-26,3923.724091628,3877.197719,3923.724091628,3877.197719,29767.0
2006-06-27,3877.197719,3877.197719,3908.215300752,3908.215300752,20592.0
2006-06-28,3908.215300752,3908.215300752,3954.74167338,3954.74167338,16766.0
2006-06-29,3954.74167338,3954.74167338,4032.28562776,3970.250464256,19728.0
2006-07-04,3985.759255132,3892.706509876,3985.759255132,3892.706509876,20489.0
2006-07-05,3892.706509876,3877.197719,3892.706509876,3892.706509876,10100.0
2006-07-06,3892.706509876,3892.706509876,4032.28562776,4032.28562776,12158.0
2006-07-07,4032.28562776,4032.28562776,4063.303209512,4032.28562776,47789.0
2006-07-10,4032.28562776,3954.74167338,4032.28562776,3954.74167338,16869.0
2006-07-11,3954.74167338,3954.74167338,3985.759255132,3954.74167338,11006.0
2006-07-13,3939.232882504,3908.215300752,3954.74167338,3908.215300752,15038.0
2006-07-14,3908.215300752,3908.215300752,3908.215300752,3908.215300752,45587.0
2006-07-17,3908.215300752,3877.197719,3908.215300752,3877.197719,7694.0
2006-07-18,3877.197719,3784.144973744,3877.197719,3784.144973744,20181.0
2006-07-19,3784.144973744,3598.039483232,3799.65376462,3598.039483232,35425.0
2006-07-20,3598.039483232,3598.039483232,3598.039483232,3598.039483232,46698.0
2006-07-24,3660.074646736,3660.074646736,3675.583437612,3660.074646736,21909.0
2006-07-26,3489.4779471,3411.93399272,3489.4779471,3489.4779471,26538.0
2006-07-27,3489.4779471,3489.4779471,3660.074646736,3660.074646736,28204.0
2006-07-31,3722.10981024,3536.004319728,3722.10981024,3536.004319728,8043.0
2006-08-02,3458.460365348,3396.425201844,3458.460365348,3458.460365348,51080.0
2006-08-07,3799.65376462,3768.636182868,3799.65376462,3768.636182868,47727.0
2006-08-08,3768.636182868,3722.10981024,3799.65376462,3799.65376462,21127.0
2006-08-09,3799.65376462,3799.65376462,3799.65376462,3799.65376462,37400.0
2006-08-10,3799.65376462,3784.144973744,3799.65376462,3784.144973744,22691.0
2006-08-15,4032.28562776,4032.28562776,4171.864745644,4032.28562776,45670.0
2006-08-18,4342.46144528,4187.37353652,4404.496608784,4187.37353652,53528.0
2006-08-21,4187.37353652,4187.37353652,4218.391118272,4187.37353652,68114.0
