Date,Price Open,Price Low,Price High,Price Close,Volume
2009-04-21,4913.657794476,4239.234175626,5588.081413326,5356.850458291,43953.0
2009-04-22,5356.850458291,5318.311965786,5356.850458291,5356.850458291,24238.0
2009-04-24,5703.696890843,5318.311965786,6089.0818159,6089.0818159,302071.0
2009-04-27,6089.0818159,5549.54292082,6281.774278428,5549.54292082,77780.0
2009-04-28,5549.54292082,5511.004428314,5857.850860866,5742.235383348,47616.0
2009-05-06,6050.543323394,5819.31236836,6050.543323394,5857.850860866,57419.0
2009-05-07,5857.850860866,5742.235383348,5934.927845877,5896.389353371,14866.0
2009-05-14,6705.697695991,6320.312770934,6936.928651025,6435.928248451,258549.0
2009-05-15,6435.928248451,6289.178486332,6876.16847839,6876.16847839,268352.0
2009-05-18,6876.16847839,6708.457052088,7127.735617843,7085.807761268,207808.0
2009-05-20,7295.447044145,6918.096334965,7337.374900721,7043.879904692,155991.0
2009-05-21,7043.879904692,6876.16847839,7505.086327023,7295.447044145,363369.0
2009-05-22,7295.447044145,6918.096334965,7463.158470448,7169.663474419,168918.0
2009-05-28,8637.138454563,8175.932032232,9224.128446621,9224.128446621,532718.0
2009-05-29,9224.128446621,9224.128446621,9643.407012376,9643.407012376,370694.0
2009-06-03,10985.098422794,10901.242709643,11739.799841154,11739.799841154,421111.0
2009-06-09,14129.68766596,14129.68766596,15094.028367197,15094.028367197,553725.0
2009-06-10,15094.028367197,13961.976239658,16058.369068435,14003.904096233,726846.0
2009-06-15,16268.008351313,15094.028367197,17064.637626248,15094.028367197,407322.0
2009-06-17,14339.326948838,13374.9862476,14339.326948838,13836.192669931,498137.0
2009-06-18,13836.192669931,12494.501259513,14339.326948838,14255.471235686,770691.0
2009-06-22,14045.831952809,13081.491251571,15010.172654046,13081.491251571,307673.0
2009-06-24,12410.645546362,11572.088414851,13207.274821298,12787.996255542,358952.0
2009-06-25,12787.996255542,11697.871984578,13207.274821298,11697.871984578,300778.0
2009-06-26,11697.871984578,11068.954135945,11865.58341088,11194.737705671,456554.0
2009-06-30,10356.18057416,9727.262725527,10985.098422794,9727.262725527,131644.0
2009-07-02,9224.128446621,8595.210597987,9601.479155801,9098.344876894,446859.0
2009-07-03,9098.344876894,8301.715601959,9391.839872923,9391.839872923,79934.0
2009-07-14,10062.685578132,9517.623442649,10481.964143887,9811.118438678,222459.0
2009-07-17,11110.88199252,10481.964143887,11110.88199252,10607.747713614,137569.0
2009-07-21,10062.685578132,9978.82986498,10481.964143887,10104.613434707,103096.0
2009-07-22,10104.613434707,9936.902008405,10481.964143887,9936.902008405,81550.0
2009-07-23,9936.902008405,9643.407012376,10733.53128334,10733.53128334,117424.0
2009-07-28,11907.511267456,11068.954135945,12033.294837182,11152.809849096,283649.0
2009-07-29,11152.809849096,10733.53128334,11614.016271427,10817.386996491,210071.0
2009-07-30,10817.386996491,10398.108430736,11027.026279369,10607.747713614,120871.0
2009-08-03,11027.026279369,10481.964143887,11110.88199252,10607.747713614,130351.0
2009-08-05,10775.459139916,10691.603426765,11488.2327017,11446.304845125,401074.0
2009-08-06,11446.304845125,11110.88199252,11823.655554305,11194.737705671,446212.0
2009-08-07,11194.737705671,10901.242709643,11320.521275398,11152.809849096,121625.0
2009-08-10,11152.809849096,11110.88199252,11530.160558276,11530.160558276,240881.0
2009-08-11,11530.160558276,11320.521275398,12201.006263485,12201.006263485,712949.0
2009-08-12,12201.006263485,11865.58341088,12620.28482924,12620.28482924,721675.0
2009-08-13,12620.28482924,12201.006263485,13458.841960751,12494.501259513,511927.0
2009-08-18,11614.016271427,11027.026279369,12452.573402938,12159.078406909,355828.0
2009-08-19,12159.078406909,12033.294837182,12662.212685816,12494.501259513,521838.0
2009-08-20,12494.501259513,12368.717689787,13207.274821298,13207.274821298,948551.0
2009-08-21,13207.274821298,12955.707681844,13794.264813355,13207.274821298,1083105.0
2009-08-24,13207.274821298,12746.068398967,13542.697673902,12787.996255542,448151.0
2009-08-25,12787.996255542,12201.006263485,12997.63553842,12704.140542391,513435.0
2009-08-26,12704.140542391,12620.28482924,13626.553387053,13500.769817327,896626.0
2009-08-27,13500.769817327,12997.63553842,13836.192669931,13333.058391024,407107.0
