Date,Price Open,Price Low,Price High,Price Close,Volume
2010-04-19,5876.928643906,5876.928643906,5876.928643906,5876.928643906,1527503.0
2010-04-22,6464.621508297,6366.672697565,6774.792742281,6366.672697565,546042.0
2010-04-28,5827.954238541,5713.68062602,6040.176661793,5713.68062602,336185.0
2010-04-29,5713.68062602,5713.68062602,5958.55265285,5925.903049272,348035.0
2010-05-04,5925.903049272,5876.928643906,6187.09987789,6023.851860004,571120.0
2010-05-05,6023.851860004,5730.005427809,6023.851860004,6023.851860004,2230329.0
2010-05-06,6023.851860004,5958.55265285,6317.698292199,6317.698292199,924331.0
2010-05-10,6627.869526183,6301.373490411,6693.168733338,6301.373490411,765230.0
2010-05-11,6301.373490411,6007.527058215,6350.347895777,6072.82626537,906487.0
2010-05-13,5778.979833175,5681.031022443,5958.55265285,5681.031022443,419173.0
2010-05-14,5681.031022443,5629.847925375,5715.148651517,5681.02836106,275638.0
2010-05-17,5681.02836106,5408.066037406,5800.449377659,5459.246473091,229439.0
2010-05-20,4930.38197101,4691.539937813,5169.224004208,5169.224004208,777739.0
2010-05-24,4913.321825782,4674.479792584,4913.321825782,4725.660228269,350333.0
2010-05-25,4725.660228269,4555.058775985,4776.840663955,4606.23921167,208777.0
2010-05-27,4828.02109964,4708.600083041,4981.562406695,4947.442116239,325775.0
2010-05-31,5186.284149436,4930.38197101,5186.284149436,4947.442116239,247383.0
2010-06-01,4947.442116239,4810.960954411,4981.562406695,4981.562406695,254177.0
2010-06-02,4981.562406695,4776.840663955,5032.742842381,5032.742842381,287688.0
2010-06-03,5032.742842381,4913.321825782,5186.284149436,5015.682697152,746287.0
2010-06-04,5015.682697152,4913.321825782,5015.682697152,4930.38197101,159460.0
2010-06-08,4691.539937813,4606.23921167,4691.539937813,4674.479792584,176085.0
2010-06-09,4674.479792584,4537.998630757,4776.840663955,4537.998630757,220926.0
2010-06-11,4725.660228269,4708.600083041,4845.081244868,4708.600083041,177844.0
2010-06-14,4708.600083041,4708.600083041,4862.141390097,4828.02109964,291045.0
2010-06-15,4828.02109964,4793.900809183,4879.201535325,4845.081244868,403067.0
2010-06-18,5322.765311264,5100.983423294,5408.066037406,5169.224004208,615801.0
2010-06-21,5169.224004208,5169.224004208,5288.645020807,5288.645020807,396333.0
2010-06-23,5066.863132838,4913.321825782,5271.584875578,5152.16385898,587486.0
2010-06-24,5152.16385898,5118.043568523,5203.344294665,5118.043568523,361343.0
2010-06-25,5118.043568523,4947.442116239,5203.344294665,5015.682697152,435718.0
2010-06-28,5015.682697152,4964.502261467,5100.983423294,5032.742842381,65502.0
2010-06-29,5032.742842381,4913.321825782,5118.043568523,4913.321825782,160099.0
2010-07-01,4776.840663955,4691.539937813,4793.900809183,4759.780518726,175026.0
2010-07-02,4759.780518726,4759.780518726,4930.38197101,4879.201535325,222325.0
2010-07-06,4947.442116239,4776.840663955,4947.442116239,4776.840663955,208617.0
2010-07-07,4776.840663955,4759.780518726,4810.960954411,4776.840663955,132823.0
2010-07-08,4776.840663955,4759.780518726,4862.141390097,4759.780518726,77172.0
2010-07-12,4776.840663955,4759.780518726,4776.840663955,4759.780518726,74754.0
2010-07-14,4913.321825782,4845.081244868,4981.562406695,4845.081244868,198266.0
2010-07-15,4845.081244868,4776.840663955,4845.081244868,4793.900809183,85085.0
2010-07-16,4793.900809183,4759.780518726,4793.900809183,4759.780518726,64983.0
2010-07-19,4759.780518726,4691.539937813,4759.780518726,4742.720373498,178883.0
2010-07-20,4742.720373498,4725.660228269,4776.840663955,4742.720373498,149948.0
2010-07-21,4742.720373498,4708.600083041,4742.720373498,4708.600083041,102270.0
2010-07-22,4708.600083041,4691.539937813,4759.780518726,4691.539937813,90760.0
2010-07-23,4691.539937813,4623.299356899,4759.780518726,4623.299356899,165055.0
2010-07-26,4623.299356899,4606.23921167,4691.539937813,4623.299356899,192471.0
2010-07-27,4623.299356899,4606.23921167,4674.479792584,4606.23921167,105227.0
2010-07-28,4606.23921167,4469.758049843,4606.23921167,4469.758049843,70977.0
2010-07-29,4469.758049843,4384.457323701,4555.058775985,4555.058775985,61726.0
2010-07-30,4555.058775985,4452.697904615,4640.359502127,4452.697904615,216690.0
2010-08-02,4452.697904615,4452.697904615,4555.058775985,4452.697904615,70378.0
2010-08-03,4452.697904615,4230.916016645,4520.938485528,4299.156597559,498963.0
2010-08-05,4196.795726189,4128.555145275,4247.976161874,4128.555145275,104668.0
2010-08-06,4128.555145275,4043.254419133,4196.795726189,4043.254419133,399150.0
2010-08-09,4043.254419133,3855.59282162,4043.254419133,3855.59282162,259453.0
2010-08-11,3667.931224108,3582.630497966,3736.171805022,3599.690643194,145352.0
2010-08-13,3429.08919091,3258.487738626,3429.08919091,3275.547883855,288427.0
2010-08-18,3360.848609997,3207.307302941,3394.968900453,3241.427593398,232756.0
2010-08-19,3241.427593398,3087.886286342,3241.427593398,3173.187012484,1266132.0
2010-08-20,3173.187012484,3070.826141114,3173.187012484,3173.187012484,125110.0
2010-08-26,2780.803672231,2661.382655632,2814.923962688,2729.623236545,650690.0
2010-08-27,2729.623236545,2610.202219947,2729.623236545,2678.44280086,183479.0
2010-09-08,3377.908755225,3292.608029083,3531.450062281,3531.450062281,1958526.0
2010-09-09,3531.450062281,3429.08919091,3667.931224108,3582.630497966,772804.0
2010-09-10,3582.630497966,3412.029045682,3599.690643194,3412.029045682,405984.0
2010-09-13,3412.029045682,3241.427593398,3429.08919091,3241.427593398,505258.0
2010-09-14,3241.427593398,3122.006576799,3258.487738626,3241.427593398,241488.0
2010-09-15,3241.427593398,3104.94643157,3292.608029083,3156.126867256,220746.0
2010-09-16,3156.126867256,3070.826141114,3156.126867256,3104.94643157,218988.0
2010-09-21,3412.029045682,3412.029045682,3582.630497966,3531.450062281,1573263.0
2010-09-22,3531.450062281,3463.209481367,3565.570352738,3514.389917052,314724.0
2010-09-24,3412.029045682,3377.908755225,3463.209481367,3463.209481367,184678.0
2010-09-27,3463.209481367,3394.968900453,3531.450062281,3412.029045682,389699.0
2010-09-28,3412.029045682,3377.908755225,3565.570352738,3377.908755225,336385.0
2010-09-29,3377.908755225,3258.487738626,3412.029045682,3258.487738626,209436.0
2010-10-04,3531.450062281,3360.848609997,3531.450062281,3360.848609997,432341.0
