Date,Price Open,Price Low,Price High,Price Close,Volume
2011-06-21,15729.533353842,15666.36253716,15792.704170524,15666.36253716,4601.0
2011-06-23,14908.312736975,14213.433753472,15603.191720478,15603.191720478,874.0
2011-06-24,15603.191720478,14845.141920293,15729.533353842,15603.191720478,20446.0
2011-06-27,14845.141920293,14845.141920293,14845.141920293,14845.141920293,25017.0
2011-06-28,14150.26293679,14150.26293679,14150.26293679,14150.26293679,1932.0
2011-06-29,13455.383953286,13455.383953286,13455.383953286,13455.383953286,306.0
2011-06-30,12823.675786466,12823.675786466,12823.675786466,12823.675786466,15.0
2011-07-01,12760.504969783,12760.504969783,12760.504969783,12760.504969783,7669.0
2011-07-04,12128.796802962,12128.796802962,12128.796802962,12128.796802962,168.0
2011-07-05,11560.259452824,11560.259452824,11560.259452824,11560.259452824,7500.0
2011-07-06,10991.722102685,10991.722102685,10991.722102685,10991.722102685,1135.0
2011-07-07,10486.355569228,10486.355569228,10486.355569228,10486.355569228,230.0
2011-07-08,9980.989035771,9980.989035771,9980.989035771,9980.989035771,12776.0
2011-07-11,9538.793318997,9538.793318997,9538.793318997,9538.793318997,659.0
2011-07-12,9096.597602222,9096.597602222,9349.28086895,9096.597602222,114363.0
2011-07-13,9096.597602222,8717.572702129,9222.939235586,9096.597602222,41245.0
2011-07-14,8843.914335493,8717.572702129,8843.914335493,8843.914335493,13513.0
2011-07-15,9033.42678554,8401.718618719,9033.42678554,8401.718618719,15369.0
2011-07-18,8780.743518811,8528.060252083,8780.743518811,8717.572702129,3159.0
2011-07-19,8970.255968858,8464.889435401,8970.255968858,8464.889435401,8620.0
2011-07-20,8780.743518811,8401.718618719,8780.743518811,8464.889435401,3941.0
2011-07-21,8780.743518811,8464.889435401,8780.743518811,8717.572702129,2423.0
2011-07-22,8464.889435401,8338.547802037,8528.060252083,8338.547802037,25753.0
2011-07-25,8528.060252083,8212.206168673,8528.060252083,8212.206168673,7377.0
2011-07-26,7959.522901944,7833.18126858,8401.718618719,7833.18126858,26581.0
2011-07-27,7580.498001852,7580.498001852,8212.206168673,8212.206168673,3573.0
2011-07-28,8212.206168673,7833.18126858,8212.206168673,7833.18126858,13835.0
