Date,Price Open,Price Low,Price High,Price Close,Volume
2005-12-12,3253.190588016,3253.190588016,3253.190588016,3253.190588016,68747.0
2005-12-14,3391.03764683,3308.329411541,3391.03764683,3308.329411541,155974.0
2005-12-15,3308.329411541,3253.190588016,3308.329411541,3253.190588016,183061.0
2005-12-16,3253.190588016,3253.190588016,3253.190588016,3253.190588016,31839.0
2005-12-19,3253.190588016,3198.05176449,3253.190588016,3198.05176449,84428.0
2005-12-20,3198.05176449,3142.912940964,3198.05176449,3142.912940964,50900.0
2005-12-26,3049.419691564,3049.419691564,3049.419691564,3049.419691564,74924.0
2005-12-27,3049.419691564,3021.443364118,3049.419691564,3021.443364118,88019.0
2005-12-29,2965.490709227,2965.490709227,3021.443364118,3021.443364118,148529.0
2005-12-30,3021.443364118,3021.443364118,3133.3486739,3021.443364118,121653.0
2006-01-03,3021.443364118,2965.490709227,3021.443364118,2965.490709227,5280.0
2006-01-04,2965.490709227,2965.490709227,2965.490709227,2965.490709227,85643.0
2006-01-05,2965.490709227,2965.490709227,2993.467036673,2993.467036673,55969.0
2006-01-06,2993.467036673,2993.467036673,2993.467036673,2993.467036673,38122.0
2006-01-09,2993.467036673,2993.467036673,3021.443364118,2993.467036673,10613.0
2006-01-10,2993.467036673,2993.467036673,2993.467036673,2993.467036673,18216.0
2006-01-11,2993.467036673,2965.490709227,2993.467036673,2965.490709227,36168.0
2006-01-13,2937.514381782,2937.514381782,2965.490709227,2965.490709227,79888.0
2006-01-17,2965.490709227,2965.490709227,2965.490709227,2965.490709227,42399.0
2006-01-19,2993.467036673,2965.490709227,2993.467036673,2965.490709227,28090.0
2006-01-23,2993.467036673,2965.490709227,2993.467036673,2965.490709227,39759.0
2006-01-24,2965.490709227,2965.490709227,2965.490709227,2965.490709227,11088.0
2006-01-25,2965.490709227,2965.490709227,3021.443364118,3021.443364118,11141.0
2006-01-26,3021.443364118,3021.443364118,3021.443364118,3021.443364118,15893.0
2006-01-27,3021.443364118,3021.443364118,3021.443364118,3021.443364118,50900.0
2006-02-06,3021.443364118,2993.467036673,3021.443364118,2993.467036673,24341.0
2006-02-08,3021.443364118,3021.443364118,3021.443364118,3021.443364118,52959.0
2006-02-09,3021.443364118,3021.443364118,3021.443364118,3021.443364118,33264.0
2006-02-10,3021.443364118,3021.443364118,3021.443364118,3021.443364118,15048.0
2006-02-13,3021.443364118,3021.443364118,3021.443364118,3021.443364118,64681.0
2006-02-14,3021.443364118,2993.467036673,3021.443364118,2993.467036673,44669.0
2006-02-15,2993.467036673,2993.467036673,3021.443364118,3021.443364118,101378.0
2006-02-16,3021.443364118,3021.443364118,3021.443364118,3021.443364118,70067.0
2006-02-21,3161.325001346,3161.325001346,3161.325001346,3161.325001346,73023.0
2006-02-22,3161.325001346,3049.419691564,3161.325001346,3049.419691564,30466.0
2006-02-23,3049.419691564,3049.419691564,3049.419691564,3049.419691564,29304.0
2006-02-27,3105.372346455,3105.372346455,3105.372346455,3105.372346455,119647.0
2006-02-28,3105.372346455,3105.372346455,3133.3486739,3105.372346455,119541.0
2006-03-03,3357.159293465,3189.301328791,3413.111948356,3189.301328791,128148.0
2006-03-09,3357.159293465,3357.159293465,3441.088275801,3441.088275801,105126.0
2006-03-22,4589.534223977,4532.873307632,4589.534223977,4532.873307632,232588.0
2006-03-29,4589.534223977,4561.203765804,4702.856056668,4561.203765804,81630.0
2006-04-04,4872.838805704,4872.838805704,5042.82155474,4872.838805704,126458.0
2006-04-05,4872.838805704,4872.838805704,4872.838805704,4872.838805704,84798.0
2006-04-07,4986.160638395,4986.160638395,4986.160638395,4986.160638395,64734.0
2006-04-10,4986.160638395,4986.160638395,5071.152012913,4986.160638395,126564.0
2006-04-12,4872.838805704,4872.838805704,4929.499722049,4929.499722049,63414.0
2006-04-13,4929.499722049,4929.499722049,4986.160638395,4986.160638395,78832.0
2006-04-18,5099.482471086,5099.482471086,5326.126136467,5326.126136467,130471.0
2006-04-19,5326.126136467,5326.126136467,5326.126136467,5326.126136467,46728.0
2006-04-20,5326.126136467,5326.126136467,5326.126136467,5326.126136467,68641.0
2006-04-21,5326.126136467,5326.126136467,5524.439343676,5524.439343676,108928.0
2006-04-26,5779.41346723,5722.752550885,5779.41346723,5722.752550885,42768.0
2006-04-28,5439.447969158,5184.473845604,5496.108885503,5496.108885503,134959.0
2006-05-04,5581.100260021,5496.108885503,5581.100260021,5496.108885503,58820.0
2006-05-05,5496.108885503,5382.787052813,5496.108885503,5496.108885503,46464.0
2006-05-11,4759.516973013,4759.516973013,4986.160638395,4986.160638395,126405.0
2006-05-16,5467.778427331,5241.134761949,5467.778427331,5241.134761949,196525.0
2006-05-18,5496.108885503,5439.447969158,5496.108885503,5439.447969158,63994.0
2006-05-19,5439.447969158,5439.447969158,5439.447969158,5439.447969158,140081.0
2006-05-23,5575.436398561,5439.450144938,5575.436398561,5439.450144938,43428.0
2006-05-24,5439.450144938,5439.450144938,5711.422652185,5711.422652185,42460.0
2006-05-25,5711.422652185,5575.436398561,5779.415778997,5575.436398561,54033.0
2006-05-26,5575.436398561,5439.450144938,5643.429525373,5643.429525373,29260.0
2006-05-31,5439.450144938,5167.477637691,5711.422652185,5711.422652185,117174.0
2006-06-01,5711.422652185,5507.44327175,5711.422652185,5507.44327175,6644.0
2006-06-02,5507.44327175,5507.44327175,5507.44327175,5507.44327175,18612.0
2006-06-06,5643.429525373,5643.429525373,5711.422652185,5643.429525373,74801.0
2006-06-08,5575.436398561,5507.44327175,5575.436398561,5575.436398561,11176.0
2006-06-13,5541.439835156,5507.44327175,5541.439835156,5507.44327175,7788.0
2006-06-14,5507.44327175,5507.44327175,5507.44327175,5507.44327175,5280.0
2006-06-15,5507.44327175,5507.44327175,5507.44327175,5507.44327175,3080.0
2006-06-20,5439.450144938,5371.457018126,5439.450144938,5371.457018126,41756.0
2006-06-23,5405.453581532,5337.46045472,5473.446708344,5473.446708344,52757.0
2006-06-26,5473.446708344,5405.453581532,5473.446708344,5473.446708344,69521.0
2006-06-27,5473.446708344,5405.453581532,5473.446708344,5473.446708344,54561.0
2006-06-28,5473.446708344,5439.450144938,5473.446708344,5473.446708344,70621.0
2006-06-29,5473.446708344,5405.453581532,5711.422652185,5711.422652185,145422.0
2006-06-30,5711.422652185,5507.44327175,5983.395159432,5983.395159432,360015.0
2006-07-06,5473.446708344,5439.450144938,5473.446708344,5439.450144938,3828.0
2006-07-07,5439.450144938,5439.450144938,5439.450144938,5439.450144938,75461.0
2006-07-10,5439.450144938,5439.450144938,5473.446708344,5473.446708344,63053.0
2006-07-11,5473.446708344,5439.450144938,5473.446708344,5439.450144938,11176.0
2006-07-12,5439.450144938,5405.453581532,5439.450144938,5405.453581532,9284.0
2006-07-14,5371.457018126,5337.46045472,5371.457018126,5371.457018126,9812.0
2006-07-17,5371.457018126,5303.463891315,5371.457018126,5303.463891315,5368.0
2006-07-18,5303.463891315,5133.481074285,5303.463891315,5133.481074285,10692.0
2006-07-20,4929.50169385,4759.518876821,5167.477637691,5167.477637691,7964.0
2006-07-26,4657.529186603,4657.529186603,4827.512003633,4657.529186603,7568.0
2006-07-27,4657.529186603,4657.529186603,4759.518876821,4759.518876821,35376.0
2006-07-31,4827.512003633,4691.525750009,4827.512003633,4691.525750009,29876.0
2006-08-03,4283.566989139,4283.566989139,4453.549806168,4453.549806168,29920.0
2006-08-08,4793.515440227,4691.525750009,4929.50169385,4759.518876821,23364.0
2006-08-09,4759.518876821,4759.518876821,4793.515440227,4759.518876821,18700.0
2006-08-15,5269.467327909,5269.467327909,5439.450144938,5269.467327909,22748.0
2006-08-16,5269.467327909,5269.467327909,5371.457018126,5371.457018126,35332.0
2006-08-18,5439.450144938,5439.450144938,5507.44327175,5439.450144938,67453.0
2006-08-21,5439.450144938,5439.450144938,5439.450144938,5439.450144938,135258.0
2006-08-22,5439.450144938,5303.463891315,5439.450144938,5303.463891315,9900.0
2006-08-23,5303.463891315,5303.463891315,5371.457018126,5371.457018126,84217.0
2006-08-24,5371.457018126,5303.463891315,5371.457018126,5371.457018126,83821.0
2006-08-25,5371.457018126,5371.457018126,5371.457018126,5371.457018126,6908.0
2006-08-28,5371.457018126,5371.457018126,5371.457018126,5371.457018126,9812.0
2006-08-29,5371.457018126,5371.457018126,5405.453581532,5405.453581532,63009.0
2006-08-30,5405.453581532,5405.453581532,5439.450144938,5405.453581532,25256.0
2006-08-31,5405.453581532,5371.457018126,5405.453581532,5371.457018126,15752.0
2006-09-01,5371.457018126,5371.457018126,5405.453581532,5405.453581532,35200.0
2006-09-06,5643.429525373,5643.429525373,5643.429525373,5643.429525373,33308.0
2006-09-11,5439.450144938,5439.450144938,5439.450144938,5439.450144938,16280.0
2006-09-12,5439.450144938,5371.457018126,5439.450144938,5405.453581532,5456.0
2006-09-14,5507.44327175,5371.457018126,5507.44327175,5371.457018126,6688.0
2006-09-15,5371.457018126,5371.457018126,5439.450144938,5371.457018126,40040.0
2006-09-18,5371.457018126,5371.457018126,5439.450144938,5371.457018126,17072.0
2006-09-20,5439.450144938,5439.450144938,5439.450144938,5439.450144938,18612.0
2006-09-21,5439.450144938,5439.450144938,5473.446708344,5473.446708344,17380.0
