Date,Price Open,Price Low,Price High,Price Close,Volume
2005-07-14,1977.6917043645,1483.268778273,2472.114630456,1483.268778273,15941.0
2005-07-18,1483.268778273,1433.826485664,1582.153363492,1433.826485664,17436.0
2005-07-20,1433.826485664,1334.941900446,1582.153363492,1334.941900446,20923.0
2005-08-10,1334.941900446,1334.941900446,1334.941900446,1334.941900446,4981.0
2005-08-12,1334.941900446,1334.941900446,1334.941900446,1334.941900446,9963.0
2005-08-15,1334.941900446,1334.941900446,1463.49186123,1334.941900446,2740.0
2005-08-17,1334.941900446,1285.499607837,1364.607276011,1364.607276011,5230.0
2005-08-22,1334.941900446,1334.941900446,1334.941900446,1334.941900446,27325.0
2005-08-26,1334.941900446,1206.391939662,1334.941900446,1334.941900446,18632.0
2005-08-31,1325.053441924,1285.499607837,1334.941900446,1285.499607837,99637.0
2005-09-07,1334.941900446,1334.941900446,1334.941900446,1334.941900446,45693.0
2005-09-09,1334.941900446,1334.941900446,1334.941900446,1334.941900446,14945.0
2005-09-12,1334.941900446,1334.941900446,1344.830358968,1344.830358968,38883.0
2005-09-16,1334.941900446,1334.941900446,1334.941900446,1334.941900446,24909.0
2005-09-30,1334.941900446,1334.941900446,1334.941900446,1334.941900446,9465.0
2005-10-03,1334.941900446,1206.391939662,1334.941900446,1206.391939662,37887.0
2005-10-26,1315.164983402,1186.615022619,1315.164983402,1186.615022619,37363.0
2005-11-04,1344.830358968,1344.830358968,1344.830358968,1344.830358968,2490.0
2005-11-18,1334.941900446,1334.941900446,1334.941900446,1334.941900446,2989.0
2005-11-21,1334.941900446,1334.941900446,1334.941900446,1334.941900446,15941.0
2005-11-23,1334.941900446,1334.941900446,1334.941900446,1334.941900446,13201.0
2005-11-28,1325.053441924,1325.053441924,1325.053441924,1325.053441924,1245.0
2005-11-30,1325.053441924,1325.053441924,1325.053441924,1325.053441924,2989.0
2005-12-07,1305.276524881,1305.276524881,1305.276524881,1305.276524881,6974.0
2005-12-16,1285.499607837,1285.499607837,1285.499607837,1285.499607837,7472.0
2005-12-21,1285.499607837,1285.499607837,1285.499607837,1285.499607837,19927.0
2005-12-30,1285.499607837,1285.499607837,1285.499607837,1285.499607837,5480.0
2006-02-06,1286.254414594,1286.254414594,1286.254414594,1286.254414594,1245.0
2006-02-08,1286.254414594,1286.254414594,1286.254414594,1286.254414594,747.0
2006-02-17,1225.004204375,1225.004204375,1225.004204375,1225.004204375,21172.0
2006-03-01,,1235.212572745,1235.212572745,1235.212572745,0.0
2006-03-17,1888.548148412,1888.548148412,1888.548148412,1888.548148412,38360.0
2006-04-24,2937.728186939,2937.728186939,2937.728186939,2937.728186939,236140.0
2006-05-24,2721.264004744,2721.264004744,2721.264004744,2721.264004744,87680.0
2006-06-14,2535.723277147,2535.723277147,2535.723277147,2535.723277147,20176.0
2006-07-28,1731.713457564,1731.713457564,1731.713457564,1731.713457564,62273.0
2006-08-25,1772.944730363,1772.944730363,1772.944730363,1772.944730363,10960.0
