Date,Price Open,Price Low,Price High,Price Close,Volume
2008-08-21,38204.144615415,33545.102589145,42863.186641685,40254.123106974,424215.0
2008-08-22,40254.123106974,35781.442761754,41111.386839807,40999.569831177,288129.0
2008-08-25,40999.569831177,40999.569831177,42453.190943373,42453.190943373,381328.0
2008-08-28,48454.037073209,45062.254478084,51584.913314862,45062.254478084,137858.0
2008-08-29,45062.254478084,42751.369633054,45956.790547128,43571.361029678,317939.0
2008-09-01,43571.361029678,42751.369633054,45956.790547128,43571.361029678,317939.0
2008-09-03,43571.361029678,40254.123106974,45434.977840186,40254.123106974,140296.0
2008-09-11,29146.966916346,27134.260760997,29817.868968129,27134.260760997,423550.0
2008-09-15,25494.27796775,23779.750502083,27283.350105838,27022.443752366,198587.0
2008-09-17,24338.835545235,23257.93779514,24338.835545235,23257.93779514,96855.0
2008-09-19,21655.227338103,20201.606225907,23146.12078651,23146.12078651,89985.0
2008-09-24,22363.401726096,21245.231639792,23481.571812401,21990.678363995,103615.0
2008-09-25,21990.678363995,21916.133691574,23854.295174503,23705.205829662,125225.0
2008-09-26,23705.205829662,23108.8484503,24860.648252177,23481.571812401,143843.0
2008-09-29,23481.571812401,22065.223036415,23667.933493452,22624.308079568,73583.0
2008-10-01,21133.414631161,19679.793518965,21990.678363995,20127.061553487,112924.0
2008-10-02,20127.061553487,20127.061553487,21543.410329473,20797.96360527,52749.0
2008-10-13,14126.215423651,13157.134682187,14126.215423651,13157.134682187,62169.0
2008-10-15,14312.577104702,13343.496363238,15281.657846166,14610.755794383,170218.0
2008-10-17,13418.041035658,13045.317673556,14349.849440912,13678.947389129,69483.0
2008-10-20,13678.947389129,12896.228328716,14610.755794383,13418.041035658,83446.0
2008-10-21,13418.041035658,13045.317673556,13790.764397759,13231.679354607,65050.0
2008-10-29,9429.901061171,8796.271345598,10063.530776743,9318.08405254,200693.0
2008-10-30,9318.08405254,8945.360690439,9504.445733591,8982.633026649,88101.0
2008-10-31,8982.633026649,8423.547983496,9280.81171633,8945.360690439,95636.0
2008-11-03,8945.360690439,8423.547983496,9429.901061171,9392.62872496,84333.0
2008-11-04,9392.62872496,8535.364992127,9802.624423272,9802.624423272,45989.0
2008-11-06,10436.254138845,10063.530776743,11144.428526838,11144.428526838,259759.0
2008-11-07,11144.428526838,10622.615819896,11740.785906201,11740.785906201,207564.0
2008-11-10,11740.785906201,11554.42422515,12262.598613143,11964.419923462,155811.0
2008-11-13,10473.526475055,9765.352087062,10622.615819896,10026.258440533,100180.0
2008-11-14,10026.258440533,9504.445733591,10473.526475055,9877.169095693,99847.0
2008-11-17,9877.169095693,9280.81171633,9914.441431903,9541.718069801,53414.0
2008-11-18,9541.718069801,9318.08405254,10138.075449164,9951.713768113,71145.0
2008-11-19,9951.713768113,9877.169095693,10361.709466425,10063.530776743,73362.0
2008-11-20,10063.530776743,9392.62872496,10063.530776743,9392.62872496,51087.0
2008-11-21,9392.62872496,8945.360690439,9429.901061171,9280.81171633,51752.0
2008-11-24,9280.81171633,8982.633026649,9802.624423272,9318.08405254,106275.0
2008-11-25,9318.08405254,8758.999009388,9318.08405254,8758.999009388,18063.0
2008-11-28,7827.190604134,7305.377897191,8088.096957605,7827.190604134,162793.0
2008-12-05,7640.828923083,7454.467242032,8162.641630025,7901.735276554,195263.0
2008-12-09,7268.105560981,6783.565190249,7379.922569612,7081.743879931,241363.0
2008-12-11,6485.386500568,6149.935474677,6634.475845409,6373.569491937,57071.0
2008-12-16,7193.560888561,6709.020517829,7193.560888561,6709.020517829,23715.0
2008-12-17,6709.020517829,6448.114164358,7081.743879931,6709.020517829,100069.0
2008-12-18,6709.020517829,6634.475845409,6746.292854039,6634.475845409,82892.0
2008-12-19,6634.475845409,6634.475845409,6746.292854039,6634.475845409,106275.0
2008-12-22,6634.475845409,6634.475845409,6895.38219888,6671.748181619,74137.0
2008-12-24,6448.114164358,6373.569491937,6783.565190249,6783.565190249,63942.0
2008-12-25,6783.565190249,6746.292854039,7044.47154372,6895.38219888,142845.0
2008-12-26,6895.38219888,6709.020517829,7007.19920751,6820.837526459,70037.0
2008-12-29,6820.837526459,6597.203509198,6820.837526459,6671.748181619,18063.0
2008-12-30,6671.748181619,6448.114164358,6783.565190249,6709.020517829,32913.0
2008-12-31,6709.020517829,6522.658836778,6820.837526459,6597.203509198,54855.0
2009-01-02,6597.203509198,6485.386500568,6634.475845409,6559.931172988,24380.0
2009-01-05,6559.931172988,6336.297155727,6559.931172988,6485.386500568,66713.0
2009-01-06,6485.386500568,6336.297155727,6634.475845409,6597.203509198,68153.0
2009-01-07,6597.203509198,6559.931172988,6895.38219888,6746.292854039,70813.0
2009-01-09,6485.386500568,6373.569491937,6671.748181619,6522.658836778,47541.0
2009-01-12,6522.658836778,6485.386500568,6634.475845409,6559.931172988,30807.0
2009-01-13,6559.931172988,6410.841828148,6559.931172988,6448.114164358,22385.0
2009-01-14,6448.114164358,6410.841828148,6559.931172988,6448.114164358,30364.0
2009-01-15,6448.114164358,6410.841828148,6448.114164358,6410.841828148,3546.0
2009-01-16,6410.841828148,6336.297155727,6485.386500568,6448.114164358,10195.0
2009-01-22,5926.301457416,5926.301457416,6112.663138466,6075.390802256,34021.0
2009-01-23,6075.390802256,5963.573793626,6149.935474677,6149.935474677,20723.0
2009-02-04,5404.488750473,5106.310060792,5553.578095314,5180.854733212,30253.0
