Date,Price Open,Price Low,Price High,Price Close,Volume
2008-06-30,30670.374572342,30670.374572342,30670.374572342,30670.374572342,344.0
2008-08-25,10798.527714012,10287.354804473,11309.700623551,11309.700623551,1854965.0
2008-08-28,12395.943056321,11820.87353309,12971.012579553,12971.012579553,415546.0
2008-09-03,12332.046442629,11756.976919398,12332.046442629,11756.976919398,988643.0
2008-09-08,10670.734486627,10159.561577088,10670.734486627,10670.734486627,688565.0
2008-09-10,11181.907396166,10862.424327704,11693.080305705,11181.907396166,457614.0
2008-09-15,10159.561577088,9712.285281242,10542.941259242,9712.285281242,297026.0
2008-09-19,8434.353007394,8434.353007394,8817.732689548,8817.732689548,126016.0
2008-09-23,9201.112371703,8753.836075856,9456.698826472,8753.836075856,206255.0
2008-09-25,8370.456393702,7987.076711547,8370.456393702,7987.076711547,309140.0
2008-09-26,7987.076711547,7603.697029393,8370.456393702,8306.559780009,173827.0
2008-09-29,8306.559780009,7923.180097855,8434.353007394,7923.180097855,100083.0
2008-10-01,7539.800415701,7220.317347239,7667.593643085,7284.213960931,322176.0
2008-10-03,7603.697029393,7475.903802008,7795.38687047,7795.38687047,136908.0
2008-10-09,6773.041051392,6453.55798293,6773.041051392,6453.55798293,285601.0
2008-10-13,6134.074914468,5878.488459699,6197.971528161,5878.488459699,80505.0
2008-10-15,6134.074914468,5878.488459699,6325.764755545,6325.764755545,187474.0
2008-10-20,5814.591846006,5622.902004929,5814.591846006,5686.798618622,83619.0
2008-10-21,5686.798618622,5559.005391237,5750.695232314,5750.695232314,97595.0
2008-10-22,5750.695232314,5686.798618622,5750.695232314,5750.695232314,39329.0
2008-10-23,5750.695232314,5495.108777545,5750.695232314,5495.108777545,82930.0
2008-10-24,5495.108777545,5367.31555016,5495.108777545,5431.212163852,44900.0
2008-10-29,4920.039254313,4728.349413236,5111.72909539,5047.832481698,157801.0
2008-10-30,5047.832481698,4920.039254313,5111.72909539,4920.039254313,87532.0
2008-10-31,4920.039254313,4920.039254313,5047.832481698,4983.935868006,58657.0
2008-11-03,4983.935868006,4792.246026928,4983.935868006,4792.246026928,70645.0
2008-11-04,4792.246026928,4792.246026928,4983.935868006,4983.935868006,102039.0
2008-11-06,5175.625709083,4920.039254313,5175.625709083,4983.935868006,41113.0
2008-11-10,4792.246026928,4728.349413236,4920.039254313,4856.142640621,65903.0
2008-11-12,4664.452799544,4472.762958467,4664.452799544,4472.762958467,50315.0
2008-11-13,4472.762958467,4281.073117389,4600.556185851,4472.762958467,150759.0
2008-11-14,4472.762958467,4472.762958467,4600.556185851,4600.556185851,156502.0
2008-11-17,4600.556185851,4472.762958467,4600.556185851,4536.659572159,58438.0
2008-11-18,4536.659572159,4472.762958467,4728.349413236,4664.452799544,129396.0
2008-11-19,4664.452799544,4536.659572159,4664.452799544,4536.659572159,30627.0
2008-11-24,4153.279890005,4089.383276312,4281.073117389,4153.279890005,41488.0
2008-11-26,4217.176503697,4025.48666262,4281.073117389,4025.48666262,86311.0
2008-11-27,4025.48666262,3833.796821543,4089.383276312,3897.693435235,88752.0
2008-12-01,4089.383276312,4089.383276312,4281.073117389,4281.073117389,100568.0
2008-12-03,4089.383276312,3961.590048927,4153.279890005,3961.590048927,27638.0
2008-12-04,3961.590048927,3897.693435235,4089.383276312,4089.383276312,37169.0
2008-12-09,3769.90020785,3706.003594158,3833.796821543,3769.90020785,28702.0
2008-12-10,3769.90020785,3706.003594158,3833.796821543,3706.003594158,30956.0
2008-12-11,3706.003594158,3578.210366773,3769.90020785,3578.210366773,40362.0
2008-12-15,3706.003594158,3578.210366773,3833.796821543,3706.003594158,30909.0
2008-12-16,3706.003594158,3578.210366773,3706.003594158,3578.210366773,60926.0
2008-12-17,3578.210366773,3514.313753081,3642.106980466,3514.313753081,10438.0
2008-12-18,3514.313753081,3514.313753081,3642.106980466,3642.106980466,8811.0
2008-12-19,3642.106980466,3514.313753081,3706.003594158,3706.003594158,12488.0
2008-12-22,3706.003594158,3578.210366773,3769.90020785,3642.106980466,62382.0
2008-12-23,3642.106980466,3514.313753081,3642.106980466,3578.210366773,52506.0
2008-12-24,3578.210366773,3450.417139388,3642.106980466,3450.417139388,11283.0
2008-12-25,3450.417139388,3450.417139388,3514.313753081,3514.313753081,10595.0
2008-12-26,3514.313753081,3514.313753081,3642.106980466,3578.210366773,34555.0
2008-12-29,3578.210366773,3514.313753081,3578.210366773,3578.210366773,21613.0
2008-12-30,3578.210366773,3514.313753081,3642.106980466,3578.210366773,37717.0
2008-12-31,3578.210366773,3514.313753081,3642.106980466,3578.210366773,53007.0
2009-01-02,3578.210366773,3514.313753081,3642.106980466,3578.210366773,28092.0
2009-01-05,3578.210366773,3578.210366773,3706.003594158,3706.003594158,106703.0
2009-01-08,4025.48666262,3833.796821543,4025.48666262,3833.796821543,219463.0
2009-01-09,3833.796821543,3833.796821543,3897.693435235,3897.693435235,47389.0
2009-01-12,3897.693435235,3833.796821543,3897.693435235,3897.693435235,31050.0
2009-01-13,3897.693435235,3769.90020785,3897.693435235,3833.796821543,49595.0
2009-01-14,3833.796821543,3769.90020785,3833.796821543,3833.796821543,22786.0
2009-01-16,3706.003594158,3642.106980466,3769.90020785,3706.003594158,41864.0
2009-01-19,3706.003594158,3642.106980466,3769.90020785,3769.90020785,45104.0
2009-01-21,3642.106980466,3578.210366773,3706.003594158,3642.106980466,31754.0
2009-01-22,3642.106980466,3642.106980466,3706.003594158,3706.003594158,14398.0
2009-01-23,3706.003594158,3578.210366773,3833.796821543,3706.003594158,6291.0
2009-02-02,3706.003594158,3578.210366773,3706.003594158,3578.210366773,27622.0
2009-02-03,3578.210366773,3450.417139388,3578.210366773,3450.417139388,64682.0
2009-02-04,3450.417139388,3386.520525696,3578.210366773,3514.313753081,15916.0
2009-02-05,3514.313753081,3450.417139388,3642.106980466,3450.417139388,21910.0
2009-02-09,3514.313753081,3450.417139388,3578.210366773,3450.417139388,12817.0
2009-02-10,3450.417139388,3386.520525696,3450.417139388,3386.520525696,19421.0
2009-02-11,3386.520525696,3258.727298311,3386.520525696,3258.727298311,45432.0
2009-02-12,3258.727298311,3258.727298311,3386.520525696,3322.623912004,52678.0
2009-02-13,3322.623912004,3258.727298311,3322.623912004,3322.623912004,20830.0
2009-02-18,3578.210366773,3578.210366773,3706.003594158,3578.210366773,229511.0
2009-02-20,3706.003594158,3706.003594158,3769.90020785,3769.90020785,88909.0
2009-02-23,3769.90020785,3642.106980466,3769.90020785,3642.106980466,124200.0
2009-02-24,3642.106980466,3578.210366773,3642.106980466,3578.210366773,34258.0
2009-02-26,3706.003594158,3578.210366773,3706.003594158,3578.210366773,77547.0
2009-02-27,3578.210366773,3578.210366773,3706.003594158,3642.106980466,37545.0
2009-03-02,3642.106980466,3578.210366773,3706.003594158,3706.003594158,46888.0
2009-03-03,3706.003594158,3578.210366773,3706.003594158,3642.106980466,28953.0
2009-03-04,3642.106980466,3642.106980466,3706.003594158,3706.003594158,27200.0
2009-03-05,3706.003594158,3642.106980466,3706.003594158,3706.003594158,51974.0
2009-03-09,3642.106980466,3578.210366773,3706.003594158,3706.003594158,42772.0
2009-03-10,3706.003594158,3706.003594158,3833.796821543,3769.90020785,160462.0
2009-03-12,3833.796821543,3706.003594158,3833.796821543,3706.003594158,105326.0
2009-03-13,3706.003594158,3706.003594158,3769.90020785,3769.90020785,45213.0
2009-03-16,3769.90020785,3769.90020785,3833.796821543,3833.796821543,83697.0
2009-03-19,4217.176503697,4025.48666262,4408.866344774,4025.48666262,314977.0
2009-03-20,4025.48666262,3961.590048927,4153.279890005,4089.383276312,161776.0
2009-03-23,4089.383276312,4025.48666262,4153.279890005,4025.48666262,111555.0
2009-03-25,4217.176503697,4089.383276312,4408.866344774,4344.969731082,181778.0
2009-03-26,4344.969731082,4344.969731082,4472.762958467,4472.762958467,229918.0
2009-03-27,4472.762958467,4472.762958467,4600.556185851,4536.659572159,188178.0
2009-03-30,4536.659572159,4344.969731082,4536.659572159,4344.969731082,205284.0
2009-03-31,4344.969731082,4344.969731082,4536.659572159,4536.659572159,220935.0
2009-04-08,5367.31555016,5111.72909539,5495.108777545,5111.72909539,595148.0
2009-04-09,5111.72909539,4983.935868006,5239.522322775,5047.832481698,271767.0
2009-04-13,5239.522322775,5239.522322775,5495.108777545,5495.108777545,472466.0
2009-04-14,5495.108777545,5431.212163852,5686.798618622,5686.798618622,364620.0
2009-04-15,5686.798618622,5431.212163852,5686.798618622,5431.212163852,125796.0
2009-04-16,5431.212163852,5239.522322775,5559.005391237,5303.418936467,156064.0
2009-04-22,4664.452799544,4472.762958467,4792.246026928,4472.762958467,420163.0
2009-04-23,4472.762958467,4408.866344774,4664.452799544,4664.452799544,255256.0
2009-04-24,4664.452799544,4472.762958467,4728.349413236,4472.762958467,157660.0
2009-04-27,4472.762958467,4472.762958467,4600.556185851,4472.762958467,108409.0
2009-04-28,4472.762958467,4472.762958467,4536.659572159,4536.659572159,32411.0
2009-04-29,4536.659572159,4408.866344774,4664.452799544,4536.659572159,75450.0
2009-05-05,4728.349413236,4728.349413236,4920.039254313,4728.349413236,139537.0
2009-05-07,4536.659572159,4536.659572159,4664.452799544,4664.452799544,136924.0
2009-05-08,4664.452799544,4472.762958467,4728.349413236,4728.349413236,543158.0
2009-05-25,7348.110574624,7348.110574624,7667.593643085,7667.593643085,1014639.0
2009-05-26,7667.593643085,7667.593643085,8050.97332524,8050.97332524,703433.0
2009-05-29,8817.732689548,8434.353007394,9201.112371703,8626.042848471,984966.0
2009-06-01,8626.042848471,8242.663166317,9009.422530625,8753.836075856,774767.0
2009-06-02,8753.836075856,8626.042848471,9137.21575801,8626.042848471,401179.0
2009-06-09,9584.492053857,9584.492053857,10031.768349703,10031.768349703,769054.0
2009-06-10,10031.768349703,9584.492053857,10031.768349703,9584.492053857,248823.0
2009-06-11,9584.492053857,9265.008985395,10031.768349703,10031.768349703,635964.0
2009-06-12,10031.768349703,9584.492053857,10351.251418165,9648.388667549,350754.0
2009-06-18,8370.456393702,8050.97332524,8753.836075856,8370.456393702,369863.0
2009-06-19,8370.456393702,7987.076711547,8562.146234779,7987.076711547,228744.0
2009-06-24,7284.213960931,7284.213960931,7603.697029393,7603.697029393,267572.0
