Date,Price Open,Price Low,Price High,Price Close,Volume
2000-12-15,2068.601768825,2068.601768825,2068.601768825,2068.601768825,2020.0
2001-07-02,10614.852631016,10614.852631016,10614.852631016,10614.852631016,55771.0
2001-07-04,10614.852631016,10614.852631016,10614.852631016,10614.852631016,134578.0
2001-07-06,10614.852631016,10614.852631016,10614.852631016,10614.852631016,59004.0
2001-07-27,9061.459563062,9061.459563062,9061.459563062,9061.459563062,16569.0
2001-08-10,7831.690050933,7831.690050933,7831.690050933,7831.690050933,46476.0
2001-09-19,4475.82243352,4475.82243352,4475.82243352,4475.82243352,40413.0
2003-05-20,3184.553218057,3155.050783138,3212.415342831,3212.415342831,8931.0
2003-05-21,3184.553218057,3183.733062985,3198.074202908,3183.733062985,6183.0
2003-05-22,3184.553218057,3183.733062985,3226.756482755,3183.733062985,848.0
2003-08-18,2987.698428328,2952.784454481,2997.298792991,2997.298792991,242.0
2003-08-19,3015.108505652,3012.136905828,3041.813131501,3012.136905828,202.0
2003-08-29,2960.288351004,2937.946341645,2967.622567318,2967.622567318,40.0
2003-09-05,2932.878273679,2923.108228808,2952.784454481,2923.108228808,808.0
2004-02-06,3284.121042448,3230.358382422,3433.231131076,3230.358382422,2667.0
2004-07-14,3241.097622678,3230.358382422,3277.175170573,3230.358382422,3637.0
2006-08-01,5704.341674309,5521.383191733,5797.45235132,5521.383191733,25885.0
2006-08-03,5604.265504584,5590.40048163,5797.45235132,5797.45235132,28208.0
2006-10-06,7248.47789312,7234.191207363,7575.069327081,7499.318633811,168292.0
2007-03-23,8868.725892759,8749.205072779,9090.083192498,9090.083192498,85702.0
2007-04-05,8972.247686566,8900.706459321,9090.083192498,9090.083192498,103321.0
2007-07-16,7729.936468426,7385.692593904,7764.446060258,7385.692593904,90212.0
2007-07-17,7591.901888633,7423.56794054,7726.570713623,7726.570713623,62983.0
2007-08-21,6628.185661196,6628.185661196,6817.562394373,6703.936354467,346490.0
2007-08-28,6703.936354467,6703.936354467,6741.811701102,6703.936354467,83216.0
2007-08-30,6741.811701102,6741.811701102,6741.811701102,6741.811701102,26861.0
2007-08-31,6741.811701102,6741.811701102,6817.562394373,6817.562394373,40301.0
2007-09-18,7650.820020352,7575.069327081,7726.570713623,7612.944673717,50611.0
2007-09-25,7991.698140071,7953.822793435,8218.950219883,8218.950219883,186335.0
2008-05-20,7006.93912755,7006.93912755,7006.93912755,7006.93912755,184.0
2008-07-07,7082.689820821,6703.936354467,7082.689820821,6703.936354467,219695.0
2008-07-16,7764.446060258,7650.820020352,8105.324179977,8105.324179977,318709.0
2008-07-18,8105.324179977,8105.324179977,8559.828339602,8559.828339602,447842.0
2008-10-01,8711.329726144,8276.639450957,8940.332237118,8276.639450957,151483.0
2009-07-01,6703.936354467,6668.157796055,7050.757013861,6668.157796055,79389.0
2009-07-07,7082.689820821,6996.099982746,7214.728107207,7105.414044977,44146.0
2009-07-08,7082.689820821,7050.757013861,7105.414044977,7105.414044977,36992.0
2009-08-04,6636.927861616,6558.843733825,6668.157796055,6558.843733825,121471.0
2009-08-06,6910.213126506,6722.81482717,6996.099982746,6996.099982746,209317.0
2009-08-12,7222.539143524,7105.414044977,7378.699200553,7105.414044977,103047.0
2009-09-09,8784.16922861,8526.496853972,8854.439040663,8799.782009548,485374.0
2009-09-11,8745.128476483,8745.124978433,9018.410134009,9018.410134009,524944.0
2010-11-17,11915.232783115,11766.852198528,12479.994756014,12266.051988768,74370.0
2011-03-29,15529.020224634,15332.56498596,15831.764776201,15689.136264703,117006.0
2011-04-13,15529.020224634,15403.879241709,15546.507753206,15403.879241709,110153.0
2011-08-31,13643.07656764,13455.746559446,14120.227871024,14037.167707077,184930.0
2011-09-01,14054.42560988,13954.10754313,14286.348198918,14286.348198918,130140.0
2011-09-09,14534.332825827,14120.227871024,14701.649018654,14452.468526813,93930.0
2011-09-12,14397.216478414,14369.408362866,14701.649018654,14452.468526813,133840.0
2011-09-13,15082.798215481,14535.52869076,15116.94983839,14950.829510496,333660.0
2012-05-28,11545.362788661,11213.122132872,12209.844100238,11213.122132872,6900.0
2015-02-24,11379.242460766,11296.182296819,11462.302624714,11296.182296819,62770.0
2015-02-25,11462.302624714,11296.182296819,11628.422952608,11462.302624714,128660.0
2015-02-27,11462.302624714,11296.182296819,11711.483116555,11462.302624714,46390.0
2015-07-21,10714.761149189,10714.761149189,10797.821313136,10714.761149189,3210.0
2015-08-14,11213.122132872,11213.122132872,11462.302624714,11296.182296819,66380.0
2015-08-18,11462.302624714,11213.122132872,11462.302624714,11379.242460766,9760.0
2015-08-26,11213.122132872,11130.061968925,11296.182296819,11130.061968925,18670.0
2015-08-27,11213.122132872,10797.821313136,11462.302624714,11130.061968925,6310.0
2016-01-20,11213.122132872,11130.061968925,11628.422952608,11628.422952608,210.0
2016-01-22,11047.001804978,11047.001804978,11545.362788661,11545.362788661,5970.0
2016-02-04,11462.302624714,10631.700985242,11628.422952608,11628.422952608,5700.0
2016-02-22,11462.302624714,11130.061968925,11877.60344445,11877.60344445,220.0
2016-02-24,11628.422952608,11213.122132872,11628.422952608,11213.122132872,740.0
2016-03-22,11628.422952608,11213.122132872,11877.60344445,11213.122132872,3010.0
2016-03-29,11296.182296819,11296.182296819,11296.182296819,11296.182296819,4100.0
2016-04-20,11213.122132872,11047.001804978,11296.182296819,11047.001804978,4930.0
2016-04-21,11213.122132872,11047.001804978,11213.122132872,11130.061968925,21310.0
2016-05-05,11213.122132872,11047.001804978,11711.483116555,11628.422952608,67740.0
2016-06-07,10880.881477083,10631.700985242,10880.881477083,10880.881477083,2470.0
2016-06-16,10880.881477083,10797.821313136,11296.182296819,11296.182296819,30970.0
2016-06-17,10880.881477083,10548.640821294,11462.302624714,11462.302624714,30.0
2016-06-23,10797.821313136,10465.580657347,11213.122132872,11130.061968925,11710.0
2016-06-24,10797.821313136,10382.5204934,11379.242460766,11213.122132872,4100.0
2016-06-28,10797.821313136,10548.640821294,11213.122132872,11213.122132872,140.0
