Date,Price Open,Price Low,Price High,Price Close,Volume
2009-10-08,12763.846961397,12674.589290338,12853.104632456,12853.104632456,21563.0
2009-10-23,20529.264343506,20529.264343506,21421.841054093,21064.810369858,997310.0
2009-10-26,21064.810369858,20529.264343506,21778.871738328,21064.810369858,689206.0
2009-10-30,18387.080238096,17494.503527509,19279.656948684,19279.656948684,1224459.0
2009-11-02,19279.656948684,18387.080238096,19458.172290801,19279.656948684,406830.0
2009-11-03,19279.656948684,18387.080238096,19279.656948684,18387.080238096,215966.0
2009-11-05,17494.503527509,16637.629885346,17780.128074897,17208.878980121,478343.0
2009-11-09,18030.049553862,17137.472843274,18030.049553862,17315.988185392,274928.0
2009-11-10,17315.988185392,16459.114543228,17601.61273278,16459.114543228,196807.0
2009-11-11,16459.114543228,16423.411474805,16958.957501157,16780.442159039,167541.0
2009-11-12,16780.442159039,16780.442159039,17387.394322239,16780.442159039,216357.0
2009-11-13,16780.442159039,16601.926816922,17601.61273278,17601.61273278,401160.0
2009-11-17,18387.080238096,17530.206595933,18565.595580214,17530.206595933,311075.0
2009-11-18,17530.206595933,16958.957501157,17530.206595933,17494.503527509,229905.0
2009-11-19,17494.503527509,17494.503527509,18208.564895979,18208.564895979,837335.0
2009-11-20,18208.564895979,17494.503527509,18565.595580214,17494.503527509,322023.0
2009-11-23,17494.503527509,16744.739090616,17815.831143321,16780.442159039,148695.0
2009-11-24,16780.442159039,15994.974653723,17315.988185392,15994.974653723,248653.0
2009-11-25,15994.974653723,15209.507148406,16066.38079057,15209.507148406,237021.0
2009-11-27,14459.742711513,13745.681343043,14995.288737865,13745.681343043,381806.0
2009-11-30,13745.681343043,13067.323042997,13995.602822007,13067.323042997,206582.0
2009-12-02,13567.166000926,12888.807700879,13567.166000926,12888.807700879,178098.0
2009-12-03,12888.807700879,12317.558606103,13424.353727232,12531.777016644,62305.0
2009-12-04,12531.777016644,12460.370879797,12924.510769303,12567.480085068,61425.0
2009-12-08,12785.407353407,12167.930293725,12785.407353407,12167.930293725,110025.0
2009-12-14,10497.110014587,9988.599494849,10497.110014587,9988.599494849,181304.0
2009-12-17,9153.18935528,8717.323195505,9153.18935528,9153.18935528,218566.0
