Date,Price Open,Price Low,Price High,Price Close,Volume
2010-03-23,12833.276148687,12833.276148687,12833.276148687,12833.276148687,1514.0
2010-04-05,18447.834463738,17645.754704445,18715.194383502,18046.794584091,61622.0
2010-04-07,17244.714824798,16843.674945152,18046.794584091,18046.794584091,66000.0
2010-04-08,18046.794584091,17913.114624209,18447.834463738,18447.834463738,41051.0
2010-04-09,18447.834463738,17913.114624209,18715.194383502,17913.114624209,22843.0
2010-04-12,17913.114624209,17244.714824798,17913.114624209,17244.714824798,54109.0
2010-04-13,17244.714824798,16576.315025387,17512.074744562,16576.315025387,26630.0
2010-04-14,16576.315025387,16576.315025387,17244.714824798,16977.354905034,29508.0
2010-04-16,17244.714824798,17244.714824798,17779.434664327,17378.39478468,28115.0
2010-04-20,17244.714824798,17111.034864916,17244.714824798,17244.714824798,47307.0
2010-04-21,17244.714824798,17111.034864916,17378.39478468,17111.034864916,42354.0
2010-04-22,17111.034864916,17111.034864916,17913.114624209,17512.074744562,46929.0
2010-04-26,17512.074744562,17111.034864916,17645.754704445,17111.034864916,74756.0
2010-04-27,17111.034864916,16576.315025387,17244.714824798,16977.354905034,19283.0
2010-05-04,17378.39478468,17111.034864916,17913.114624209,17111.034864916,22358.0
2010-05-05,17111.034864916,17111.034864916,17378.39478468,17111.034864916,37022.0
2010-05-11,15774.235266094,15774.235266094,16442.635065505,16442.635065505,22904.0
2010-05-14,15640.555306212,15640.555306212,15640.555306212,15640.555306212,50519.0
2010-05-17,15640.555306212,15506.87534633,15774.235266094,15506.87534633,39627.0
2010-05-18,15506.87534633,15239.515426566,15640.555306212,15640.555306212,11376.0
2010-05-20,15105.835466684,14704.795587037,15373.195386448,15373.195386448,9210.0
2010-05-25,14303.755707391,13635.35590798,14437.435667273,13635.35590798,31417.0
2010-05-26,13635.35590798,13635.35590798,14303.755707391,14303.755707391,3514.0
2010-06-01,14437.435667273,14036.395787626,14972.155506801,14036.395787626,9240.0
2010-06-03,14704.795587037,14704.795587037,15373.195386448,15239.515426566,4968.0
2010-06-07,15239.515426566,14972.155506801,15239.515426566,14972.155506801,3029.0
2010-06-11,14704.795587037,14303.755707391,14972.155506801,14704.795587037,3075.0
2010-06-14,14704.795587037,14437.435667273,14704.795587037,14437.435667273,8422.0
2010-06-15,14437.435667273,13902.715827744,14437.435667273,14437.435667273,5604.0
2010-06-21,14972.155506801,14704.795587037,14972.155506801,14704.795587037,16799.0
2010-06-24,14437.435667273,14170.075747509,14437.435667273,14437.435667273,1999.0
2010-06-25,14437.435667273,14170.075747509,14704.795587037,14704.795587037,515.0
2010-06-28,14704.795587037,14571.115627155,14972.155506801,14571.115627155,1529.0
2010-07-02,14437.435667273,14170.075747509,14437.435667273,14170.075747509,4392.0
2010-07-05,14170.075747509,14170.075747509,14170.075747509,14170.075747509,7089.0
2010-07-06,14170.075747509,14036.395787626,14303.755707391,14303.755707391,1120.0
2010-07-07,14303.755707391,14303.755707391,14303.755707391,14303.755707391,1090.0
2010-07-08,14303.755707391,14170.075747509,14704.795587037,14704.795587037,13042.0
2010-07-09,14704.795587037,14303.755707391,14972.155506801,14303.755707391,621.0
2010-07-12,14303.755707391,13769.035867862,14571.115627155,14437.435667273,1257.0
2010-07-13,14437.435667273,14303.755707391,14704.795587037,14704.795587037,8089.0
2010-07-15,15373.195386448,15373.195386448,16041.595185859,15774.235266094,8104.0
2010-07-19,15373.195386448,14838.475546919,15506.87534633,14838.475546919,3211.0
2010-07-20,14838.475546919,14838.475546919,14972.155506801,14972.155506801,7392.0
