Date,Price Open,Price Low,Price High,Price Close,Volume
2009-12-10,3128.965791816,2999.669684716,3258.261898916,3180.684234656,317879.0
2009-12-11,3180.684234656,3051.388127556,3258.261898916,3103.106570396,354311.0
2009-12-14,3103.106570396,2999.669684716,3258.261898916,3206.543456076,121751.0
2009-12-15,3206.543456076,3051.388127556,3206.543456076,3206.543456076,99863.0
2009-12-18,2922.092020456,2792.795913356,2922.092020456,2922.092020456,483767.0
2009-12-21,2922.092020456,2792.795913356,3025.528906136,2999.669684716,179279.0
2009-12-22,2999.669684716,2896.232799036,2999.669684716,2973.810463296,215711.0
2009-12-23,2973.810463296,2896.232799036,2999.669684716,2999.669684716,75959.0
2009-12-24,2999.669684716,2896.232799036,2999.669684716,2896.232799036,257111.0
2009-12-25,2896.232799036,2844.514356196,2999.669684716,2999.669684716,206711.0
2009-12-28,2999.669684716,2999.669684716,3077.247348976,2999.669684716,216863.0
2009-12-29,2999.669684716,2947.951241876,3051.388127556,2947.951241876,83519.0
2010-01-07,3672.009441635,3516.854113115,3775.446327315,3672.009441635,137735.0
2010-01-12,3413.417227436,3309.980341756,3490.994891695,3309.980341756,228239.0
2010-01-13,3309.980341756,3206.543456076,3413.417227436,3258.261898916,475415.0
2010-01-15,3413.417227436,3387.558006016,3465.135670276,3439.276448856,70919.0
2010-01-19,3284.121120336,3258.261898916,3335.839563176,3309.980341756,99791.0
2010-01-20,3309.980341756,3258.261898916,3361.698784596,3258.261898916,243647.0
2010-01-21,3258.261898916,3103.106570396,3258.261898916,3103.106570396,222335.0
2010-01-22,3103.106570396,2999.669684716,3128.965791816,3128.965791816,58463.0
2010-01-25,3128.965791816,3103.106570396,3180.684234656,3128.965791816,27503.0
2010-01-27,3284.121120336,3284.121120336,3335.839563176,3309.980341756,152999.0
2010-01-28,3309.980341756,3180.684234656,3361.698784596,3232.402677496,10079.0
2010-01-29,3232.402677496,3128.965791816,3284.121120336,3258.261898916,84383.0
2010-02-01,3258.261898916,3258.261898916,3361.698784596,3258.261898916,14759.0
2010-02-02,3258.261898916,3232.402677496,3258.261898916,3232.402677496,64511.0
2010-02-03,3232.402677496,3206.543456076,3258.261898916,3258.261898916,42839.0
2010-02-04,3258.261898916,3180.684234656,3284.121120336,3258.261898916,99071.0
2010-02-05,3258.261898916,3258.261898916,3258.261898916,3258.261898916,4751.0
2010-02-08,3258.261898916,3180.684234656,3258.261898916,3180.684234656,20663.0
2010-02-09,3180.684234656,3128.965791816,3206.543456076,3128.965791816,60767.0
2010-02-11,3232.402677496,3180.684234656,3258.261898916,3232.402677496,75455.0
2010-02-12,3232.402677496,3232.402677496,3309.980341756,3284.121120336,33407.0
2010-02-22,3284.121120336,3258.261898916,3309.980341756,3309.980341756,10439.0
2010-03-01,3180.684234656,3180.684234656,3206.543456076,3206.543456076,27503.0
2010-03-02,3206.543456076,3180.684234656,3206.543456076,3180.684234656,36647.0
2010-03-03,3180.684234656,3180.684234656,3206.543456076,3206.543456076,30815.0
2010-03-04,3206.543456076,3206.543456076,3258.261898916,3232.402677496,75167.0
2010-03-05,3232.402677496,3206.543456076,3258.261898916,3232.402677496,126503.0
2010-03-08,3232.402677496,3232.402677496,3309.980341756,3232.402677496,39743.0
2010-03-09,3232.402677496,3232.402677496,3309.980341756,3309.980341756,81935.0
2010-03-10,3309.980341756,3232.402677496,3335.839563176,3335.839563176,197063.0
2010-03-15,3620.290998795,3516.854113115,3723.727884475,3672.009441635,299303.0
2010-03-17,3490.994891695,3335.839563176,3568.572555955,3465.135670276,362663.0
2010-03-18,3465.135670276,3309.980341756,3465.135670276,3465.135670276,111887.0
2010-03-19,3465.135670276,3309.980341756,3465.135670276,3335.839563176,93383.0
2010-03-22,3335.839563176,3258.261898916,3335.839563176,3284.121120336,67823.0
2010-03-25,3284.121120336,3180.684234656,3284.121120336,3284.121120336,25271.0
2010-03-26,3284.121120336,3232.402677496,3284.121120336,3284.121120336,76031.0
2010-03-29,3284.121120336,3258.261898916,3387.558006016,3258.261898916,20447.0
2010-03-30,3258.261898916,3154.825013236,3258.261898916,3154.825013236,167327.0
2010-03-31,3154.825013236,3077.247348976,3206.543456076,3206.543456076,79343.0
2010-04-01,3206.543456076,3103.106570396,3309.980341756,3258.261898916,159983.0
2010-04-02,3258.261898916,3258.261898916,3284.121120336,3258.261898916,364319.0
2010-04-06,3361.698784596,3309.980341756,3361.698784596,3309.980341756,159119.0
2010-04-07,3309.980341756,3258.261898916,3335.839563176,3335.839563176,122327.0
2010-04-08,3335.839563176,3284.121120336,3335.839563176,3335.839563176,392327.0
2010-04-09,3335.839563176,3335.839563176,3490.994891695,3413.417227436,384191.0
2010-04-13,3568.572555955,3568.572555955,3723.727884475,3723.727884475,2304575.0
2010-04-14,3723.727884475,3723.727884475,3904.742434415,3904.742434415,2225015.0
2010-04-15,3904.742434415,3853.023991575,3956.460877255,3904.742434415,654767.0
2010-04-16,3904.742434415,3775.446327315,3930.601655835,3827.164770155,884879.0
2010-04-19,3827.164770155,3723.727884475,3853.023991575,3827.164770155,769607.0
2010-04-20,3827.164770155,3827.164770155,4008.179320095,4008.179320095,1133351.0
2010-04-21,4008.179320095,4008.179320095,4137.475427195,4034.038541515,304271.0
2010-04-22,4034.038541515,3982.320098675,4085.756984355,4034.038541515,524375.0
2010-04-26,4034.038541515,3956.460877255,4034.038541515,3956.460877255,429623.0
2010-04-27,3956.460877255,3878.883212995,3956.460877255,3956.460877255,267839.0
2010-05-04,4011.36876209,3957.524886089,4038.29070009,4011.36876209,296639.0
2010-05-05,4011.36876209,3930.602948088,4011.36876209,4011.36876209,80927.0
2010-05-07,3957.524886089,3876.759072087,3957.524886089,3957.524886089,282599.0
2010-05-10,3957.524886089,3822.915196086,4038.29070009,4038.29070009,364391.0
2010-05-11,4038.29070009,4038.29070009,4226.744266095,4226.744266095,1216943.0
2010-05-12,4226.744266095,4065.212638091,4226.744266095,4092.134576092,103967.0
2010-05-13,4092.134576092,4092.134576092,4145.978452093,4119.056514092,168623.0
2010-05-14,4119.056514092,4119.056514092,4145.978452093,4119.056514092,301967.0
2010-05-17,4119.056514092,4038.29070009,4199.822328094,4038.29070009,244583.0
2010-05-18,4038.29070009,3930.602948088,4119.056514092,4119.056514092,13463.0
2010-05-20,3984.446824089,3930.602948088,4011.36876209,4011.36876209,226799.0
2010-05-24,3822.915196086,3822.915196086,3876.759072087,3876.759072087,115199.0
2010-05-25,3876.759072087,3769.071320084,3930.602948088,3769.071320084,79271.0
2010-05-27,3957.524886089,3795.993258085,3984.446824089,3984.446824089,144071.0
2010-05-28,3984.446824089,3984.446824089,4038.29070009,3984.446824089,5039.0
2010-05-31,3984.446824089,3984.446824089,3984.446824089,3984.446824089,719.0
