Date,Price Open,Price Low,Price High,Price Close,Volume
2006-12-21,10583.0460727595,10409.55351419,10756.538631329,10409.55351419,2971.0
2006-12-22,10409.55351419,9646.186256482,11068.825236755,9646.186256482,495.0
2007-01-19,8848.120487061,8848.120487061,8848.120487061,8848.120487061,495.0
2007-02-01,9229.804115915,9229.804115915,9229.804115915,9229.804115915,7428.0
2007-03-07,30048.911144294,29840.72007401,30742.881378573,30742.881378573,5942.0
2007-03-09,31159.263519141,30881.675425429,31645.042683136,30881.675425429,3714.0
2007-03-19,25364.612062909,22901.017731217,26544.361461184,25503.406109765,16094.0
2007-03-20,25503.406109765,23941.973082636,27758.809371172,25676.898668334,43331.0
2007-03-21,25676.898668334,25676.898668334,28626.272164021,28626.272164021,3218.0
2007-03-26,27758.809371172,26717.854019753,27758.809371172,26717.854019753,4704.0
2007-03-29,24358.355223204,24288.958199776,24635.943316915,24635.943316915,3218.0
2007-04-02,26787.251043181,26717.854019753,27758.809371172,26717.854019753,5695.0
2007-04-09,26683.155508039,26370.868902614,27064.839136893,26648.456996325,1980.0
2007-04-13,25329.913551195,25329.913551195,25329.913551195,25329.913551195,495.0
2007-05-30,20819.107028379,20819.107028379,20819.107028379,20819.107028379,990.0
2007-06-07,28105.794488312,27758.809371172,28452.779605452,28105.794488312,13123.0
2007-06-11,26023.883785474,25954.486762046,26370.868902614,26370.868902614,3218.0
2007-06-12,26370.868902614,26370.868902614,26544.361461184,26544.361461184,742.0
2007-06-13,26544.361461184,26544.361461184,26717.854019753,26717.854019753,4952.0
2007-06-19,24288.958199776,24288.958199776,24288.958199776,24288.958199776,247.0
2007-06-20,24288.958199776,24288.958199776,24288.958199776,24288.958199776,3714.0
2007-06-21,24288.958199776,24288.958199776,24288.958199776,24288.958199776,5942.0
2007-06-22,24288.958199776,24288.958199776,24635.943316915,24462.450758346,7180.0
2007-06-26,24288.958199776,24288.958199776,24288.958199776,24288.958199776,1733.0
2007-06-27,24288.958199776,24288.958199776,24358.355223204,24358.355223204,5447.0
2007-07-02,24288.958199776,24288.958199776,24288.958199776,24288.958199776,247.0
2007-07-03,24288.958199776,21860.062379798,24288.958199776,24288.958199776,495.0
2007-07-04,24288.958199776,23248.002848357,25329.913551195,25329.913551195,6190.0
2007-07-09,24288.958199776,23941.973082636,24288.958199776,23941.973082636,6190.0
2007-07-11,23941.973082636,23941.973082636,23941.973082636,23941.973082636,495.0
2007-07-13,25642.20015662,24288.958199776,25676.898668334,24288.958199776,2228.0
2007-08-14,24288.958199776,24288.958199776,24288.958199776,24288.958199776,247.0
2007-08-15,24288.958199776,24254.259688062,24288.958199776,24254.259688062,1238.0
2007-08-17,22901.017731217,22554.032614078,22901.017731217,22554.032614078,5447.0
2007-09-21,22330.107373486,21522.995058782,22330.107373486,21522.995058782,6866.0
2007-10-01,21522.995058782,21522.995058782,23675.29456466,23675.29456466,21396.0
2007-10-02,23675.29456466,21522.995058782,24966.674268187,24213.369441129,11017.0
2007-10-03,24213.369441129,24213.369441129,25827.594070538,25289.519194068,9740.0
2007-10-05,26096.631508773,26042.824021126,26903.743823477,26096.631508773,8622.0
2007-10-09,28517.968452886,27710.856138181,29594.118205825,28464.160965239,16925.0
2007-10-10,28464.160965239,26903.743823477,28517.968452886,28517.968452886,2874.0
2007-10-11,28517.968452886,26903.743823477,28787.00589112,27710.856138181,12933.0
2007-10-12,27710.856138181,27710.856138181,30670.267958764,27710.856138181,5907.0
2007-10-19,32607.337514054,29594.118205825,33360.642341112,33360.642341112,15967.0
2007-10-22,33360.642341112,32284.492588172,35674.364309931,34974.86697052,14530.0
2007-10-24,33360.642341112,33360.642341112,34705.829532285,34705.829532285,17564.0
2007-10-25,34705.829532285,34436.792094051,37180.973964045,35512.94184699,35767.0
2007-10-29,38741.391105807,36051.016723459,38741.391105807,36051.016723459,9101.0
2007-10-30,36051.016723459,33844.909729934,37665.241352868,37665.241352868,5269.0
