Date,Price Open,Price Low,Price High,Price Close,Volume
2005-03-21,4066.001760709,4066.001760709,4066.001760709,4066.001760709,83790.0
2005-04-04,3680.801593905,3638.001575371,3680.801593905,3638.001575371,51878.0
2005-04-05,3638.001575371,3616.601566104,3638.001575371,3616.601566104,24256.0
2005-04-07,3573.80154757,3573.80154757,3573.80154757,3573.80154757,188866.0
2005-04-08,3573.80154757,3531.001529036,3595.201556837,3595.201556837,85374.0
2005-04-14,3787.801640239,3745.001621705,3787.801640239,3745.001621705,102040.0
2005-04-20,3787.801640239,3787.801640239,3787.801640239,3787.801640239,123557.0
2005-05-06,3873.401677307,3852.00166804,3894.801686573,3852.00166804,66002.0
2005-05-09,3852.00166804,3830.601658773,3852.00166804,3852.00166804,29107.0
2005-05-10,3852.00166804,3852.00166804,3873.401677307,3852.00166804,80688.0
2005-05-12,3809.201649506,3745.001621705,3809.201649506,3809.201649506,49535.0
2005-05-16,3830.601658773,3809.201649506,3830.601658773,3809.201649506,62768.0
2005-05-18,3766.401630972,3766.401630972,3787.801640239,3787.801640239,106264.0
2005-05-19,3787.801640239,3766.401630972,3787.801640239,3766.401630972,129695.0
2005-05-20,3766.401630972,3745.001621705,3766.401630972,3766.401630972,132665.0
2005-05-23,3766.401630972,3766.401630972,3809.201649506,3766.401630972,34981.0
2005-05-25,3787.801640239,3787.801640239,3809.201649506,3787.801640239,78015.0
2005-05-27,3830.601658773,3830.601658773,3852.00166804,3852.00166804,138077.0
2005-06-01,3916.20169584,3916.20169584,3916.20169584,3916.20169584,81117.0
2005-06-06,4023.201742175,4023.201742175,4044.601751442,4044.601751442,244243.0
2005-06-08,4066.001760709,4066.001760709,4066.001760709,4066.001760709,84087.0
2005-06-13,4001.801732908,3980.401723641,4001.801732908,3980.401723641,61877.0
2005-06-14,3980.401723641,3980.401723641,4001.801732908,4001.801732908,78873.0
2005-06-16,4023.201742175,4023.201742175,4023.201742175,4023.201742175,52637.0
2005-06-17,4023.201742175,4023.201742175,4023.201742175,4023.201742175,115603.0
2005-06-20,4023.201742175,4023.201742175,4023.201742175,4023.201742175,73758.0
2005-06-21,4023.201742175,4001.801732908,4023.201742175,4023.201742175,83031.0
2005-06-23,4066.001760709,4066.001760709,4108.801779242,4108.801779242,135668.0
2005-06-27,4194.40181631,4108.801779242,4194.40181631,4108.801779242,163950.0
2005-06-28,4108.801779242,4087.401769975,4108.801779242,4108.801779242,183949.0
2005-06-29,4108.801779242,4066.001760709,4108.801779242,4108.801779242,188107.0
2005-06-30,4108.801779242,4108.801779242,4130.201788509,4108.801779242,61382.0
2005-07-04,4151.601797776,4151.601797776,4173.001807043,4173.001807043,73263.0
2005-07-05,4173.001807043,4173.001807043,4237.201834844,4237.201834844,102304.0
2005-07-12,4643.802010914,4601.001992381,4643.802010914,4601.001992381,195632.0
2005-07-13,4601.001992381,4536.80196458,4622.402001648,4536.80196458,127220.0
2005-07-14,4536.80196458,4536.80196458,4601.001992381,4536.80196458,129068.0
2005-07-15,4536.80196458,4536.80196458,4558.201973847,4558.201973847,55244.0
2005-07-18,4558.201973847,4558.201973847,4579.601983114,4558.201973847,59072.0
2005-07-20,4515.401955313,4472.601936779,4515.401955313,4472.601936779,92766.0
2005-07-21,4472.601936779,4408.401908979,4472.601936779,4408.401908979,110653.0
2005-07-22,4408.401908979,4301.401862644,4494.001946046,4494.001946046,292194.0
2005-07-25,4494.001946046,4429.801918246,4536.80196458,4429.801918246,56003.0
2005-08-05,4601.001992381,4494.001946046,4601.001992381,4494.001946046,117748.0
2005-08-08,4494.001946046,4429.801918246,4494.001946046,4429.801918246,24883.0
2005-08-11,4494.001946046,4494.001946046,4515.401955313,4494.001946046,17127.0
2005-08-15,4536.80196458,4536.80196458,4558.201973847,4536.80196458,109795.0
2005-08-19,4515.401955313,4494.001946046,4515.401955313,4515.401955313,94845.0
2005-08-22,4515.401955313,4515.401955313,4536.80196458,4515.401955313,103558.0
2005-08-24,4472.601936779,4472.601936779,4494.001946046,4494.001946046,130553.0
2005-08-29,4536.80196458,4515.401955313,4536.80196458,4515.401955313,81315.0
2005-09-01,4579.601983114,4579.601983114,4601.001992381,4579.601983114,39667.0
2005-09-05,4579.601983114,4579.601983114,4601.001992381,4601.001992381,164148.0
2005-09-13,4879.20211285,4836.402094316,4879.20211285,4879.20211285,172993.0
2005-09-14,4879.20211285,4836.402094316,4879.20211285,4836.402094316,74319.0
2005-09-15,4836.402094316,4836.402094316,4857.802103583,4836.402094316,118771.0
2005-09-16,4836.402094316,4836.402094316,4857.802103583,4836.402094316,154182.0
2005-09-21,5264.402279654,5007.602168452,5371.402325989,5007.602168452,334303.0
2005-09-23,5178.802242587,5093.202205519,5178.802242587,5093.202205519,153654.0
2005-09-26,5093.202205519,5093.202205519,5114.602214786,5114.602214786,98113.0
2005-09-27,5114.602214786,5114.602214786,5114.602214786,5114.602214786,65573.0
2005-09-29,5050.402186985,5007.602168452,5050.402186985,5007.602168452,121049.0
2005-10-03,5243.002270387,5136.002224053,5243.002270387,5136.002224053,184774.0
2005-10-04,5136.002224053,5114.602214786,5136.002224053,5114.602214786,51548.0
2005-10-06,5136.002224053,5136.002224053,5136.002224053,5136.002224053,232263.0
2005-10-10,5157.40223332,5157.40223332,5157.40223332,5157.40223332,51614.0
2005-10-11,5157.40223332,5114.602214786,5157.40223332,5114.602214786,93063.0
2005-10-12,5114.602214786,5114.602214786,5136.002224053,5136.002224053,35344.0
2005-10-18,5414.202344522,5243.002270387,5457.002363056,5243.002270387,104317.0
2005-10-19,5243.002270387,5221.60226112,5285.802288921,5285.802288921,137582.0
2005-10-20,5285.802288921,5243.002270387,5285.802288921,5243.002270387,167778.0
2005-10-21,5243.002270387,5221.60226112,5264.402279654,5221.60226112,179197.0
2005-11-01,5114.602214786,5114.602214786,5114.602214786,5114.602214786,22275.0
2005-11-04,5114.602214786,5093.202205519,5114.602214786,5093.202205519,95373.0
2005-11-08,5071.802196252,5071.802196252,5071.802196252,5071.802196252,25576.0
2005-11-14,5136.002224053,5136.002224053,5157.40223332,5157.40223332,77817.0
2005-11-15,5157.40223332,5157.40223332,5200.202251854,5200.202251854,162135.0
2005-11-18,5157.40223332,5157.40223332,5157.40223332,5157.40223332,75177.0
2005-11-21,5157.40223332,5114.602214786,5178.802242587,5114.602214786,32704.0
2005-11-22,5114.602214786,5071.802196252,5114.602214786,5071.802196252,104812.0
2005-11-24,5029.002177718,4986.202159185,5029.002177718,4986.202159185,50228.0
2005-11-25,4986.202159185,4986.202159185,5093.202205519,5093.202205519,79665.0
2005-11-28,5093.202205519,5093.202205519,5114.602214786,5093.202205519,39502.0
2005-12-01,5114.602214786,5093.202205519,5114.602214786,5093.202205519,73065.0
2005-12-02,5093.202205519,5093.202205519,5114.602214786,5114.602214786,41746.0
2005-12-05,5114.602214786,5114.602214786,5114.602214786,5114.602214786,38578.0
2005-12-07,5071.802196252,5029.002177718,5136.002224053,5029.002177718,33133.0
2005-12-09,5071.802196252,5071.802196252,5093.202205519,5093.202205519,8943.0
2005-12-12,5093.202205519,5093.202205519,5093.202205519,5093.202205519,16104.0
2005-12-16,5007.602168452,5007.602168452,5029.002177718,5029.002177718,25444.0
2005-12-22,5007.602168452,4986.202159185,5029.002177718,4986.202159185,14520.0
2005-12-23,4986.202159185,4964.802149918,4986.202159185,4964.802149918,29899.0
2005-12-26,4964.802149918,4964.802149918,4964.802149918,4964.802149918,46366.0
2005-12-28,4922.002131384,4900.602122117,4922.002131384,4900.602122117,16929.0
2005-12-30,4986.202159185,4986.202159185,5029.002177718,4986.202159185,25246.0
2006-01-03,4986.202159185,4986.202159185,4986.202159185,4986.202159185,9735.0
2006-01-05,5050.402186985,5029.002177718,5071.802196252,5029.002177718,47257.0
2006-01-06,5029.002177718,5029.002177718,5029.002177718,5029.002177718,43759.0
