Date,Price Open,Price Low,Price High,Price Close,Volume
2009-08-06,6532.8233581655,5938.930325605,7126.716390726,6414.044751654,581600.0
2009-08-07,6414.044751654,6414.044751654,6675.35768598,6675.35768598,315900.0
2009-08-14,7340.517882448,7316.762161145,7815.632308496,7815.632308496,612300.0
2009-08-18,8100.700964125,8053.189521521,8647.082554081,8647.082554081,558900.0
2009-08-19,8647.082554081,8552.059668871,9050.929816222,9027.17409492,866400.0
2009-08-20,9027.17409492,8409.525341057,9383.509914456,8932.15120971,745900.0
2009-08-21,8932.15120971,8314.502455847,9027.17409492,8670.838275383,351400.0
2009-08-24,8670.838275383,8266.991013242,8742.105439291,8266.991013242,226300.0
2009-08-25,8266.991013242,8195.723849335,8884.639767105,8884.639767105,467000.0
2009-08-26,8884.639767105,8670.838275383,9217.219865339,9217.219865339,603100.0
2009-08-27,9217.219865339,9074.685537525,9834.868619202,9264.731307944,202300.0
2009-08-28,9264.731307944,9050.929816222,9383.509914456,9193.464144037,177300.0
2009-08-31,9193.464144037,9145.952701432,9407.265635758,9383.509914456,675900.0
2009-09-01,9383.509914456,9027.17409492,9383.509914456,9264.731307944,232500.0
2009-09-04,9074.685537525,8670.838275383,9074.685537525,8860.884045803,227500.0
2009-09-07,8860.884045803,8433.281062359,9478.532799666,8955.906931012,115600.0
2009-09-08,8955.906931012,8789.616881896,9027.17409492,8955.906931012,40000.0
2009-09-09,8955.906931012,8884.639767105,9573.555684875,8908.395488408,87700.0
2009-09-10,8908.395488408,8694.593996686,8955.906931012,8765.861160593,53900.0
2009-09-11,8765.861160593,8742.105439291,8837.1283245,8813.372603198,133700.0
2009-09-14,8813.372603198,8789.616881896,8908.395488408,8860.884045803,101900.0
2009-09-16,8789.616881896,8742.105439291,8908.395488408,8837.1283245,128100.0
2009-09-17,8837.1283245,8742.105439291,8908.395488408,8813.372603198,39700.0
2009-09-18,8813.372603198,8789.616881896,8908.395488408,8789.616881896,146800.0
2009-09-21,8789.616881896,8718.349717988,9217.219865339,8979.662652315,206800.0
2009-09-22,8979.662652315,8932.15120971,9027.17409492,8979.662652315,74700.0
2009-09-23,8979.662652315,8813.372603198,9217.219865339,8884.639767105,114700.0
2009-09-28,9003.418373617,9003.418373617,9145.952701432,9050.929816222,125500.0
2009-09-29,9050.929816222,8813.372603198,9050.929816222,8908.395488408,112700.0
2009-09-30,8908.395488408,8670.838275383,8955.906931012,8932.15120971,143300.0
2009-10-05,8552.059668871,8433.281062359,8552.059668871,8433.281062359,47100.0
2009-10-06,8433.281062359,8314.502455847,8623.326832779,8433.281062359,61300.0
2009-10-07,8433.281062359,8433.281062359,8789.616881896,8504.548226267,96200.0
2009-10-08,8504.548226267,8385.769619754,8742.105439291,8480.792504964,121000.0
2009-10-16,10602.719820774,10093.206968975,10796.819954793,10093.206968975,468100.0
2009-10-20,9607.956633928,9583.694117176,10190.257035984,9947.631868461,425900.0
2009-10-21,9947.631868461,9486.644050166,9947.631868461,9632.21915068,246800.0
2009-10-26,8783.031064348,8491.88086332,8977.131198367,8710.243514091,277100.0
2009-10-28,8297.780729301,7715.480327245,8419.093313063,7909.580461264,182800.0
2009-10-30,7424.330126217,7375.805092712,7764.00536075,7497.117676474,131600.0
2009-11-04,6526.61700638,6114.154221591,6987.604824675,6817.767207408,487900.0
2009-11-09,7303.017542455,6769.242173904,7424.330126217,6769.242173904,147700.0
2009-11-10,6769.242173904,6356.779389114,7036.12985818,6356.779389114,214600.0
2009-11-11,6356.779389114,6308.254355609,7084.654891684,6914.817274418,201100.0
2009-11-16,7036.12985818,6744.979657151,7157.442441941,6793.504690656,63000.0
2009-11-17,6793.504690656,6793.504690656,7036.12985818,6793.504690656,41400.0
2009-11-18,6793.504690656,6672.192106894,6963.342307923,6914.817274418,106800.0
2009-11-19,6914.817274418,6793.504690656,6987.604824675,6939.07979117,59700.0
2009-11-23,6720.717140399,6405.304422619,6744.979657151,6478.091972876,54400.0
2009-11-24,6478.091972876,6356.779389114,6575.142039885,6405.304422619,36500.0
2009-11-25,6405.304422619,6017.104154581,6429.566939371,6017.104154581,107400.0
2009-11-26,6017.104154581,5653.166403296,6017.104154581,5653.166403296,80500.0
2009-11-27,5653.166403296,5264.966135259,6041.366671333,5337.753685516,204400.0
2009-12-02,6138.416738343,5725.953953553,6186.941771848,5725.953953553,45400.0
2009-12-03,5725.953953553,5604.641369791,5920.054087572,5677.428920048,76000.0
2009-12-04,5677.428920048,5604.641369791,5798.74150381,5798.74150381,20400.0
2009-12-07,5798.74150381,5750.216470305,5992.841637829,5944.316604324,40500.0
2009-12-10,5386.27871902,5167.916068249,5580.378853039,5362.016202268,34000.0
2009-12-15,5531.853819534,5386.27871902,5823.004020562,5434.803752525,43100.0
2009-12-16,5434.803752525,5240.703618506,5459.066269277,5264.966135259,87400.0
2009-12-17,5264.966135259,5046.603484487,5337.753685516,5337.753685516,36000.0
2009-12-22,5895.791570819,5774.478987058,5895.791570819,5774.478987058,67800.0
2009-12-23,5774.478987058,5459.066269277,5871.529054067,5871.529054067,56900.0
2009-12-24,5871.529054067,5483.32878603,6017.104154581,5895.791570819,51300.0
2009-12-28,6186.941771848,5871.529054067,6308.254355609,6017.104154581,28500.0
2009-12-29,6017.104154581,5823.004020562,6429.566939371,5823.004020562,51500.0
2009-12-30,5823.004020562,5774.478987058,5944.316604324,5944.316604324,114500.0
2009-12-31,5944.316604324,5920.054087572,6308.254355609,6186.941771848,180100.0
2010-01-06,6672.192106894,6429.566939371,6793.504690656,6478.091972876,83400.0
2010-01-07,6478.091972876,6235.466805352,6672.192106894,6235.466805352,62900.0
2010-01-08,6235.466805352,6017.104154581,6550.879523133,6041.366671333,144300.0
2010-01-11,6041.366671333,6017.104154581,6308.254355609,6065.629188086,53200.0
2010-01-12,6065.629188086,5895.791570819,6308.254355609,5944.316604324,49900.0
2010-01-13,5944.316604324,5798.74150381,6308.254355609,6162.679255095,46200.0
2010-01-14,6162.679255095,6065.629188086,6381.041905866,6308.254355609,47700.0
2010-01-15,6308.254355609,6114.154221591,6308.254355609,6138.416738343,41800.0
2010-01-18,6138.416738343,5823.004020562,6162.679255095,5847.266537315,53200.0
2010-01-19,5847.266537315,5823.004020562,6041.366671333,5992.841637829,20700.0
2010-01-20,5992.841637829,5895.791570819,6235.466805352,6065.629188086,78000.0
2010-01-21,6065.629188086,5823.004020562,6065.629188086,5992.841637829,47300.0
