Date,Price Open,Price Low,Price High,Price Close,Volume
2017-09-08,14556.560592191,13586.123219378,14880.039716462,14556.560592191,170171.0
2017-09-11,13747.862781514,12939.164970837,13747.862781514,12939.164970837,32620.0
2017-09-12,12939.164970837,11321.769349482,12939.164970837,12130.467160159,47300.0
2017-09-13,11483.508911617,11483.508911617,11823.161992102,11806.988035888,326207.0
2017-09-14,11483.508911617,11483.508911617,11806.988035888,11806.988035888,155492.0
2017-09-15,11645.248473753,11612.900561326,12292.206722295,12292.206722295,104386.0
2017-09-18,12130.467160159,12130.467160159,12453.94628443,12453.94628443,92425.0
2017-09-19,12162.815072586,12162.815072586,12939.164970837,12777.425408701,171802.0
2017-09-20,12567.163977925,10998.290225211,13020.034751904,12939.164970837,300655.0
2017-09-21,13020.034751904,13003.860795691,13181.77431404,13036.208708118,55455.0
2017-09-22,12987.686839477,12987.686839477,13117.078489186,13003.860795691,68503.0
2017-09-25,12955.33892705,12955.33892705,13246.470138894,13246.470138894,82639.0
2017-09-26,13149.426401613,13149.426401613,13311.165963748,13311.165963748,114716.0
2017-09-27,13424.383657243,13424.383657243,13666.993000446,13586.123219378,44038.0
2017-09-28,13666.993000446,13666.993000446,14071.341905785,14071.341905785,50562.0
2017-09-29,14152.211686852,13990.472124717,14233.08146792,14055.167949571,47843.0
2017-10-02,13747.862781514,13440.557613456,14071.341905785,13440.557613456,45125.0
2017-10-03,13828.732562582,13197.948270253,13828.732562582,13586.123219378,8155.0
2017-10-04,13262.644095107,13262.644095107,13278.818051321,13278.818051321,88076.0
2017-10-05,13343.513876175,13343.513876175,13828.732562582,13828.732562582,236500.0
2017-10-06,13489.079482097,13456.73156967,13586.123219378,13586.123219378,8155.0
2017-10-09,13489.079482097,13489.079482097,13505.253438311,13505.253438311,5980.0
2017-10-10,13262.644095107,13262.644095107,13747.862781514,13731.6888253,380032.0
2017-10-11,13747.862781514,13456.73156967,13747.862781514,13456.73156967,7611.0
2017-10-12,13731.6888253,13521.427394524,13731.6888253,13521.427394524,12504.0
2017-10-13,13731.6888253,13586.123219378,13731.6888253,13586.123219378,182676.0
2017-10-16,13505.253438311,13505.253438311,13505.253438311,13505.253438311,5980.0
2017-10-17,13424.383657243,13424.383657243,13424.383657243,13424.383657243,543.0
2017-10-18,13440.557613456,13424.383657243,13440.557613456,13424.383657243,35339.0
2017-10-19,13424.383657243,13424.383657243,13424.383657243,13424.383657243,7067.0
2017-10-20,13424.383657243,13424.383657243,13424.383657243,13424.383657243,7067.0
2017-10-23,13424.383657243,13343.513876175,13424.383657243,13343.513876175,13048.0
2017-10-24,13262.644095107,13262.644095107,13424.383657243,13424.383657243,21747.0
2017-10-30,13133.252445399,13100.904532972,13424.383657243,13424.383657243,8155.0
2017-10-31,12939.164970837,12631.859802779,12939.164970837,12631.859802779,22290.0
2017-11-01,12696.555627633,12696.555627633,12696.555627633,12696.555627633,6524.0
2017-11-02,12696.555627633,12615.685846566,12696.555627633,12615.685846566,11960.0
2017-11-07,12939.164970837,12939.164970837,12939.164970837,12939.164970837,10873.0
2017-11-09,12939.164970837,12939.164970837,12939.164970837,12939.164970837,127221.0
2017-11-13,13262.644095107,13262.644095107,13586.123219378,13586.123219378,65785.0
2017-11-14,13278.818051321,13262.644095107,13278.818051321,13262.644095107,5436.0
2017-11-15,12453.94628443,12453.94628443,13294.992007535,13278.818051321,11960.0
2017-11-16,13343.513876175,13343.513876175,13343.513876175,13343.513876175,2174.0
2017-11-17,13505.253438311,13505.253438311,13505.253438311,13505.253438311,1087.0
2017-11-20,13505.253438311,13505.253438311,13521.427394524,13521.427394524,3805.0
2017-11-21,13505.253438311,13505.253438311,13521.427394524,13521.427394524,17397.0
2017-11-22,13521.427394524,13521.427394524,13521.427394524,13521.427394524,21203.0
2017-11-23,13521.427394524,13521.427394524,13521.427394524,13521.427394524,52193.0
2017-11-24,13521.427394524,13521.427394524,13521.427394524,13521.427394524,5436.0
2017-11-27,13521.427394524,13521.427394524,13521.427394524,13521.427394524,4349.0
2017-11-28,12777.425408701,12777.425408701,12777.425408701,12777.425408701,54367.0
2017-11-29,13747.862781514,13747.862781514,14233.08146792,14233.08146792,2718.0
2017-11-30,13812.558606368,13812.558606368,13812.558606368,13812.558606368,19028.0
2017-12-01,13262.644095107,13262.644095107,13262.644095107,13262.644095107,2174.0
2017-12-04,14233.08146792,14071.341905785,15252.040709374,14071.341905785,111454.0
2017-12-05,14556.560592191,14556.560592191,14718.300154327,14556.560592191,51649.0
2017-12-06,14718.300154327,14556.560592191,14718.300154327,14637.430373259,51105.0
2017-12-07,13909.602343649,13909.602343649,14960.90949753,14960.90949753,377857.0
2017-12-08,14233.08146792,13747.862781514,15349.084446655,14588.908504618,75571.0
2017-12-11,16869.436330728,14087.515861998,16869.436330728,14087.515861998,85901.0
2017-12-12,13764.036737727,13100.904532972,13909.602343649,13909.602343649,79377.0
2017-12-13,13844.906518795,13424.383657243,14136.037730639,14071.341905785,30310701.0
2017-12-14,14556.560592191,13941.950256076,14718.300154327,14038.993993358,132114.0
2017-12-15,13780.210693941,13747.862781514,14249.255424134,13828.732562582,51649.0
2017-12-18,13747.862781514,13100.904532972,13747.862781514,13424.383657243,427332.0
2017-12-19,13262.644095107,13117.078489186,13278.818051321,13262.644095107,111454.0
2017-12-20,13181.77431404,13181.77431404,13731.6888253,13424.383657243,154405.0
2017-12-21,13569.949263165,13569.949263165,13909.602343649,13893.428387436,57086.0
2017-12-22,13780.210693941,13262.644095107,13780.210693941,13634.645088019,38601.0
2017-12-25,13440.557613456,13424.383657243,13440.557613456,13424.383657243,2718.0
2017-12-26,13424.383657243,13424.383657243,13909.602343649,13893.428387436,132114.0
2017-12-27,13909.602343649,13586.123219378,13909.602343649,13747.862781514,42950.0
2017-12-28,13747.862781514,13586.123219378,13747.862781514,13586.123219378,25009.0
2017-12-29,13747.862781514,13731.6888253,13796.384650154,13796.384650154,114172.0
2018-01-02,14022.820037144,13440.557613456,14022.820037144,13747.862781514,806821.0
2018-01-03,13505.253438311,13505.253438311,13505.253438311,13505.253438311,543.0
2018-01-04,13424.383657243,13100.904532972,13424.383657243,13100.904532972,46212.0
2018-01-05,13100.904532972,12615.685846566,13100.904532972,12777.425408701,119065.0
2018-01-08,12793.599364915,12777.425408701,13828.732562582,13828.732562582,21747.0
2018-01-09,12858.295189769,12858.295189769,12858.295189769,12858.295189769,543.0
2018-01-10,13764.036737727,13731.6888253,14556.560592191,13731.6888253,38057.0
2018-01-12,13666.993000446,13650.819044233,13666.993000446,13650.819044233,1631.0
2018-01-15,13133.252445399,12939.164970837,13586.123219378,13586.123219378,202248.0
2018-01-16,13424.383657243,13424.383657243,13424.383657243,13424.383657243,40232.0
2018-01-17,14313.951248988,14313.951248988,14313.951248988,14313.951248988,5980.0
2018-01-18,12874.469145982,12874.469145982,12874.469145982,12874.469145982,543.0
2018-01-19,13586.123219378,13569.949263165,13586.123219378,13586.123219378,67416.0
2018-01-24,12939.164970837,12939.164970837,12939.164970837,12939.164970837,0.0
2018-01-26,12939.164970837,12421.598372003,12939.164970837,12421.598372003,1631.0
2018-01-29,13489.079482097,13489.079482097,13489.079482097,13489.079482097,10873.0
2018-01-30,13472.905525884,13262.644095107,13472.905525884,13262.644095107,38057.0
2018-01-31,13424.383657243,13343.513876175,13424.383657243,13343.513876175,104386.0
2018-02-02,13489.079482097,13489.079482097,13489.079482097,13489.079482097,3262.0
2018-02-05,12453.94628443,12453.94628443,13262.644095107,13262.644095107,19028.0
2018-02-06,13262.644095107,13262.644095107,13262.644095107,13262.644095107,0.0
