Date,Price Open,Price Low,Price High,Price Close,Volume
2010-02-02,4506.227390336,4506.227390336,4506.227390336,4506.227390336,11.0
2010-03-15,2599.746571347,2599.746571347,2842.389584673,2599.746571347,1335.0
2010-03-19,2946.379447527,2773.063009437,3223.685748471,2773.063009437,1780.0
2010-04-13,2807.726297055,2565.083283729,3085.032597999,2565.083283729,22.0
2010-04-21,3154.359173235,3154.359173235,3466.328761797,3466.328761797,9236.0
2010-05-05,3639.645199886,3639.645199886,3916.95150083,3639.645199886,1123.0
2010-05-07,3986.278076066,3812.961637976,4228.921089392,4228.921089392,8179.0
2010-05-11,4436.9008151,4436.9008151,4575.553965572,4471.564102718,36744.0
2010-05-13,4055.604651302,3708.971775122,4055.604651302,4055.604651302,2225.0
2010-05-14,4055.604651302,3812.961637976,4263.58437701,3812.961637976,2514.0
2010-05-17,3812.961637976,3812.961637976,3847.624925594,3812.961637976,7789.0
2010-05-19,3847.624925594,3812.961637976,3882.288213212,3847.624925594,11918.0
2010-05-20,3847.624925594,3847.624925594,3882.288213212,3882.288213212,2058.0
2010-06-09,3639.645199886,3639.645199886,3812.961637976,3639.645199886,1335.0
2010-06-10,3639.645199886,3639.645199886,3639.645199886,3639.645199886,2225.0
2010-06-11,3639.645199886,3639.645199886,3674.308487504,3674.308487504,2336.0
2010-07-01,3812.961637976,3812.961637976,3812.961637976,3812.961637976,2225.0
2010-07-02,3812.961637976,3812.961637976,4194.257801774,4194.257801774,38246.0
2010-07-05,4194.257801774,4090.26793892,4436.9008151,4436.9008151,44634.0
2010-07-08,4852.860266515,4436.9008151,4852.860266515,4506.227390336,12685.0
2010-07-12,4679.543828425,4402.237527482,5130.166567459,4402.237527482,6888.0
2010-07-13,4402.237527482,4332.910952246,5234.156430313,4852.860266515,176156.0
2010-07-14,4852.860266515,4783.533691279,5615.452594111,5095.503279841,125857.0
2010-07-15,5095.503279841,4956.850129369,5996.748757908,5372.809580785,49297.0
2010-07-19,5164.829855077,4714.207116043,5303.483005549,4748.870403661,16803.0
2010-07-21,4471.564102718,4228.921089392,4471.564102718,4298.247664628,6788.0
2010-07-28,4159.594514156,4020.941363684,4159.594514156,4090.26793892,3560.0
2010-07-29,4090.26793892,3882.288213212,4436.9008151,4090.26793892,11128.0
2010-08-02,4159.594514156,3986.278076066,4540.890677954,3986.278076066,13576.0
2010-08-04,4159.594514156,3812.961637976,4471.564102718,3986.278076066,3672.0
2010-08-05,3986.278076066,3882.288213212,4159.594514156,4159.594514156,6120.0
2010-08-10,3708.971775122,3639.645199886,3812.961637976,3639.645199886,10349.0
2010-08-11,3639.645199886,3639.645199886,3708.971775122,3708.971775122,12685.0
2010-08-18,3639.645199886,3639.645199886,3743.63506274,3743.63506274,2782.0
2010-08-25,3293.012323707,2981.042735145,3500.992049415,3500.992049415,890.0
2010-08-26,3500.992049415,3293.012323707,3570.318624651,3570.318624651,6676.0
2010-08-27,3570.318624651,3362.338898943,3674.308487504,3362.338898943,1224.0
2010-08-31,3639.645199886,3639.645199886,3812.961637976,3674.308487504,2559.0
