Date,Price Open,Price Low,Price High,Price Close,Volume
2010-05-04,24115.351191312497,21923.046537557,26307.655845068,26307.655845068,9714207.0
2010-05-05,26307.655845068,25942.271736109,27038.424062987,26673.039954028,2260452.0
2010-05-06,26673.039954028,26673.039954028,27038.424062987,26965.347241195,2013144.0
2010-05-10,25869.194914317,24626.888943856,25942.271736109,25942.271736109,3050053.0
2010-05-11,25942.271736109,25576.88762715,26307.655845068,25576.88762715,1776684.0
2010-05-13,24334.581656688,23165.352508019,24480.735300272,23457.659795186,2502937.0
2010-05-14,23457.659795186,23311.506151602,23969.197547729,23530.736616978,1054560.0
2010-05-17,23530.736616978,23019.198864435,23530.736616978,23530.736616978,1744980.0
2010-05-18,23530.736616978,23530.736616978,23896.120725937,23823.043904145,1594464.0
2010-05-19,23823.043904145,23092.275686227,23896.120725937,23384.582973394,1081704.0
2010-05-20,23384.582973394,22507.661111892,24115.351191313,24115.351191313,982008.0
2010-05-24,22946.122042643,21923.046537557,22946.122042643,22215.353824724,896316.0
2010-05-25,22215.353824724,21703.816072181,22434.5842901,21923.046537557,1243068.0
2010-05-26,21923.046537557,21923.046537557,23019.198864435,23019.198864435,1446108.0
2010-05-27,23019.198864435,22653.814755476,23749.967082353,23384.582973394,1376352.0
2010-06-01,23603.81343877,22946.122042643,23749.967082353,23530.736616978,1511892.0
2010-06-02,23530.736616978,23238.42932981,23749.967082353,23603.81343877,1758468.0
2010-06-07,25942.271736109,24846.119409231,26307.655845068,25576.88762715,1519200.0
2010-06-08,25576.88762715,24846.119409231,25942.271736109,25211.503518191,1039776.0
2010-06-09,25211.503518191,24773.042587439,25430.733983566,25430.733983566,3527341.0
2010-06-10,25430.733983566,24919.196231023,25430.733983566,25430.733983566,1101240.0
2010-06-11,25430.733983566,25430.733983566,26599.963132236,26526.886310444,3136729.0
2010-06-18,29011.498251367,27915.345924489,29961.496934661,28865.344607783,2541973.0
2010-06-21,28865.344607783,28646.114142408,29596.112825702,29084.575073159,1577400.0
2010-06-22,29084.575073159,27842.269102697,29230.728716743,28353.80685524,1973388.0
2010-06-23,28353.80685524,27403.808171946,29230.728716743,29230.728716743,2206884.0
2010-06-24,29230.728716743,28134.576389865,29449.959182118,28134.576389865,663120.0
2010-06-28,27403.808171946,27403.808171946,28207.653211657,28207.653211657,1768080.0
