Date,Price Open,Price Low,Price High,Price Close,Volume
2006-12-12,3317.376979213,3317.376979213,3317.376979213,3317.376979213,272484.0
2006-12-14,3483.245828173,3483.245828173,3657.408119582,3657.408119582,54389.0
2006-12-21,4436.991709697,4312.590072976,4644.327770898,4312.590072976,449807.0
2006-12-22,4312.590072976,4096.960569327,4312.590072976,4096.960569327,47196.0
2006-12-25,4096.960569327,3897.917950575,4096.960569327,3897.917950575,21847.0
2006-12-26,3897.917950575,3707.16877427,4088.667126879,4088.667126879,320796.0
2006-12-28,4188.188436256,4146.721224016,4188.188436256,4146.721224016,140011.0
2006-12-29,4146.721224016,3980.852375055,4146.721224016,4146.721224016,138934.0
2007-01-03,3980.852375055,3939.385162815,3980.852375055,3980.852375055,78198.0
2007-01-04,3980.852375055,3980.852375055,4146.721224016,4146.721224016,481348.0
2007-01-05,4146.721224016,4146.721224016,4146.721224016,4146.721224016,527698.0
2007-01-08,4146.721224016,4105.254011775,4188.188436256,4105.254011775,265253.0
2007-01-09,4105.254011775,4063.786799535,4130.13433912,4130.13433912,218787.0
2007-01-12,3939.385162815,3939.385162815,4022.319587295,4022.319587295,249636.0
2007-01-16,4063.786799535,3980.852375055,4063.786799535,3980.852375055,90546.0
2007-01-22,3897.917950575,3814.983526094,3897.917950575,3814.983526094,135203.0
2007-01-24,3955.972047711,3939.385162815,3955.972047711,3939.385162815,139857.0
2007-01-25,3939.385162815,3897.917950575,3939.385162815,3897.917950575,52889.0
2007-01-26,3897.917950575,3814.983526094,3897.917950575,3814.983526094,86161.0
2007-01-29,3814.983526094,3814.983526094,3897.917950575,3897.917950575,131703.0
2007-02-01,4271.122860736,4271.122860736,4312.590072976,4271.122860736,187515.0
2007-02-02,4271.122860736,4271.122860736,4271.122860736,4271.122860736,223403.0
2007-02-08,4893.131044338,4685.794983138,4893.131044338,4685.794983138,221480.0
2007-02-09,4685.794983138,4478.458921937,4685.794983138,4478.458921937,23271.0
2007-02-13,4354.057285216,4354.057285216,4395.524497457,4395.524497457,30233.0
2007-02-14,4395.524497457,4395.524497457,4395.524497457,4395.524497457,76891.0
