Date,Price Open,Price Low,Price High,Price Close,Volume
2007-09-12,7273.832084324,7273.832084324,7273.832084324,7273.832084324,424957.0
2007-09-14,6960.30483931,6646.777594296,7023.010288313,7023.010288313,1352214.0
2007-09-17,7023.010288313,7023.010288313,7336.537533327,7336.537533327,589228.0
2007-10-12,12415.678902553,12290.268004548,12415.678902553,12290.268004548,978705.0
2007-10-17,11851.329861528,11851.329861528,12039.446208537,12039.446208537,520199.0
2007-10-18,12039.446208537,12039.446208537,12039.446208537,12039.446208537,634660.0
2007-10-19,12039.446208537,11976.740759534,12039.446208537,11976.740759534,472223.0
2007-10-23,11914.035310531,11851.329861528,11914.035310531,11914.035310531,606271.0
2007-10-25,12415.678902553,12039.446208537,12415.678902553,12039.446208537,716991.0
2007-10-26,12039.446208537,11976.740759534,12039.446208537,12039.446208537,1108180.0
2007-11-08,13665.736534018,13340.361854637,13665.736534018,13340.361854637,208467.0
2007-11-09,13340.361854637,13340.361854637,13340.361854637,13340.361854637,284030.0
2007-11-12,13340.361854637,13231.903628176,13340.361854637,13231.903628176,252971.0
2007-11-19,13014.987175255,12798.070722334,13014.987175255,12798.070722334,119416.0
2007-11-20,12798.070722334,12689.612495874,12798.070722334,12689.612495874,80129.0
2007-11-22,12581.154269413,12581.154269413,12689.612495874,12689.612495874,111740.0
2007-11-23,12689.612495874,12581.154269413,12689.612495874,12581.154269413,100105.0
2007-11-27,12364.237816493,12364.237816493,12798.070722334,12364.237816493,143902.0
2007-11-30,12364.237816493,12147.321363572,12364.237816493,12147.321363572,62005.0
2007-12-03,12147.321363572,12038.863137111,12255.779590032,12147.321363572,107230.0
2007-12-04,12147.321363572,12147.321363572,12255.779590032,12147.321363572,92782.0
2007-12-05,12147.321363572,12038.863137111,12147.321363572,12038.863137111,60139.0
2007-12-12,10954.280872507,10845.822646046,11062.739098967,11062.739098967,92414.0
2007-12-13,11062.739098967,10845.822646046,11062.739098967,10845.822646046,52350.0
2007-12-14,10845.822646046,10802.439355462,10845.822646046,10802.439355462,38311.0
2007-12-17,10802.439355462,10628.906193125,10954.280872507,10628.906193125,72368.0
2007-12-18,10628.906193125,10628.906193125,11062.739098967,11062.739098967,131801.0
2007-12-21,11713.48845773,11713.48845773,12038.863137111,12038.863137111,153855.0
2007-12-24,12038.863137111,12038.863137111,12255.779590032,12147.321363572,173859.0
2007-12-25,12147.321363572,12147.321363572,12255.779590032,12255.779590032,169363.0
2007-12-26,12255.779590032,12255.779590032,12255.779590032,12255.779590032,125114.0
