Date,Price Open,Price Low,Price High,Price Close,Volume
2009-11-26,7957.192367154001,7359.849844689,8554.534889619,7669.583004486,2552843.0
2009-11-27,7669.583004486,7330.351448518,8038.312956625,8038.312956625,517945.0
2009-12-02,8775.772860902,8554.534889619,9144.502813041,9144.502813041,2280532.0
2009-12-03,9144.502813041,8849.51885133,9439.486774752,9070.756822613,613890.0
2009-12-04,9070.756822613,8849.51885133,9144.502813041,8849.51885133,728106.0
2009-12-07,8849.51885133,8775.772860902,8923.264841758,8849.51885133,183654.0
2009-12-09,8407.042908763,8024.906929247,8407.045354449,8101.334614287,840500.0
2009-12-10,8101.334614287,7719.196189085,8330.617669409,7795.623874126,650334.0
2009-12-11,7795.623874126,7413.485448923,7795.623874126,7413.485448923,983969.0
2009-12-16,8101.334614287,7719.196189085,8101.334614287,7719.196189085,789745.0
2009-12-17,7719.196189085,7489.913133964,8101.334614287,8024.906929247,547634.0
2009-12-18,8024.906929247,8024.906929247,8407.045354449,8330.617669409,850170.0
2009-12-21,8330.617669409,8024.906929247,8636.328409571,8559.90072453,651500.0
2009-12-22,8559.90072453,8177.762299328,8636.328409571,8177.762299328,542241.0
2009-12-23,8177.762299328,8024.906929247,8254.189984368,8101.334614287,386527.0
2009-12-24,8101.334614287,7872.051559166,8254.189984368,8254.189984368,507716.0
2009-12-28,8636.328409571,8330.617669409,8712.756094611,8330.617669409,412864.0
2009-12-29,8330.617669409,8101.334614287,8330.617669409,8177.762299328,272821.0
2009-12-30,8177.762299328,8177.762299328,8559.90072453,8559.90072453,831438.0
2009-12-31,8559.90072453,8254.189984368,8712.756094611,8330.617669409,853377.0
2010-01-05,8712.756094611,8330.617669409,9094.894519813,9094.894519813,1839387.0
2010-01-06,9094.894519813,8865.611464692,9477.032945015,9400.605259975,1486631.0
2010-01-07,9400.605259975,9171.322204854,9629.888315096,9171.322204854,789502.0
2010-01-08,9171.322204854,8712.756094611,9324.177574935,8712.756094611,1308857.0
2010-01-11,8712.756094611,8559.90072453,9018.466834773,8636.328409571,671545.0
2010-01-12,8636.328409571,8254.189984368,8712.756094611,8330.617669409,1288764.0
2010-01-13,8330.617669409,8024.906929247,8483.47303949,8407.045354449,644406.0
2010-01-14,8407.045354449,8254.189984368,8559.90072453,8407.045354449,272554.0
