Date,Price Open,Price Low,Price High,Price Close,Volume
2009-11-05,4105.4149517765,3527.615810415,4683.214093138,4257.467357398,572160.0
2009-11-09,4439.930244143,4269.631549848,4841.348594984,4379.109281895,162080.0
2009-11-10,4379.109281895,4135.825432901,4683.214093138,4476.422821493,163956.0
2009-11-12,4111.497048001,3880.377391457,4160.1538178,3880.377391457,42020.0
2009-11-13,3880.377391457,3624.929350013,3892.541583907,3880.377391457,217233.0
2009-11-16,3880.377391457,3880.377391457,3929.034161256,3929.034161256,75412.0
2009-11-18,4135.825432901,3843.884814108,4160.1538178,3843.884814108,45022.0
2009-11-20,3637.093542463,3442.466463267,3770.89965941,3454.630655717,43521.0
2009-11-24,3478.959040617,3466.794848167,3649.257734912,3649.257734912,45022.0
2009-11-25,3649.257734912,3332.98873122,3770.89965941,3332.98873122,93046.0
2009-11-27,3211.346806723,3004.555535078,3284.331961421,3016.719727528,71660.0
2009-12-02,3515.451617966,3405.973885918,3649.257734912,3405.973885918,23261.0
2009-12-04,3308.660346321,3284.331961421,3466.794848167,3284.331961421,7878.0
2009-12-08,3381.645501019,3174.854229374,3466.794848167,3345.15292367,24011.0
2009-12-16,2858.585225681,2858.585225681,2931.57038038,2931.57038038,82541.0
2009-12-21,2980.227150179,2980.227150179,3187.018421824,3187.018421824,22511.0
2009-12-22,3187.018421824,3162.690036924,3187.018421824,3174.854229374,75787.0
2009-12-23,3174.854229374,3028.883919977,3272.167768972,3162.690036924,15757.0
2009-12-25,3235.675191622,3211.346806723,3284.331961421,3284.331961421,45022.0
2009-12-28,3284.331961421,3284.331961421,3320.82453877,3284.331961421,39394.0
2009-12-29,3284.331961421,3260.003576522,3320.82453877,3320.82453877,76913.0
2009-12-30,3320.82453877,3320.82453877,3503.287425516,3405.973885918,18008.0
2009-12-31,3405.973885918,3405.973885918,3430.302270818,3405.973885918,38644.0
2010-01-06,3856.049006557,3770.89965941,3892.541583907,3843.884814108,91920.0
2010-01-07,3843.884814108,3831.720621658,3868.213199007,3831.720621658,72035.0
2010-01-08,3831.720621658,3588.436772664,3856.049006557,3588.436772664,34892.0
2010-01-14,3710.078697161,3673.586119812,3770.89965941,3770.89965941,68284.0
2010-01-21,3527.615810415,3527.615810415,3588.436772664,3588.436772664,9754.0
2010-01-22,3588.436772664,3466.794848167,3588.436772664,3588.436772664,7128.0
2010-01-26,3588.436772664,3527.615810415,3588.436772664,3588.436772664,6002.0
2010-02-01,3527.615810415,3527.615810415,3527.615810415,3527.615810415,18759.0
2010-02-02,3527.615810415,3527.615810415,3527.615810415,3527.615810415,13131.0
2010-02-03,3527.615810415,3503.287425516,3527.615810415,3527.615810415,20635.0
2010-02-04,3527.615810415,3515.451617966,3527.615810415,3515.451617966,11255.0
2010-02-24,3851.995987739,3851.995987739,3851.995987739,3851.995987739,375.0
2010-03-08,3723.596121481,3723.596121481,3851.995987739,3723.596121481,7878.0
2010-03-10,3659.396188352,3659.396188352,3774.956067984,3659.396188352,10880.0
2010-03-11,3659.396188352,3595.196255223,3723.596121481,3723.596121481,20635.0
2010-03-12,3723.596121481,3595.196255223,3851.995987739,3595.196255223,33391.0
2010-03-15,3595.196255223,3595.196255223,3723.596121481,3685.076161604,43146.0
2010-03-16,3685.076161604,3659.396188352,3890.515947617,3736.436108107,78789.0
2010-03-18,3787.79605461,3723.596121481,3929.035907494,3723.596121481,75787.0
2010-03-19,3723.596121481,3659.396188352,3851.995987739,3723.596121481,37893.0
2010-03-22,3723.596121481,3723.596121481,3954.715880746,3954.715880746,921085.0
2010-03-25,4455.475359152,4365.595452771,4763.635038171,4391.275426023,665957.0
2010-03-26,4391.275426023,4301.395519642,4468.315345777,4429.7953859,333541.0
2010-03-29,4429.7953859,4237.195586513,4622.395185287,4622.395185287,445347.0
2010-03-30,4622.395185287,4301.395519642,4879.194917803,4622.395185287,275012.0
2010-03-31,4622.395185287,4301.395519642,4622.395185287,4314.235506268,354176.0
2010-04-01,4314.235506268,4095.955733629,4622.395185287,4493.995319029,208229.0
2010-04-02,4493.995319029,4365.595452771,4493.995319029,4391.275426023,134317.0
2010-04-05,4391.275426023,4237.195586513,4493.995319029,4404.115412648,96047.0
2010-04-06,4404.115412648,4275.71554639,4493.995319029,4339.915479519,260004.0
2010-04-09,4969.074824183,4917.71487768,5315.75446308,4943.394850932,127188.0
2010-04-12,4943.394850932,4827.8349713,5071.79471719,4827.8349713,157953.0
2010-04-13,4827.8349713,4571.035238784,4879.194917803,4622.395185287,150825.0
2010-04-14,4622.395185287,4622.395185287,4879.194917803,4750.795051545,419459.0
2010-04-19,5469.83430259,5110.314677067,5585.394182222,5341.434436332,753001.0
2010-04-22,5932.073821118,5521.194249093,6342.953393144,5906.393847867,1132690.0
2010-04-26,5906.393847867,5829.353928112,5906.393847867,5829.353928112,282891.0
2010-04-28,5572.554195596,5495.514275841,5649.594115351,5521.194249093,142571.0
2010-05-04,5777.993981609,5777.993981609,6227.393513512,5880.713874615,268634.0
2010-05-07,6034.793714125,5906.393847867,6291.593446641,5957.75379437,855427.0
2010-05-10,5957.75379437,5713.79404848,6163.193580383,5752.314008357,434842.0
2010-05-11,5752.314008357,5431.314342712,5932.073821118,5469.83430259,480239.0
2010-05-14,6307.921825483,6241.053396238,6731.421877371,6241.053396238,121464.0
2010-05-17,6241.053396238,5973.579679256,6352.500778314,5973.579679256,138754.0
2010-05-18,5973.579679256,5929.000726426,6397.079731144,6018.158632087,68729.0
2010-05-24,5037.421669821,4703.079523594,5260.316433972,5082.000622651,49277.0
2010-05-25,5082.000622651,5037.421669821,5126.579575481,5037.421669821,71970.0
2010-05-27,5215.737481142,5082.000622651,5438.632245293,5126.579575481,68296.0
2010-06-02,6330.211301898,6129.606014162,6463.948160389,6352.500778314,108496.0
2010-06-04,6686.842924541,6151.895490577,6798.290306616,6151.895490577,190193.0
2010-06-08,5839.842820765,5438.632245293,5884.421773596,5839.842820765,132270.0
2010-06-09,5839.842820765,5706.105962275,6018.158632087,5862.132297181,36093.0
2010-06-10,5862.132297181,5839.842820765,6174.184966992,5951.290202841,34364.0
2010-06-11,5951.290202841,5884.421773596,6218.763919823,5951.290202841,52087.0
2010-06-14,5951.290202841,5929.000726426,6129.606014162,6062.737584917,61380.0
2010-06-15,6062.737584917,5817.55334435,6107.316537747,6018.158632087,42145.0
2010-06-16,6018.158632087,5839.842820765,6307.921825483,6218.763919823,207699.0
2010-06-17,6218.763919823,6018.158632087,6486.237636804,6085.027061332,62893.0
2010-06-18,6085.027061332,5839.842820765,6419.369207559,5839.842820765,32851.0
