Date,Price Open,Price Low,Price High,Price Close,Volume
2009-08-18,8481.38224053,8481.38224053,8481.38224053,8481.38224053,32666.0
2009-08-24,9777.148971722,9777.148971722,10110.907069151,9816.414630243,782466.0
2009-08-25,9816.414630243,9620.086337638,9914.578776546,9620.086337638,311366.0
2009-08-26,9620.086337638,9227.429752429,9620.086337638,9325.593898731,210983.0
2009-08-27,9325.593898731,9227.429752429,9423.758045034,9325.593898731,207966.0
2009-08-28,9325.593898731,9325.593898731,9423.758045034,9423.758045034,234033.0
2009-09-01,9482.656532815,9325.593898731,9620.086337638,9423.758045034,207400.0
2009-09-03,9423.758045034,8952.570142782,9423.758045034,8952.570142782,1083133.0
2009-09-04,8952.570142782,8932.937313521,9286.32824021,8932.937313521,175116.0
2009-09-08,8540.280728312,8540.280728312,8854.405996479,8854.405996479,187533.0
2009-09-09,8854.405996479,8834.773167219,8893.671655,8834.773167219,178800.0
2009-09-10,8834.773167219,8756.241850177,8834.773167219,8834.773167219,115050.0
2009-09-11,8834.773167219,8736.609020917,8854.405996479,8834.773167219,221783.0
2009-09-15,9266.69541095,9129.265606126,9580.820679117,9148.898435387,195883.0
2009-09-17,9070.367118345,8834.773167219,9089.999947605,8893.671655,381733.0
2009-09-21,9325.593898731,9266.69541095,9404.125215773,9266.69541095,631000.0
2009-09-23,9089.999947605,8932.937313521,9129.265606126,8952.570142782,327216.0
2009-09-24,8952.570142782,8775.874679437,8952.570142782,8775.874679437,165450.0
2009-09-25,8775.874679437,8736.609020917,9089.999947605,8893.671655,250233.0
2009-09-28,8893.671655,8638.444874614,8893.671655,8874.03882574,336050.0
2009-09-29,8874.03882574,8638.444874614,8932.937313521,8756.241850177,266683.0
2009-09-30,8756.241850177,8540.280728312,8834.773167219,8658.077703875,262883.0
2009-10-05,8029.827167539,7853.131704195,8422.483752749,8049.459996799,170183.0
2009-10-06,8049.459996799,8049.459996799,8343.952435707,8069.09282606,164800.0
2009-10-07,8069.09282606,8069.09282606,8442.116582009,8442.116582009,430283.0
2009-10-08,8442.116582009,8245.788289404,8442.116582009,8442.116582009,280116.0
2009-10-12,8862.22505963,8702.184877966,9102.285332126,9002.260218586,226450.0
2009-10-13,9002.260218586,8602.159764426,9002.260218586,8642.169809842,230333.0
2009-10-14,8642.169809842,8602.159764426,8942.245150462,8942.245150462,481783.0
2009-10-19,9842.47117232,9642.420945241,9902.486240444,9702.436013365,612816.0
2009-10-20,9702.436013365,9622.415922533,9782.456104197,9702.436013365,690816.0
2009-10-21,9702.436013365,9702.436013365,9882.481217736,9722.441036073,953850.0
2009-10-23,9662.425967949,9362.350627329,10002.511353984,9362.350627329,1330300.0
2009-10-26,9362.350627329,9182.305422957,9442.370718161,9202.310445665,336966.0
2009-10-28,8842.220036922,8802.209991506,9002.260218586,8802.209991506,459600.0
2009-11-04,7881.97894694,7541.893560904,8002.009083187,7601.908629028,396683.0
2009-11-09,8362.099491931,7961.999037771,8362.099491931,7961.999037771,324416.0
2009-11-10,7961.999037771,7701.933742568,7961.999037771,7961.999037771,482633.0
2009-11-11,7961.999037771,7961.999037771,8322.089446515,8142.044242143,206350.0
2009-11-13,8302.084423807,8102.034196727,8322.089446515,8322.089446515,218333.0
2009-11-16,8322.089446515,8022.014105895,8382.104514639,8022.014105895,212066.0
2009-11-18,8422.114560055,8202.059310267,8702.184877966,8702.184877966,581900.0
2009-11-19,8702.184877966,8622.164787134,8802.209991506,8722.189900674,390516.0
2009-11-20,8722.189900674,8422.114560055,8722.189900674,8422.114560055,293200.0
2009-11-23,8422.114560055,8082.029174019,8482.129628179,8082.029174019,229033.0
2009-11-24,8082.029174019,8022.014105895,8202.059310267,8162.049264851,343483.0
2009-11-25,8162.049264851,7761.948810692,8162.049264851,7761.948810692,663783.0
2009-11-27,7381.85337924,7021.762970497,7741.943787984,7741.943787984,402966.0
2009-11-30,7741.943787984,7601.908629028,7881.97894694,7781.9538334,259466.0
2009-12-01,7781.9538334,7781.9538334,8002.009083187,7781.9538334,136966.0
2009-12-02,7781.9538334,7501.883515488,7781.9538334,7501.883515488,215666.0
2009-12-03,7501.883515488,7141.793106745,7541.893560904,7501.883515488,197683.0
2009-12-04,7501.883515488,7401.858401948,7601.908629028,7461.873470072,101466.0
2009-12-07,7461.873470072,7341.843333824,7461.873470072,7441.868447364,162150.0
2009-12-10,6881.727811541,6681.677584461,7141.793106745,6701.682607169,172066.0
2009-12-11,6701.682607169,6381.602243842,6701.682607169,6381.602243842,328150.0
2009-12-14,6381.602243842,6381.602243842,6681.677584461,6601.65749363,178700.0
2009-12-15,6601.65749363,6501.63238009,6741.692652585,6701.682607169,112950.0
2009-12-17,6381.602243842,6121.536948638,6481.627357382,6141.541971346,212750.0
2009-12-23,6901.732834249,6861.722788833,6961.747902373,6901.732834249,118283.0
2009-12-24,6901.732834249,6701.682607169,7161.798129453,7101.783061329,149316.0
2009-12-28,7441.868447364,7241.818220285,7601.908629028,7441.868447364,148833.0
2009-12-29,7441.868447364,7101.783061329,7461.873470072,7321.838311116,223716.0
2009-12-30,7321.838311116,7201.808174869,7661.923697152,7661.923697152,496116.0
2010-01-05,8202.059310267,8202.059310267,8602.159764426,8202.059310267,203766.0
2010-01-06,8202.059310267,8002.009083187,8282.079401099,8202.059310267,337650.0
2010-01-07,8202.059310267,8102.034196727,8302.084423807,8122.039219435,139350.0
2010-01-08,8122.039219435,7801.958856108,8302.084423807,7801.958856108,213666.0
2010-01-11,7801.958856108,7661.923697152,7961.999037771,7961.999037771,94633.0
2010-01-12,7961.999037771,7601.908629028,8002.009083187,7801.958856108,126100.0
2010-01-13,7801.958856108,7541.893560904,7901.983969647,7661.923697152,235683.0
2010-01-14,7661.923697152,7661.923697152,7821.963878816,7781.9538334,257700.0
2010-01-15,7781.9538334,7661.923697152,8002.009083187,7801.958856108,170600.0
2010-01-19,7701.933742568,7641.918674444,7901.983969647,7801.958856108,319250.0
2010-01-20,7801.958856108,7661.923697152,7801.958856108,7681.92871986,99150.0
2010-01-21,7681.92871986,7401.858401948,7681.92871986,7501.883515488,128766.0
2010-01-27,7601.908629028,7361.848356532,7601.908629028,7501.883515488,113716.0
2010-01-29,7301.833288408,7201.808174869,7401.858401948,7301.833288408,64550.0
2010-02-02,7281.8282657,7161.798129453,7401.858401948,7161.798129453,119050.0
2010-02-03,7161.798129453,7161.798129453,7381.85337924,7381.85337924,55900.0
2010-02-04,7381.85337924,7361.848356532,7541.893560904,7541.893560904,47533.0
2010-02-08,7301.833288408,7121.788084037,7381.85337924,7361.848356532,21600.0
2010-02-09,7361.848356532,7181.803152161,7361.848356532,7201.808174869,70916.0
2010-02-11,7481.87849278,7361.848356532,7561.898583612,7501.883515488,31883.0
2010-02-12,7501.883515488,7501.883515488,7621.913651736,7561.898583612,44250.0
2010-02-22,7561.898583612,7561.898583612,7661.923697152,7621.913651736,25266.0
2010-02-24,7361.848356532,7201.808174869,7401.858401948,7361.848356532,86333.0
2010-02-25,7361.848356532,7301.833288408,7601.908629028,7301.833288408,77500.0
2010-02-26,7301.833288408,7241.818220285,7341.843333824,7341.843333824,98633.0
2010-03-01,7341.843333824,7301.833288408,7561.898583612,7401.858401948,177100.0
2010-03-02,7401.858401948,7321.838311116,7481.87849278,7401.858401948,192300.0
2010-03-03,7401.858401948,7401.858401948,7501.883515488,7501.883515488,250583.0
2010-03-05,7601.908629028,7601.908629028,7982.004060479,7982.004060479,668083.0
2010-03-09,8362.099491931,8202.059310267,8662.17483255,8502.134650887,542350.0
2010-03-10,8502.134650887,8382.104514639,8502.134650887,8402.109537347,631883.0
2010-03-11,8402.109537347,8262.074378391,8462.124605471,8262.074378391,535933.0
2010-03-12,8262.074378391,8242.069355683,8442.119582763,8442.119582763,495033.0
2010-03-15,8442.119582763,8422.114560055,8602.159764426,8442.119582763,405983.0
2010-03-17,8042.019128603,8002.009083187,8202.059310267,8002.009083187,194866.0
2010-03-18,8002.009083187,7901.983969647,8202.059310267,8202.059310267,186466.0
2010-03-19,8202.059310267,8102.034196727,8302.084423807,8102.034196727,129083.0
2010-03-22,8102.034196727,7901.983969647,8102.034196727,7901.983969647,159783.0
2010-03-24,7701.933742568,7701.933742568,7821.963878816,7741.943787984,311966.0
2010-03-25,7741.943787984,7621.913651736,7741.943787984,7641.918674444,173616.0
2010-03-26,7641.918674444,7581.90360632,7661.923697152,7601.908629028,235200.0
2010-03-29,7601.908629028,7561.898583612,7701.933742568,7601.908629028,97583.0
2010-03-30,7601.908629028,7601.908629028,7901.983969647,7801.958856108,157233.0
2010-03-31,7801.958856108,7701.933742568,7861.973924232,7801.958856108,73633.0
2010-04-01,7801.958856108,7681.92871986,7841.968901524,7801.958856108,184133.0
2010-04-02,7801.958856108,7721.938765276,7901.983969647,7801.958856108,130816.0
2010-04-07,8322.089446515,8302.084423807,8722.189900674,8722.189900674,2740050.0
2010-04-12,8639.90566085,8557.620845033,8660.476864805,8598.763252941,442116.0
2010-04-13,8598.763252941,8454.764825261,8598.763252941,8475.336029215,543033.0
2010-04-14,8475.336029215,8372.480009443,8537.049641078,8454.764825261,343333.0
2010-04-16,8825.04649644,8742.761680622,8907.331312258,8742.761680622,595533.0
2010-04-20,8639.90566085,8557.620845033,8639.90566085,8557.620845033,301216.0
2010-04-21,8557.620845033,8537.049641078,8639.90566085,8578.192048987,506000.0
2010-04-22,8578.192048987,8578.192048987,8886.760108303,8639.90566085,532000.0
2010-04-26,8639.90566085,8598.763252941,8742.761680622,8639.90566085,312316.0
2010-04-27,8639.90566085,8578.192048987,8701.619272713,8619.334456896,319616.0
2010-04-28,8619.334456896,8557.620845033,8639.90566085,8557.620845033,375350.0
2010-05-04,8804.475292486,8763.332884577,8845.617700394,8804.475292486,331850.0
2010-05-05,8804.475292486,8639.90566085,8804.475292486,8742.761680622,285633.0
2010-05-06,8742.761680622,8681.048068759,8804.475292486,8742.761680622,354966.0
2010-05-11,8393.051213397,8351.908805489,8578.192048987,8393.051213397,333550.0
2010-05-12,8393.051213397,8063.911950127,8393.051213397,8146.196765945,307383.0
2010-05-13,8146.196765945,8146.196765945,8475.336029215,8166.767969899,140550.0
2010-05-14,8166.767969899,8166.767969899,8393.051213397,8166.767969899,87033.0
2010-05-18,7940.4847264,7714.201482902,7940.4847264,7919.913522446,218466.0
2010-05-20,7714.201482902,7364.491015677,7817.057502674,7796.48629872,257866.0
2010-05-24,7426.20462754,7302.777403814,7734.772686856,7590.774259176,124483.0
2010-05-25,7590.774259176,7446.775831495,7693.630278948,7446.775831495,116750.0
2010-05-26,7446.775831495,7446.775831495,7673.059074993,7673.059074993,175966.0
2010-05-27,7673.059074993,7611.34546313,7878.771114537,7878.771114537,38933.0
2010-05-31,8043.340746173,7817.057502674,8043.340746173,7919.913522446,114633.0
2010-06-01,7919.913522446,7858.199910583,7940.4847264,7899.342318492,155266.0
2010-06-02,7899.342318492,7899.342318492,8002.198338264,7919.913522446,115933.0
2010-06-04,7961.055930355,7919.913522446,8022.769542218,7919.913522446,92633.0
2010-06-08,7673.059074993,7652.487871039,7899.342318492,7693.630278948,72966.0
2010-06-09,7693.630278948,7631.916667084,7734.772686856,7631.916667084,71666.0
2010-06-14,7837.628706628,7837.628706628,7981.627134309,7837.628706628,68166.0
2010-06-15,7837.628706628,7775.915094765,7837.628706628,7775.915094765,28916.0
2010-06-16,7775.915094765,7775.915094765,7899.342318492,7817.057502674,157216.0
2010-06-17,7817.057502674,7796.48629872,7858.199910583,7837.628706628,248416.0
2010-06-18,7837.628706628,7837.628706628,7940.4847264,7837.628706628,26100.0
2010-06-21,7837.628706628,7817.057502674,7858.199910583,7837.628706628,96466.0
2010-06-22,7837.628706628,7817.057502674,7919.913522446,7858.199910583,274233.0
2010-06-23,7858.199910583,7775.915094765,7858.199910583,7817.057502674,110650.0
2010-06-24,7817.057502674,7796.48629872,7837.628706628,7817.057502674,128500.0
2010-06-25,7817.057502674,7631.916667084,7858.199910583,7817.057502674,161633.0
2010-06-28,7817.057502674,7817.057502674,7919.913522446,7817.057502674,99583.0
2010-06-29,7817.057502674,7817.057502674,7878.771114537,7817.057502674,159683.0
2010-06-30,7817.057502674,7611.34546313,7899.342318492,7899.342318492,147750.0
2010-07-01,7899.342318492,7817.057502674,7899.342318492,7817.057502674,39566.0
