Date,Price Open,Price Low,Price High,Price Close,Volume
2008-01-24,25884.833046758,24035.916400561,27733.749692955,24035.916400561,210549.0
2008-01-29,21724.770592815,20661.643521251,22787.897664378,22787.897664378,174509.0
2008-02-01,22649.228915913,22279.445586674,23573.687239012,23111.458077462,91250.0
2008-02-13,21955.885173589,21493.65601204,21955.885173589,21493.65601204,32821.0
2008-02-14,21493.65601204,21354.987263575,22464.337251293,21354.987263575,61235.0
2008-02-15,21354.987263575,20892.758102026,21493.65601204,21262.541431265,107708.0
2008-02-22,17749.599803491,16871.364396547,18627.835210435,17518.485222716,107724.0
2008-02-27,17472.262306562,16640.249815773,17610.931055026,16640.249815773,101572.0
2008-02-28,16640.249815773,15946.906073449,16640.249815773,15946.906073449,76821.0
2008-02-29,15946.906073449,15161.116498815,16178.020654224,15161.116498815,83528.0
2008-03-03,15161.116498815,14421.549840336,15669.568576519,14421.549840336,72588.0
2008-03-10,14375.326924182,13681.983181858,15068.670666505,13866.874846477,140657.0
2008-03-11,13866.874846477,13312.199852618,13866.874846477,13312.199852618,126894.0
2008-03-13,13404.645684928,13404.645684928,14051.766511097,13820.651930322,66657.0
2008-03-14,13820.651930322,13404.645684928,13820.651930322,13728.206098013,30601.0
2008-03-19,12433.964445675,11833.066535661,13034.862355689,11833.066535661,59174.0
2008-03-20,11833.066535661,11278.391541802,12156.626948745,11278.391541802,33741.0
2008-03-21,11278.391541802,10769.939464097,11278.391541802,10908.608212562,79073.0
2008-03-26,9891.704057154,9475.69781176,10353.933218703,10353.933218703,82054.0
2008-04-08,11185.945709492,11093.499877182,11370.837374111,11370.837374111,85415.0
2008-04-09,11370.837374111,11324.614457957,11555.729038731,11555.729038731,45284.0
2008-04-17,10954.831128717,10769.939464097,11139.722793337,11139.722793337,34882.0
2008-04-18,11139.722793337,10954.831128717,11324.614457957,11324.614457957,27922.0
2008-04-25,10631.270715633,10492.601967168,10769.939464097,10769.939464097,13762.0
2008-05-16,9553.728499382,9397.961186892,9553.728499382,9553.728499382,41484.0
2008-06-05,7996.055374482,7840.288061993,7996.055374482,7840.288061993,7279.0
2008-06-11,7476.830999516,7372.986124523,7580.675874509,7580.675874509,64576.0
2008-06-18,8099.900249476,7944.132936986,8255.667561966,7944.132936986,97527.0
2008-06-23,7528.753437013,7321.063687026,7736.443186999,7736.443186999,28699.0
2008-06-24,7736.443186999,7528.753437013,7944.132936986,7944.132936986,19848.0
2008-06-25,7944.132936986,7736.443186999,8151.822686972,7788.365624496,77563.0
2008-06-27,7580.675874509,7372.986124523,7580.675874509,7580.675874509,50608.0
2008-06-30,7580.675874509,7424.908562019,7788.365624496,7788.365624496,15077.0
2008-07-01,7788.365624496,7788.365624496,7996.055374482,7996.055374482,48490.0
2008-07-02,7996.055374482,7996.055374482,8203.745124469,8203.745124469,69088.0
2008-07-07,8619.124624442,8411.434874456,8826.814374429,8411.434874456,145585.0
2008-07-08,8411.434874456,8203.745124469,8411.434874456,8411.434874456,99589.0
2008-07-16,9605.650936878,9346.038749395,9865.263124362,9865.263124362,315574.0
2008-07-18,10124.875311845,10072.952874348,10384.487499328,10384.487499328,329628.0
2008-07-21,10384.487499328,10072.952874348,10644.099686811,10072.952874348,170565.0
2008-07-24,9553.728499382,9294.116311898,9813.340686865,9294.116311898,260785.0
2008-07-25,9294.116311898,9034.504124415,9294.116311898,9034.504124415,122104.0
2008-07-28,9034.504124415,8826.814374429,9294.116311898,9294.116311898,131545.0
2008-07-30,9553.728499382,9294.116311898,9605.650936878,9553.728499382,181347.0
2008-07-31,9553.728499382,9294.116311898,9709.495811872,9346.038749395,52670.0
2008-08-04,9086.426561912,8826.814374429,9138.348999409,9086.426561912,88850.0
2008-08-06,8826.814374429,8567.202186946,9086.426561912,8930.659249422,102500.0
2008-08-13,9813.340686865,9553.728499382,10072.952874348,10072.952874348,142890.0
2008-08-19,11111.401624281,10592.177249314,11215.246499274,10592.177249314,158515.0
2008-08-20,10592.177249314,10072.952874348,10644.099686811,10072.952874348,151019.0
2008-08-28,12720.997186677,12097.927936717,12720.997186677,12097.927936717,124699.0
2008-09-04,12097.927936717,12097.927936717,12669.07474918,12669.07474918,258983.0
2008-09-05,12669.07474918,12046.00549922,13084.454249153,12980.60937416,100684.0
2008-09-08,12980.60937416,12357.5401242,13136.37668665,12461.384999194,125390.0
2008-09-09,12461.384999194,11942.160624227,12980.60937416,11942.160624227,63899.0
2008-09-10,11942.160624227,11371.013811764,12201.77281171,11371.013811764,94140.0
2008-09-15,10332.565061831,9917.185561858,10799.866999301,10332.565061831,116843.0
2008-09-23,9813.340686865,9346.038749395,10176.797749341,9449.883624388,99488.0
2008-09-24,9449.883624388,9138.348999409,9449.883624388,9138.348999409,61765.0
2008-09-25,9138.348999409,9034.504124415,9553.728499382,9449.883624388,69794.0
2008-09-26,9449.883624388,9449.883624388,9917.185561858,9553.728499382,64072.0
2008-09-29,9553.728499382,9294.116311898,9865.263124362,9294.116311898,30789.0
2008-10-01,8878.736811925,8463.357311952,9190.271436905,8930.659249422,47192.0
2008-10-02,8930.659249422,8930.659249422,9346.038749395,9346.038749395,56028.0
2008-10-03,9346.038749395,9346.038749395,9449.883624388,9346.038749395,58464.0
2008-10-06,9346.038749395,8982.581686919,9397.961186892,9346.038749395,58090.0
2008-10-08,8878.736811925,8515.279749449,9294.116311898,9294.116311898,53563.0
2008-10-09,9294.116311898,8878.736811925,9346.038749395,8878.736811925,79236.0
2008-10-13,8463.357311952,8463.357311952,8878.736811925,8463.357311952,24317.0
2008-10-15,8878.736811925,8567.202186946,9190.271436905,9190.271436905,61390.0
2008-10-21,8619.124624442,8619.124624442,8826.814374429,8826.814374429,56172.0
2008-10-24,8151.822686972,7788.365624496,8307.589999462,7840.288061993,31236.0
2008-10-29,7113.37393704,7113.37393704,7424.908562019,7424.908562019,45117.0
2008-11-03,8151.822686972,7788.365624496,8151.822686972,7840.288061993,21578.0
2008-11-04,7840.288061993,7840.288061993,8203.745124469,8203.745124469,27747.0
2008-11-06,8567.202186946,8151.822686972,8722.969499435,8567.202186946,56302.0
2008-11-12,7424.908562019,7165.296374536,7424.908562019,7424.908562019,21102.0
2008-11-13,7424.908562019,7113.37393704,7736.443186999,7424.908562019,17412.0
2008-11-14,7424.908562019,7424.908562019,7788.365624496,7476.830999516,31524.0
2008-11-17,7476.830999516,7476.830999516,7632.598312006,7476.830999516,10464.0
2008-11-18,7476.830999516,7217.218812033,7476.830999516,7269.14124953,27646.0
2008-11-19,7269.14124953,7269.14124953,7528.753437013,7269.14124953,13131.0
2008-11-21,6957.60662455,6697.994437067,7165.296374536,6957.60662455,15567.0
2008-11-24,6957.60662455,6749.916874563,7165.296374536,7009.529062046,8893.0
2008-11-26,7113.37393704,6957.60662455,7165.296374536,6957.60662455,12828.0
2008-12-01,7009.529062046,6853.761749556,7217.218812033,7165.296374536,16245.0
2008-12-03,7009.529062046,6749.916874563,7217.218812033,6853.761749556,3488.0
2008-12-04,6853.761749556,6853.761749556,7165.296374536,6853.761749556,13131.0
2008-12-05,6853.761749556,6646.07199957,6853.761749556,6646.07199957,18118.0
2008-12-09,6334.53737459,6334.53737459,6594.149562073,6542.227124577,16345.0
2008-12-10,6542.227124577,6282.614937093,6542.227124577,6282.614937093,10363.0
2008-12-11,6282.614937093,6126.847624603,6438.382249583,6126.847624603,11819.0
2008-12-15,6386.459812087,6230.692499597,6697.994437067,6697.994437067,24115.0
2008-12-17,6386.459812087,6074.925187107,6490.30468708,6490.30468708,5073.0
2008-12-19,6230.692499597,6023.00274961,6282.614937093,6230.692499597,3142.0
2008-12-22,6230.692499597,6126.847624603,6386.459812087,6282.614937093,12828.0
2008-12-23,6282.614937093,6282.614937093,6334.53737459,6334.53737459,5073.0
2008-12-24,6334.53737459,6334.53737459,6334.53737459,6334.53737459,1686.0
2008-12-25,6334.53737459,6230.692499597,6334.53737459,6334.53737459,1124.0
