Date,Price Open,Price Low,Price High,Price Close,Volume
2006-12-25,1999.8051288355,1902.72720996,2096.883047711,1941.55837751,22982.0
2007-01-03,2873.506398715,2873.506398715,3215.220673157,2873.506398715,17410.0
2007-01-04,2873.506398715,2718.181728514,2951.168733815,2718.181728514,24374.0
2007-01-15,2624.986926394,2407.532388112,2648.285626924,2407.532388112,13232.0
2007-01-17,2524.025890763,2368.701220562,2562.857058313,2368.701220562,15321.0
2007-01-22,2485.194723213,2329.870053012,2609.454459373,2485.194723213,10098.0
2007-01-23,2485.194723213,2485.194723213,2624.986926394,2485.194723213,1392.0
2007-01-25,2368.701220562,2368.701220562,2368.701220562,2368.701220562,2437.0
2007-01-30,2446.363555663,2407.532388112,2446.363555663,2407.532388112,9749.0
2007-01-31,2407.532388112,2407.532388112,2469.662256193,2469.662256193,6964.0
2007-02-01,2469.662256193,2446.363555663,2687.116794474,2446.363555663,21937.0
2007-02-06,2407.532388112,2329.870053012,2446.363555663,2329.870053012,16714.0
2007-02-13,2795.844063614,2757.012896064,3075.428469976,2788.077830104,26116.0
2007-02-14,2788.077830104,2757.012896064,3083.194703486,2795.844063614,53276.0
2007-02-26,2873.506398715,2873.506398715,3145.324571566,3145.324571566,22633.0
2007-03-01,3626.831049189,3455.973911968,3782.155719389,3572.467414618,61633.0
2007-03-02,3572.467414618,3533.636247068,3743.324551839,3533.636247068,51187.0
2007-03-05,3533.636247068,3494.805079518,3883.11675502,3611.298582169,41089.0
2007-03-06,3611.298582169,3611.298582169,3991.844024161,3991.844024161,123964.0
2007-03-13,5539.401903674,5252.881115553,6088.566747573,5937.347442731,119785.0
2007-03-16,4743.51082556,4273.935089473,4934.524684307,4775.346468684,38651.0
2007-03-19,4775.346468684,4775.346468684,4958.401416651,4958.401416651,39348.0
2007-03-21,5014.113792119,5014.113792119,5173.292007741,5014.113792119,20892.0
2007-03-22,5014.113792119,4528.620234469,5014.113792119,4894.730130401,19151.0
2007-03-23,4894.730130401,4536.57914525,4934.524684307,4735.551914779,11839.0
2007-03-28,3860.071728853,3501.920743702,4250.058357129,4250.058357129,11142.0
2007-04-02,4600.250431499,4600.250431499,4934.524684307,4600.250431499,3133.0
2007-04-04,4337.606375722,4059.044498382,4337.606375722,4337.606375722,5223.0
2007-04-10,3987.414301351,3899.866282759,4059.044498382,3979.45539057,17410.0
2007-04-11,3979.45539057,3899.866282759,3979.45539057,3899.866282759,15321.0
2007-04-12,3899.866282759,3780.482621042,3939.660836665,3780.482621042,5919.0
2007-04-13,3780.482621042,3486.00292214,3860.071728853,3486.00292214,10446.0
2007-04-18,2976.632632147,2944.796989022,3271.112331049,3263.153420268,14973.0
2007-04-19,3263.153420268,3199.482134019,3517.838565264,3263.153420268,16017.0
2007-04-20,3263.153420268,3191.523223237,3350.70143886,3191.523223237,9401.0
2007-05-03,3103.975204645,3024.386096833,3183.564312456,3024.386096833,6267.0
2007-05-08,3255.194509487,3111.934115426,3263.153420268,3263.153420268,7660.0
2007-05-09,3263.153420268,3263.153420268,3342.742528079,3263.153420268,4178.0
2007-05-15,3103.975204645,3080.098472301,3111.934115426,3080.098472301,3830.0
2007-05-21,2881.125702773,2785.618773399,2984.591542928,2984.591542928,11839.0
2007-05-22,2984.591542928,2984.591542928,3103.975204645,3103.975204645,10098.0
2007-05-28,3024.386096833,3024.386096833,3064.180650739,3024.386096833,6964.0
2007-05-29,3024.386096833,2745.824219494,3064.180650739,2992.550453709,9749.0
2007-06-01,3024.386096833,2944.796989022,3024.386096833,3024.386096833,12187.0
2007-06-05,2944.796989022,2865.207881211,3024.386096833,2865.207881211,11142.0
2007-06-07,3064.180650739,3064.180650739,3103.975204645,3064.180650739,1741.0
2007-06-08,3064.180650739,2944.796989022,3103.975204645,2944.796989022,3133.0
2007-06-11,2944.796989022,2944.796989022,2944.796989022,2944.796989022,1741.0
2007-06-12,2944.796989022,2944.796989022,3024.386096833,2960.714810584,7660.0
2007-06-14,2865.207881211,2785.618773399,2984.591542928,2928.87916746,16714.0
2007-06-18,2865.207881211,2865.207881211,2905.002435116,2865.207881211,5571.0
2007-06-21,2626.440557776,2586.646003871,2626.440557776,2626.440557776,3482.0
2007-06-27,2626.440557776,2626.440557776,2666.235111682,2626.440557776,3830.0
2007-06-28,2626.440557776,2546.851449965,2650.31729012,2626.440557776,2089.0
2007-06-29,2626.440557776,2626.440557776,2626.440557776,2626.440557776,696.0
2007-07-03,2387.673234342,2308.084126531,2387.673234342,2308.084126531,3830.0
