Date,Price Open,Price Low,Price High,Price Close,Volume
2006-12-20,28805.822011839,26589.98954939,31021.654474288,26589.98954939,10005.0
2006-12-21,26589.98954939,24684.373631683,27033.156041879,24684.373631683,8144.0
2006-12-26,20607.241900777,19277.742423307,22601.491116981,22601.491116981,62130.0
2006-12-29,24374.15708694,23487.824101961,25260.49007192,23487.824101961,38860.0
2007-01-04,23044.657609471,22379.907870736,24374.15708694,24329.840437691,23269.0
2007-01-05,24329.840437691,23709.407348206,24994.590176426,23709.407348206,10122.0
2007-01-10,23253.448039669,23025.473058888,23390.233028138,23025.473058888,52007.0
2007-01-11,23025.473058888,22569.523097326,23709.398001231,22797.498078107,35020.0
2007-01-12,22797.498078107,20563.343266453,23709.398001231,23709.398001231,50029.0
2007-01-15,23709.398001231,22797.498078107,25305.222866699,24074.157970481,47819.0
2007-01-16,24074.157970481,23253.448039669,25943.552812886,23253.448039669,60035.0
2007-01-17,23253.448039669,22797.498078107,23937.372982013,23025.473058888,47237.0
2007-01-18,23025.473058888,22751.903081951,23253.448039669,23253.448039669,49215.0
2007-01-19,23253.448039669,22797.498078107,23344.638031982,23344.638031982,65387.0
2007-01-23,23253.448039669,20700.128254921,23481.42302045,23253.448039669,105528.0
2007-01-24,23253.448039669,23025.473058888,25305.222866699,25305.222866699,166727.0
2007-01-25,25305.222866699,24165.347962794,26581.882759073,24940.462897449,109832.0
2007-01-26,24940.462897449,24165.347962794,25305.222866699,25077.247885918,26178.0
2007-01-29,25077.247885918,24758.082912824,25305.222866699,25168.43787823,44910.0
2007-01-30,25168.43787823,25077.247885918,25761.172828261,25259.627870543,52124.0
2007-02-05,32144.472290131,31916.49730935,34606.602082567,32828.397232474,168356.0
2007-02-06,32828.397232474,31232.572367007,33649.107163286,31916.49730935,64922.0
2007-02-07,31916.49730935,31050.192382382,32372.447270912,32144.472290131,198141.0
2007-02-08,32144.472290131,31004.597386226,35290.52702491,31460.547347788,35602.0
2007-02-09,31460.547347788,29636.747501539,31460.547347788,29910.317478477,24782.0
