Date,Price Open,Price Low,Price High,Price Close,Volume
2006-05-19,8285.132599308,8285.132599308,8285.132599308,8285.132599308,232364.0
2006-07-12,6081.003805788,6081.003805788,6081.003805788,6081.003805788,57224.0
2006-07-17,6219.208437738,6219.208437738,6219.208437738,6219.208437738,177239.0
2006-07-20,6104.037911113,6104.037911113,6104.037911113,6104.037911113,107204.0
2006-07-21,6104.037911113,6104.037911113,6104.037911113,6104.037911113,126314.0
2006-07-26,5643.355804614,5643.355804614,5643.355804614,5643.355804614,211889.0
2006-08-08,6127.072016438,6127.072016438,6127.072016438,6127.072016438,142379.0
2006-08-24,6587.754122937,6587.754122937,6587.754122937,6587.754122937,100904.0
2006-08-31,6679.890544237,6679.890544237,6679.890544237,6679.890544237,210944.0
2006-09-11,6795.061070862,6795.061070862,6795.061070862,6795.061070862,245699.0
2006-09-14,6772.026965537,6772.026965537,6772.026965537,6772.026965537,110144.0
2006-09-19,6725.958754887,6725.958754887,6725.958754887,6725.958754887,140279.0
2006-09-20,6725.958754887,6725.958754887,6725.958754887,6725.958754887,130304.0
2006-09-25,6679.890544237,6679.890544237,6679.890544237,6679.890544237,171569.0
2006-09-26,6679.890544237,6679.890544237,6679.890544237,6679.890544237,219764.0
2006-09-29,6702.924649562,6702.924649562,6702.924649562,6702.924649562,119279.0
2006-10-02,6702.924649562,6702.924649562,6702.924649562,6702.924649562,92609.0
2006-10-12,6702.924649562,6702.924649562,6702.924649562,6702.924649562,95654.0
2006-10-13,6702.924649562,6702.924649562,6702.924649562,6702.924649562,119279.0
2006-10-17,6679.890544237,6679.890544237,6679.890544237,6679.890544237,48614.0
2006-10-18,6679.890544237,6679.890544237,6679.890544237,6679.890544237,71399.0
2006-10-20,6702.924649562,6702.924649562,6702.924649562,6702.924649562,41264.0
2006-10-23,6702.924649562,6702.924649562,6702.924649562,6702.924649562,95129.0
2006-10-25,6679.890544237,6679.890544237,6679.890544237,6679.890544237,33704.0
2006-10-26,6679.890544237,6679.890544237,6679.890544237,6679.890544237,47564.0
2006-11-03,6725.958754887,6725.958754887,6725.958754887,6725.958754887,38849.0
2006-12-18,11081.184865441,11081.184865441,11081.184865441,11081.184865441,311849.0
2007-01-02,10845.414974687,10845.414974687,10845.414974687,10845.414974687,206534.0
2007-02-06,23576.989075406,22398.139621636,24755.838529176,24755.838529176,772694.0
2007-02-09,22398.139621636,21337.175113243,23459.104130029,23459.104130029,1045621.0
2007-02-14,22633.90951239,22398.139621636,22633.90951239,22398.139621636,303124.0
2007-02-15,22398.139621636,22398.139621636,22398.139621636,22398.139621636,236428.0
2007-02-26,22398.139621636,22398.139621636,22869.679403144,22869.679403144,1502591.0
2007-02-27,22869.679403144,22869.679403144,22869.679403144,22869.679403144,1154506.0
