Date,Price Open,Price Low,Price High,Price Close,Volume
2011-01-07,2572.4965644315,2477.218913897,2667.774214966,2477.218913897,240000.0
2011-01-10,2477.218913897,2400.996793469,2553.441034324,2439.107853683,93000.0
2011-01-11,2439.107853683,2343.830203149,2439.107853683,2362.885733255,91800.0
2011-01-12,2362.885733255,2267.608082721,2381.941263362,2305.719142935,53300.0
2011-01-13,2305.719142935,2267.608082721,2324.774673042,2286.663612828,130000.0
2011-01-14,2286.663612828,2267.608082721,2286.663612828,2286.663612828,115300.0
2011-01-17,2286.663612828,2248.552552614,2286.663612828,2286.663612828,62100.0
2011-01-18,2286.663612828,2210.4414924,2286.663612828,2267.608082721,95500.0
2011-01-20,2210.4414924,2191.385962293,2362.885733255,2210.4414924,108500.0
2011-01-21,2210.4414924,2134.219371973,2229.497022507,2134.219371973,88400.0
2011-01-24,2134.219371973,2038.941721438,2153.27490208,2038.941721438,86800.0
2011-01-25,2038.941721438,2038.941721438,2096.108311759,2096.108311759,70200.0
2011-01-26,2096.108311759,2038.941721438,2115.163841866,2096.108311759,30600.0
2011-01-27,2096.108311759,2057.997251545,2191.385962293,2191.385962293,38200.0
2011-01-28,2191.385962293,2134.219371973,2248.552552614,2248.552552614,53400.0
2011-02-09,2115.163841866,2115.163841866,2172.330432186,2115.163841866,41800.0
2011-02-14,2057.997251545,2057.997251545,2172.330432186,2057.997251545,14800.0
2011-02-15,2057.997251545,2000.830661224,2057.997251545,2038.941721438,28800.0
2011-02-16,2038.941721438,1981.775131118,2077.052781652,2077.052781652,23000.0
2011-02-18,2000.830661224,1943.664070904,2077.052781652,2000.830661224,31700.0
2011-02-22,1867.441950476,1791.219830049,1905.55301069,1829.330890262,35000.0
2011-02-23,1829.330890262,1791.219830049,1867.441950476,1848.386420369,21400.0
2011-02-25,1791.219830049,1753.108769835,1905.55301069,1905.55301069,75300.0
2011-02-28,1905.55301069,1905.55301069,1962.719601011,1962.719601011,46700.0
2011-03-02,2077.052781652,1943.664070904,2210.4414924,1943.664070904,178200.0
2011-03-07,1943.664070904,1848.386420369,2077.052781652,1981.775131118,69900.0
2011-03-09,1924.608540797,1829.330890262,1924.608540797,1924.608540797,64600.0
2011-03-10,1924.608540797,1829.330890262,2000.830661224,1962.719601011,88800.0
2011-03-14,2038.941721438,1924.608540797,2096.108311759,1943.664070904,47000.0
2011-03-16,1905.55301069,1886.497480583,1905.55301069,1905.55301069,19300.0
2011-03-18,1981.775131118,1886.497480583,2000.830661224,1981.775131118,30000.0
2011-03-21,1981.775131118,1924.608540797,2057.997251545,1924.608540797,54300.0
2011-03-24,2038.941721438,1981.775131118,2096.108311759,2038.941721438,19200.0
2011-03-25,2038.941721438,1981.775131118,2038.941721438,1981.775131118,15100.0
2011-03-29,2000.830661224,1962.719601011,2019.886191331,1962.719601011,39400.0
2011-03-30,1962.719601011,1943.664070904,2038.941721438,1981.775131118,33600.0
2011-04-05,2286.663612828,2210.4414924,2420.052323576,2286.663612828,286200.0
2011-04-06,2286.663612828,2172.330432186,2286.663612828,2267.608082721,93800.0
2011-04-13,2210.4414924,2172.330432186,2305.719142935,2210.4414924,83000.0
2011-04-14,2210.4414924,2210.4414924,2267.608082721,2210.4414924,46100.0
2011-04-15,2210.4414924,2096.108311759,2248.552552614,2115.163841866,82100.0
2011-04-20,1962.719601011,1943.664070904,2115.163841866,2096.108311759,80900.0
2011-04-21,2096.108311759,1981.775131118,2096.108311759,1981.775131118,72300.0
2011-04-22,1981.775131118,1943.664070904,2000.830661224,2000.830661224,38900.0
2011-04-25,2000.830661224,1962.719601011,2077.052781652,2038.941721438,47900.0
2011-04-26,2038.941721438,1924.608540797,2038.941721438,1924.608540797,43400.0
2011-04-27,1924.608540797,1905.55301069,2000.830661224,1962.719601011,51600.0
2011-04-29,1886.497480583,1886.497480583,1924.608540797,1924.608540797,76200.0
2011-05-05,1791.219830049,1753.108769835,1810.275360155,1791.219830049,18100.0
2011-05-06,1791.219830049,1772.164299942,1848.386420369,1772.164299942,30500.0
2011-05-09,1772.164299942,1772.164299942,1829.330890262,1829.330890262,10100.0
2011-05-10,1829.330890262,1810.275360155,1886.497480583,1867.441950476,24200.0
2011-05-12,1810.275360155,1810.275360155,1829.330890262,1829.330890262,6800.0
2011-05-13,1829.330890262,1772.164299942,1848.386420369,1810.275360155,30500.0
2011-05-16,1810.275360155,1772.164299942,1867.441950476,1791.219830049,29500.0
2011-05-17,1791.219830049,1791.219830049,1810.275360155,1791.219830049,14600.0
2011-05-18,1791.219830049,1791.219830049,1867.441950476,1810.275360155,23700.0
2011-05-19,1810.275360155,1753.108769835,1848.386420369,1753.108769835,41700.0
2011-05-23,1772.164299942,1695.942179514,1791.219830049,1753.108769835,86600.0
2011-05-26,1543.497938659,1467.275818231,1638.775589193,1600.66452898,49800.0
2011-05-27,1600.66452898,1581.608998873,1619.720059086,1619.720059086,14800.0
2011-05-31,1695.942179514,1638.775589193,1772.164299942,1772.164299942,25300.0
2011-06-02,1678.185699393,1633.434080743,1767.688936694,1767.688936694,39100.0
2011-06-03,1767.688936694,1745.313127369,1857.192173995,1790.06474602,27300.0
2011-06-07,1700.561508719,1588.682462092,1767.688936694,1745.313127369,30600.0
2011-06-08,1745.313127369,1678.185699393,1790.06474602,1722.937318044,131700.0
2011-06-09,1722.937318044,1633.434080743,1722.937318044,1722.937318044,131200.0
2011-06-10,1722.937318044,1611.058271418,1790.06474602,1790.06474602,111600.0
2011-06-15,1991.447029947,1969.071220621,2125.701885898,2125.701885898,217300.0
