Date,Price Open,Price Low,Price High,Price Close,Volume
2007-08-10,28866.206524100497,24579.146149234,33153.266898967,26265.389896682,80570.0
2007-08-14,24579.146149234,22864.321999288,24579.146149234,23578.832061765,92754.0
2007-08-16,23293.028036774,23121.54562178,23350.188841772,23178.706426778,46115.0
2007-08-20,22578.517974296,21521.043081829,22578.517974296,21892.588314318,46377.0
2007-08-22,22035.490326813,21892.588314318,22292.713949305,21892.588314318,56726.0
2007-08-24,21692.525496824,21435.301874332,21864.007911819,21864.007911819,44411.0
2007-08-27,21864.007911819,21578.203886828,22006.909924314,21721.105899323,41529.0
2007-08-28,21721.105899323,21578.203886828,21749.686301822,21721.105899323,24498.0
2007-08-30,21578.203886828,21292.399861837,21578.203886828,21549.623484329,72971.0
2007-08-31,21549.623484329,21521.043081829,21721.105899323,21578.203886828,16114.0
2007-09-07,21749.686301822,21663.945094325,21778.266704321,21721.105899323,20568.0
2007-09-10,21721.105899323,21692.525496824,21921.168716817,21864.007911819,86858.0
2007-09-11,21864.007911819,21721.105899323,22006.909924314,21921.168716817,69303.0
2007-09-12,21921.168716817,21864.007911819,22149.81193681,22064.070729313,29214.0
2007-09-13,22064.070729313,22006.909924314,23150.126024279,22864.321999288,40088.0
2007-09-14,22864.321999288,22721.419986792,23150.126024279,22978.643609284,51617.0
2007-09-17,22978.643609284,22292.713949305,23378.769244272,22778.58079179,41136.0
2007-09-18,22778.58079179,22006.909924314,22921.482804286,22864.321999288,81487.0
2007-09-19,22864.321999288,22578.517974296,23007.224011783,22864.321999288,62491.0
2007-09-20,22864.321999288,22864.321999288,23150.126024279,22864.321999288,46115.0
2007-09-21,22864.321999288,22721.419986792,23007.224011783,22864.321999288,42053.0
2007-09-24,22864.321999288,22864.321999288,23521.671256767,22864.321999288,82797.0
2007-09-25,22864.321999288,22864.321999288,25150.754199216,24093.279306749,55285.0
2007-09-27,25722.362249199,24579.146149234,26865.578349163,26865.578349163,188914.0
2007-09-28,26865.578349163,26293.970299181,28551.82209661,28551.82209661,143454.0
2007-10-03,33124.686496468,32210.113616496,34296.482998931,32867.462873976,216819.0
2007-10-04,32867.462873976,29723.618599074,33439.070923958,32152.952811498,174896.0
2007-10-05,32152.952811498,31152.638724029,32867.462873976,31152.638724029,132056.0
2007-10-08,31152.638724029,28551.82209661,32010.050799003,29152.010549092,89609.0
2007-10-09,29152.010549092,28008.794449127,30009.422624065,28723.304511605,186556.0
2007-10-10,28723.304511605,28580.402499109,31266.960334026,31266.960334026,93409.0
2007-10-12,32638.819653983,31438.44274902,34010.67897394,32581.658848985,158520.0
2007-10-15,32581.658848985,32010.050799003,32581.658848985,32410.17643399,252846.0
2007-10-16,32410.17643399,32324.435226493,33439.070923958,33153.266898967,281406.0
2007-10-17,33153.266898967,32010.050799003,34010.67897394,32295.854823994,157734.0
2007-10-18,32295.854823994,31152.638724029,32295.854823994,31724.246774012,152756.0
2007-10-19,31724.246774012,30866.834699038,32295.854823994,32267.274421495,168346.0
2007-10-22,32267.274421495,31438.44274902,32581.658848985,31781.40757901,118038.0
2007-10-23,31781.40757901,30866.834699038,32010.050799003,31009.736711534,81487.0
2007-10-24,31009.736711534,30866.834699038,31438.44274902,30952.575906536,166905.0
2007-10-25,30952.575906536,30866.834699038,31381.281944022,30981.156309035,200574.0
2007-10-26,30981.156309035,30438.128661552,31438.44274902,30581.030674047,68779.0
2007-10-29,30581.030674047,29152.010549092,30581.030674047,29152.010549092,66945.0
2007-10-30,29152.010549092,28866.206524101,30095.163831562,29152.010549092,82011.0
2007-10-31,29152.010549092,27722.990424136,30009.422624065,28837.626121601,121445.0
2007-11-01,28837.626121601,27722.990424136,29437.814574083,29437.814574083,160878.0
2007-11-02,29437.814574083,29009.108536596,31381.281944022,29152.010549092,100090.0
2007-11-05,29152.010549092,27722.990424136,29723.618599074,28294.598474118,53582.0
2007-11-06,28294.598474118,25722.362249199,28580.402499109,27151.382374154,88299.0
2007-11-07,27151.382374154,26579.774324172,28580.402499109,27151.382374154,146991.0
2007-11-08,27151.382374154,26751.256739166,27722.990424136,26751.256739166,81487.0
2007-11-09,26751.256739166,25722.362249199,27151.382374154,26722.676336667,99828.0
2007-11-15,26179.648689184,23435.93004927,27151.382374154,25436.558224207,47818.0
2007-11-19,24722.04816173,24464.824539238,24864.950174225,24864.950174225,57905.0
2007-11-20,24864.950174225,23893.216489256,25436.558224207,23978.957696753,54106.0
2007-11-22,23378.769244272,22864.321999288,23435.93004927,23150.126024279,196512.0
2007-11-23,23150.126024279,22721.419986792,23578.832061765,23207.286829277,205814.0
2007-11-26,23207.286829277,23007.224011783,23578.832061765,23435.93004927,200574.0
2007-11-27,23435.93004927,23235.867231776,24007.538099252,23435.93004927,132711.0
2007-11-28,23435.93004927,23293.028036774,23721.734074261,23407.349646771,151052.0
2007-11-29,23407.349646771,23293.028036774,23864.636086756,23407.349646771,128126.0
2007-11-30,23407.349646771,23150.126024279,23435.93004927,23264.447634275,137690.0
2007-12-03,23264.447634275,23150.126024279,23578.832061765,23550.251659266,163367.0
2007-12-05,24579.146149234,23721.734074261,24979.271784222,24064.69890425,209744.0
2007-12-06,24064.69890425,23578.832061765,24293.342124243,23807.475281758,166511.0
2007-12-07,23807.475281758,23778.894879259,24293.342124243,24064.69890425,237649.0
2007-12-10,24064.69890425,23578.832061765,24836.369771726,23635.992866764,241972.0
2007-12-12,23321.608439273,23007.224011783,23721.734074261,23178.706426778,177254.0
2007-12-13,23178.706426778,22864.321999288,23435.93004927,22950.063206785,75198.0
2007-12-14,22950.063206785,22578.517974296,23150.126024279,22835.741596788,71530.0
2007-12-17,22835.741596788,22149.81193681,23578.832061765,22292.713949305,124065.0
2007-12-18,22292.713949305,21721.105899323,22292.713949305,22178.392339309,220880.0
2007-12-21,22407.035559302,22149.81193681,22864.321999288,22721.419986792,133628.0
2007-12-24,22721.419986792,22349.874754304,23150.126024279,22435.615961801,125637.0
2007-12-25,22435.615961801,22006.909924314,22435.615961801,22264.133546806,92230.0
2007-12-26,22264.133546806,21864.007911819,22578.517974296,22435.615961801,102972.0
2007-12-27,22435.615961801,22264.133546806,22864.321999288,22578.517974296,107820.0
