Date,Price Open,Price Low,Price High,Price Close,Volume
2009-01-16,1607.351052371,1607.351052371,1607.351052371,1607.351052371,4500.0
2009-05-27,1707.810493144,1607.351052371,1707.810493144,1607.351052371,7200.0
2009-05-28,1607.351052371,1607.351052371,1747.994269454,1737.948325376,2925.0
2009-05-29,1737.948325376,1607.351052371,1747.994269454,1607.351052371,2475.0
2009-06-01,1607.351052371,1607.351052371,1657.580772758,1607.351052371,675.0
2009-06-02,1607.351052371,1607.351052371,1607.351052371,1607.351052371,2475.0
2009-06-05,1506.891611598,1506.891611598,1607.351052371,1607.351052371,16875.0
2009-06-15,1587.259164216,1486.799723443,1627.442940526,1486.799723443,1800.0
2009-06-17,1567.167276062,1506.891611598,1607.351052371,1607.351052371,11025.0
2009-06-18,1607.351052371,1607.351052371,1627.442940526,1627.442940526,3375.0
2009-06-22,1607.351052371,1607.351052371,1607.351052371,1607.351052371,4500.0
2009-07-06,1637.488884603,1627.442940526,1647.53482868,1647.53482868,12825.0
2009-07-17,1627.442940526,1587.259164216,1737.948325376,1587.259164216,675.0
2009-07-23,1386.34028267,1326.064618206,1476.753779366,1476.753779366,13950.0
2009-07-28,1516.937555675,1426.524058979,1597.305108294,1516.937555675,12825.0
2009-07-30,1557.121331985,1547.075387907,1657.580772758,1547.075387907,9450.0
2009-07-31,1547.075387907,1506.891611598,1557.121331985,1547.075387907,16200.0
2009-08-06,1506.891611598,1506.891611598,1607.351052371,1526.983499753,2925.0
2009-08-12,1486.799723443,1486.799723443,1506.891611598,1506.891611598,32400.0
2009-08-14,1557.121331985,1486.799723443,1557.121331985,1506.891611598,11475.0
2009-08-19,1526.983499753,1506.891611598,1526.983499753,1506.891611598,4950.0
2009-08-21,1557.121331985,1506.891611598,1607.351052371,1506.891611598,450.0
2009-08-24,1506.891611598,1506.891611598,1607.351052371,1506.891611598,1125.0
2009-08-28,1506.891611598,1506.891611598,1547.075387907,1547.075387907,450.0
2009-09-10,1537.02944383,1516.937555675,1537.02944383,1516.937555675,2250.0
