Date,Price Open,Price Low,Price High,Price Close,Volume
2006-12-22,1797.0101356685,1779.895753424,1814.124517913,1814.124517913,18820.0
2007-03-09,8858.404249735,8146.445948366,9741.50637355,8858.404249735,19447.0
2007-03-12,8858.404249735,8762.563709166,9296.532435194,8762.563709166,9410.0
2007-03-15,8146.445948366,7386.567376711,8146.445948366,7386.567376711,5018.0
2007-03-16,7386.567376711,6914.210426764,7680.934751316,7680.934751316,16310.0
2007-03-19,7680.934751316,7037.433978924,7735.700774498,7735.700774498,23211.0
2007-04-05,7314.590268918,7314.590268918,7314.590268918,7314.590268918,1254.0
2007-04-11,7105.60197552,7105.60197552,7105.60197552,7105.60197552,1882.0
2007-04-12,7105.60197552,6395.041777968,7175.264739986,6395.041777968,4391.0
2007-05-09,5155.044570476,5155.044570476,5224.707334942,5155.044570476,11919.0
2007-05-25,5573.021157271,5294.370099407,6018.862849853,6018.862849853,25093.0
2007-05-28,6018.862849853,5872.571044474,6443.805713095,5872.571044474,45168.0
2007-05-29,5872.571044474,5782.009450669,5990.997744066,5990.997744066,10664.0
2007-05-31,5642.683921737,5579.987433718,5921.3349796,5851.672215135,16310.0
2007-06-04,5782.009450669,5775.043174222,6130.323272998,5775.043174222,3136.0
2007-06-07,5921.3349796,5586.953710164,6004.930296959,5586.953710164,8155.0
2007-06-13,5851.672215135,5788.975727115,5886.503597367,5851.672215135,28230.0
2007-06-18,5816.840832902,5809.874556455,5914.368703154,5809.874556455,11292.0
2007-06-20,5809.874556455,5712.346686203,5851.672215135,5851.672215135,13801.0
2007-06-22,5510.324669252,5503.358392805,5573.021157271,5566.054880824,16310.0
2007-08-15,3901.11481009,3761.789281158,4291.226291099,4291.226291099,1882.0
2007-08-23,4040.440339021,3831.452045624,4040.440339021,4040.440339021,9410.0
2007-09-10,4381.787884904,4374.821608458,4388.754161351,4388.754161351,8155.0
2007-09-11,4388.754161351,4179.765867953,4806.730748146,4179.765867953,3764.0
2007-09-14,4744.034260127,4528.079690283,4890.326065505,4528.079690283,8155.0
2007-09-19,4876.393512612,4876.393512612,5189.875952709,4876.393512612,10664.0
2007-09-24,4946.056277078,4862.460959719,5050.550423777,4946.056277078,57087.0
2007-09-25,4946.056277078,4946.056277078,5433.695628339,5085.38180601,25093.0
2007-10-04,6269.64880193,5782.009450669,6408.974330862,5782.009450669,65870.0
