Date,Price Open,Price Low,Price High,Price Close,Volume
2000-07-28,687.544449449,687.544449449,687.544449449,687.544449449,45877.0
2000-09-06,784.609548195,784.609548195,784.609548195,784.609548195,811465.0
2000-09-22,841.230855797,841.230855797,841.230855797,841.230855797,715408.0
2000-09-25,841.230855797,841.230855797,841.230855797,841.230855797,590678.0
2000-10-02,857.408372255,857.408372255,857.408372255,857.408372255,345517.0
2000-10-04,857.408372255,857.408372255,857.408372255,857.408372255,518993.0
2000-10-23,970.650987458,970.650987458,970.650987458,970.650987458,262364.0
2001-01-15,1472.153997645,1472.153997645,1472.153997645,1472.153997645,1055191.0
2003-05-23,1297.348228015,1292.672157172,1299.335415715,1292.672157172,79235.0
2003-07-02,1319.100632752,1312.661932799,1319.325191341,1312.661932799,13858.0
2003-09-12,1275.13061166,1251.534213663,1286.299052932,1286.299052932,68338.0
2003-11-07,1232.702830293,1230.675310102,1251.534213663,1251.534213663,87072.0
2004-12-31,2726.158700357,2682.994696188,2755.508066355,2755.508066355,390249.0
2005-02-04,2719.022159257,2682.99462166,2757.522250039,2757.522250039,9940.0
2005-02-16,2711.885618156,2705.352910174,2712.805673012,2712.805673012,95.0
2005-02-17,2711.885618156,2697.900147336,2720.25843585,2697.900147336,33548.0
2005-02-18,2719.022159257,2697.900147336,2727.711198688,2697.900147336,28100.0
2005-02-25,2719.022159257,2712.805673012,2720.25843585,2720.25843585,72640.0
2005-03-28,2813.518762489,2802.238827067,2832.049878419,2802.238827067,82675.0
2009-04-23,3997.233639801,3854.475295522,4229.215949253,3854.475295522,6686478.0
2009-12-09,4782.404533333,4722.922292613,4851.063595126,4722.922292613,5535422.0
2009-12-24,4871.628498507,4704.616392254,4960.89899728,4960.89899728,7277751.0
2009-12-28,5371.282703482,5162.263901229,5400.240605895,5290.405203741,5220610.0
2009-12-30,5174.989980099,5125.652100511,5400.240605895,5235.487502665,5977117.0
2010-01-15,5888.781701492,5839.58221451,6022.6412181,5876.194015228,12871711.0
2010-01-20,5496.196254726,5400.240605895,5601.605509844,5400.240605895,5280863.0
2010-01-26,5264.213945273,5180.569801588,5327.017004459,5327.017004459,5054891.0
2010-03-16,5710.333771144,5583.299609485,5784.664513434,5601.605509844,6635197.0
2010-03-22,5853.092115423,5766.358613075,6022.6412181,5967.723517023,18856570.0
2010-04-12,5888.781701492,5821.276314151,5894.499915587,5821.276314151,4188741.0
2010-04-14,5817.402529353,5802.970413793,5839.58221451,5821.276314151,2855430.0
2010-05-04,6031.540045771,5988.856613998,6064.905586874,6026.881100436,3815787.0
2010-07-12,5217.181602306,5209.354642017,5323.428101331,5323.428101331,986701.0
2011-06-23,3365.16704977,3302.65141748,3385.217702917,3302.65141748,697419.0
2011-06-24,3251.093590456,3220.085132043,3343.934560199,3261.368274762,636990.0
2011-06-29,3041.958915047,3013.669418451,3096.235703888,3054.952561169,819597.0
2011-10-11,2792.190311743,2724.687419421,2807.253704858,2724.687419421,604027.0
2011-12-21,1940.30770777,1899.024565051,1981.590850488,1899.024565051,4633823.0
2012-03-06,2476.98856311,2394.422277673,2600.837991266,2394.422277673,6361770.0
2012-03-07,2353.139134955,2353.139134955,2476.98856311,2476.98856311,4183881.0
2012-03-12,2435.705420392,2435.705420392,2559.554848547,2435.705420392,3055431.0
2012-03-14,2394.422277673,2311.855992236,2435.705420392,2311.855992236,6480803.0
2012-03-15,2311.855992236,2229.289706799,2394.422277673,2394.422277673,5424745.0
2012-03-16,2353.139134955,2353.139134955,2476.98856311,2394.422277673,5258697.0
2012-03-19,2353.139134955,2311.855992236,2435.705420392,2353.139134955,2611822.0
2012-03-20,2353.139134955,2270.572849518,2394.422277673,2311.855992236,8435998.0
2012-03-22,2476.98856311,2476.98856311,2476.98856311,2476.98856311,1233915.0
2012-03-26,2559.554848547,2559.554848547,2724.687419421,2724.687419421,11114649.0
2012-03-27,2600.837991266,2600.837991266,2848.536847577,2600.837991266,6527247.0
2012-03-28,2642.121133984,2476.98856311,2642.121133984,2642.121133984,4068124.0
2012-03-29,2559.554848547,2518.271705829,2642.121133984,2518.271705829,4892010.0
2012-10-04,2600.837991266,2559.554848547,2642.121133984,2600.837991266,772780.0
2012-10-24,2683.404276703,2642.121133984,2724.687419421,2683.404276703,2498264.0
2012-10-29,2642.121133984,2642.121133984,2724.687419421,2683.404276703,1114200.0
2012-11-02,2559.554848547,2518.271705829,2559.554848547,2518.271705829,6740464.0
2013-01-25,3096.235703888,3096.235703888,3220.085132043,3220.085132043,4316504.0
2013-02-22,3343.934560199,3343.934560199,3632.916559228,3467.783988354,7965539.0
2013-02-25,3550.350273791,3426.500845636,3550.350273791,3467.783988354,2074667.0
