Date,Price Open,Price Low,Price High,Price Close,Volume
2010-06-01,4512.478577623,4231.481743119,4793.475412127,4297.598645355,326885.0
2010-06-03,4099.247938647,4099.247938647,4264.540194237,4264.540194237,121988.0
2010-06-04,4264.540194237,4099.247938647,4297.598645355,4198.423292001,42755.0
2010-06-09,3801.721878584,3702.546525229,3900.897231938,3702.546525229,44173.0
2010-06-10,3702.546525229,3537.254269639,3801.721878584,3636.429622993,38597.0
2010-06-11,3636.429622993,3471.137367402,3702.546525229,3603.371171875,135575.0
2010-06-17,4099.247938647,3933.955683056,4132.306389765,4033.13103641,163075.0
2010-06-18,4033.13103641,3933.955683056,4033.13103641,3933.955683056,64984.0
2010-06-21,3933.955683056,3900.897231938,4099.247938647,4066.189487529,94982.0
2010-06-22,4066.189487529,3967.014134174,4066.189487529,3967.014134174,126713.0
2010-06-23,3967.014134174,3967.014134174,4165.364840883,4165.364840883,296750.0
2010-06-24,4165.364840883,4165.364840883,4264.540194237,4165.364840883,153824.0
2010-06-28,4033.13103641,3967.014134174,4033.13103641,3967.014134174,91370.0
2010-06-29,3967.014134174,3900.897231938,4033.13103641,3900.897231938,59818.0
2010-06-30,3900.897231938,3735.604976347,3900.897231938,3801.721878584,79852.0
2010-07-01,3801.721878584,3801.721878584,3834.780329702,3834.780329702,61739.0
2010-07-02,3834.780329702,3801.721878584,3967.014134174,3801.721878584,29168.0
2010-07-05,3801.721878584,3735.604976347,3801.721878584,3801.721878584,59377.0
2010-07-06,3801.721878584,3669.488074111,3801.721878584,3735.604976347,35710.0
2010-07-07,3735.604976347,3669.488074111,3735.604976347,3669.488074111,68239.0
2010-07-08,3669.488074111,3669.488074111,3801.721878584,3702.546525229,70118.0
2010-07-09,3702.546525229,3636.429622993,3735.604976347,3636.429622993,56143.0
2010-07-12,3636.429622993,3603.371171875,3636.429622993,3636.429622993,82319.0
2010-07-13,3636.429622993,3636.429622993,3735.604976347,3735.604976347,76775.0
2010-07-14,3735.604976347,3636.429622993,3735.604976347,3669.488074111,57434.0
2010-07-15,3669.488074111,3603.371171875,3702.546525229,3636.429622993,45653.0
2010-07-16,3636.429622993,3603.371171875,3702.546525229,3636.429622993,100852.0
2010-07-19,3636.429622993,3603.371171875,3669.488074111,3669.488074111,122419.0
2010-07-20,3669.488074111,3636.429622993,3735.604976347,3702.546525229,148018.0
2010-07-21,3702.546525229,3636.429622993,3702.546525229,3636.429622993,94930.0
2010-07-22,3636.429622993,3603.371171875,3669.488074111,3636.429622993,83201.0
2010-07-23,3636.429622993,3570.312720757,3636.429622993,3570.312720757,167915.0
2010-07-26,3570.312720757,3570.312720757,3636.429622993,3570.312720757,142012.0
2010-07-27,3570.312720757,3537.254269639,3603.371171875,3570.312720757,95014.0
2010-07-28,3570.312720757,3438.078916284,3603.371171875,3438.078916284,78371.0
2010-07-29,3438.078916284,3405.020465166,3438.078916284,3438.078916284,51806.0
2010-07-30,3438.078916284,3405.020465166,3504.195818521,3471.137367402,61582.0
2010-08-03,3371.962014048,3305.845111812,3405.020465166,3338.90356293,37610.0
2010-08-05,3272.786660694,3239.728209576,3338.90356293,3239.728209576,46388.0
2010-08-06,3239.728209576,3206.669758458,3272.786660694,3206.669758458,46483.0
2010-08-09,3206.669758458,3074.435953985,3239.728209576,3074.435953985,85217.0
2010-08-10,3074.435953985,2942.202149513,3074.435953985,3041.377502867,71032.0
2010-08-11,3041.377502867,2975.260600631,3140.552856221,3008.319051749,49948.0
2010-08-12,3008.319051749,2909.143698394,3041.377502867,2909.143698394,106207.0
2010-08-13,2909.143698394,2909.143698394,2975.260600631,2942.202149513,51323.0
2010-08-16,2942.202149513,2942.202149513,3074.435953985,3074.435953985,75589.0
2010-08-18,3041.377502867,2942.202149513,3074.435953985,2975.260600631,39154.0
2010-08-19,2975.260600631,2942.202149513,2975.260600631,2942.202149513,7622.0
2010-08-20,2942.202149513,2843.026796158,2942.202149513,2909.143698394,54242.0
2010-08-23,2909.143698394,2876.085247276,2975.260600631,2876.085247276,9134.0
2010-08-24,2876.085247276,2776.909893922,2876.085247276,2776.909893922,62810.0
2010-08-25,2776.909893922,2644.676089449,2843.026796158,2644.676089449,53465.0
2010-08-26,2644.676089449,2644.676089449,2743.851442804,2677.734540568,25787.0
2010-08-27,2677.734540568,2611.617638331,2677.734540568,2611.617638331,24590.0
2010-08-30,2611.617638331,2611.617638331,2710.792991686,2710.792991686,63073.0
2010-09-07,3107.494405103,3041.377502867,3239.728209576,3140.552856221,96820.0
2010-09-08,3140.552856221,3008.319051749,3140.552856221,3074.435953985,78476.0
2010-09-09,3074.435953985,3041.377502867,3140.552856221,3074.435953985,30554.0
2010-09-10,3074.435953985,2942.202149513,3107.494405103,2942.202149513,103750.0
2010-09-13,2942.202149513,2876.085247276,2942.202149513,2942.202149513,18238.0
2010-09-14,2942.202149513,2942.202149513,3041.377502867,3008.319051749,16831.0
2010-09-15,3008.319051749,2975.260600631,3008.319051749,2975.260600631,34471.0
2010-09-16,2975.260600631,2942.202149513,3008.319051749,3008.319051749,18542.0
2010-09-17,3008.319051749,2942.202149513,3041.377502867,3008.319051749,56584.0
2010-09-20,3008.319051749,2942.202149513,3008.319051749,2975.260600631,65152.0
2010-09-21,2975.260600631,2876.085247276,2975.260600631,2942.202149513,54935.0
2010-09-22,2942.202149513,2942.202149513,2975.260600631,2975.260600631,8431.0
2010-09-23,2975.260600631,2876.085247276,2975.260600631,2876.085247276,23015.0
2010-09-24,2876.085247276,2876.085247276,2975.260600631,2909.143698394,14678.0
2010-09-27,2909.143698394,2843.026796158,2942.202149513,2942.202149513,34082.0
2010-09-28,2942.202149513,2909.143698394,2975.260600631,2942.202149513,22448.0
2010-09-29,2942.202149513,2876.085247276,2942.202149513,2876.085247276,6940.0
2010-09-30,2876.085247276,2776.909893922,2909.143698394,2876.085247276,24842.0
2010-10-01,2876.085247276,2776.909893922,2876.085247276,2776.909893922,20390.0
2010-10-04,2776.909893922,2710.792991686,2909.143698394,2710.792991686,47680.0
2010-10-05,2710.792991686,2710.792991686,2809.96834504,2743.851442804,17965.0
2010-10-06,2743.851442804,2743.851442804,2809.96834504,2809.96834504,16862.0
2010-10-07,2809.96834504,2776.909893922,2843.026796158,2776.909893922,19162.0
2010-10-08,2776.909893922,2743.851442804,2776.909893922,2743.851442804,11591.0
2010-10-11,2743.851442804,2710.792991686,2743.851442804,2710.792991686,23341.0
2010-10-12,2710.792991686,2677.734540568,2776.909893922,2677.734540568,15277.0
2010-10-14,2776.909893922,2776.909893922,2809.96834504,2776.909893922,10625.0
2010-10-15,2776.909893922,2677.734540568,2809.96834504,2743.851442804,6782.0
2010-10-18,2743.851442804,2644.676089449,2743.851442804,2710.792991686,9932.0
2010-10-19,2710.792991686,2677.734540568,2743.851442804,2743.851442804,8893.0
2010-10-21,2611.617638331,2512.442284977,2644.676089449,2512.442284977,35678.0
2010-10-22,2512.442284977,2413.266931623,2611.617638331,2545.500736095,82487.0
2010-10-25,2545.500736095,2479.383833859,2644.676089449,2644.676089449,47533.0
2010-10-26,2644.676089449,2644.676089449,2776.909893922,2677.734540568,46535.0
2010-10-27,2677.734540568,2578.559187213,2776.909893922,2677.734540568,8378.0
2010-10-28,2677.734540568,2578.559187213,2743.851442804,2677.734540568,7412.0
2010-10-29,2677.734540568,2644.676089449,2710.792991686,2677.734540568,13870.0
2010-11-01,2677.734540568,2611.617638331,2677.734540568,2644.676089449,15224.0
2010-11-02,2644.676089449,2611.617638331,2677.734540568,2677.734540568,17923.0
2010-11-03,2677.734540568,2578.559187213,2677.734540568,2578.559187213,33631.0
2010-11-04,2578.559187213,2578.559187213,2644.676089449,2644.676089449,23929.0
2010-11-05,2644.676089449,2611.617638331,2677.734540568,2677.734540568,56920.0
2010-11-08,2677.734540568,2611.617638331,2710.792991686,2611.617638331,28948.0
2010-11-09,2611.617638331,2512.442284977,2644.676089449,2611.617638331,99581.0
2010-11-10,2611.617638331,2578.559187213,2644.676089449,2611.617638331,15886.0
2010-11-11,2611.617638331,2578.559187213,2644.676089449,2578.559187213,41947.0
2010-11-12,2578.559187213,2479.383833859,2578.559187213,2545.500736095,24674.0
2010-11-15,2545.500736095,2446.325382741,2545.500736095,2446.325382741,80555.0
2010-11-16,2446.325382741,2347.150029386,2446.325382741,2380.208480505,60217.0
2010-11-18,2446.325382741,2413.266931623,2512.442284977,2479.383833859,19477.0
2010-11-19,2479.383833859,2380.208480505,2512.442284977,2479.383833859,11234.0
2010-11-22,2479.383833859,2413.266931623,2479.383833859,2446.325382741,29767.0
2010-11-23,2446.325382741,2446.325382741,2512.442284977,2512.442284977,24895.0
2010-11-24,2512.442284977,2446.325382741,2512.442284977,2446.325382741,36707.0
2010-11-25,2446.325382741,2446.325382741,2545.500736095,2545.500736095,62716.0
2010-11-26,2545.500736095,2512.442284977,2611.617638331,2545.500736095,18353.0
2010-11-29,2545.500736095,2479.383833859,2578.559187213,2545.500736095,20485.0
2010-11-30,2545.500736095,2545.500736095,2644.676089449,2644.676089449,90793.0
2010-12-01,2644.676089449,2578.559187213,2743.851442804,2611.617638331,22669.0
