Date,Price Open,Price Low,Price High,Price Close,Volume
2007-10-18,45511.613884173,45511.613884173,45511.613884173,45511.613884173,8886.0
2007-10-29,60445.112189917,59259.913911683,62815.508746384,59259.913911683,465918.0
2007-11-01,56415.438043923,56415.438043923,57126.557010863,56889.517355216,261813.0
2007-11-02,56889.517355216,56178.398388276,57600.636322156,56178.398388276,114022.0
2007-11-16,50489.446652754,50015.367341461,50489.446652754,50252.406997107,183300.0
2007-11-19,50252.406997107,50015.367341461,50726.486308401,50015.367341461,165772.0
2007-11-20,50015.367341461,49304.248374521,50015.367341461,49304.248374521,268538.0
2007-11-22,49067.208718874,49067.208718874,49304.248374521,49067.208718874,127857.0
2007-11-27,49304.248374521,48830.169063227,49778.327685814,48830.169063227,353341.0
2007-11-28,48830.169063227,48830.169063227,49541.288030167,49541.288030167,219211.0
2007-11-29,49541.288030167,49541.288030167,50015.367341461,49541.288030167,132213.0
2007-12-03,49067.208718874,49067.208718874,49067.208718874,49067.208718874,179397.0
2007-12-04,49067.208718874,49067.208718874,49541.288030167,49067.208718874,215517.0
2007-12-05,49067.208718874,48593.12940758,49067.208718874,48593.12940758,155247.0
2007-12-06,48593.12940758,48356.089751934,48593.12940758,48356.089751934,143138.0
2007-12-11,46459.77250676,45037.534572879,46459.77250676,45037.534572879,473985.0
2007-12-12,45037.534572879,44563.455261586,45985.693195466,45511.613884173,227278.0
2007-12-13,45511.613884173,44563.455261586,45511.613884173,44563.455261586,213757.0
2007-12-21,42904.177672059,42667.138016412,43615.296638999,43615.296638999,143329.0
2007-12-27,42904.177672059,42430.098360765,43141.217327705,42430.098360765,134687.0
2007-12-28,42430.098360765,42430.098360765,42667.138016412,42667.138016412,109771.0
2008-01-02,42667.138016412,42667.138016412,43378.256983352,42667.138016412,52010.0
2008-01-03,42667.138016412,41718.979393825,42667.138016412,41956.019049472,67936.0
2008-01-04,41956.019049472,41481.939738178,41956.019049472,41481.939738178,79993.0
2008-01-09,41244.900082532,40533.781115591,41244.900082532,40533.781115591,101686.0
2008-01-11,39585.622493004,39111.543181711,40296.741459945,39822.662148651,132892.0
2008-01-14,39822.662148651,38637.463870418,40059.701804298,38637.463870418,127212.0
2008-01-17,38637.463870418,37215.225936537,39111.543181711,37926.344903477,158889.0
2008-01-18,37926.344903477,37452.265592184,39348.582837358,39111.543181711,76892.0
2008-01-21,39111.543181711,38637.463870418,39348.582837358,38637.463870418,163280.0
2008-01-24,36030.027658303,35555.94834701,36741.146625244,35555.94834701,184903.0
2008-01-25,35555.94834701,34607.789724423,36030.027658303,35555.94834701,112942.0
2008-01-28,35555.94834701,35081.869035717,35555.94834701,35318.908691363,53509.0
2008-01-29,35318.908691363,35318.908691363,36978.18628089,36978.18628089,177986.0
2008-01-31,38637.463870418,37926.344903477,39822.662148651,39822.662148651,226668.0
2008-02-13,38874.503526064,37689.305247831,38874.503526064,37689.305247831,108028.0
2008-02-15,38163.384559124,37452.265592184,38163.384559124,37926.344903477,105572.0
2008-02-19,36267.06731395,36030.027658303,36504.106969597,36267.06731395,95431.0
2008-02-26,32948.512134896,31526.274201016,32948.512134896,31526.274201016,98044.0
2008-02-27,31526.274201016,30104.036267135,31526.274201016,30104.036267135,102278.0
2008-03-07,24889.163842907,24889.163842907,26074.362121141,26074.362121141,480815.0
2008-03-10,26074.362121141,24889.163842907,27259.560399374,24889.163842907,232227.0
2008-03-12,23703.965564673,22755.806942086,24652.12418726,23229.88625338,141395.0
2008-03-13,23229.88625338,22400.247458616,23703.965564673,22874.32676991,118727.0
2008-03-27,15170.537961391,15052.018133568,15289.057789214,15289.057789214,324783.0
