Date,Price Open,Price Low,Price High,Price Close,Volume
2014-06-30,3312.874575082,2880.760500071,3312.874575082,2880.760500071,14242.0
2014-07-01,3024.798525075,2823.14529007,3024.798525075,2823.14529007,48422.0
2014-07-02,2592.684450064,2563.876845064,2592.684450064,2563.876845064,48138.0
2014-07-03,2621.492055065,2592.684450064,2794.337685069,2794.337685069,43010.0
2014-07-04,2563.876845064,2535.069240063,2563.876845064,2535.069240063,13957.0
2014-07-07,2794.337685069,2794.337685069,2794.337685069,2794.337685069,5696.0
2014-07-08,,2909.568105072,2909.568105072,,0.0
2014-07-09,2794.337685069,2794.337685069,2794.337685069,2794.337685069,5696.0
2014-07-10,2794.337685069,2794.337685069,2880.760500071,2794.337685069,1424.0
2014-07-11,2880.760500071,2880.760500071,2880.760500071,2880.760500071,1709.0
2014-07-14,2851.952895071,2794.337685069,2851.952895071,,27059.0
2014-07-15,2967.183315074,2967.183315074,2967.183315074,2967.183315074,4272.0
2014-07-16,2880.760500071,2880.760500071,2880.760500071,2880.760500071,8545.0
2014-07-18,2736.722475068,2736.722475068,2736.722475068,2736.722475068,1424.0
2014-07-21,2765.530080069,2736.722475068,2765.530080069,2736.722475068,8545.0
2014-07-22,2736.722475068,2736.722475068,2736.722475068,2736.722475068,0.0
2014-07-23,2736.722475068,2736.722475068,2736.722475068,2736.722475068,2848.0
2014-07-24,2736.722475068,2736.722475068,2736.722475068,2736.722475068,0.0
2014-07-25,2621.492055065,2621.492055065,2621.492055065,2621.492055065,569.0
2014-07-28,2621.492055065,2621.492055065,2621.492055065,2621.492055065,0.0
2014-07-29,2851.952895071,2851.952895071,2851.952895071,2851.952895071,1139.0
2014-07-30,2851.952895071,2851.952895071,2851.952895071,2851.952895071,0.0
2014-07-31,2851.952895071,2851.952895071,2851.952895071,2851.952895071,0.0
2014-08-01,2851.952895071,2851.952895071,2851.952895071,2851.952895071,0.0
2014-08-11,2650.299660066,2650.299660066,2650.299660066,2650.299660066,11393.0
2014-08-13,2650.299660066,2650.299660066,2707.914870067,2707.914870067,14242.0
2014-08-15,2679.107265066,2679.107265066,2679.107265066,2679.107265066,1424.0
2014-08-19,2679.107265066,2679.107265066,2679.107265066,2679.107265066,28768.0
2014-08-20,2679.107265066,2650.299660066,2679.107265066,2679.107265066,79470.0
2014-08-21,2592.684450064,2592.684450064,2592.684450064,2592.684450064,19938.0
2014-08-22,2736.722475068,2736.722475068,2736.722475068,2736.722475068,2848.0
2014-08-29,2909.568105072,2909.568105072,2909.568105072,2909.568105072,284.0
2014-09-03,2679.107265066,2650.299660066,2679.107265066,2650.299660066,14242.0
2014-09-04,2736.722475068,2650.299660066,2736.722475068,2679.107265066,19084.0
2014-09-09,2707.914870067,2707.914870067,2707.914870067,2707.914870067,11393.0
2014-09-11,2650.299660066,2650.299660066,2650.299660066,2650.299660066,284.0
2014-09-15,2650.299660066,2650.299660066,2650.299660066,2650.299660066,3133.0
2014-09-19,2880.760500071,2880.760500071,2880.760500071,2880.760500071,17090.0
2014-09-23,2679.107265066,2679.107265066,2679.107265066,2679.107265066,854.0
2014-09-25,2679.107265066,2679.107265066,2679.107265066,2679.107265066,5981.0
2014-09-26,2823.14529007,2823.14529007,2823.14529007,2823.14529007,5696.0
2014-09-29,2794.337685069,2794.337685069,2851.952895071,2851.952895071,22787.0
2014-09-30,2823.14529007,2707.914870067,2823.14529007,2707.914870067,2848.0
2014-10-01,2823.14529007,2736.722475068,2851.952895071,2736.722475068,6266.0
2014-10-02,2707.914870067,2707.914870067,2707.914870067,2707.914870067,569.0
2014-10-03,2823.14529007,2823.14529007,2823.14529007,2823.14529007,2848.0
2014-10-07,2736.722475068,2736.722475068,2736.722475068,2736.722475068,11393.0
2014-10-09,2592.684450064,2535.069240063,2880.760500071,2880.760500071,9114.0
2014-10-10,2851.952895071,2851.952895071,2851.952895071,2851.952895071,10823.0
2014-10-13,2851.952895071,2851.952895071,2851.952895071,2851.952895071,2848.0
2014-10-15,2880.760500071,2880.760500071,2880.760500071,2880.760500071,7405.0
2014-10-16,2851.952895071,2851.952895071,2851.952895071,2851.952895071,1139.0
2014-10-20,3024.798525075,3024.798525075,3024.798525075,3024.798525075,17090.0
2014-10-21,2995.990920074,2823.14529007,2995.990920074,2823.14529007,19938.0
2014-10-23,2995.990920074,2995.990920074,2995.990920074,2995.990920074,5696.0
2014-10-24,2707.914870067,2707.914870067,2967.183315074,2736.722475068,12532.0
2014-10-27,2736.722475068,2707.914870067,2736.722475068,2707.914870067,2848.0
2014-10-29,2967.183315074,2967.183315074,2967.183315074,2967.183315074,284.0
2014-10-30,2880.760500071,2765.530080069,2880.760500071,2880.760500071,15666.0
2014-11-03,2592.684450064,2592.684450064,2938.375710073,2938.375710073,1709.0
2014-11-04,2592.684450064,2592.684450064,2938.375710073,2938.375710073,3702.0
2014-11-05,2938.375710073,2938.375710073,2938.375710073,2938.375710073,8545.0
2014-11-06,2938.375710073,2938.375710073,2938.375710073,2938.375710073,3133.0
2014-11-07,2794.337685069,2765.530080069,2794.337685069,2765.530080069,2848.0
2014-11-10,2967.183315074,2967.183315074,2967.183315074,2967.183315074,2278.0
2014-11-11,2880.760500071,2880.760500071,2967.183315074,2967.183315074,14811.0
2014-11-13,2967.183315074,2967.183315074,2967.183315074,2967.183315074,11393.0
2014-11-14,2880.760500071,2880.760500071,2880.760500071,2880.760500071,1709.0
2014-11-18,2909.568105072,2909.568105072,2909.568105072,2909.568105072,34180.0
2014-11-19,2909.568105072,2909.568105072,2909.568105072,2909.568105072,8545.0
2014-11-20,2909.568105072,2909.568105072,2909.568105072,2909.568105072,284.0
2014-11-24,2938.375710073,2938.375710073,2938.375710073,2938.375710073,5696.0
2014-11-26,2938.375710073,2938.375710073,2938.375710073,2938.375710073,17375.0
2014-11-27,2938.375710073,2938.375710073,2938.375710073,2938.375710073,2848.0
2014-12-05,2938.375710073,2938.375710073,2938.375710073,2938.375710073,11678.0
2014-12-11,2938.375710073,2938.375710073,2938.375710073,2938.375710073,14242.0
2014-12-12,3024.798525075,2967.183315074,3024.798525075,2967.183315074,27344.0
2014-12-15,2967.183315074,2967.183315074,2995.990920074,2995.990920074,37029.0
2014-12-16,2995.990920074,2995.990920074,3255.259365081,3255.259365081,31332.0
2014-12-17,3255.259365081,3024.798525075,3255.259365081,3024.798525075,33611.0
2014-12-18,3082.413735076,3053.606130076,3399.297390084,3399.297390084,139571.0
2014-12-19,3168.836550079,3168.836550079,3168.836550079,3168.836550079,3133.0
2014-12-22,3168.836550079,3168.836550079,3168.836550079,3168.836550079,569.0
2014-12-23,3485.720205086,3485.720205086,3485.720205086,3485.720205086,567402.0
2014-12-24,3831.411465095,3802.603860094,3831.411465095,3831.411465095,1468638.0
2014-12-26,3456.912600086,3456.912600086,3456.912600086,3456.912600086,56968.0
2014-12-29,3111.221340077,3111.221340077,3168.836550079,3140.028945078,12817.0
2014-12-30,3168.836550079,3168.836550079,3168.836550079,3168.836550079,34465.0
2014-12-31,3111.221340077,3082.413735076,3456.912600086,3456.912600086,35605.0
2015-01-06,3168.836550079,3168.836550079,3255.259365081,3255.259365081,17090.0
2015-01-07,3168.836550079,3111.221340077,3168.836550079,3111.221340077,5696.0
2015-01-08,3140.028945078,3140.028945078,3197.644155079,3197.644155079,39023.0
2015-01-09,3111.221340077,3111.221340077,3226.45176008,3197.644155079,31332.0
2015-01-12,2938.375710073,2938.375710073,3168.836550079,3168.836550079,17090.0
2015-01-13,3168.836550079,3168.836550079,3168.836550079,3168.836550079,30762.0
2015-01-14,3168.836550079,3168.836550079,3168.836550079,3168.836550079,28484.0
2015-01-15,3255.259365081,3255.259365081,3312.874575082,3312.874575082,28484.0
2015-01-16,3312.874575082,3312.874575082,3312.874575082,3312.874575082,0.0
2015-01-19,3168.836550079,3168.836550079,3312.874575082,3312.874575082,52125.0
2015-01-20,3284.066970081,3255.259365081,3284.066970081,3284.066970081,45574.0
2015-01-21,3255.259365081,3255.259365081,3255.259365081,3255.259365081,14242.0
2015-01-26,3255.259365081,3255.259365081,3255.259365081,3255.259365081,0.0
2015-02-02,3255.259365081,3255.259365081,3255.259365081,3255.259365081,2278.0
2015-02-03,3312.874575082,3312.874575082,3312.874575082,3312.874575082,569.0
2015-02-26,3312.874575082,3312.874575082,3312.874575082,3312.874575082,284.0
2015-03-02,3312.874575082,3312.874575082,3312.874575082,3312.874575082,284.0
2015-03-05,3255.259365081,3168.836550079,3255.259365081,3168.836550079,1709.0
2015-03-06,3168.836550079,3168.836550079,3197.644155079,3197.644155079,17090.0
2015-03-09,3082.413735076,3082.413735076,3082.413735076,3082.413735076,2848.0
2015-03-10,3111.221340077,3111.221340077,3111.221340077,3111.221340077,199388.0
2015-03-12,3111.221340077,3111.221340077,3111.221340077,3111.221340077,6836.0
2015-03-13,3140.028945078,3111.221340077,3140.028945078,3111.221340077,208218.0
2015-03-16,3168.836550079,3168.836550079,3168.836550079,3168.836550079,28484.0
2015-03-17,3168.836550079,3168.836550079,3456.912600086,3456.912600086,71210.0
2015-03-19,3312.874575082,3284.066970081,3456.912600086,3456.912600086,25635.0
2015-03-20,3284.066970081,3255.259365081,3629.75823009,3629.75823009,137862.0
2015-03-23,3658.565835091,3572.143020089,3658.565835091,3658.565835091,111372.0
2015-03-24,3658.565835091,3629.75823009,3687.373440091,3658.565835091,95421.0
2015-03-25,3687.373440091,3658.565835091,3687.373440091,3658.565835091,55543.0
2015-03-26,3658.565835091,3658.565835091,3658.565835091,3658.565835091,82603.0
2015-03-27,3658.565835091,3658.565835091,3687.373440091,3687.373440091,56968.0
2015-03-30,3629.75823009,3370.489785084,3629.75823009,3370.489785084,3418.0
2015-04-01,3687.373440091,3687.373440091,3687.373440091,3687.373440091,284.0
2015-04-07,3370.489785084,3370.489785084,3370.489785084,3370.489785084,284.0
2015-04-08,3226.45176008,3226.45176008,3284.066970081,3284.066970081,1709.0
2015-04-13,3024.798525075,3024.798525075,3312.874575082,3312.874575082,44150.0
2015-04-14,2765.530080069,2765.530080069,3053.606130076,3053.606130076,14811.0
2015-04-15,3024.798525075,3024.798525075,3024.798525075,3024.798525075,284.0
2015-04-21,2995.990920074,2995.990920074,2995.990920074,2995.990920074,3702.0
2015-04-23,3168.836550079,3168.836550079,3168.836550079,3168.836550079,284.0
2015-05-05,3485.720205086,3485.720205086,3485.720205086,3485.720205086,284.0
2015-05-07,3485.720205086,3485.720205086,3485.720205086,3485.720205086,284.0
2015-05-11,3140.028945078,3140.028945078,3140.028945078,3140.028945078,5696.0
2015-05-26,3282.463112536,3250.900967223,3282.463112536,3250.900967223,18718.0
2015-05-29,3408.711693787,3408.711693787,3408.711693787,3408.711693787,7799.0
