Date,Price Open,Price Low,Price High,Price Close,Volume
2006-12-20,5503.281636371499,4468.01083349,6538.552439253,5721.233384347,55825.0
2006-12-29,3269.276219627,2844.270311075,3323.76415662,2942.348597664,320714.0
2007-01-03,3269.276219627,3214.788282633,3530.818317197,3519.920729798,264889.0
2007-01-04,3519.920729798,3519.920729798,3726.974890374,3705.179715577,121017.0
2007-01-05,3705.179715577,3596.203841589,3988.516987945,3705.179715577,255522.0
2007-01-08,3705.179715577,3639.794191184,3748.770065172,3639.794191184,153613.0
2007-01-09,3639.794191184,3323.76415662,3650.691778583,3432.740030608,95540.0
2007-01-12,3705.179715577,3596.203841589,3814.155589565,3650.691778583,160357.0
2007-01-15,3650.691778583,3650.691778583,4043.004924938,3650.691778583,152864.0
2007-01-16,3650.691778583,3487.227967602,3759.667652571,3694.282128178,185085.0
2007-01-18,3487.227967602,3378.252093614,3487.227967602,3487.227967602,133006.0
2007-01-19,3487.227967602,3432.740030608,3596.203841589,3596.203841589,165602.0
2007-01-22,3596.203841589,3487.227967602,3868.643526558,3519.920729798,261142.0
2007-01-25,3716.077302976,3617.999016387,3814.155589565,3770.565239969,319216.0
2007-01-26,3770.565239969,3726.974890374,4119.28803673,4119.28803673,443605.0
2007-02-07,7246.895620173,7083.431809191,8064.214675079,7628.311179129,818647.0
2007-02-08,7628.311179129,7137.919746185,7628.311179129,7355.87149416,324836.0
2007-02-09,7355.87149416,6636.630725842,7410.359431154,7028.943872197,165977.0
2007-02-12,7028.943872197,6538.552439253,7355.87149416,6941.763173007,148368.0
2007-02-14,7519.335305141,7399.461843755,8129.600199472,7955.238801092,253649.0
2007-03-02,12532.225508569,11976.448551233,13131.592815501,12859.153130532,339822.0
2007-03-05,12859.153130532,12532.225508569,13720.062535033,13720.062535033,312846.0
2007-03-07,14493.791240345,13077.104878507,15692.525854208,14057.887744395,173096.0
2007-03-09,12750.177256544,11987.346138631,12968.129004519,12423.249634582,269010.0
2007-03-12,12423.249634582,12041.834075625,13611.086661046,12641.201382557,239786.0
2007-03-13,12641.201382557,11987.346138631,13621.984248445,12641.201382557,304229.0
2007-03-14,12641.201382557,11595.032992276,12750.177256544,11769.394390656,181338.0
2007-03-16,11442.466768694,11115.539146731,12183.502711809,12183.502711809,140500.0
2007-03-20,12532.225508569,11398.876419098,12859.153130532,12314.273760594,86173.0
2007-03-21,12314.273760594,12096.322012619,12859.153130532,12423.249634582,210937.0
2007-03-22,12423.249634582,11660.418516669,12859.153130532,11976.448551233,170848.0
2007-03-26,13513.008374457,12532.225508569,14526.484002541,12532.225508569,160357.0
2007-03-27,12532.225508569,11878.370264644,12859.153130532,11878.370264644,47208.0
2007-03-28,11878.370264644,10853.997049161,12641.201382557,12641.201382557,305728.0
2007-03-30,12346.96652279,12259.7858236,13502.110787058,12259.7858236,212810.0
2007-04-03,11518.749880485,10461.683902805,11987.346138631,10897.587398756,137502.0
2007-04-04,10897.587398756,10352.708028818,11660.418516669,11660.418516669,99661.0
2007-04-05,11660.418516669,10788.611524768,11769.394390656,11006.563272743,107529.0
2007-04-09,10679.635650781,10625.147713787,10734.123587774,10679.635650781,67065.0
2007-04-10,10679.635650781,10570.659776793,11660.418516669,10614.250126388,80928.0
2007-04-11,10614.250126388,10352.708028818,10668.738063382,10352.708028818,49456.0
2007-04-12,10352.708028818,9589.876910905,10570.659776793,9807.82865888,84674.0
2007-04-13,9807.82865888,8946.919254378,9916.804532868,8957.816841777,139750.0
2007-04-17,8140.497786871,7530.23289254,9099.485477961,7791.77499011,191454.0
2007-04-19,8412.937471839,8391.142297042,9044.997540967,8391.142297042,179465.0
2007-04-25,7737.287053117,6974.455935204,8009.726738085,7955.238801092,84674.0
2007-05-02,7955.238801092,7682.799116123,7955.238801092,7846.262927104,18733.0
2007-05-03,7846.262927104,7464.847368148,7846.262927104,7791.77499011,69688.0
2007-05-07,7573.823242135,7421.257018553,8369.347122244,7955.238801092,92542.0
2007-05-08,7955.238801092,7955.238801092,8282.166423054,8064.214675079,115772.0
2007-05-09,8064.214675079,7791.77499011,8282.166423054,7835.365339705,74184.0
2007-05-10,7835.365339705,7639.208766528,7846.262927104,7639.208766528,64442.0
2007-05-11,7639.208766528,7628.311179129,7966.13638849,7955.238801092,55076.0
2007-05-14,7955.238801092,7846.262927104,8064.214675079,8009.726738085,143872.0
2007-05-15,8009.726738085,7846.262927104,8118.702612073,7955.238801092,82801.0
2007-05-16,7955.238801092,7791.77499011,8009.726738085,7791.77499011,104157.0
2007-05-18,7878.9556893,7846.262927104,8151.395374269,8151.395374269,157734.0
2007-05-23,9633.4672605,9262.949288942,10592.454951591,10134.756280843,422249.0
2007-05-24,10134.756280843,9459.10586212,10341.810441419,9459.10586212,115772.0
2007-05-25,9459.10586212,8565.503695422,10134.756280843,9916.804532868,292240.0
2007-05-28,9916.804532868,9578.979323506,10243.73215483,9687.955197494,141249.0
2007-05-29,9687.955197494,8990.509603973,9862.316595874,9262.949288942,101160.0
2007-05-31,9099.485477961,9044.997540967,9252.051701544,9164.871002354,173470.0
