Date,Price Open,Price Low,Price High,Price Close,Volume
2009-01-14,1408.490782997,1355.248863365,1461.732702629,1452.052353605,39424.0
2009-01-16,1452.052353605,1442.372004581,1461.732702629,1442.372004581,17920.0
2009-01-21,1355.248863365,1355.248863365,1355.248863365,1355.248863365,1536.0
2009-01-22,1355.248863365,1355.248863365,1364.929212389,1364.929212389,27648.0
2009-01-23,1364.929212389,1355.248863365,1384.289910437,1374.609561413,8448.0
2009-02-03,1355.248863365,1355.248863365,1355.248863365,1355.248863365,11008.0
2009-02-06,1355.248863365,1277.806071172,1413.330957509,1287.486420196,42240.0
2009-02-09,1287.486420196,1287.486420196,1364.929212389,1364.929212389,7168.0
2009-02-13,1200.36327898,1190.682929956,1210.043628004,1210.043628004,19200.0
2009-02-20,1210.043628004,1190.682929956,1219.723977028,1210.043628004,17664.0
2009-02-23,1210.043628004,1190.682929956,1210.043628004,1200.36327898,16640.0
2009-02-24,1200.36327898,1181.002580932,1200.36327898,1190.682929956,23040.0
2009-02-25,1190.682929956,1190.682929956,1190.682929956,1190.682929956,7680.0
2009-02-26,1190.682929956,1190.682929956,1210.043628004,1210.043628004,12288.0
2009-03-02,1219.723977028,1219.723977028,1229.404326052,1219.723977028,17920.0
2009-03-03,1219.723977028,1219.723977028,1219.723977028,1219.723977028,4608.0
2009-03-04,1219.723977028,1210.043628004,1229.404326052,1210.043628004,16640.0
2009-03-13,1306.847118245,1258.445373124,1355.248863365,1258.445373124,49664.0
2009-03-19,1258.445373124,1248.7650241,1258.445373124,1258.445373124,8960.0
2009-03-20,1258.445373124,1258.445373124,1258.445373124,1258.445373124,2560.0
2009-03-23,1258.445373124,1210.043628004,1335.888165317,1210.043628004,768.0
2009-03-26,1268.125722148,1268.125722148,1268.125722148,1268.125722148,256.0
2009-03-27,1268.125722148,1258.445373124,1277.806071172,1258.445373124,3584.0
2009-04-01,1258.445373124,1229.404326052,1258.445373124,1239.084675076,15360.0
2009-04-02,1239.084675076,1239.084675076,1248.7650241,1248.7650241,7680.0
2009-04-07,1258.445373124,1229.404326052,1297.16676922,1297.16676922,31232.0
2009-04-10,1258.445373124,1248.7650241,1268.125722148,1268.125722148,46080.0
2009-04-13,1268.125722148,1258.445373124,1345.568514341,1345.568514341,98048.0
2009-04-14,1345.568514341,1326.207816293,1403.650608485,1335.888165317,46592.0
2009-04-15,1335.888165317,1268.125722148,1335.888165317,1268.125722148,20736.0
2009-04-16,1268.125722148,1258.445373124,1268.125722148,1258.445373124,25600.0
2009-04-17,1258.445373124,1248.7650241,1258.445373124,1258.445373124,13568.0
2009-04-20,1258.445373124,1171.322231908,1335.888165317,1258.445373124,14080.0
2009-04-21,1258.445373124,1229.404326052,1258.445373124,1229.404326052,4096.0
2009-04-22,1229.404326052,1219.723977028,1248.7650241,1219.723977028,8960.0
2009-04-24,1258.445373124,1219.723977028,1268.125722148,1229.404326052,17664.0
2009-04-29,1268.125722148,1210.043628004,1277.806071172,1268.125722148,10240.0
2009-05-04,1268.125722148,1258.445373124,1306.847118245,1306.847118245,105472.0
2009-05-05,1306.847118245,1287.486420196,1355.248863365,1287.486420196,103168.0
2009-05-11,1239.084675076,1200.36327898,1239.084675076,1219.723977028,43008.0
2009-05-12,1219.723977028,1219.723977028,1258.445373124,1248.7650241,33280.0
2009-05-13,1248.7650241,1239.084675076,1287.486420196,1258.445373124,10752.0
2009-05-14,1258.445373124,1239.084675076,1258.445373124,1248.7650241,41472.0
2009-05-18,1258.445373124,1248.7650241,1268.125722148,1258.445373124,25088.0
2009-05-19,1258.445373124,1258.445373124,1277.806071172,1258.445373124,56576.0
2009-05-20,1258.445373124,1258.445373124,1287.486420196,1258.445373124,65792.0
2009-05-21,1258.445373124,1248.7650241,1355.248863365,1355.248863365,227840.0
2009-05-27,1510.134447749,1432.691655557,1626.298636038,1432.691655557,73984.0
