Date,Price Open,Price Low,Price High,Price Close,Volume
2006-12-28,23247.341091824,23247.341091824,23247.341091824,23247.341091824,10.0
2006-12-29,23247.341091824,23247.341091824,23247.341091824,23247.341091824,0.0
2007-01-02,23247.341091824,23247.341091824,23247.341091824,23247.341091824,0.0
2007-01-03,23247.341091824,22096.482621931,23247.341091824,22096.482621931,10.0
2007-01-04,22096.482621931,22096.482621931,22096.482621931,22096.482621931,0.0
2007-01-05,22096.482621931,22096.482621931,22096.482621931,22096.482621931,0.0
2007-01-08,22096.482621931,21175.795846018,22096.482621931,21175.795846018,10.0
2007-01-09,21175.795846018,20140.023223115,21175.795846018,20140.023223115,10.0
2007-01-10,20140.023223115,20140.023223115,20140.023223115,20140.023223115,0.0
2007-01-11,20140.023223115,20140.023223115,20140.023223115,20140.023223115,100.0
2007-01-12,20140.023223115,20140.023223115,20140.023223115,20140.023223115,0.0
2007-01-16,19219.336447201,19219.336447201,19219.336447201,19219.336447201,0.0
2007-01-17,19219.336447201,19219.336447201,19219.336447201,19219.336447201,0.0
2007-01-18,19219.336447201,18298.649671287,19219.336447201,18298.649671287,10.0
2007-01-19,18298.649671287,17493.048742362,18298.649671287,17493.048742362,620.0
2007-01-22,17493.048742362,17493.048742362,17493.048742362,17493.048742362,0.0
2007-01-23,17493.048742362,16687.447813438,17493.048742362,16687.447813438,410.0
2007-01-24,16687.447813438,15881.846884513,16687.447813438,15881.846884513,10.0
2007-01-25,15881.846884513,15191.331802578,15881.846884513,15191.331802578,400.0
2007-01-26,15191.331802578,14500.816720643,15191.331802578,14500.816720643,60.0
2007-01-29,14500.816720643,13810.301638707,14500.816720643,13810.301638707,2310.0
2007-01-30,13810.301638707,13119.786556772,13810.301638707,13119.786556772,2550.0
2007-01-31,13119.786556772,12544.357321826,13119.786556772,12544.357321826,2750.0
2007-02-06,10818.069616987,10288.674720837,11209.361496751,11209.361496751,37030.0
2007-02-07,11209.361496751,11163.327157955,11209.361496751,11163.327157955,43700.0
2007-02-13,9667.211147095,9667.211147095,9667.211147095,9667.211147095,18000.0
2007-02-26,10656.949431202,10656.949431202,11186.344327353,11186.344327353,12030.0
2007-02-28,11738.756392901,11163.327157955,12314.185627847,11163.327157955,24980.0
2007-03-01,11163.327157955,10610.915092407,11163.327157955,11163.327157955,17760.0
2007-03-02,11163.327157955,10818.069616987,11163.327157955,11163.327157955,13870.0
2007-03-12,13810.301638707,13810.301638707,14500.816720643,13810.301638707,24530.0
2007-03-13,13810.301638707,13349.95825075,13810.301638707,13349.95825075,14780.0
2007-03-15,12889.614862793,12314.185627847,12889.614862793,12314.185627847,9430.0
2007-03-19,11738.756392901,11738.756392901,12314.185627847,12314.185627847,15070.0
2007-03-21,12659.443168815,12659.443168815,12889.614862793,12659.443168815,12800.0
2007-03-22,12659.443168815,12084.013933869,12659.443168815,12084.013933869,1340.0
2007-03-27,10933.155463977,10403.760567826,10933.155463977,10403.760567826,2460.0
2007-03-29,9897.382841073,9897.382841073,10380.743398428,10380.743398428,4090.0
2007-04-02,10818.069616987,10818.069616987,11278.413004944,10818.069616987,8940.0
2007-04-03,10818.069616987,10288.674720837,10818.069616987,10288.674720837,5180.0
2007-04-05,10587.897923009,10587.897923009,10818.069616987,10818.069616987,3440.0
2007-04-06,10818.069616987,10288.674720837,10818.069616987,10288.674720837,1240.0
2007-04-09,10288.674720837,10288.674720837,10288.674720837,10288.674720837,3460.0
2007-04-10,10288.674720837,10127.554535052,10288.674720837,10127.554535052,3030.0
2007-04-11,10127.554535052,10127.554535052,10127.554535052,10127.554535052,3250.0
2007-04-12,10127.554535052,9986.572331117,10221.550503614,10104.061417366,2100.0
2007-04-13,10104.061417366,9634.105072372,10104.061417366,9634.105072372,4140.0
2007-04-18,8717.690199634,8717.690199634,9140.650910128,9140.650910128,5940.0
2007-04-20,9587.109437873,9587.109437873,9587.109437873,9587.109437873,2400.0
2007-04-24,9164.148727378,8717.690199634,9164.148727378,8717.690199634,4110.0
2007-05-02,9140.650910128,8717.690199634,9140.650910128,8717.690199634,100.0
2007-05-03,8717.690199634,8717.690199634,9046.65964113,8929.170554881,1280.0
2007-05-04,8929.170554881,8811.681468633,8929.170554881,8811.681468633,700.0
2007-05-07,8811.681468633,8811.681468633,9164.148727378,8811.681468633,2920.0
2007-05-09,9164.148727378,9164.148727378,9281.637813627,9281.637813627,7610.0
2007-05-10,9281.637813627,8835.179285883,9281.637813627,8835.179285883,400.0
2007-05-11,8835.179285883,8811.681468633,8835.179285883,8811.681468633,5450.0
2007-05-14,8811.681468633,8694.192382384,8811.681468633,8694.192382384,4900.0
2007-05-16,8576.703296136,8365.222940889,8576.703296136,8576.703296136,4950.0
2007-05-17,8576.703296136,8459.214209888,8576.703296136,8459.214209888,7400.0
2007-05-22,8224.236037391,8224.236037391,8271.23167189,8271.23167189,10100.0
2007-05-24,8670.694565135,8670.694565135,8811.681468633,8670.694565135,12560.0
2007-05-25,8670.694565135,8576.703296136,8670.694565135,8576.703296136,4460.0
2007-05-28,8576.703296136,8459.214209888,8576.703296136,8459.214209888,1540.0
2007-05-29,8459.214209888,8459.214209888,8459.214209888,8459.214209888,3350.0
2007-05-31,8247.73385464,8106.746951142,8576.703296136,8576.703296136,4320.0
2007-06-01,8576.703296136,8576.703296136,8576.703296136,8576.703296136,8750.0
2007-06-04,8576.703296136,8459.214209888,8576.703296136,8459.214209888,1410.0
2007-06-05,8459.214209888,8059.751316643,8459.214209888,8059.751316643,1320.0
2007-06-06,8059.751316643,8059.751316643,8459.214209888,8459.214209888,5380.0
2007-06-08,8811.681468633,8694.192382384,8811.681468633,8694.192382384,7920.0
2007-06-11,8694.192382384,8694.192382384,8694.192382384,8694.192382384,1300.0
2007-06-12,8694.192382384,8694.192382384,8694.192382384,8694.192382384,470.0
2007-06-13,8694.192382384,8576.703296136,8694.192382384,8576.703296136,830.0
2007-06-18,8224.236037391,8224.236037391,8459.214209888,8224.236037391,6200.0
2007-06-19,8224.236037391,8224.236037391,8623.698930635,8623.698930635,3380.0
2007-06-20,8623.698930635,8576.703296136,8811.681468633,8576.703296136,6110.0
2007-06-21,8576.703296136,8224.236037391,8576.703296136,8224.236037391,5120.0
2007-06-22,8224.236037391,8012.755682143,8224.236037391,8012.755682143,11230.0
2007-06-25,8012.755682143,8012.755682143,8341.725123639,8341.725123639,970.0
2007-06-26,8341.725123639,8341.725123639,8341.725123639,8341.725123639,3000.0
2007-07-02,7754.279692397,7754.279692397,7801.275326896,7801.275326896,1250.0
2007-07-03,7801.275326896,7754.279692397,7801.275326896,7754.279692397,1580.0
2007-07-04,7754.279692397,7519.3015199,7754.279692397,7754.279692397,17620.0
2007-07-05,7754.279692397,7589.794971649,7754.279692397,7589.794971649,3030.0
2007-07-06,7589.794971649,7589.794971649,7754.279692397,7754.279692397,2870.0
2007-07-09,7754.279692397,7754.279692397,7754.279692397,7754.279692397,2800.0
2007-07-10,7754.279692397,7754.279692397,7871.768778645,7754.279692397,2250.0
2007-07-12,7777.777509647,7754.279692397,7777.777509647,7754.279692397,4500.0
2007-07-13,7754.279692397,7754.279692397,7965.760047644,7965.760047644,1280.0
2007-07-16,7965.760047644,7801.275326896,7965.760047644,7801.275326896,1300.0
2007-07-17,7801.275326896,7707.284057898,7801.275326896,7707.284057898,380.0
2007-07-18,7707.284057898,7636.790606148,7754.279692397,7636.790606148,4590.0
