Date,Price Open,Price Low,Price High,Price Close,Volume
2001-07-16,3132.358331082,3132.358331082,3132.358331082,3132.358331082,869.0
2001-08-29,4499.657602586,4499.657602586,4499.657602586,4499.657602586,13045.0
2001-09-19,3728.998013193,3728.998013193,3728.998013193,3728.998013193,31743.0
2001-09-21,3728.998013193,3728.998013193,3728.998013193,3728.998013193,46963.0
2001-09-24,3728.998013193,3728.998013193,3728.998013193,3728.998013193,68271.0
2002-01-21,2855.740304772,2855.740304772,2855.740304772,2855.740304772,14350.0
2002-01-30,2994.124196193,2994.124196193,2994.124196193,2994.124196193,43484.0
2002-02-25,2906.061719834,2906.061719834,2906.061719834,2906.061719834,0.0
2002-02-27,2906.061719834,2906.061719834,2906.061719834,2906.061719834,434.0
2002-04-04,2981.543842427,2981.543842427,2981.543842427,2981.543842427,3478.0
2002-04-10,2931.222427365,2931.222427365,2931.222427365,2931.222427365,7827.0
2002-04-11,2931.222427365,2931.222427365,2931.222427365,2931.222427365,1739.0
2002-04-24,2880.901012303,2880.901012303,2880.901012303,2880.901012303,12175.0
2002-04-25,2880.901012303,2880.901012303,2880.901012303,2880.901012303,10001.0
2002-05-02,2893.481366068,2893.481366068,2893.481366068,2893.481366068,2174.0
2002-05-03,2893.481366068,2893.481366068,2893.481366068,2893.481366068,5653.0
2002-05-08,2805.41888971,2805.41888971,2805.41888971,2805.41888971,2609.0
2002-05-09,2805.41888971,2805.41888971,2805.41888971,2805.41888971,14784.0
2002-05-29,2541.231460634,2541.231460634,2541.231460634,2541.231460634,4348.0
2002-06-19,2314.785092855,2314.785092855,2314.785092855,2314.785092855,434.0
2002-07-01,2264.463677793,2264.463677793,2264.463677793,2264.463677793,2174.0
2002-07-09,2251.883324027,2251.883324027,2251.883324027,2251.883324027,1304.0
2002-07-24,2053.872872202,2053.872872202,2053.872872202,2053.872872202,3043.0
2002-07-30,2053.872872202,2053.872872202,2053.872872202,2053.872872202,3478.0
2002-08-01,2053.872872202,2053.872872202,2053.872872202,2053.872872202,1739.0
2002-08-08,1937.615917172,1937.615917172,1937.615917172,1937.615917172,4348.0
2002-08-12,1898.863598829,1898.863598829,1898.863598829,1898.863598829,24786.0
2002-08-13,1898.863598829,1898.863598829,1898.863598829,1898.863598829,13480.0
2002-08-16,1924.698477724,1924.698477724,1924.698477724,1924.698477724,1304.0
2002-08-28,1898.863598829,1898.863598829,1898.863598829,1898.863598829,18698.0
2002-08-29,1898.863598829,1898.863598829,1898.863598829,1898.863598829,4348.0
2002-09-03,1924.698477724,1924.698477724,1924.698477724,1924.698477724,434.0
2002-09-06,1937.615917172,1937.615917172,1937.615917172,1937.615917172,12175.0
2002-09-12,1937.615917172,1937.615917172,1937.615917172,1937.615917172,3913.0
2002-09-17,1898.863598829,1898.863598829,1898.863598829,1898.863598829,7392.0
2002-09-18,1898.863598829,1898.863598829,1898.863598829,1898.863598829,869.0
2002-10-07,1873.028719933,1873.028719933,1873.028719933,1873.028719933,2609.0
2002-10-10,1873.028719933,1873.028719933,1873.028719933,1873.028719933,434.0
2002-10-14,1821.358962142,1821.358962142,1821.358962142,1821.358962142,3043.0
2002-10-15,1821.358962142,1821.358962142,1821.358962142,1821.358962142,3913.0
2002-10-18,1795.524083246,1795.524083246,1795.524083246,1795.524083246,15219.0
2002-10-22,1782.606643798,1782.606643798,1782.606643798,1782.606643798,16524.0
2002-10-23,1782.606643798,1782.606643798,1782.606643798,1782.606643798,2609.0
2002-10-28,1756.771764903,1756.771764903,1756.771764903,1756.771764903,42615.0
2002-10-29,1756.771764903,1756.771764903,1756.771764903,1756.771764903,4783.0
2002-11-04,1679.267128216,1679.267128216,1679.267128216,1679.267128216,6087.0
2002-11-05,1679.267128216,1679.267128216,1679.267128216,1679.267128216,2174.0
2002-11-07,1705.102007111,1705.102007111,1705.102007111,1705.102007111,869.0
2002-11-20,1756.771764903,1756.771764903,1756.771764903,1756.771764903,2174.0
2002-11-22,1730.936886007,1730.936886007,1730.936886007,1730.936886007,869.0
2002-11-25,1730.936886007,1730.936886007,1730.936886007,1730.936886007,869.0
2002-11-26,1730.936886007,1730.936886007,1730.936886007,1730.936886007,434.0
2002-11-27,1730.936886007,1730.936886007,1730.936886007,1730.936886007,4348.0
