Date,Price Open,Price Low,Price High,Price Close,Volume
2008-01-18,41458.944554147,37689.949594679,45227.939513615,45227.939513615,170663.0
2008-01-21,45227.939513615,43552.83064274,46903.04838449,45646.716731334,61034.0
2008-01-22,45646.716731334,43552.83064274,45646.716731334,43552.83064274,7856.0
2008-01-24,41458.944554147,39574.447074413,41458.944554147,39574.447074413,45847.0
2008-01-29,38318.115421257,36433.617941523,40202.612900991,40202.612900991,86489.0
2008-01-31,41877.721771866,41877.721771866,43552.83064274,41877.721771866,6805.0
2008-02-01,41877.721771866,41877.721771866,42715.276207303,42715.276207303,14351.0
2008-02-19,38527.504030116,36643.006550382,38527.504030116,38527.504030116,3223.0
2008-02-20,38527.504030116,36643.006550382,38527.504030116,36643.006550382,6805.0
2008-02-25,33292.788808633,31827.068546618,33502.177417493,33502.177417493,26649.0
2008-02-28,30361.348284603,28895.628022587,30989.514111181,30989.514111181,16070.0
2008-02-29,30989.514111181,29733.182458025,31827.068546618,31827.068546618,7665.0
2008-03-03,31827.068546618,30361.348284603,33292.788808633,33292.788808633,51101.0
2008-03-06,30361.348284603,30361.348284603,31827.068546618,31827.068546618,57978.0
2008-03-10,33292.788808633,32245.845764337,34758.509070649,32245.845764337,71852.0
2008-03-11,32245.845764337,30780.125502321,33502.177417493,33083.400199774,28081.0
2008-03-13,31617.679937759,31617.679937759,31827.068546618,31617.679937759,7402.0
2008-03-19,27848.684978291,26592.353325135,28058.07358715,26592.353325135,16166.0
2008-03-26,21985.803930229,20896.983164161,23032.746974526,23032.746974526,78442.0
2008-03-27,23032.746974526,22823.358365667,23242.135583385,23242.135583385,32117.0
2008-03-28,23242.135583385,23242.135583385,23451.524192245,23451.524192245,47423.0
2008-04-07,24498.467236541,24498.467236541,24917.24445426,24917.24445426,66789.0
2008-04-08,24917.24445426,24498.467236541,25126.633063119,24498.467236541,26887.0
2008-04-21,22195.192539089,21776.41532137,22195.192539089,21776.41532137,4298.0
2008-05-05,19389.385180374,19012.485684427,19389.385180374,19012.485684427,1838.0
2008-05-13,17588.643144184,17588.643144184,17588.643144184,17588.643144184,23.0
2008-05-23,15411.001612047,15117.857559644,15704.14566445,15704.14566445,132289.0
2008-05-26,15704.14566445,15411.001612047,15704.14566445,15704.14566445,397705.0
2008-05-30,15704.14566445,15411.001612047,15997.289716853,15997.289716853,560369.0
2008-06-02,15997.289716853,15787.901107993,16290.433769256,16290.433769256,266657.0
2008-06-04,16583.577821659,16290.433769256,16876.721874062,16876.721874062,323632.0
2008-06-06,17211.743648237,16876.721874062,17546.765422412,17546.765422412,259708.0
2008-06-09,17546.765422412,17504.88770064,17881.787196587,17881.787196587,253714.0
2008-06-10,17881.787196587,17714.276309499,18216.808970762,18007.420361902,312600.0
2008-06-13,17366.686008787,17040.03987696,17366.686008787,17366.686008787,91677.0
2008-06-19,17693.332140614,17203.362942874,17693.332140614,17203.362942874,3673.0
2008-06-24,16223.424547393,15787.896371624,16658.952723162,16658.952723162,93826.0
2008-06-25,16658.952723162,16168.983525422,17148.921920902,17148.921920902,40667.0
2008-06-26,17148.921920902,16658.952723162,17584.450096671,16658.952723162,22280.0
2008-06-27,16658.952723162,16168.983525422,17148.921920902,17148.921920902,113976.0
2008-06-30,17148.921920902,16822.275789076,17584.450096671,17584.450096671,137065.0
2008-07-01,17584.450096671,17584.450096671,18074.419294411,18074.419294411,141621.0
2008-07-02,18074.419294411,18074.419294411,18509.94747018,18074.419294411,73198.0
2008-07-03,18074.419294411,17747.773162585,18074.419294411,18074.419294411,87066.0
2008-07-07,18564.388492152,18019.97827244,19054.357689892,18019.97827244,149519.0
2008-07-09,17530.0090747,17040.03987696,17530.0090747,17040.03987696,78653.0
2008-07-14,16060.10148148,16060.10148148,16495.629657249,16495.629657249,373652.0
2008-07-16,16985.598854989,16495.629657249,17475.568052729,17475.568052729,473962.0
2008-07-18,17965.537250469,17475.568052729,18455.506448209,18401.065426238,1117300.0
2008-07-21,18401.065426238,17856.655206527,18401.065426238,17856.655206527,449201.0
2008-07-24,16876.716811047,16386.747613307,17366.686008787,17366.686008787,451993.0
2008-07-28,16876.716811047,16386.747613307,17366.686008787,17366.686008787,533219.0
2008-07-30,17856.655206527,17366.686008787,18183.301338354,17856.655206527,263147.0
2008-07-31,17856.655206527,17366.686008787,18346.624404267,18346.624404267,176282.0
2008-08-01,18346.624404267,18346.624404267,18891.034623978,18509.94747018,628808.0
2008-08-06,17475.568052729,16985.598854989,17911.096228498,17856.655206527,335537.0
2008-08-07,17856.655206527,17421.127030758,17965.537250469,17856.655206527,212964.0
2008-08-08,17856.655206527,17366.686008787,18237.742360325,18237.742360325,158667.0
2008-08-13,19326.562799747,18945.475645949,19816.531997487,19326.562799747,268216.0
2008-08-14,19326.562799747,19326.562799747,19870.973019458,19870.973019458,1123031.0
2008-08-18,20415.38323917,19489.885865661,20415.38323917,19489.885865661,540640.0
2008-08-19,19489.885865661,19381.003821718,20415.38323917,20415.38323917,548263.0
2008-08-21,20306.501195227,19870.973019458,21231.998568736,21231.998568736,317885.0
2008-08-22,21231.998568736,20252.060173256,21231.998568736,20252.060173256,273268.0
2008-08-27,21123.116524794,20415.38323917,21667.526744505,21667.526744505,564886.0
2008-08-29,20633.147327054,19653.208931574,21613.085722534,21613.085722534,912639.0
2008-09-04,22647.465139985,22320.819008159,23736.285579408,23627.403535466,343123.0
2008-09-05,23627.403535466,23137.434337725,23954.049667292,23518.521491523,302731.0
2008-09-09,23409.639447581,22266.377986188,23409.639447581,22266.377986188,283444.0
2008-09-10,22266.377986188,21177.557546765,23355.19842561,23355.19842561,383920.0
2008-09-15,21123.116524794,20088.737107343,22103.054920274,20088.737107343,332671.0
2008-09-19,17312.244986816,17148.921920902,18128.860316383,18128.860316383,265737.0
2008-09-23,18999.91666792,18999.91666792,19925.414041429,19489.885865661,492239.0
2008-09-24,19489.885865661,18564.388492152,19489.885865661,19489.885865661,215921.0
2008-09-25,19489.885865661,18673.270536094,20143.178129314,20143.178129314,407560.0
2008-09-26,20143.178129314,20143.178129314,21123.116524794,21123.116524794,319207.0
2008-10-01,20252.060173256,19870.973019458,20687.588349025,20143.178129314,125787.0
2008-10-02,20143.178129314,19762.090975516,20360.942217198,20143.178129314,68845.0
2008-10-06,19163.239733834,18237.742360325,19326.562799747,18237.742360325,214452.0
2008-10-09,16550.07067922,15733.455349653,16876.716811047,15733.455349653,441082.0
2008-10-20,15461.250239798,14699.075932202,15951.219437538,14699.075932202,80894.0
2008-10-21,14699.075932202,14209.106734462,15134.604107971,14971.281042058,14713.0
2008-10-22,14971.281042058,14263.547756433,15243.486151913,15243.486151913,159493.0
2008-10-27,13773.578558693,13120.28629504,14372.429800375,13120.28629504,140372.0
2008-10-28,13120.28629504,12466.994031386,13773.578558693,13773.578558693,350617.0
2008-10-30,14426.870822346,14426.870822346,14807.957976144,14807.957976144,42284.0
2008-11-03,15406.809217827,14644.634910231,15733.455349653,15515.691261769,76486.0
2008-11-04,15515.691261769,14971.281042058,16277.865569365,16277.865569365,145441.0
