Date,Price Open,Price Low,Price High,Price Close,Volume
2009-04-20,2278.0626844985,2144.058997175,2412.066371822,2396.301232137,8224297.0
2009-04-21,2396.301232137,2222.884695601,2427.831511507,2427.831511507,3041641.0
2009-04-24,2711.604025839,2538.187489303,2869.25542269,2664.308606784,7956917.0
2009-04-27,2664.308606784,2506.657209933,2758.899444895,2727.369165524,5189379.0
2009-04-28,2727.369165524,2601.248048044,2743.13430521,2727.369165524,4090196.0
2009-04-29,2727.369165524,2680.073746469,2727.369165524,2695.838886154,3683589.0
2009-05-06,3058.437098912,2885.020562376,3184.558216393,2900.785702061,3223190.0
2009-05-11,2963.846260801,2853.490283005,3026.906819542,2916.550841746,4534774.0
2009-05-12,2916.550841746,2806.19486395,2963.846260801,2932.315981431,4529632.0
2009-05-13,2932.315981431,2900.785702061,2995.376540171,2932.315981431,3133009.0
2009-05-15,2869.25542269,2837.72514332,3011.141679856,3011.141679856,5312390.0
2009-05-18,3011.141679856,2948.081121116,3011.141679856,2979.611400486,5561575.0
2009-05-20,3184.558216393,3184.558216393,3373.739892614,3357.974752929,6262458.0
2009-05-21,3357.974752929,3294.914194189,3531.391289465,3531.391289465,6496217.0
2009-05-22,3531.391289465,3310.679333874,3625.982127576,3468.330730725,4891544.0
2009-05-25,3468.330730725,3310.679333874,3673.277546631,3673.277546631,5339286.0
2009-05-26,3673.277546631,3673.277546631,3893.989502223,3878.224362538,5755386.0
2009-05-27,3878.224362538,3783.633524427,3988.580340333,3878.224362538,5178700.0
2009-06-03,4508.829949942,4508.829949942,4824.132743644,4824.132743644,7396844.0
2009-06-04,4824.132743644,4713.776765849,5029.079559551,5029.079559551,5438565.0
2009-06-09,5706.980566011,5675.450286641,6101.109058139,6101.109058139,9446490.0
2009-06-10,6101.109058139,5580.85944853,6306.055874045,5974.987940658,9811171.0
2009-06-11,5974.987940658,5754.275985066,6227.230175619,6227.230175619,7790398.0
2009-06-12,6227.230175619,5990.753080343,6558.298109007,6148.404477194,6926952.0
2009-06-15,6148.404477194,5864.631962862,6384.881572471,6384.881572471,14444433.0
2009-06-17,5643.92000727,5360.147492938,5833.101683492,5754.275985066,7494144.0
2009-06-18,5754.275985066,5470.503470734,5833.101683492,5628.154867585,4238521.0
2009-06-19,5628.154867585,5502.033750104,5833.101683492,5533.564029474,3095037.0
2009-06-22,5533.564029474,5249.791515142,5643.92000727,5249.791515142,891133.0
2009-06-24,4902.95844207,4571.890508683,5234.026375457,5234.026375457,6504128.0
2009-06-25,5234.026375457,4887.193302385,5360.147492938,5029.079559551,3889661.0
2009-06-26,5029.079559551,4918.723581755,5249.791515142,5155.200677032,3482659.0
2009-06-29,5155.200677032,5044.844699236,5202.496096087,5170.965816717,2463373.0
2009-06-30,5170.965816717,4887.193302385,5438.973191364,5044.844699236,2591525.0
2009-07-02,4839.89788333,4571.890508683,5060.609838921,4887.193302385,3349365.0
2009-07-07,5076.374978606,5044.844699236,5328.617213568,5076.374978606,2044504.0
2009-07-08,5076.374978606,4918.723581755,5092.140118291,5029.079559551,1289038.0
2009-07-09,5029.079559551,4966.01900081,5107.905257976,4981.784140496,1137945.0
2009-07-14,5612.3897279,5281.321794513,5833.101683492,5360.147492938,3324050.0
2009-07-15,5360.147492938,5202.496096087,5864.631962862,5612.3897279,4322373.0
2009-07-16,5612.3897279,5486.268610419,5833.101683492,5580.85944853,1402952.0
2009-07-17,5580.85944853,5265.556654828,5706.980566011,5281.321794513,1271635.0
2009-07-20,5281.321794513,5013.314419866,5281.321794513,5029.079559551,1034711.0
2009-07-21,5029.079559551,4902.95844207,5186.730956402,5044.844699236,1383966.0
2009-07-22,5044.844699236,4887.193302385,5170.965816717,5107.905257976,1319494.0
2009-07-23,5107.905257976,5013.314419866,5423.208051679,5423.208051679,2551576.0
2009-07-28,5943.457661287,5517.798889789,6069.578778768,5580.85944853,4256319.0
2009-07-29,5580.85944853,5438.973191364,5833.101683492,5517.798889789,3098202.0
2009-07-30,5517.798889789,5265.556654828,5628.154867585,5360.147492938,3264325.0
2009-08-03,5454.738331049,5312.852073883,5643.92000727,5312.852073883,2160791.0
2009-08-05,5470.503470734,5375.912632623,5580.85944853,5423.208051679,2626332.0
2009-08-06,5423.208051679,5123.670397662,5423.208051679,5170.965816717,9867337.0
2009-08-10,4934.48872144,4887.193302385,5312.852073883,5107.905257976,9325062.0
2009-08-11,5107.905257976,5029.079559551,5249.791515142,5076.374978606,5578978.0
2009-08-12,5076.374978606,4997.549280181,5123.670397662,4997.549280181,10334064.0
2009-08-17,5173.377257191,5011.709217904,5189.54406112,5092.543237547,5664413.0
2009-08-19,5011.709217904,4979.375610046,5092.543237547,5027.876021832,5459528.0
2009-08-20,5027.876021832,4979.375610046,5092.543237547,5011.709217904,4549409.0
2009-08-21,5011.709217904,5011.709217904,5318.878492549,5141.043649333,10474083.0
2009-08-24,5141.043649333,5092.543237547,5254.211276835,5157.210453262,5620905.0
2009-08-25,5157.210453262,5060.20962969,5173.377257191,5060.20962969,2936034.0
2009-08-26,5060.20962969,5011.709217904,5092.543237547,5044.042825761,5396638.0
2009-08-27,5044.042825761,4947.042002189,5092.543237547,4995.542413975,5790984.0
2009-08-28,4995.542413975,4882.374786474,5076.376433619,5076.376433619,5709109.0
2009-09-01,5205.710865048,5092.543237547,5221.877668977,5124.876845405,5899755.0
2009-09-03,5124.876845405,4995.542413975,5141.043649333,5011.709217904,5166043.0
2009-09-04,5011.709217904,4882.374786474,5060.20962969,4930.87519826,4249991.0
2009-09-07,4930.87519826,4688.373139329,4963.208806118,4833.874374688,5264926.0
2009-09-08,4833.874374688,4817.707570759,4963.208806118,4914.708394331,3608042.0
2009-09-09,4914.708394331,4785.373962902,4947.042002189,4850.041178616,2938011.0
2009-09-10,4850.041178616,4769.207158973,4850.041178616,4833.874374688,4585007.0
2009-09-11,4833.874374688,4833.874374688,5141.043649333,5124.876845405,11609655.0
2009-09-14,5124.876845405,4979.375610046,5124.876845405,5060.20962969,4147944.0
2009-09-15,5060.20962969,4930.87519826,5092.543237547,5092.543237547,9700026.0
2009-09-16,5092.543237547,5092.543237547,5270.378080763,5238.044472906,12793087.0
2009-09-17,5238.044472906,5205.710865048,5318.878492549,5205.710865048,13726147.0
2009-09-18,5205.710865048,5092.543237547,5254.211276835,5238.044472906,11435225.0
2009-09-21,5238.044472906,5092.543237547,5302.711688621,5205.710865048,6139843.0
2009-09-23,5108.710041476,5060.20962969,5286.544884692,5108.710041476,10358192.0
2009-09-24,5108.710041476,5027.876021832,5205.710865048,5076.376433619,7019902.0
2009-09-25,5076.376433619,5011.709217904,5173.377257191,5141.043649333,9879202.0
2009-09-28,5141.043649333,5141.043649333,5335.045296478,5189.54406112,9530343.0
2009-09-29,5189.54406112,5092.543237547,5399.712512193,5124.876845405,7589072.0
2009-09-30,5124.876845405,5011.709217904,5221.877668977,5027.876021832,6319810.0
2009-10-01,5027.876021832,4866.207982545,5076.376433619,4914.708394331,5062414.0
2009-10-05,4785.373962902,4656.039531472,4930.87519826,4688.373139329,3839429.0
2009-10-06,4688.373139329,4672.206335401,4866.207982545,4704.539943258,5118184.0
2009-10-07,4704.539943258,4672.206335401,4850.041178616,4753.040355044,5308435.0
2009-10-08,4753.040355044,4688.373139329,4801.54076683,4736.873551115,4736891.0
2009-10-09,4736.873551115,4720.706747187,4817.707570759,4769.207158973,8416525.0
2009-10-14,5254.211276835,5254.211276835,5609.880963266,5561.38055148,18609385.0
2009-10-15,5561.38055148,5496.713335765,5820.04941434,5577.547355409,12018240.0
2009-10-16,5577.547355409,5254.211276835,5626.047767195,5254.211276835,14027938.0
2009-10-20,5092.543237547,4995.542413975,5318.878492549,5092.543237547,10645744.0
2009-10-21,5092.543237547,4979.375610046,5238.044472906,5044.042825761,9751841.0
2009-10-22,5044.042825761,5011.709217904,5157.210453262,5076.376433619,7549519.0
2009-10-23,5076.376433619,5011.709217904,5254.211276835,5076.376433619,14830472.0
2009-10-26,5076.376433619,4930.87519826,5141.043649333,4930.87519826,6512038.0
2009-10-28,4736.873551115,4736.873551115,4914.708394331,4785.373962902,8879298.0
2009-10-30,4607.539119686,4607.539119686,4898.541590403,4672.206335401,8664128.0
2009-11-03,4381.203864684,4106.368197895,4445.871080398,4138.701805753,6828860.0
2009-11-04,4138.701805753,3928.533354679,4494.371492185,4413.537472541,13571494.0
2009-11-05,4413.537472541,4365.037060755,4559.038707899,4559.038707899,10938042.0
2009-11-06,4559.038707899,4542.871903971,4833.874374688,4591.372315757,8026926.0
2009-11-09,4591.372315757,4429.70427647,4688.373139329,4429.70427647,5731258.0
2009-11-10,4429.70427647,4203.369021468,4591.372315757,4348.870256826,4126189.0
2009-11-11,4348.870256826,4348.870256826,4526.705100042,4478.204688256,6532211.0
2009-11-12,4478.204688256,4462.037884327,4656.039531472,4494.371492185,5023256.0
