Date,Price Open,Price Low,Price High,Price Close,Volume
2009-12-16,7088.963108679,5453.048545138,8724.87767222,5634.816829976,409680.0
2009-12-17,5634.816829976,5634.816829976,5998.353399651,5634.816829976,318221.0
2009-12-18,5634.816829976,5453.048545138,5743.877800878,5453.048545138,373634.0
2009-12-22,5998.353399651,5416.69488817,6034.707056619,5416.69488817,82312.0
2009-12-23,5416.69488817,5234.926603332,5707.524143911,5234.926603332,140146.0
2009-12-24,5234.926603332,5198.572946365,5671.170486943,5598.463173008,327098.0
2009-12-28,5852.938771781,5707.524143911,6180.121684489,5998.353399651,253393.0
2010-01-11,8979.353270993,8324.987445577,9270.182526734,8324.987445577,731936.0
2010-01-12,8324.987445577,7888.743561966,8470.402073447,7888.743561966,509208.0
2010-01-13,7888.743561966,7379.79236442,8361.341102544,7816.036248031,1500188.0
2010-01-14,7816.036248031,7634.267963193,8034.158189836,8034.158189836,665495.0
2010-01-15,8034.158189836,7816.036248031,8470.402073447,7888.743561966,345390.0
2010-01-18,7888.743561966,7488.853335322,7925.097218933,7488.853335322,381704.0
2010-01-19,7488.853335322,7198.024079582,7706.975277128,7343.438707452,560586.0
2010-01-20,7343.438707452,6979.902137776,7816.036248031,7088.963108679,345390.0
2010-01-21,7088.963108679,6798.133852938,7706.975277128,6870.841166873,501138.0
2010-01-22,6870.841166873,6543.658254165,6943.548480809,6543.658254165,351039.0
2010-01-25,6543.658254165,6543.658254165,7088.963108679,7088.963108679,422054.0
2010-01-27,7452.499678355,6943.548480809,7961.450875901,7452.499678355,312572.0
2010-01-28,7452.499678355,6834.487509906,7706.975277128,6870.841166873,334361.0
2010-01-29,6870.841166873,6798.133852938,7052.609451711,6834.487509906,92534.0
2010-02-01,6834.487509906,6761.780195971,7270.731393517,6943.548480809,235371.0
2010-02-02,6943.548480809,6616.3655681,7198.024079582,6761.780195971,147140.0
2010-02-03,6761.780195971,6543.658254165,6870.841166873,6761.780195971,60793.0
2010-02-04,6761.780195971,6725.426539003,6979.902137776,6907.194823841,155748.0
2010-02-08,6580.011911133,6507.304597198,7016.255794744,7016.255794744,438462.0
2010-02-09,7016.255794744,6616.3655681,7088.963108679,6834.487509906,150637.0
2010-02-10,6834.487509906,6834.487509906,6943.548480809,6834.487509906,103294.0
2010-02-11,6834.487509906,6616.3655681,6870.841166873,6652.719225068,147409.0
2010-02-22,6834.487509906,6798.133852938,6834.487509906,6834.487509906,68324.0
2010-02-23,6834.487509906,6543.658254165,6870.841166873,6652.719225068,210085.0
2010-02-24,6652.719225068,6543.658254165,6870.841166873,6725.426539003,175654.0
