Date,Price Open,Price Low,Price High,Price Close,Volume
2006-12-25,2872.735504858,2872.735504858,2872.735504858,2872.735504858,26.0
2006-12-26,2872.735504858,2872.735504858,2995.85274078,2995.85274078,67248.0
2007-01-08,4021.829706801,3980.79062816,4021.829706801,3980.79062816,55300.0
2007-01-10,3939.75154952,3939.75154952,4062.868785442,3939.75154952,326929.0
2007-01-11,3939.75154952,3939.75154952,3939.75154952,3939.75154952,170124.0
2007-01-12,3939.75154952,3742.763972044,3939.75154952,3775.595234956,146444.0
2007-01-16,3857.673392238,3857.673392238,3939.75154952,3931.543733791,160222.0
2007-01-18,3750.971787772,3693.517077675,3750.971787772,3693.517077675,56914.0
2007-01-19,3693.517077675,3521.152947383,3775.595234956,3529.360763111,114986.0
2007-01-22,3529.360763111,3406.243527189,3685.309261946,3685.309261946,132154.0
2007-02-08,4596.376807773,4391.181414569,4596.376807773,4391.181414569,203762.0
2007-02-09,4391.181414569,4185.986021365,4391.181414569,4391.181414569,121310.0
2007-02-12,4391.181414569,4350.142335928,4391.181414569,4350.142335928,72656.0
2007-02-15,4596.376807773,4555.337729132,4596.376807773,4555.337729132,71311.0
2007-03-07,6237.939953406,5950.66640292,6484.174425251,5950.66640292,363876.0
2007-03-14,5745.471009716,5458.19745923,5745.471009716,5458.19745923,135034.0
2007-03-16,5211.962987385,5211.962987385,5458.19745923,5458.19745923,180404.0
2007-03-20,5704.431931075,5458.19745923,5704.431931075,5581.314695153,150265.0
2007-03-23,5088.845751463,5088.845751463,5335.080223308,5335.080223308,93673.0
2007-03-28,4842.611279618,4637.415886414,4842.611279618,4842.611279618,170663.0
2007-03-30,5047.806672822,4924.689436899,5294.041144667,4924.689436899,211055.0
2007-04-04,4678.454965054,4596.376807773,4801.572200977,4801.572200977,124754.0
2007-04-05,4801.572200977,4719.494043695,4801.572200977,4719.494043695,59417.0
2007-04-10,4514.298650491,4514.298650491,4514.298650491,4514.298650491,65041.0
2007-04-11,4514.298650491,4432.220493209,4514.298650491,4432.220493209,91332.0
2007-04-16,4021.829706801,4021.829706801,4103.907864083,4021.829706801,212373.0
2007-04-17,4021.829706801,4021.829706801,4103.907864083,4103.907864083,154544.0
2007-04-19,4309.103257287,4268.064178646,4391.181414569,4309.103257287,198837.0
2007-04-24,3939.75154952,3939.75154952,4103.907864083,4103.907864083,100508.0
2007-04-25,4103.907864083,4103.907864083,4309.103257287,4309.103257287,200264.0
2007-05-02,4309.103257287,4144.946942724,4309.103257287,4185.986021365,55165.0
2007-05-03,4185.986021365,4185.986021365,4227.025100005,4185.986021365,76908.0
2007-05-09,4350.142335928,4268.064178646,4350.142335928,4268.064178646,86354.0
2007-05-16,4555.337729132,4473.25957185,4555.337729132,4514.298650491,113425.0
2007-05-17,4514.298650491,4432.220493209,4555.337729132,4555.337729132,151933.0
2007-05-25,5047.806672822,4924.689436899,5294.041144667,5294.041144667,279944.0
2007-05-29,5376.119301949,5376.119301949,5417.158380589,5417.158380589,536343.0
2007-05-31,5335.080223308,5294.041144667,5335.080223308,5294.041144667,265251.0
2007-06-01,5294.041144667,5253.002066026,5376.119301949,5253.002066026,275450.0
2007-06-06,4965.72851554,4924.689436899,5006.767594181,5006.767594181,124566.0
2007-06-07,5006.767594181,4883.650358259,5129.884830104,4883.650358259,203708.0
2007-06-11,5088.845751463,5088.845751463,5170.923908744,5170.923908744,371949.0
2007-06-12,5170.923908744,5068.324691645,5388.429409012,5068.324691645,107350.0
2007-06-13,5068.324691645,4908.272332961,5121.675477873,5121.675477873,78887.0
2007-06-15,5175.026264101,5175.026264101,5228.377050328,5175.026264101,82261.0
2007-06-18,5175.026264101,5175.026264101,5175.026264101,5175.026264101,67585.0
2007-06-19,5175.026264101,5175.026264101,5175.026264101,5175.026264101,111469.0
2007-06-20,5175.026264101,5121.675477873,5175.026264101,5121.675477873,67192.0
2007-06-25,5068.324691645,5014.973905417,5068.324691645,5014.973905417,53406.0
2007-06-28,4801.570760506,4694.86918805,4801.570760506,4694.86918805,20555.0
2007-06-29,4694.86918805,4588.167615594,4694.86918805,4588.167615594,31733.0
2007-07-03,4374.764470683,4161.361325772,4374.764470683,4374.764470683,69427.0
2007-07-04,4374.764470683,4374.764470683,4588.167615594,4588.167615594,21610.0
2007-07-09,4801.570760506,4801.570760506,4801.570760506,4801.570760506,84166.0
2007-07-10,4801.570760506,4801.570760506,4801.570760506,4801.570760506,82282.0
2007-07-12,5036.314219908,5036.314219908,5121.675477873,5036.314219908,153738.0
2007-07-13,5036.314219908,5014.973905417,5057.654534399,5057.654534399,117058.0
2007-07-16,5057.654534399,5057.654534399,5121.675477873,5121.675477873,179531.0
2007-07-17,5121.675477873,5014.973905417,5121.675477873,5014.973905417,95654.0
2007-07-20,4694.86918805,4684.199030804,4854.921546734,4854.921546734,34776.0
2007-07-23,4854.921546734,4748.219974278,5014.973905417,4748.219974278,38315.0
2007-07-24,4748.219974278,4748.219974278,4801.570760506,4748.219974278,46119.0
2007-07-25,4748.219974278,4694.86918805,4780.230446015,4780.230446015,73940.0
2007-07-26,4780.230446015,4652.188559068,4780.230446015,4652.188559068,35355.0
2007-08-02,4438.785414156,4428.115256911,4534.816829366,4428.115256911,76320.0
2007-08-07,4268.062898227,4268.062898227,4374.764470683,4374.764470683,61748.0
2007-08-10,4374.764470683,4353.424156192,4374.764470683,4353.424156192,43780.0
2007-08-16,4268.062898227,4182.701640263,4268.062898227,4204.041954754,23535.0
2007-08-17,4204.041954754,4182.701640263,4204.041954754,4182.701640263,16166.0
2007-08-20,4182.701640263,4182.701640263,4374.764470683,4374.764470683,69345.0
2007-08-21,4374.764470683,4321.413684455,4374.764470683,4321.413684455,61955.0
2007-08-23,4374.764470683,4321.413684455,4374.764470683,4321.413684455,48996.0
