Date,Price Open,Price Low,Price High,Price Close,Volume
2006-12-14,3448.305130862,3317.356834753,3579.253426971,3579.253426971,51375.0
2006-12-15,3579.253426971,3491.954562898,3718.931609487,3579.253426971,124926.0
2006-12-19,3753.851155116,3753.851155116,4225.265021107,3753.851155116,43982.0
2006-12-20,3753.851155116,3753.851155116,3841.150019188,3753.851155116,2587.0
2006-12-21,3753.851155116,3736.391382301,3753.851155116,3753.851155116,3326.0
2006-12-27,3064.190128943,3055.460242536,3064.190128943,3055.460242536,5544.0
2007-01-04,2880.862514391,2880.862514391,3055.460242536,3055.460242536,16632.0
2007-01-11,3317.356834753,3230.057970681,3579.253426971,3230.057970681,26981.0
2007-01-15,3142.759106609,3142.759106609,3142.759106609,3142.759106609,11088.0
2007-01-16,3142.759106609,3134.029220201,3186.408538645,3186.408538645,2956.0
2007-01-17,3186.408538645,3055.460242536,3230.057970681,3099.109674572,34373.0
2007-01-18,3099.109674572,3055.460242536,3142.759106609,3116.569447387,15523.0
2007-01-19,3116.569447387,3099.109674572,3186.408538645,3186.408538645,27720.0
2007-01-24,3448.305130862,3448.305130862,3535.603994935,3448.305130862,39547.0
2007-01-25,3448.305130862,3142.759106609,3535.603994935,3142.759106609,35112.0
2007-01-30,3491.954562898,3448.305130862,3666.552291043,3448.305130862,59136.0
2007-02-01,3753.851155116,3753.851155116,4094.316724998,4059.397179369,59136.0
2007-02-02,4059.397179369,4015.747747333,4356.213317216,4356.213317216,174823.0
2007-02-09,5936.322756927,5421.2594589,6110.920485072,5421.2594589,43243.0
2007-02-13,5106.983548239,4888.736388058,5325.23070842,5063.334116203,31786.0
2007-02-28,7175.966626756,7175.966626756,7891.81731215,7595.001174304,120860.0
2007-03-01,7595.001174304,7595.001174304,8511.639247065,7725.949470413,75399.0
2007-03-02,7725.949470413,7507.702310232,7856.897766521,7507.702310232,33634.0
2007-03-09,10388.564824623,10039.369368333,11357.582215827,10039.369368333,23285.0
2007-03-12,10039.369368333,9471.926751862,11567.099489601,9952.07050426,48048.0
2007-03-21,10021.909595518,9253.679591681,10065.559027555,9602.875047971,29568.0
2007-03-22,9602.875047971,8729.886407246,10580.622325582,9690.173912043,107924.0
2007-03-23,9690.173912043,9602.875047971,10039.369368333,9602.875047971,61724.0
2007-03-26,9602.875047971,9166.380727608,9952.07050426,9166.380727608,41765.0
2007-03-27,9166.380727608,8731.996270304,9574.16849942,8731.996270304,28459.0
2007-03-28,8731.996270304,8244.4228745,8864.970832796,8864.970832796,88335.0
2007-03-30,9370.274170266,9352.5442286,10283.366166044,9441.193936928,43243.0
2007-04-04,8200.098020336,7978.473749517,8421.722291156,8412.857320324,12936.0
2007-04-06,7978.473749517,7889.824041189,7987.338720349,7969.608778684,31786.0
2007-04-09,7969.608778684,7801.174332861,7978.473749517,7801.174332861,7761.0
2007-04-12,7801.174332861,7535.225207877,7801.174332861,7535.225207877,12566.0
2007-04-18,6010.450224636,5416.497178838,6604.403270433,6604.403270433,13675.0
2007-04-23,6116.829874629,5584.931624662,6249.804437121,5673.58133299,11457.0
2007-05-02,5451.95706217,5230.33279135,5540.606770498,5540.606770498,4435.0
2007-05-07,5451.95706217,5318.982499678,5584.931624662,5576.066653829,16262.0
2007-05-08,5576.066653829,5496.281916334,5673.58133299,5673.58133299,30307.0
2007-05-11,5762.231041318,5673.58133299,5762.231041318,5673.58133299,16262.0
2007-05-14,5673.58133299,5673.58133299,5806.555895481,5806.555895481,16262.0
2007-05-15,5806.555895481,5673.58133299,5983.855312137,5726.771157986,55810.0
2007-05-16,5726.771157986,5655.851391324,5815.420866314,5788.825953816,5544.0
2007-05-18,5673.58133299,5673.58133299,5762.231041318,5717.906187154,19219.0
2007-05-21,5717.906187154,5593.796595494,6249.804437121,6249.804437121,93879.0
2007-05-25,6427.103853777,5895.205603809,7091.976666237,7003.326957909,42874.0
2007-05-28,7003.326957909,6648.728124597,7091.976666237,6648.728124597,49157.0
2007-05-29,6648.728124597,6648.728124597,7003.326957909,6781.702687089,26241.0
2007-05-31,6524.618532938,6498.02362044,6648.728124597,6648.728124597,28089.0
2007-06-01,6648.728124597,6560.078416269,6648.728124597,6648.728124597,36590.0
2007-06-04,6648.728124597,6294.129291285,6737.377832925,6418.238882944,34373.0
2007-06-06,6205.479582957,6196.614612125,6551.213445436,6338.454145449,25502.0
2007-06-08,6471.428707941,6471.428707941,6710.782920427,6560.078416269,29198.0
2007-06-11,6560.078416269,6116.829874629,6639.863153764,6471.428707941,37330.0
2007-06-12,6471.428707941,6382.778999613,6648.728124597,6604.403270433,15153.0
2007-06-13,6604.403270433,6560.078416269,6604.403270433,6560.078416269,15523.0
2007-06-15,6489.158649607,6320.724203784,6498.02362044,6471.428707941,14414.0
2007-06-18,6471.428707941,6427.103853777,6568.943387102,6427.103853777,8500.0
2007-06-20,6294.129291285,6205.479582957,6294.129291285,6240.939466288,15153.0
2007-06-27,6028.180166301,5629.256478826,6196.614612125,6196.614612125,1108.0
2007-07-04,5762.231041318,5762.231041318,6205.479582957,6116.829874629,18110.0
2007-07-05,6116.829874629,5895.205603809,6205.479582957,5895.205603809,5913.0
2007-07-06,5895.205603809,5762.231041318,6471.428707941,5762.231041318,8500.0
2007-07-12,5904.070574642,5806.555895481,5939.530457973,5806.555895481,10348.0
2007-07-16,5806.555895481,5584.931624662,6072.505020465,5673.58133299,9979.0
2007-07-17,5673.58133299,5584.931624662,5895.205603809,5895.205603809,8500.0
2007-07-20,5673.58133299,5673.58133299,5992.72028297,5762.231041318,36221.0
2007-07-25,5673.58133299,5168.27799552,5717.906187154,5407.632208006,22176.0
2007-07-26,5407.632208006,5026.438462195,5514.011857999,5318.982499678,32525.0
2007-07-30,5310.117528845,5101.340031564,5349.513330396,5101.340031564,4990.0
2007-07-31,5101.340031564,4991.040787638,5349.513330396,4991.040787638,1901.0
2007-08-02,5101.340031564,5059.977815091,5101.340031564,5059.977815091,10456.0
2007-08-07,5073.765220582,4935.891165675,5087.552626073,4963.465976656,7842.0
2007-08-10,5046.190409601,4963.465976656,5046.190409601,4963.465976656,8555.0
2007-08-13,4963.465976656,4963.465976656,4963.465976656,4963.465976656,475.0
2007-08-20,4549.843811935,4522.269000954,4715.292677824,4549.843811935,4752.0
