Date,Price Open,Price Low,Price High,Price Close,Volume
2006-07-06,3978.059324411,3978.059324411,3978.059324411,3978.059324411,931744.0
2006-07-14,5012.354748758,5012.354748758,5251.038308223,5012.354748758,2193290.0
2006-07-17,5012.354748758,5012.354748758,5251.038308223,5052.135342002,2185843.0
2006-07-18,5052.135342002,4932.79356227,5052.135342002,4932.79356227,775567.0
2006-07-21,4932.79356227,4893.012969026,4972.574155514,4893.012969026,833016.0
2006-07-24,4893.012969026,4853.232375782,4893.012969026,4853.232375782,780248.0
2006-07-28,4733.890596049,4694.110002805,4813.451782537,4694.110002805,495128.0
2006-08-01,4574.768223073,4375.865256852,4574.768223073,4375.865256852,1145158.0
2006-08-02,4375.865256852,4375.865256852,4534.987629829,4534.987629829,1146860.0
2006-08-09,4733.890596049,4733.890596049,4773.671189293,4733.890596049,894721.0
2006-08-10,4733.890596049,4694.110002805,4733.890596049,4733.890596049,104260.0
2006-08-15,5091.915935246,4932.79356227,5091.915935246,5052.135342002,1031110.0
2006-08-17,5290.818901467,5290.818901467,5370.380087955,5290.818901467,575557.0
2006-08-21,5211.257714979,5171.477121735,5211.257714979,5171.477121735,709819.0
2006-08-23,5091.915935246,5091.915935246,5171.477121735,5171.477121735,505342.0
2006-08-25,5211.257714979,5211.257714979,5251.038308223,5251.038308223,732160.0
2006-08-31,5967.088986617,5887.527800129,6245.553139326,6245.553139326,1746462.0
2006-09-06,6842.262037987,6842.262037987,7160.50678394,7080.945597452,1564538.0
2006-09-08,7160.50678394,7160.50678394,7160.50678394,7160.50678394,525768.0
2006-09-11,7160.50678394,7160.50678394,7160.50678394,7160.50678394,1169627.0
2006-09-14,7160.50678394,7160.50678394,7160.50678394,7160.50678394,602154.0
2006-09-18,7120.726190696,7041.165004208,7120.726190696,7120.726190696,630028.0
2006-09-19,7120.726190696,7120.726190696,7160.50678394,7160.50678394,416401.0
2006-09-20,7160.50678394,7160.50678394,7200.287377184,7160.50678394,729820.0
2006-09-21,7160.50678394,7160.50678394,7200.287377184,7200.287377184,412784.0
2006-09-28,8393.705174508,8274.363394775,8393.705174508,8393.705174508,865571.0
2006-10-05,10144.051277248,9706.464751563,10422.515429957,9706.464751563,2016687.0
2006-10-06,9706.464751563,9706.464751563,10183.831870493,10183.831870493,1256652.0
2006-10-10,10661.198989422,10342.954243469,10661.198989422,10462.296023201,1161329.0
2006-10-11,10462.296023201,10382.734836713,10462.296023201,10462.296023201,1154307.0
2006-10-16,9786.025938051,9547.342378587,10144.051277248,10144.051277248,2055837.0
2006-10-20,9626.903565075,9626.903565075,9626.903565075,9626.903565075,2057539.0
2006-10-23,9626.903565075,9626.903565075,9666.684158319,9626.903565075,603644.0
2006-10-24,9626.903565075,9626.903565075,9666.684158319,9666.684158319,546407.0
2006-10-27,10183.831870493,9945.148311028,10183.831870493,10183.831870493,2409683.0
2006-10-31,9905.367717784,9587.122971831,9945.148311028,9945.148311028,501512.0
2006-11-01,9945.148311028,9945.148311028,10024.709497516,9945.148311028,360867.0
2006-11-02,9945.148311028,9786.025938051,9945.148311028,9786.025938051,425976.0
2006-11-03,9786.025938051,9706.464751563,9786.025938051,9706.464751563,455978.0
2006-11-07,9865.58712454,9865.58712454,9905.367717784,9865.58712454,362144.0
2006-11-08,9865.58712454,9865.58712454,9905.367717784,9865.58712454,391081.0
2006-11-09,9865.58712454,9865.58712454,9905.367717784,9905.367717784,538747.0
2006-11-10,9905.367717784,9905.367717784,9945.148311028,9905.367717784,562791.0
2006-11-14,9945.148311028,9945.148311028,9984.928904272,9984.928904272,705989.0
2006-11-15,9984.928904272,9945.148311028,10104.270684004,9945.148311028,549599.0
2006-11-16,9945.148311028,9945.148311028,9945.148311028,9945.148311028,490447.0
2006-11-28,13525.401702998,13525.401702998,13923.207635439,13525.401702998,869826.0
2006-12-07,16707.849162527,16707.849162527,17543.241620653,17543.241620653,95961.0
2006-12-12,19333.368316638,18378.63407878,20288.102554497,18378.63407878,1744334.0
2006-12-18,21242.836792356,21203.056199111,22277.132216702,21203.056199111,1424107.0
2006-12-20,22237.351623458,21282.6173856,22476.035182923,21282.6173856,924297.0
2006-12-25,19253.80713015,18299.072892291,20208.541368009,20208.541368009,2183503.0
2007-01-04,22754.499335632,22277.132216702,23152.305268073,22913.621708608,1869020.0
2007-01-12,28960.271881713,28960.271881713,29039.833068201,28960.271881713,2147756.0
2007-02-27,63780.336684148,63780.336684148,66809.902676645,63780.336684148,1217661.0
2007-03-01,60591.31984994,60591.31984994,62185.828267044,60591.31984994,1122604.0
2007-03-02,60591.31984994,60591.31984994,60591.31984994,60591.31984994,650401.0
2007-03-05,60591.31984994,59794.065641389,60591.31984994,59794.065641389,555291.0
2007-03-08,56605.048807181,55807.794598629,56605.048807181,56605.048807181,1041536.0
2007-03-13,62185.828267044,60591.31984994,62185.828267044,60591.31984994,552152.0
2007-03-20,58199.557224285,55648.343756919,58199.557224285,55807.794598629,603537.0
2007-04-03,56605.048807181,56605.048807181,57402.303015733,57402.303015733,340174.0
2007-04-04,57402.303015733,57402.303015733,58199.557224285,58199.557224285,184423.0
2007-04-05,58199.557224285,57402.303015733,58199.557224285,57402.303015733,171922.0
2007-04-12,56126.69628205,55807.794598629,56126.69628205,55807.794598629,345600.0
2007-04-18,49748.662613635,49748.662613635,52140.425239291,52140.425239291,801206.0
2007-04-20,49589.211771925,47835.252513111,49589.211771925,47835.252513111,611517.0
2007-04-25,43211.17810351,41297.768002986,43530.079786931,43370.628945221,775513.0
2007-05-04,42732.825578379,42095.022211538,43848.981470352,43848.981470352,192083.0
2007-05-10,50545.916822187,48154.154196532,50545.916822187,50227.015138766,1351550.0
2007-05-23,71433.977086246,70796.173719404,74941.895603874,70796.173719404,1561081.0
2007-05-31,67281.373914807,66368.052096959,67281.373914807,67281.373914807,1008603.0
2007-06-04,67890.255126706,67890.255126706,68499.136338604,67890.255126706,455737.0
2007-06-08,68194.695732655,68194.695732655,68194.695732655,68194.695732655,530801.0
2007-06-18,80372.319970629,79154.557546832,84330.047847971,79154.557546832,968045.0
2007-06-26,98334.315721641,97420.993903793,102900.924810881,98334.315721641,791725.0
2007-06-28,93463.266026451,89201.09754316,93463.266026451,93463.266026451,785225.0
2007-07-03,91332.181784806,90114.419361008,91941.062996705,91941.062996705,521986.0
2007-07-06,92245.503602654,91332.181784806,92245.503602654,92245.503602654,335206.0
2007-07-10,87678.894513414,85852.250877718,89809.978755059,88896.656937211,762045.0
2007-07-12,88592.216331262,86765.572695566,88592.216331262,86765.572695566,203126.0
2007-07-13,86765.572695566,86765.572695566,87070.013301515,87070.013301515,241620.0
2007-07-17,84634.48845392,84634.48845392,86156.691483667,86156.691483667,179751.0
2007-08-02,78241.235728984,76110.151487338,79154.557546832,76110.151487338,342765.0
2007-08-07,71847.983004047,71847.983004047,74283.507851642,74283.507851642,213838.0
2007-08-21,72456.864215946,71543.542398098,72456.864215946,71543.542398098,904334.0
2007-08-22,71543.542398098,71543.542398098,71847.983004047,71847.983004047,428819.0
2007-08-23,71847.983004047,71847.983004047,72152.423609997,71847.983004047,310659.0
2007-08-29,73065.745427845,73065.745427845,74587.948457591,74587.948457591,340394.0
2007-08-30,74587.948457591,73674.626639743,74587.948457591,73674.626639743,280868.0
2007-08-31,73674.626639743,73674.626639743,74283.507851642,74283.507851642,320227.0
2007-09-05,76110.151487338,74892.389063541,76110.151487338,74892.389063541,345666.0
2007-09-06,74892.389063541,74587.948457591,74892.389063541,74587.948457591,207394.0
2007-09-07,74587.948457591,74283.507851642,74587.948457591,74587.948457591,248706.0
2007-09-10,74587.948457591,74283.507851642,74587.948457591,74283.507851642,269626.0
2007-09-11,74283.507851642,73674.626639743,74587.948457591,73674.626639743,213921.0
2007-09-12,73674.626639743,73370.186033794,73674.626639743,73674.626639743,161564.0
2007-09-14,73065.745427845,73065.745427845,73674.626639743,73370.186033794,139248.0
2007-09-17,73370.186033794,73370.186033794,73674.626639743,73370.186033794,116291.0
2007-09-21,74283.507851642,73674.626639743,74283.507851642,73979.067245693,181815.0
2007-09-24,73979.067245693,73674.626639743,74283.507851642,74283.507851642,260505.0
2007-10-03,94376.587844299,91332.181784806,96812.112691894,96812.112691894,976664.0
2007-10-11,90723.300572907,89201.09754316,90723.300572907,89201.09754316,247311.0
2007-10-12,89201.09754316,89201.09754316,90723.300572907,90723.300572907,532670.0
2007-10-15,90723.300572907,89809.978755059,90723.300572907,89809.978755059,297604.0
2007-10-16,89809.978755059,89809.978755059,94072.14723835,94072.14723835,1034071.0
2007-10-17,94072.14723835,91027.741178857,98638.75632759,91027.741178857,1062328.0
2007-10-18,91027.741178857,89809.978755059,91027.741178857,89809.978755059,479001.0
2007-10-19,89809.978755059,87678.894513414,90418.859966958,89809.978755059,547761.0
2007-10-30,81590.082394427,79763.43875873,82198.963606325,79763.43875873,833176.0
2007-11-01,81590.082394427,80676.760576579,81590.082394427,80676.760576579,363128.0
2007-11-07,76719.032699237,76719.032699237,77327.913911136,76719.032699237,456909.0
2007-11-08,76719.032699237,76719.032699237,77023.473305186,76719.032699237,247227.0
2007-11-12,75501.27027544,74892.389063541,75805.710881389,74892.389063541,243210.0
2007-11-13,74892.389063541,73979.067245693,74892.389063541,73979.067245693,268650.0
2007-11-14,73979.067245693,70325.779974301,76110.151487338,70325.779974301,472753.0
2007-11-19,75805.710881389,75501.27027544,76110.151487338,76110.151487338,480368.0
2007-11-20,76110.151487338,75196.82966949,76110.151487338,75501.27027544,427927.0
2007-11-23,75501.27027544,75501.27027544,75805.710881389,75805.710881389,180336.0
2007-11-26,75805.710881389,75805.710881389,77632.354517085,77632.354517085,368623.0
2007-11-27,77632.354517085,77632.354517085,77936.795123034,77936.795123034,571359.0
2007-11-28,77936.795123034,77632.354517085,77936.795123034,77632.354517085,219723.0
2007-11-29,77632.354517085,76414.592093288,77632.354517085,76414.592093288,205497.0
2007-12-03,75196.82966949,75196.82966949,75805.710881389,75805.710881389,169179.0
2007-12-04,75805.710881389,75805.710881389,75805.710881389,75805.710881389,281230.0
2007-12-05,75805.710881389,75501.27027544,75805.710881389,75805.710881389,331803.0
2007-12-07,75501.27027544,74892.389063541,75501.27027544,75501.27027544,195372.0
2007-12-12,73065.745427845,73065.745427845,74283.507851642,73979.067245693,182261.0
2007-12-13,73979.067245693,72152.423609997,74283.507851642,72152.423609997,476574.0
2007-12-18,74283.507851642,74283.507851642,74283.507851642,74283.507851642,291635.0
2007-12-20,77023.473305186,75196.82966949,77023.473305186,75196.82966949,226195.0
2007-12-24,75805.710881389,75805.710881389,75805.710881389,75805.710881389,107979.0
2007-12-26,74892.389063541,74892.389063541,75196.82966949,75196.82966949,183182.0
2007-12-27,75196.82966949,75196.82966949,75501.27027544,75196.82966949,108369.0
2007-12-28,75196.82966949,75196.82966949,76110.151487338,76110.151487338,180755.0
2008-01-02,76110.151487338,76110.151487338,77327.913911136,76719.032699237,201648.0
2008-01-04,75501.27027544,74892.389063541,75501.27027544,74892.389063541,152721.0
2008-01-07,74892.389063541,73065.745427845,74892.389063541,73370.186033794,227227.0
2008-01-08,73370.186033794,73370.186033794,74587.948457591,73370.186033794,260812.0
2008-01-09,73370.186033794,72456.864215946,73370.186033794,72456.864215946,141117.0
2008-01-17,69412.458156452,69412.458156452,72152.423609997,69716.898762402,394816.0
2008-01-18,69716.898762402,69716.898762402,72456.864215946,72152.423609997,224577.0
2008-01-24,67281.373914807,66976.933308858,68803.576944554,66976.933308858,294341.0
2008-01-25,66976.933308858,66976.933308858,69108.017550503,68499.136338604,345722.0
2008-01-28,68499.136338604,68194.695732655,70021.339368351,70021.339368351,263183.0
2008-01-29,70021.339368351,69716.898762402,73065.745427845,73065.745427845,442236.0
2008-02-01,76110.151487338,74587.948457591,76110.151487338,76110.151487338,443464.0
2008-02-14,71847.983004047,71847.983004047,73065.745427845,71847.983004047,117016.0
2008-02-15,71847.983004047,71239.101792149,72456.864215946,71543.542398098,148676.0
2008-02-19,68194.695732655,68194.695732655,68803.576944554,68499.136338604,250658.0
2008-02-20,68499.136338604,65150.289673162,68499.136338604,65150.289673162,411581.0
2008-02-27,57843.715130377,55103.749676833,59365.918160124,55103.749676833,209291.0
2008-02-28,55103.749676833,52363.784223289,56017.071494681,52363.784223289,419893.0
2008-03-10,47492.734528099,47188.29392215,49623.818769745,49623.818769745,1020709.0
2008-03-12,47492.734528099,46883.8533162,48710.496951896,46883.8533162,341594.0
2008-03-13,46883.8533162,45970.531498352,48101.615739998,45970.531498352,312528.0
2008-03-14,45970.531498352,45361.650286454,45970.531498352,45666.090892403,259026.0
2008-03-27,31357.382412783,31052.941806834,31661.823018733,31661.823018733,1158257.0
2008-03-28,31661.823018733,31661.823018733,31966.263624682,31966.263624682,702770.0
2008-05-15,22985.265749176,22528.604840252,22985.265749176,22528.604840252,1394.0
2008-05-22,21310.842416455,21006.401810505,21310.842416455,21006.401810505,89010.0
2008-06-02,20093.079992657,19788.639386708,20093.079992657,19788.639386708,3403.0
2008-06-16,17048.673933164,16744.233327214,17353.114539113,16744.233327214,963666.0
2008-06-17,16744.233327214,16744.233327214,17048.673933164,17048.673933164,1060961.0
2008-06-30,13669.383207126,13273.610419392,14065.15599486,14065.15599486,549490.0
2008-07-02,14460.928782594,14308.70847962,14887.145630923,14887.145630923,646925.0
2008-07-07,15678.691206392,15222.030297468,16135.352115316,15222.030297468,873204.0
2008-07-08,15222.030297468,14765.369388544,15678.691206392,15678.691206392,525947.0
2008-07-16,17961.995751012,17657.555145062,18418.656659936,18418.656659936,1207769.0
2008-07-21,19331.978477784,18875.31756886,19788.639386708,18875.31756886,1426098.0
2008-07-24,17961.995751012,17657.555145062,18418.656659936,18266.436356961,1256835.0
2008-07-30,19636.419083733,19484.198780759,20093.079992657,20093.079992657,895520.0
2008-08-15,25420.790596771,25420.790596771,26181.892111644,26181.892111644,8089.0
2008-08-28,37446.19453177,37446.19453177,39272.838167467,39272.838167467,1832686.0
2008-08-29,39272.838167467,38359.516349618,39272.838167467,38968.397561517,1001937.0
2008-09-05,42704.004204079,40833.755844776,44262.544503498,40833.755844776,1079232.0
2008-09-09,38963.507485474,37093.259126171,40833.755844776,37093.259126171,682546.0
2008-09-10,37093.259126171,35534.718826752,37404.967186055,35534.718826752,787206.0
2008-09-11,35534.718826752,33976.178527333,35846.426886636,35846.426886636,1224310.0
2008-09-15,34287.886587217,33352.762407565,35846.426886636,34911.302706984,424440.0
2008-09-19,30235.681808728,30235.681808728,31482.514048263,31482.514048263,821990.0
2008-09-23,33041.054347682,31482.514048263,34599.594647101,33041.054347682,808824.0
2008-09-24,33041.054347682,32417.638227914,33352.762407565,33352.762407565,420172.0
2008-09-26,34911.302706984,33664.470467449,36469.843006403,33664.470467449,923944.0
2008-09-29,33664.470467449,32105.93016803,34287.886587217,32105.93016803,524915.0
2008-10-01,30547.389868611,29144.703599134,30547.389868611,29144.703599134,1674804.0
2008-10-02,29144.703599134,28365.433449425,30079.827778786,29612.26568896,516073.0
2008-10-09,24313.228670936,23222.250461342,24313.228670936,23222.250461342,673648.0
2008-10-13,22131.272251749,21040.294042156,22131.272251749,21040.294042156,457216.0
2008-10-17,19949.315832563,19325.899712795,19949.315832563,19949.315832563,557831.0
2008-10-20,19949.315832563,19014.191652911,20416.877922388,19014.191652911,266195.0
2008-10-21,19014.191652911,18079.06747326,19014.191652911,18390.775533144,612420.0
2008-10-22,18390.775533144,17611.505383434,19014.191652911,19014.191652911,704499.0
2008-10-28,16520.527173841,15741.257024131,16832.235233725,16676.381203783,326642.0
2008-10-29,16676.381203783,16676.381203783,17455.651353492,17455.651353492,606702.0
2008-10-30,17455.651353492,16988.089263667,17923.213443318,17767.359413376,384886.0
2008-11-03,18234.921503202,17455.651353492,18702.483593027,18234.921503202,342542.0
2008-11-04,18234.921503202,17767.359413376,19014.191652911,19014.191652911,300338.0
2008-11-07,20884.440012214,20884.440012214,21819.564191865,21819.564191865,2010094.0
2008-11-11,22910.542401459,21819.564191865,22910.542401459,21975.418221807,794765.0
2008-11-13,21507.856131981,21352.00210204,22442.980311633,22131.272251749,478220.0
2008-11-17,23222.250461342,22442.980311633,23222.250461342,22754.688371517,305331.0
2008-11-18,22754.688371517,21975.418221807,22754.688371517,22754.688371517,241369.0
2008-11-19,22754.688371517,21819.564191865,23066.3964314,21819.564191865,285219.0
2008-11-24,19793.461802621,19325.899712795,20572.73195233,19325.899712795,190183.0
2008-11-25,19325.899712795,18390.775533144,19793.461802621,18390.775533144,365583.0
2008-11-26,18390.775533144,17611.505383434,18546.629563085,17611.505383434,842381.0
2008-11-28,16832.235233725,16832.235233725,17611.505383434,17611.505383434,1827135.0
2008-12-04,15273.694934306,14806.13284448,15897.111054073,15117.840904364,1189721.0
2008-12-09,13652.81302291,13091.738515119,13902.179470817,13559.300604945,763217.0
2008-12-11,12967.055291166,12967.055291166,13590.471410933,13590.471410933,568542.0
2008-12-17,15273.694934306,14868.474456457,15897.111054073,15897.111054073,974098.0
2008-12-18,15897.111054073,15897.111054073,16676.381203783,16676.381203783,772868.0
2008-12-19,16676.381203783,16676.381203783,17455.651353492,17455.651353492,612225.0
2008-12-22,17455.651353492,17455.651353492,18079.06747326,17455.651353492,900959.0
2008-12-25,15897.111054073,15117.840904364,16052.965084015,15117.840904364,614066.0
2008-12-26,15117.840904364,15024.328486399,15741.257024131,15741.257024131,1017111.0
2008-12-30,16520.527173841,16364.673143899,17299.79732355,17299.79732355,1734498.0
2008-12-31,17299.79732355,16676.381203783,17299.79732355,16832.235233725,867318.0
2009-01-02,16832.235233725,16208.819113957,16832.235233725,16208.819113957,485612.0
2009-01-05,16208.819113957,16052.965084015,16988.089263667,16988.089263667,473227.0
