Date,Price Open,Price Low,Price High,Price Close,Volume
2010-09-08,3973.87535016,3973.87535016,3973.87535016,3973.87535016,2500.0
2010-09-09,3973.87535016,3973.87535016,3973.87535016,3973.87535016,9900.0
2010-09-10,3973.87535016,3973.87535016,3973.87535016,3973.87535016,100.0
2010-09-14,3708.950326816,3576.487815144,3973.87535016,3841.412838488,6200.0
2010-09-15,3841.412838488,3841.412838488,3973.87535016,3841.412838488,8000.0
2010-09-17,4026.860354828,3973.87535016,4026.860354828,3973.87535016,26900.0
2010-09-20,3973.87535016,3973.87535016,3973.87535016,3973.87535016,34400.0
2010-09-22,4026.860354828,4000.367852494,4026.860354828,4026.860354828,6300.0
2010-09-23,4026.860354828,4026.860354828,4026.860354828,4026.860354828,5400.0
2010-09-24,4026.860354828,4026.860354828,4424.247889844,4424.247889844,5300.0
2010-09-30,4106.337861832,4079.845359497,4238.800373504,4238.800373504,20200.0
2010-10-06,3973.87535016,3973.87535016,4026.860354828,3973.87535016,10300.0
2010-10-07,3973.87535016,3973.87535016,4000.367852494,4000.367852494,11300.0
2010-10-15,3973.87535016,3973.87535016,3973.87535016,3973.87535016,7200.0
2010-12-02,3708.950326816,3708.950326816,3788.427833819,3708.950326816,7900.0
2010-12-03,3708.950326816,3708.950326816,3920.890345491,3920.890345491,11700.0
2010-12-09,3761.935331484,3708.950326816,3788.427833819,3788.427833819,2200.0
2010-12-10,3788.427833819,3788.427833819,3841.412838488,3814.920336153,1300.0
2010-12-27,3735.44282915,3735.44282915,3761.935331484,3761.935331484,6000.0
2010-12-28,3761.935331484,3761.935331484,4079.845359497,4079.845359497,1000.0
2011-01-04,3973.87535016,3973.87535016,3973.87535016,3973.87535016,5900.0
2011-01-05,3973.87535016,3973.87535016,3973.87535016,3973.87535016,2800.0
2011-01-19,3920.890345491,3920.890345491,3920.890345491,3920.890345491,2900.0
2011-03-11,3958.806253837,3958.806253837,3958.806253837,3958.806253837,2000.0
2011-03-22,3930.325633305,3930.325633305,3930.325633305,3930.325633305,100.0
2011-03-28,3930.325633305,3560.0775664,3930.325633305,3560.0775664,4900.0
2011-04-20,3930.325633305,3560.0775664,4300.573700211,3702.480669056,700.0
2011-04-21,3702.480669056,3702.480669056,3702.480669056,3702.480669056,800.0
2011-04-25,3645.519427993,3645.519427993,3645.519427993,3645.519427993,600.0
2011-04-27,3645.519427993,3645.519427993,3645.519427993,3645.519427993,700.0
2011-04-29,3617.038807462,3417.674463744,3844.883771712,3844.883771712,5200.0
2011-05-09,3417.674463744,3417.674463744,3417.674463744,3417.674463744,1000.0
2011-05-11,3531.596945869,3531.596945869,3560.0775664,3560.0775664,1700.0
2011-05-13,3702.480669056,3417.674463744,3702.480669056,3702.480669056,300.0
2011-05-23,3712.219156302,3623.12589655,3712.219156302,3623.12589655,2500.0
2011-05-25,3623.12589655,3563.73039005,4009.196688806,3563.73039005,1100.0
2011-06-09,3563.73039005,3207.357351045,3563.73039005,3563.73039005,18000.0
2011-06-10,3563.73039005,3563.73039005,3563.73039005,3563.73039005,500.0
2011-07-07,3088.566338043,2821.286558789,3088.566338043,3088.566338043,700.0
2011-07-08,3088.566338043,2910.37981854,3177.659597794,3177.659597794,200.0
2011-07-21,2524.309026285,2286.727000282,2524.309026285,2286.727000282,1500.0
2011-07-22,2286.727000282,2257.029247031,2286.727000282,2257.029247031,2200.0
2011-07-26,2257.029247031,2227.331493781,2286.727000282,2286.727000282,2500.0
2011-08-05,2078.842727529,2078.842727529,2078.842727529,2078.842727529,200.0
2011-08-08,2078.842727529,2049.144974278,2078.842727529,2078.842727529,4600.0
2011-08-12,2049.144974278,1930.353961277,2049.144974278,1930.353961277,1600.0
2011-08-16,2078.842727529,2049.144974278,2078.842727529,2078.842727529,3700.0
2011-08-18,2138.23823403,2138.23823403,2138.23823403,2138.23823403,600.0
2011-08-19,2138.23823403,2078.842727529,2227.331493781,2227.331493781,2400.0
2011-08-23,2316.424753532,2167.93598728,2316.424753532,2316.424753532,2900.0
2011-08-29,2940.077571791,2940.077571791,2940.077571791,2940.077571791,300.0
