Date,Price Open,Price Low,Price High,Price Close,Volume
2006-10-30,2935.898760289,2935.898760289,2935.898760289,2935.898760289,173755.0
2006-10-31,2935.898760289,2935.898760289,3082.693698304,3082.693698304,378490.0
2006-11-03,3385.458257958,3293.711421699,3385.458257958,3302.886105325,865709.0
2006-11-06,3302.886105325,3293.711421699,3302.886105325,3293.711421699,520807.0
2006-11-07,3293.711421699,3293.711421699,3302.886105325,3302.886105325,322021.0
2006-11-10,3385.458257958,3302.886105325,3394.632941584,3302.886105325,195034.0
2006-11-13,3302.886105325,3302.886105325,3321.235472577,3302.886105325,76924.0
2006-11-14,3302.886105325,3302.886105325,3321.235472577,3302.886105325,357165.0
2006-11-15,3302.886105325,3257.012687196,3302.886105325,3257.012687196,110375.0
2006-11-16,3257.012687196,3211.139269066,3257.012687196,3220.313952692,97745.0
2006-11-17,3220.313952692,3183.615218188,3220.313952692,3183.615218188,173343.0
2006-11-20,3183.615218188,3174.440534563,3211.139269066,3174.440534563,89096.0
2006-11-29,3578.126614102,3486.379777843,3578.126614102,3513.903828721,368880.0
2006-11-30,3513.903828721,3513.903828721,3532.253195973,3532.253195973,188307.0
2006-12-01,3532.253195973,3440.506359714,3532.253195973,3440.506359714,162314.0
2006-12-05,3486.379777843,3348.759523455,3486.379777843,3486.379777843,149227.0
2006-12-06,3486.379777843,3449.68104334,3486.379777843,3449.68104334,105113.0
2006-12-08,3348.759523455,3348.759523455,3348.759523455,3348.759523455,10936.0
2006-12-11,3348.759523455,3348.759523455,3513.903828721,3513.903828721,439352.0
2006-12-12,3513.903828721,3513.903828721,3669.873450361,3513.903828721,302389.0
2006-12-13,3513.903828721,3486.379777843,3513.903828721,3486.379777843,202264.0
2006-12-18,3394.632941584,3394.632941584,3394.632941584,3394.632941584,288112.0
2006-12-20,3532.253195973,3532.253195973,3532.253195973,3532.253195973,113441.0
2006-12-21,3532.253195973,3486.379777843,3532.253195973,3486.379777843,631504.0
2006-12-22,3486.379777843,3394.632941584,3486.379777843,3394.632941584,127856.0
2006-12-25,3394.632941584,3312.060788951,3449.68104334,3449.68104334,33268.0
2006-12-27,3486.379777843,3477.205094217,3486.379777843,3486.379777843,150599.0
2006-12-28,3486.379777843,3412.982308836,3486.379777843,3412.982308836,130190.0
2007-01-02,3394.632941584,3394.632941584,3440.506359714,3440.506359714,53311.0
2007-01-04,3431.331676088,3394.632941584,3486.379777843,3440.506359714,138793.0
2007-01-05,3440.506359714,3440.506359714,3440.506359714,3440.506359714,268160.0
2007-01-15,4312.101304175,4101.083580779,4312.101304175,4101.083580779,221529.0
2007-01-17,3990.987377268,3990.987377268,4128.607631657,3990.987377268,285732.0
2007-01-18,3990.987377268,3990.987377268,4183.655733412,4183.655733412,197047.0
2007-01-25,4762.644484039,4575.874112116,4996.107448943,4575.874112116,895408.0
2007-01-26,4575.874112116,4575.874112116,4669.259298077,4669.259298077,287242.0
2007-01-31,5136.185227885,5136.185227885,5322.955599808,5229.570413846,545610.0
2007-02-01,5229.570413846,5136.185227885,5229.570413846,5136.185227885,282163.0
2007-02-05,4949.414855962,4762.644484039,5042.800041923,4762.644484039,162131.0
2007-02-12,4856.02967,4856.02967,4996.107448943,4996.107448943,192105.0
2007-02-26,5696.496343654,5696.496343654,5976.651901539,5976.651901539,13499.0
2007-02-27,5976.651901539,5976.651901539,6256.807459423,6256.807459423,80585.0
2007-02-28,6256.807459423,6256.807459423,6536.963017308,6256.807459423,343849.0
2007-03-01,6256.807459423,6256.807459423,6256.807459423,6256.807459423,249352.0
2007-03-02,6256.807459423,6256.807459423,6256.807459423,6256.807459423,244227.0
2007-03-16,6957.196354135,6630.34820327,6957.196354135,6957.196354135,260289.0
2007-03-20,7284.044505,6957.196354135,7470.814876923,6957.196354135,397527.0
2007-03-21,6957.196354135,6770.425982212,6957.196354135,6770.425982212,242305.0
2007-03-23,6443.577831346,6303.500052404,6536.963017308,6490.270424327,235120.0
2007-03-26,6490.270424327,6256.807459423,6536.963017308,6256.807459423,171192.0
2007-03-28,5976.651901539,5696.496343654,6256.807459423,6256.807459423,487814.0
2007-03-30,6536.963017308,6536.963017308,6770.425982212,6536.963017308,204598.0
2007-04-04,5929.959308558,5929.959308558,6070.0370875,6070.0370875,104289.0
2007-04-05,6070.0370875,6070.0370875,6163.422273462,6070.0370875,101269.0
2007-04-09,5836.574122596,5836.574122596,5836.574122596,5836.574122596,92574.0
2007-04-10,5836.574122596,5836.574122596,5836.574122596,5836.574122596,96235.0
2007-04-20,5743.188936635,5603.111157693,5743.188936635,5603.111157693,256628.0
2007-04-25,5322.955599808,5322.955599808,5556.418564712,5556.418564712,69785.0
2007-05-07,5836.574122596,5719.842640145,5836.574122596,5719.842640145,33936.0
2007-05-08,5719.842640145,5719.842640145,5836.574122596,5836.574122596,80869.0
2007-05-09,5836.574122596,5789.881529616,5836.574122596,5789.881529616,89545.0
2007-05-10,5789.881529616,5719.842640145,5789.881529616,5719.842640145,42210.0
2007-05-11,5719.842640145,5626.457454183,5719.842640145,5719.842640145,85225.0
2007-05-14,5719.842640145,5661.476898919,5719.842640145,5719.842640145,135196.0
2007-05-15,5719.842640145,5719.842640145,5836.574122596,5719.842640145,101187.0
2007-05-16,5719.842640145,5719.842640145,5719.842640145,5719.842640145,27273.0
2007-05-17,5719.842640145,5661.476898919,5719.842640145,5719.842640145,104335.0
2007-05-18,5719.842640145,5719.842640145,5719.842640145,5719.842640145,119381.0
2007-05-24,6420.231534856,6128.402828726,6420.231534856,6128.402828726,70728.0
