Date,Price Open,Price Low,Price High,Price Close,Volume
2010-09-09,10078.488570791,10078.488570791,10078.488570791,10078.488570791,119.0
2010-11-22,5408.159133949,4893.096359287,5923.221908611,4893.096359287,4000.0
2010-11-23,4893.096359287,4893.096359287,4893.096359287,4893.096359287,100.0
2010-11-25,4414.823782815,3973.341404534,4598.774773766,4598.774773766,5400.0
2010-11-26,4598.774773766,4046.921800914,4782.725764717,4782.725764717,20600.0
2010-11-30,4598.774773766,4230.872791865,4598.774773766,4230.872791865,16800.0
2010-12-02,4561.984575576,4451.613981005,4598.774773766,4451.613981005,10700.0
2010-12-06,5040.257152048,4782.725764717,5260.998341188,5224.208142998,13700.0
2010-12-07,5224.208142998,4966.676755667,5739.27091766,5408.159133949,6600.0
2011-01-14,7100.508250695,7100.508250695,7100.508250695,7100.508250695,500.0
2011-03-04,7799.522016307,7799.522016307,7799.522016307,7799.522016307,200.0
2011-04-25,4499.72458631,4049.752127679,4874.701635169,4874.701635169,2900.0
2011-04-27,4124.747537451,4124.747537451,4537.222291196,4537.222291196,4800.0
2011-04-28,4537.222291196,4537.222291196,4537.222291196,4537.222291196,100.0
2011-04-29,4537.222291196,4162.245242337,4687.213110739,4162.245242337,1100.0
2011-05-05,4612.217700968,4124.747537451,4687.213110739,4687.213110739,1500.0
2011-05-06,4687.213110739,4312.23606188,4687.213110739,4649.715405854,300.0
2011-05-09,4649.715405854,4499.72458631,4649.715405854,4499.72458631,300.0
2011-05-11,4499.72458631,4087.249832565,4612.217700968,4612.217700968,3500.0
2011-05-12,4612.217700968,4612.217700968,4612.217700968,4612.217700968,100.0
2011-06-22,4874.701635169,4874.701635169,4874.701635169,4874.701635169,100.0
2011-06-30,6974.57310878,6937.075403894,7649.531796727,7612.034091841,3100.0
2011-07-18,9186.937697049,8286.992779787,10086.882614311,8286.992779787,3000.0
2011-08-25,7762.024911384,7012.070813666,8511.979009103,7012.070813666,3000.0
2011-09-29,5899.213049457,5331.981025471,6428.629605178,6428.629605178,9000.0
2011-10-05,5218.534620674,4764.749001485,5710.135708129,4764.749001485,5300.0
2011-10-14,5105.088215877,5067.272747611,5558.873835066,5067.272747611,5100.0
2011-12-05,7222.754438759,6504.260541709,7222.754438759,7222.754438759,14200.0
2011-12-23,8889.133006304,8027.631129041,9750.634883567,9750.634883567,11300.0
2012-03-05,6774.537489386,6774.537489386,6774.537489386,6774.537489386,100.0
2012-03-13,6226.309022037,6226.309022037,6226.309022037,6226.309022037,3000.0
2012-03-14,6813.696665625,6813.696665625,6813.696665625,6813.696665625,2000.0
2012-03-15,6774.537489386,6774.537489386,6774.537489386,6774.537489386,1000.0
2012-03-16,7401.084309214,7401.084309214,7401.084309214,7401.084309214,1000.0
2012-03-19,8066.79030528,8066.79030528,8066.79030528,8066.79030528,2000.0
2012-03-21,8693.337125108,8693.337125108,8693.337125108,8693.337125108,1000.0
2012-03-22,9398.202297414,9398.202297414,9398.202297414,9398.202297414,1300.0
2012-03-26,9789.794059806,9789.794059806,9789.794059806,9789.794059806,1000.0
2012-03-27,8810.814653826,8810.814653826,8810.814653826,8810.814653826,100.0
2012-03-29,8810.814653826,8771.655477586,8810.814653826,8771.655477586,2300.0
2012-03-30,8732.496301347,8732.496301347,8732.496301347,8732.496301347,1000.0
2012-04-06,8772.190223952,8772.190223952,8772.190223952,8772.190223952,100.0
2012-04-09,7898.9405184,7898.9405184,7898.9405184,7898.9405184,100.0
2012-04-12,8653.110718649,8653.110718649,8653.110718649,8653.110718649,100.0
2012-04-13,9486.667255767,9486.667255767,9486.667255767,9486.667255767,100.0
2012-04-16,10399.610129753,10399.610129753,10399.610129753,10399.610129753,100.0
2012-04-18,9367.587750464,9367.587750464,9367.587750464,9367.587750464,100.0
2012-04-19,8454.644876478,8454.644876478,8454.644876478,8454.644876478,100.0
2012-04-20,7621.088339361,7621.088339361,7700.474676229,7700.474676229,1100.0
2012-04-23,6946.30447598,6946.30447598,6946.30447598,6946.30447598,100.0
2012-04-24,6271.520612599,6271.520612599,7502.008834058,7502.008834058,1100.0
2012-04-25,6668.452296941,6668.452296941,6668.452296941,6668.452296941,100.0
2012-04-26,6033.361601994,6033.361601994,7224.156655019,7224.156655019,1100.0
2012-04-27,7779.861013097,6430.293286336,7779.861013097,6430.293286336,300.0
2012-05-02,6192.134275731,6192.134275731,6192.134275731,6192.134275731,100.0
2012-05-03,5596.736749218,5596.736749218,6152.441107296,6152.441107296,1100.0
2012-05-04,5517.35041235,5517.35041235,6073.054770428,6073.054770428,1100.0
2012-05-08,6589.065960072,6589.065960072,6589.065960072,6589.065960072,100.0
2012-05-09,7224.156655019,5953.975265126,7224.156655019,5953.975265126,200.0
2012-05-10,7224.156655019,7224.156655019,7224.156655019,7224.156655019,100.0
2012-05-15,7938.633686834,7938.633686834,7938.633686834,7938.633686834,100.0
2012-05-17,8732.497055517,8732.497055517,8732.497055517,8732.497055517,100.0
2012-05-23,7859.247349966,7859.247349966,7859.247349966,7859.247349966,100.0
2012-05-24,8613.417550215,8613.417550215,8613.417550215,8613.417550215,100.0
2012-05-25,9327.89458203,9327.89458203,9407.280918898,9407.280918898,500.0
2012-05-28,10320.223792884,10320.223792884,10320.223792884,10320.223792884,100.0
2012-05-29,9288.201413596,9288.201413596,9288.201413596,9288.201413596,100.0
2012-06-01,10201.144287582,10201.144287582,10201.144287582,10201.144287582,100.0
2012-06-04,10280.53062445,10280.53062445,10280.53062445,10280.53062445,100.0
2012-06-05,11272.859835304,11272.859835304,11272.859835304,11272.859835304,100.0
2012-06-06,12384.268551461,12384.268551461,12384.268551461,12384.268551461,100.0
2012-06-07,13614.75677292,13614.75677292,13614.75677292,13614.75677292,100.0
2012-06-08,14964.324499682,14964.324499682,14964.324499682,14964.324499682,100.0
2012-06-11,16432.971731746,16432.971731746,16432.971731746,16432.971731746,100.0
2012-06-12,18060.391637547,18060.391637547,18060.391637547,18060.391637547,100.0
2012-06-15,19846.584217085,19846.584217085,19846.584217085,19846.584217085,100.0
2012-07-10,21037.37927011,21037.37927011,21037.37927011,21037.37927011,400.0
2012-07-11,19052.720848402,19052.720848402,19052.720848402,19052.720848402,100.0
2012-07-12,20640.447585768,17147.448763562,20640.447585768,17147.448763562,200.0
2012-07-13,17028.369258259,17028.369258259,17028.369258259,17028.369258259,100.0
2012-07-17,15361.256184024,15361.256184024,15361.256184024,15361.256184024,100.0
2012-07-18,13852.915783525,13852.915783525,13852.915783525,13852.915783525,100.0
2012-07-20,12503.348056764,12503.348056764,12503.348056764,12503.348056764,100.0
2012-07-23,11272.859835304,11272.859835304,11272.859835304,11272.859835304,100.0
2012-07-25,10161.451119148,10161.451119148,10161.451119148,10161.451119148,100.0
2012-07-26,9169.121908293,9169.121908293,9169.121908293,9169.121908293,100.0
2012-07-30,10082.064782279,8256.179034307,10082.064782279,8256.179034307,300.0
2012-07-31,10359.916961318,10359.916961318,10359.916961318,10359.916961318,100.0
2012-08-07,9352.146067356,9352.146067356,9352.146067356,9352.146067356,100.0
2012-08-10,10279.298479206,8424.993655506,10279.298479206,8424.993655506,200.0
2012-08-15,10279.298479206,10279.298479206,10279.298479206,10279.298479206,100.0
2012-08-16,11287.072839912,11287.072839912,11287.072839912,11287.072839912,100.0
2012-09-04,12375.469149475,12375.469149475,12375.469149475,12375.469149475,100.0
2012-09-07,12456.091098332,12456.091098332,12456.091098332,12456.091098332,100.0
2012-09-12,13584.798382323,13584.798382323,13584.798382323,13584.798382323,100.0
2012-09-21,12254.53622619,12254.53622619,12254.53622619,12254.53622619,200.0
2012-09-24,11045.206993343,11045.206993343,11045.206993343,11045.206993343,100.0
2012-09-25,9956.81068378,9956.81068378,9956.81068378,9956.81068378,200.0
2012-09-26,8989.347297501,8989.347297501,8989.347297501,8989.347297501,200.0
2012-09-27,8102.50586008,8102.50586008,8102.50586008,8102.50586008,100.0
2012-09-28,7296.286371515,7296.286371515,8021.883911223,7296.286371515,1000.0
2012-10-01,7054.420524945,7054.420524945,7054.420524945,7054.420524945,100.0
2012-10-02,6369.133959665,6369.133959665,6409.444934093,6409.444934093,4000.0
2012-10-03,6812.554678376,5804.780317669,6812.554678376,6046.646164239,800.0
2012-10-04,6651.310780663,5522.603496671,6651.310780663,5522.603496671,2500.0
2012-10-05,6328.822985236,5200.115701245,6328.822985236,5200.115701245,4800.0
2012-10-08,4756.694982534,4756.694982534,4998.560829104,4837.316931391,3700.0
2012-10-09,4393.89621268,4393.89621268,5361.359598958,4393.89621268,7500.0
2012-10-10,5482.292522243,4837.316931391,5482.292522243,4837.316931391,1200.0
2012-10-11,5603.225445528,5603.225445528,5845.091292097,5845.091292097,3200.0
2012-10-12,5280.737650102,5280.737650102,5441.981547815,5441.981547815,5100.0
2012-10-15,5966.024215382,4958.249854676,5966.024215382,4958.249854676,3000.0
2012-10-16,4797.005956963,4797.005956963,5240.426675673,5240.426675673,1500.0
2012-10-17,4837.316931391,4595.451084821,5038.871803532,5038.871803532,2900.0
2012-10-18,4998.560829104,4555.140110393,4998.560829104,4917.938880247,2800.0
2012-10-19,4434.207187108,4434.207187108,4837.316931391,4837.316931391,1900.0
2012-10-22,5119.493752389,4313.274263824,5119.493752389,5119.493752389,3900.0
2012-10-23,5240.426675673,4353.585238252,5240.426675673,4353.585238252,1100.0
2012-10-24,5603.225445528,4676.073033678,5603.225445528,5441.981547815,6400.0
2012-10-25,4917.938880247,4917.938880247,5240.426675673,5240.426675673,3600.0
2012-10-26,4676.073033678,4676.073033678,5119.493752389,4676.073033678,1900.0
2012-10-29,5280.737650102,4393.89621268,5280.737650102,4393.89621268,2500.0
2012-10-30,4958.249854676,4434.207187108,4958.249854676,4434.207187108,4300.0
2012-10-31,5079.18277796,4192.341340539,5079.18277796,4837.316931391,2600.0
2012-11-01,4272.963289395,4272.963289395,4797.005956963,4797.005956963,3300.0
2012-11-02,4797.005956963,4797.005956963,4797.005956963,4797.005956963,3000.0
2012-11-06,4797.005956963,4797.005956963,4797.005956963,4797.005956963,200.0
2012-11-08,4797.005956963,4353.585238252,4837.316931391,4353.585238252,1800.0
2012-11-12,4756.694982534,4756.694982534,4756.694982534,4756.694982534,1000.0
2012-11-13,4797.005956963,4797.005956963,4797.005956963,4797.005956963,200.0
2012-11-20,5200.115701245,5200.115701245,5200.115701245,5200.115701245,1400.0
2012-11-21,4756.694982534,4756.694982534,4756.694982534,4756.694982534,500.0
2012-11-27,4313.274263824,4313.274263824,4313.274263824,4313.274263824,100.0
2012-11-28,3950.475493969,3950.475493969,3950.475493969,3950.475493969,100.0
2012-11-29,4192.341340539,4192.341340539,4192.341340539,4192.341340539,1400.0
2012-12-03,4555.140110393,4152.030366111,4555.140110393,4152.030366111,700.0
2012-12-10,4837.316931391,4837.316931391,4837.316931391,4837.316931391,1100.0
2012-12-11,5240.426675673,5240.426675673,5240.426675673,5240.426675673,500.0
2012-12-24,5764.469343241,5764.469343241,5764.469343241,5764.469343241,200.0
