Date,Price Open,Price Low,Price High,Price Close,Volume
2010-05-21,54025.180728632,49841.412524058,58208.948933206,53843.277763216,251960.0
2010-05-24,53843.277763216,51296.636247388,54570.889624881,54570.889624881,113860.0
2010-05-25,54570.889624881,53843.277763216,55298.501486546,54570.889624881,163740.0
2010-05-26,54570.889624881,53843.277763216,56389.919279044,54570.889624881,30820.0
2010-05-27,54570.889624881,54207.083694048,57117.531140709,57117.531140709,112420.0
2010-05-28,57117.531140709,57117.531140709,59664.172656536,57481.337071541,70950.0
2010-05-31,57481.337071541,55298.501486546,57481.337071541,55662.307417378,42210.0
2010-06-02,54570.889624881,53843.277763216,55298.501486546,54570.889624881,64410.0
2010-06-04,56753.725209876,56026.113348211,59300.366725704,59300.366725704,109390.0
2010-06-07,59300.366725704,57481.337071541,60755.590449034,60391.784518201,119120.0
2010-06-09,58936.560794871,58208.948933206,59300.366725704,59300.366725704,69620.0
2010-06-10,59300.366725704,58208.948933206,59664.172656536,59664.172656536,27310.0
2010-06-11,59664.172656536,59664.172656536,60755.590449034,59664.172656536,89980.0
2010-06-14,59664.172656536,58936.560794871,60391.784518201,58936.560794871,60030.0
2010-06-15,58936.560794871,58208.948933206,60027.978587369,58936.560794871,53070.0
2010-06-16,58936.560794871,56753.725209876,58936.560794871,57481.337071541,54960.0
2010-06-18,56753.725209876,56026.113348211,56753.725209876,56389.919279044,31420.0
2010-06-22,55662.307417378,55662.307417378,56389.919279044,56026.113348211,29660.0
2010-06-23,56026.113348211,55298.501486546,57481.337071541,56753.725209876,71530.0
2010-06-24,56753.725209876,56389.919279044,59300.366725704,58208.948933206,62810.0
2010-06-28,58936.560794871,57117.531140709,59664.172656536,58208.948933206,153110.0
2010-06-30,57481.337071541,56753.725209876,57481.337071541,56753.725209876,38930.0
2010-07-01,56753.725209876,56026.113348211,57117.531140709,56389.919279044,34630.0
2010-07-02,56389.919279044,56389.919279044,57117.531140709,56389.919279044,40910.0
2010-07-05,56389.919279044,55662.307417378,56389.919279044,56026.113348211,33050.0
2010-07-06,56026.113348211,53843.277763216,57481.337071541,55298.501486546,94810.0
2010-07-07,55298.501486546,53843.277763216,55298.501486546,53843.277763216,36410.0
2010-07-08,53843.277763216,53479.471832383,55662.307417378,54570.889624881,23130.0
2010-07-09,54570.889624881,54570.889624881,55298.501486546,54570.889624881,17680.0
