Date,Price Open,Price Low,Price High,Price Close,Volume
2008-11-17,3656.972497065,3311.975091682,4001.969902448,3725.971978142,49622.0
2008-11-28,2483.981318761,2318.382564177,2621.980280915,2345.982356608,12969.0
2008-12-01,2345.982356608,2235.583186885,2566.780696053,2566.780696053,7471.0
2008-12-04,2345.982356608,2290.782771746,2401.181941469,2401.181941469,563.0
2008-12-05,2401.181941469,2401.181941469,2456.38152633,2401.181941469,5075.0
2008-12-08,2401.181941469,2401.181941469,2401.181941469,2401.181941469,704.0
2008-12-11,2207.983394454,2207.983394454,2345.982356608,2207.983394454,4934.0
2008-12-15,2373.582149038,2207.983394454,2373.582149038,2207.983394454,7894.0
2008-12-16,2207.983394454,2180.383602024,2263.182979316,2263.182979316,3524.0
2008-12-19,2345.982356608,2345.982356608,2401.181941469,2373.582149038,5216.0
2008-12-23,2373.582149038,2345.982356608,2483.981318761,2456.38152633,11841.0
2008-12-24,2456.38152633,2401.181941469,2621.980280915,2428.7817339,2255.0
2008-12-31,2373.582149038,2373.582149038,2373.582149038,2373.582149038,140.0
2009-01-16,2539.180903622,2539.180903622,2566.780696053,2566.780696053,1691.0
2009-01-20,2566.780696053,2373.582149038,2677.179865776,2677.179865776,281.0
2009-02-06,2483.981318761,2483.981318761,2483.981318761,2483.981318761,14097.0
2009-02-09,2483.981318761,2483.981318761,2483.981318761,2483.981318761,1409.0
2009-02-11,2511.581111192,2483.981318761,2539.180903622,2483.981318761,2114.0
2009-02-12,2483.981318761,2483.981318761,2511.581111192,2483.981318761,8035.0
2009-02-13,2483.981318761,2483.981318761,2539.180903622,2539.180903622,7048.0
2009-02-16,2539.180903622,2539.180903622,2677.179865776,2677.179865776,6625.0
2009-02-17,2677.179865776,2594.380488484,2759.979243068,2759.979243068,7894.0
2009-02-20,3035.977167375,3035.977167375,3229.175714389,3091.176752236,20582.0
2009-02-25,2759.979243068,2759.979243068,2815.178827929,2759.979243068,3101.0
2009-02-27,2759.979243068,2759.979243068,3008.377374944,3008.377374944,1550.0
2009-03-09,2759.979243068,2704.779658207,2815.178827929,2704.779658207,1691.0
2009-03-10,2704.779658207,2704.779658207,2953.177790083,2842.77862036,1832.0
2009-03-11,2842.77862036,2759.979243068,2870.378412791,2870.378412791,3665.0
2009-03-12,2870.378412791,2787.579035499,2980.777582513,2815.178827929,2960.0
2009-03-20,2980.777582513,2953.177790083,3118.776544667,2980.777582513,7189.0
2009-03-24,3173.976129528,3091.176752236,3311.975091682,3091.176752236,9727.0
2009-03-25,3091.176752236,3035.977167375,3173.976129528,3035.977167375,20159.0
2009-03-27,3118.776544667,3091.176752236,3146.376337097,3146.376337097,6061.0
2009-03-31,3284.375299251,3229.175714389,3422.374261404,3339.574884112,7753.0
2009-04-07,3946.770317587,3946.770317587,4222.768241894,4112.369072171,36230.0
2009-04-14,4167.568657033,4084.769279741,4222.768241894,4084.769279741,35666.0
2009-04-15,4084.769279741,3863.970940295,4084.769279741,3863.970940295,29604.0
2009-04-16,3863.970940295,3698.372185711,4112.369072171,3781.171563003,7612.0
2009-04-17,3781.171563003,3615.572808419,4001.969902448,3615.572808419,15366.0
2009-04-21,3422.374261404,3229.175714389,3670.77239328,3532.773431127,53006.0
2009-04-24,3863.970940295,3808.771355434,4112.369072171,4001.969902448,29604.0
2009-05-06,4139.968864602,3974.370110018,4139.968864602,3974.370110018,1550.0
2009-05-07,3974.370110018,3781.171563003,4057.16948731,4057.16948731,55543.0
2009-05-11,3781.171563003,3725.971978142,3946.770317587,3863.970940295,19172.0
2009-05-12,3863.970940295,3698.372185711,3946.770317587,3919.170525156,12405.0
2009-05-13,3919.170525156,3863.970940295,3974.370110018,3946.770317587,13392.0
2009-05-14,3946.770317587,3891.570732726,4001.969902448,3946.770317587,24529.0
2009-05-20,4802.363882938,4691.964713215,5133.561392106,4885.16326023,125748.0
2009-05-21,4885.16326023,4719.564505646,5023.162222384,4912.763052661,128286.0
2009-05-25,4664.364920785,4305.567619186,4912.763052661,4912.763052661,55120.0
2009-05-27,5161.161184537,5161.161184537,5492.358693705,5326.759939121,121237.0
2009-06-02,5768.356618012,5409.559316413,6127.153919611,5795.956410443,246704.0
2009-06-03,5795.956410443,5602.757863428,5933.955372596,5657.957448289,166067.0
2009-06-09,6637.765693326,6234.536936255,7040.994450397,6327.589726348,58234.0
2009-06-12,6079.448952766,5707.237792393,6203.519339557,5707.237792393,82212.0
2009-06-17,5148.921051833,4807.727488157,5179.93864853,5179.93864853,73780.0
2009-06-19,5148.921051833,5148.921051833,5490.114615508,5366.044228717,25032.0
2009-06-24,4714.674698064,4404.498731086,5024.850665041,5024.850665041,20421.0
2009-06-25,5024.850665041,4559.586714575,5241.973841926,4931.797874948,19630.0
2009-06-26,4931.797874948,4931.797874948,5086.885858437,4931.797874948,7509.0
2009-07-03,4311.445940992,4280.428344295,4528.569117877,4528.569117877,37812.0
2009-07-06,4528.569117877,4404.498731086,4652.639504668,4652.639504668,21211.0
2009-07-07,4652.639504668,4621.62190797,4714.674698064,4621.62190797,5138.0
2009-07-08,4621.62190797,4404.498731086,4652.639504668,4528.569117877,3689.0
2009-07-09,4528.569117877,4528.569117877,4652.639504668,4528.569117877,11594.0
2009-07-10,4528.569117877,4373.481134388,4590.604311272,4466.533924481,10935.0
2009-07-13,4466.533924481,4187.375554201,4776.709891459,4187.375554201,20421.0
2009-07-15,4342.46353769,4342.46353769,4528.569117877,4342.46353769,11989.0
2009-07-20,5086.885858437,4962.815471646,5428.079422113,5055.868261739,90908.0
2009-07-22,5086.885858437,4869.762681552,5241.973841926,4993.833068344,22792.0
