Date,Price Open,Price Low,Price High,Price Close,Volume
2006-12-27,14258.321249561,14258.321249561,14258.321249561,14258.321249561,760.0
2007-01-12,9623.16394796,9623.16394796,9703.35698086,9623.16394796,2282.0
2007-01-23,9783.550013759,9703.35698086,9927.897472979,9783.550013759,14913.0
2007-01-24,9783.550013759,9767.511407179,9863.743046659,9863.743046659,6848.0
2007-02-02,9623.16394796,8821.233618963,10409.055670377,10409.055670377,11565.0
2007-02-09,10826.059441455,9943.936079559,10906.252474355,10409.055670377,6239.0
2007-02-14,11708.182803351,11387.410671753,12028.95493495,11579.873950712,4108.0
2007-02-26,11066.638540154,11066.638540154,11066.638540154,11066.638540154,152.0
2007-03-05,11243.063212533,11227.024605953,11547.796737552,11547.796737552,8217.0
2007-03-06,11547.796737552,11547.796737552,11627.989770452,11627.989770452,4565.0
2007-03-07,11627.989770452,11547.796737552,12718.615017887,11708.182803351,12326.0
2007-03-13,15749.911661495,14210.205429821,17321.695106328,14210.205429821,10043.0
2007-03-19,14915.904119338,14434.74592194,15236.676250937,15236.676250937,13696.0
2007-03-20,15236.676250937,14996.097152238,15557.448382535,15076.290185137,13544.0
2007-03-21,15076.290185137,15076.290185137,15236.676250937,15076.290185137,13239.0
2007-03-22,15076.290185137,14113.973790341,15076.290185137,14434.74592194,3043.0
2007-03-30,12012.91632837,10826.059441455,13199.773215285,11788.375836251,21153.0
2007-04-19,10104.322145358,9623.16394796,11066.638540154,10425.094276957,2891.0
2007-05-04,9462.777882161,9462.777882161,9462.777882161,9462.777882161,1065.0
2007-05-18,9302.391816361,8981.619684763,9302.391816361,9302.391816361,4261.0
2007-05-21,9302.391816361,9302.391816361,9462.777882161,9462.777882161,9130.0
2007-05-22,9462.777882161,9382.584849261,9623.16394796,9607.12534138,7152.0
2007-05-28,9943.936079559,9895.820259819,10104.322145358,9943.936079559,1978.0
2007-05-30,9462.777882161,9462.777882161,9462.777882161,9462.777882161,913.0
2007-06-01,9623.16394796,9623.16394796,9783.550013759,9783.550013759,1369.0
2007-06-07,9462.777882161,9302.391816361,9623.16394796,9302.391816361,913.0
2007-06-08,9302.391816361,9302.391816361,9462.777882161,9302.391816361,3043.0
2007-06-12,9222.198783462,9061.812717662,9302.391816361,9061.812717662,3043.0
2007-06-19,8500.461487365,8500.461487365,8853.310832123,8821.233618963,1673.0
2007-06-21,8500.461487365,8340.075421565,8500.461487365,8340.075421565,304.0
2007-06-22,8340.075421565,8195.727962346,8340.075421565,8340.075421565,1521.0
2007-06-25,8340.075421565,8340.075421565,8340.075421565,8340.075421565,1217.0
2007-06-26,8340.075421565,8340.075421565,8500.461487365,8500.461487365,3347.0
2007-07-04,7056.986895171,6415.442631973,7217.37296097,6415.442631973,2587.0
2007-07-06,6575.828697773,6575.828697773,6575.828697773,6575.828697773,608.0
2007-07-13,7217.37296097,6495.635664873,7217.37296097,6495.635664873,2282.0
2007-08-01,6896.600829371,6816.407796472,6896.600829371,6896.600829371,760.0
2007-08-17,6736.214763572,6736.214763572,6736.214763572,6736.214763572,760.0
