Date,Price Open,Price Low,Price High,Price Close,Volume
2006-10-09,1449.472156624,1368.600319559,1530.343993689,1461.913977711,53723.0
2006-10-10,1461.913977711,1430.809424994,1524.123083146,1468.134888255,25092.0
2006-10-11,1468.134888255,1461.913977711,1493.018530429,1480.576709342,26057.0
2006-10-12,1480.576709342,1474.355798798,1486.797619885,1474.355798798,10937.0
2006-10-13,1474.355798798,1474.355798798,1486.797619885,1486.797619885,57261.0
2006-10-16,1486.797619885,1486.797619885,1493.018530429,1493.018530429,22840.0
2006-10-17,1493.018530429,1480.576709342,1542.785814776,1486.797619885,35708.0
2006-10-18,1486.797619885,1468.134888255,1493.018530429,1486.797619885,12546.0
2006-10-19,1486.797619885,1468.134888255,1486.797619885,1474.355798798,29274.0
2006-10-20,1474.355798798,1461.913977711,1474.355798798,1474.355798798,17049.0
2006-11-03,1387.26305119,1381.042140646,1399.704872277,1387.26305119,25735.0
2006-11-06,1387.26305119,1387.26305119,1399.704872277,1399.704872277,42785.0
2006-11-07,1399.704872277,1399.704872277,1430.809424994,1430.809424994,14797.0
2006-11-08,1430.809424994,1430.809424994,1468.134888255,1468.134888255,21231.0
2006-11-09,1468.134888255,1461.913977711,1493.018530429,1493.018530429,34743.0
2006-11-10,1493.018530429,1493.018530429,1555.227635863,1493.018530429,10937.0
2006-11-13,1493.018530429,1493.018530429,1524.123083146,1493.018530429,19945.0
2006-11-15,1430.809424994,1430.809424994,1437.030335537,1437.030335537,9972.0
2006-11-17,1455.693067168,1449.472156624,1461.913977711,1461.913977711,7720.0
2006-11-20,1461.913977711,1461.913977711,1493.018530429,1486.797619885,24770.0
2006-11-22,1493.018530429,1493.018530429,1499.239440972,1493.018530429,20588.0
2006-11-23,1493.018530429,1493.018530429,1505.460351515,1505.460351515,15119.0
2006-11-24,1505.460351515,1505.460351515,1524.123083146,1524.123083146,32169.0
2006-11-28,1524.123083146,1524.123083146,1524.123083146,1524.123083146,12867.0
2006-11-29,1524.123083146,1493.018530429,1530.343993689,1530.343993689,46324.0
2006-12-05,1704.529488906,1679.645846732,1741.854952167,1710.750399449,32812.0
2006-12-06,1710.750399449,1667.204025645,1710.750399449,1667.204025645,15441.0
2006-12-08,1604.994920211,1586.33218858,1623.657651841,1586.33218858,59513.0
2006-12-11,1586.33218858,1555.227635863,1617.436741298,1586.33218858,33778.0
2006-12-12,1586.33218858,1586.33218858,1598.774009667,1586.33218858,4825.0
2006-12-13,1586.33218858,1573.890367493,1586.33218858,1586.33218858,5468.0
2006-12-14,1586.33218858,1573.890367493,1623.657651841,1573.890367493,31526.0
2006-12-15,1573.890367493,1555.227635863,1586.33218858,1555.227635863,17693.0
2006-12-18,1555.227635863,1493.018530429,1555.227635863,1524.123083146,9007.0
2006-12-21,1542.785814776,1536.564904233,1617.436741298,1536.564904233,9650.0
2006-12-27,1555.227635863,1486.797619885,1586.33218858,1586.33218858,24127.0
2006-12-28,1586.33218858,1555.227635863,1698.308578362,1555.227635863,16406.0
2007-01-02,1586.33218858,1586.33218858,1586.33218858,1586.33218858,3216.0
2007-01-03,1586.33218858,1567.66945695,1679.645846732,1567.66945695,7077.0
