Date,Price Open,Price Low,Price High,Price Close,Volume
2008-12-22,3431.566426066,2435.305205595,4427.827646537,2455.431694898,15324.0
2008-12-31,3844.159456766,3582.515095835,4105.803817698,3582.515095835,8338.0
2009-01-02,3582.515095835,3542.26211723,3803.906478161,3803.906478161,3155.0
2009-01-09,3421.503181415,3200.111799088,3602.641585137,3602.641585137,2028.0
2009-01-13,3079.352863273,3039.099884669,3220.238288391,3220.238288391,676.0
2009-02-03,2717.07605583,2535.937652108,2898.214459552,2898.214459552,676.0
2009-02-05,2817.708502342,2777.455523737,2817.708502342,2777.455523737,676.0
2009-02-16,3119.605841878,2918.340948854,3119.605841878,2918.340948854,3380.0
2009-02-23,2918.340948854,2918.340948854,2918.340948854,2918.340948854,11268.0
2009-03-12,2717.07605583,2717.07605583,2797.582013039,2717.07605583,2479.0
2009-03-18,2717.07605583,2717.07605583,2898.214459552,2817.708502342,14648.0
2009-03-25,2576.190630712,2415.178716293,2777.455523737,2777.455523737,6310.0
2009-04-03,3018.973395366,2817.708502342,3139.732331181,2878.087970249,9690.0
2009-04-15,3562.388606532,3421.503181415,3602.641585137,3421.503181415,6986.0
2009-04-23,3018.973395366,2837.834991644,3200.111799088,2837.834991644,11268.0
2009-04-27,2817.708502342,2817.708502342,2837.834991644,2817.708502342,6986.0
2009-05-06,3622.768074439,3562.388606532,3783.779988859,3562.388606532,29297.0
2009-05-08,3642.894563742,3421.503181415,3663.021053044,3663.021053044,15775.0
2009-05-12,3763.653499556,3763.653499556,3884.412435371,3884.412435371,2929.0
2009-05-13,3884.412435371,3824.032967464,3924.665413976,3904.538924674,7662.0
2009-05-15,3824.032967464,3824.032967464,3904.538924674,3904.538924674,7211.0
2009-05-25,4286.94222142,4226.562753513,4468.080625142,4327.195200025,30198.0
2009-05-28,4025.297860488,3884.412435371,4206.43626421,3884.412435371,8563.0
2009-05-29,3884.412435371,3723.400520952,4105.803817698,4085.677328396,2479.0
2009-06-01,4085.677328396,3723.400520952,4085.677328396,4085.677328396,32227.0
2009-06-09,5595.164026079,5454.278600962,5836.681897708,5454.278600962,3155.0
2009-06-11,5253.013707937,5031.62232561,5253.013707937,5031.62232561,18705.0
2009-06-12,5031.62232561,4850.483921888,5232.887218635,4850.483921888,34030.0
2009-06-15,4850.483921888,4769.977964679,4850.483921888,4790.104453981,36509.0
2009-06-17,4528.460093049,4286.94222142,4830.357432586,4830.357432586,17578.0
2009-06-22,5051.748814913,4830.357432586,5393.899133054,5031.62232561,18930.0
2009-06-23,5031.62232561,4930.989879098,5031.62232561,4930.989879098,5408.0
2009-06-24,4930.989879098,4830.357432586,5112.12828282,5071.875304215,8338.0
2009-06-25,5071.875304215,4749.851475376,5172.507750727,5172.507750727,8113.0
2009-06-29,5071.875304215,5031.62232561,5192.63424003,5031.62232561,450.0
2009-06-30,5031.62232561,4790.104453981,5212.760729332,4790.104453981,6760.0
2009-07-01,4790.104453981,4508.333603747,4930.989879098,4508.333603747,8563.0
2009-07-06,4307.068710722,4085.677328396,4588.839560957,4588.839560957,2704.0
2009-07-07,4588.839560957,4548.586582352,4810.230943283,4548.586582352,1802.0
2009-07-08,4548.586582352,4307.068710722,4629.092539561,4629.092539561,1577.0
2009-07-10,4427.827646537,4427.827646537,4629.092539561,4629.092539561,3831.0
2009-07-15,4991.369347005,4991.369347005,4991.369347005,4991.369347005,2253.0
2009-07-16,4991.369347005,4830.357432586,5031.62232561,5031.62232561,4507.0
2009-07-21,4790.104453981,4588.839560957,4991.369347005,4669.345518166,4056.0
2009-07-30,4984.839501721,4648.31025266,5132.071048186,5047.93873592,676.0
2009-08-10,4795.541799124,4353.847159731,4816.574877191,4816.574877191,4958.0
2009-08-13,4837.607955257,4732.442564925,5047.93873592,4753.475642992,8789.0
2009-08-17,4921.740267522,4732.442564925,5005.872579788,4732.442564925,7887.0
2009-08-21,4648.31025266,4627.277174594,4942.773345589,4942.773345589,12395.0
2009-08-24,4942.773345589,4732.442564925,4984.839501721,4732.442564925,5408.0
2009-08-25,4732.442564925,4732.442564925,4732.442564925,4732.442564925,3605.0
2009-09-09,4837.607955257,4837.607955257,5005.872579788,4837.607955257,2929.0
2009-09-14,4732.442564925,4732.442564925,5005.872579788,5005.872579788,17578.0
2009-09-16,4921.740267522,4732.442564925,4942.773345589,4942.773345589,9239.0
2009-09-17,4942.773345589,4753.475642992,5005.872579788,4837.607955257,10366.0
2009-09-18,4837.607955257,4837.607955257,4837.607955257,4837.607955257,3831.0
2009-09-21,4837.607955257,4837.607955257,4837.607955257,4837.607955257,450.0
2009-09-22,4837.607955257,4837.607955257,4879.67411139,4879.67411139,8563.0
2009-09-23,4879.67411139,4774.508721058,4900.707189456,4774.508721058,13972.0
2009-09-24,4774.508721058,4627.277174594,4858.641033323,4732.442564925,12620.0
2009-09-30,4879.67411139,4774.508721058,4879.67411139,4774.508721058,8789.0
2009-10-05,4837.607955257,4837.607955257,4879.67411139,4879.67411139,14874.0
2009-10-07,5047.93873592,5047.93873592,5384.467984982,5384.467984982,78427.0
2009-10-13,6499.221122497,6309.9234199,6940.91576189,6309.9234199,55890.0
2009-10-14,6309.9234199,6141.65879537,6730.584981227,6730.584981227,83835.0
2009-10-15,6730.584981227,6457.154966365,6835.750371559,6625.419590895,25691.0
2009-10-16,6625.419590895,6267.857263768,6835.750371559,6625.419590895,3831.0
2009-10-21,6604.386512829,6520.254200564,7046.081152222,7046.081152222,67609.0
2009-10-22,7046.081152222,6730.584981227,7508.808869681,7508.808869681,72342.0
2009-10-23,7508.808869681,6961.948839957,7908.437352942,6961.948839957,42368.0
2009-10-26,6961.948839957,6940.91576189,7424.676557416,6961.948839957,20057.0
2009-10-29,6940.91576189,6394.055732166,6940.91576189,6394.055732166,55665.0
2009-11-02,6772.65113736,6183.724951502,7046.081152222,7046.081152222,134317.0
2009-11-05,7613.974260013,7361.577323217,7845.338118743,7571.90810388,83385.0
2009-11-06,7571.90810388,7487.775791615,7571.90810388,7529.841947748,75497.0
2009-11-11,6520.254200564,6141.65879537,6730.584981227,6520.254200564,10817.0
2009-11-13,6562.320356696,6520.254200564,6709.551903161,6520.254200564,10141.0
2009-11-16,6520.254200564,6415.088810232,6562.320356696,6415.088810232,11268.0
2009-11-19,6520.254200564,6330.956497967,6688.518825094,6330.956497967,19156.0
2009-11-20,6330.956497967,6330.956497967,6520.254200564,6330.956497967,13747.0
2009-11-27,5657.897999844,5279.30259465,6036.493405038,5657.897999844,4732.0
2009-12-02,5699.964155977,5468.600297247,5952.361092773,5952.361092773,1802.0
2009-12-11,4837.607955257,4711.409486859,4837.607955257,4753.475642992,11493.0
2009-12-21,4963.806423655,4963.806423655,5153.104126252,5153.104126252,88117.0
2010-01-04,6373.022654099,5931.328014706,6373.022654099,6351.989576033,6760.0
2010-01-13,5068.971813987,4837.607955257,5384.467984982,4837.607955257,2929.0
2010-01-25,6069.088964595,5960.712375941,6069.088964595,6069.088964595,901.0
2010-01-26,6069.088964595,5852.335787288,6069.088964595,6047.413646864,9465.0
2010-01-27,6047.413646864,5635.582609981,6069.088964595,5635.582609981,901.0
2010-01-28,5635.582609981,5462.180068135,5939.03705821,5462.180068135,9014.0
2010-03-30,5527.206021327,5527.206021327,5527.206021327,5527.206021327,4507.0
2010-04-01,5418.829432674,5397.154114943,5418.829432674,5418.829432674,15324.0
2010-04-02,5418.829432674,5418.829432674,5527.206021327,5527.206021327,20282.0
2010-04-05,5527.206021327,5527.206021327,5548.881339058,5527.206021327,11493.0
2010-04-08,5794.6515908,5794.6515908,5883.800076812,5883.800076812,5408.0
