Date,Price Open,Price Low,Price High,Price Close,Volume
2009-10-06,2081.268377102,1734.390314252,2428.146439952,1734.390314252,9561.0
2009-10-15,1907.829345677,1907.829345677,1907.829345677,1907.829345677,4484.0
2009-11-24,2911.987120742,2911.987120742,2911.987120742,2911.987120742,36827.0
2010-02-09,2911.987120742,2911.987120742,2911.987120742,2911.987120742,18413.0
2010-07-05,3044.590435631,3044.590435631,3255.222478347,3255.222478347,11048.0
2010-09-09,1991.430222048,1799.946546851,2106.320427166,2106.320427166,6260.0
2010-09-27,2202.062264764,2106.320427166,2202.062264764,2202.062264764,7365.0
2010-09-30,2144.617162205,2144.617162205,2163.765529725,2163.765529725,38669.0
2010-10-06,2106.320427166,2106.320427166,2106.320427166,2106.320427166,3498.0
2010-10-13,2048.875324607,2048.875324607,2048.875324607,2048.875324607,5524.0
2010-10-19,2029.726957087,2029.726957087,2029.726957087,2029.726957087,3682.0
2011-01-04,2585.029615158,2585.029615158,2585.029615158,2585.029615158,184.0
2011-01-05,2585.029615158,2585.029615158,2585.029615158,2585.029615158,736.0
2011-01-17,2346.411406589,2127.678139873,2565.144673305,2127.678139873,368.0
2011-01-24,2525.374988448,2246.987194446,2525.374988448,2525.374988448,368.0
2011-02-09,1829.405503442,1650.441921584,1988.484242872,1650.441921584,368.0
2011-02-10,1650.441921584,1650.441921584,1650.441921584,1650.441921584,184.0
2011-02-17,1670.326764013,1511.248024583,1829.405503442,1511.248024583,552.0
2011-02-23,1789.635818585,1610.672236726,1789.635818585,1789.635818585,736.0
2011-02-24,1789.635818585,1590.787394298,1889.060030729,1889.060030729,6628.0
2011-03-08,1829.405503442,1650.441921584,1869.1751883,1869.1751883,55425.0
2011-03-14,1690.211606441,1531.132867012,1849.290345871,1531.132867012,552.0
2011-04-19,1590.787394298,1431.708654868,1749.866133728,1431.708654868,368.0
2011-04-28,1988.484242872,1928.829715586,1988.484242872,1928.829715586,19702.0
2011-05-09,1988.484242872,1988.484242872,1988.484242872,1988.484242872,2762.0
2011-05-18,1988.484242872,1988.484242872,1988.484242872,1988.484242872,368.0
2011-08-05,1441.127183965,1441.127183965,1441.127183965,1441.127183965,10311.0
2012-02-28,2182.88382277,2119.304682301,2182.88382277,2182.88382277,110.0
2012-02-29,2182.88382277,2182.88382277,2182.88382277,2182.88382277,18.0
2012-03-07,2119.304682301,2013.339448186,2225.269916416,2013.339448186,73.0
2012-03-08,2013.339448186,2013.339448186,2098.111635478,2013.339448186,994.0
2012-03-09,2013.339448186,2013.339448186,2098.111635478,2098.111635478,92.0
2012-03-14,2204.076869593,2140.497729124,2246.462963239,2140.497729124,165.0
2012-03-15,2140.497729124,2119.304682301,2161.690775947,2161.690775947,14970.0
2012-03-16,2161.690775947,2055.725541832,2161.690775947,2161.690775947,27639.0
2012-03-20,2119.304682301,2013.339448186,2119.304682301,2098.111635478,220.0
2012-03-22,2119.304682301,2013.339448186,2119.304682301,2119.304682301,2062.0
2012-03-23,2119.304682301,2013.339448186,2119.304682301,2119.304682301,865.0
2012-03-28,2119.304682301,2119.304682301,2140.497729124,2119.304682301,5524.0
2012-03-29,2119.304682301,2098.111635478,2119.304682301,2119.304682301,22962.0
2012-04-03,2119.304682301,2013.339448186,2119.304682301,2119.304682301,4787.0
2012-04-09,2253.155504341,2141.613152641,2297.772445021,2297.772445021,9630.0
2012-04-11,2297.772445021,2297.772445021,2297.772445021,2297.772445021,460.0
2012-04-19,2230.847034001,2119.304682301,2230.847034001,2230.847034001,9335.0
2012-04-24,2208.538563661,2186.230093321,2208.538563661,2208.538563661,18432.0
2012-05-02,2208.538563661,2163.921622981,2208.538563661,2208.538563661,36.0
2012-05-09,2141.613152641,2052.379271281,2230.847034001,2052.379271281,8580.0
2012-05-10,2052.379271281,2052.379271281,2141.613152641,2141.613152641,6002.0
2012-05-11,2141.613152641,2141.613152641,2230.847034001,2230.847034001,9998.0
2012-05-14,2230.847034001,2119.304682301,2230.847034001,2208.538563661,7383.0
2012-05-16,2186.230093321,2096.996211961,2186.230093321,2186.230093321,11269.0
2012-05-17,2186.230093321,2119.304682301,2186.230093321,2186.230093321,7383.0
2012-05-18,2186.230093321,2186.230093321,2186.230093321,2186.230093321,9206.0
2012-05-21,2186.230093321,2096.996211961,2186.230093321,2186.230093321,9206.0
2012-05-22,2186.230093321,2186.230093321,2186.230093321,2186.230093321,9206.0
2012-05-23,2186.230093321,2186.230093321,2186.230093321,2186.230093321,9206.0
2012-05-24,2186.230093321,2096.996211961,2186.230093321,2096.996211961,9759.0
2012-05-25,2096.996211961,2030.070800941,2096.996211961,2096.996211961,11048.0
2012-05-28,2096.996211961,2096.996211961,2096.996211961,2096.996211961,7733.0
2012-05-29,2096.996211961,2096.996211961,2163.921622981,2163.921622981,2798.0
2012-06-04,2074.687741621,1985.453860261,2074.687741621,1985.453860261,2025.0
2012-06-05,1985.453860261,1896.219978901,2074.687741621,1896.219978901,5653.0
2012-06-07,1989.860840179,1989.860840179,2083.501350305,1989.860840179,220.0
2012-06-08,1989.860840179,1896.220330053,2083.501350305,1896.220330053,220.0
2012-06-11,1896.220330053,1825.989947459,1989.860840179,1825.989947459,165.0
2012-06-12,1825.989947459,1755.759564864,1896.220330053,1755.759564864,73.0
2012-06-15,1638.708927206,1638.708927206,1638.708927206,1638.708927206,36.0
2012-06-18,1638.708927206,1591.888672143,1708.939309801,1708.939309801,36.0
2012-06-20,1779.169692395,1708.939309801,1849.40007499,1849.40007499,73.0
2012-06-27,2060.091222774,2036.681095242,2153.7317329,2036.681095242,110.0
2012-06-28,2036.681095242,1943.040585116,2106.911477837,2106.911477837,5524.0
2012-07-04,2223.962115494,2200.551987963,2223.962115494,2223.962115494,5524.0
2012-07-05,2223.962115494,2223.962115494,2223.962115494,2223.962115494,8654.0
