Date,Price Open,Price Low,Price High,Price Close,Volume
2006-12-06,2748.071318807,2748.071318807,2748.071318807,2748.071318807,160879.0
2006-12-18,3757.566905307,3589.31764089,3757.566905307,3589.31764089,76959.0
2006-12-25,2972.403671362,2972.403671362,3112.611391709,3112.611391709,62399.0
2006-12-28,3393.026832404,3252.819112057,3477.151464612,3336.943744265,23999.0
2006-12-29,3336.943744265,3196.736023918,3336.943744265,3336.943744265,56799.0
2007-01-02,3336.943744265,3336.943744265,3336.943744265,3336.943744265,8479.0
2007-01-04,3196.736023918,3196.736023918,3252.819112057,3196.736023918,12799.0
2007-01-05,3196.736023918,3084.56984764,3196.736023918,3196.736023918,70879.0
2007-01-08,3196.736023918,3056.528303571,3196.736023918,3196.736023918,71999.0
2007-01-09,3196.736023918,3196.736023918,3196.736023918,3196.736023918,71999.0
2007-01-10,3196.736023918,3196.736023918,3196.736023918,3196.736023918,21119.0
2007-01-11,3196.736023918,3140.652935779,3196.736023918,3140.652935779,1199.0
2007-01-12,3140.652935779,3000.445215432,3140.652935779,3112.611391709,8079.0
2007-01-15,3112.611391709,2972.403671362,3112.611391709,3112.611391709,93839.0
2007-01-24,3589.31764089,3421.068376473,3589.31764089,3421.068376473,141359.0
2007-01-30,3449.109920543,3449.109920543,3533.234552751,3533.234552751,20159.0
2007-01-31,3533.234552751,3533.234552751,3701.483817168,3701.483817168,241679.0
2007-02-01,3701.483817168,3645.400729029,3701.483817168,3645.400729029,43119.0
2007-02-06,3953.857713793,3757.566905307,3953.857713793,3757.566905307,115999.0
2007-02-07,3757.566905307,3645.400729029,3757.566905307,3645.400729029,41599.0
2007-02-08,3645.400729029,3533.234552751,3645.400729029,3533.234552751,68799.0
2007-02-12,3701.483817168,3701.483817168,3869.733081585,3869.733081585,81599.0
2007-02-13,3869.733081585,3869.733081585,3925.816169724,3869.733081585,64959.0
2007-03-01,4767.062491807,4570.771683321,4767.062491807,4710.979403668,137199.0
2007-03-02,4710.979403668,4710.979403668,4935.311756224,4935.311756224,111359.0
2007-03-07,5412.018005405,5243.768740988,5552.225725752,5243.768740988,163199.0
2007-03-08,5243.768740988,5243.768740988,5496.142637613,5327.893373196,115279.0
2007-03-09,5327.893373196,5327.893373196,5327.893373196,5327.893373196,67359.0
2007-03-12,5327.893373196,5327.893373196,5496.142637613,5496.142637613,82639.0
2007-03-13,5496.142637613,5496.142637613,5608.308813891,5580.267269821,67999.0
2007-03-20,5159.64410878,4991.394844363,5327.893373196,4991.394844363,88159.0
2007-03-21,4991.394844363,4991.394844363,5075.519476571,5019.436388432,101199.0
2007-03-26,5215.727196918,5215.727196918,5215.727196918,5215.727196918,88959.0
2007-03-30,5047.477932502,4851.187124016,5047.477932502,5047.477932502,92639.0
2007-04-03,4879.228668085,4739.020947738,4879.228668085,4879.228668085,43519.0
2007-04-04,4879.228668085,4879.228668085,4879.228668085,4879.228668085,27599.0
2007-04-06,5103.561020641,5047.477932502,5103.561020641,5047.477932502,47119.0
2007-04-09,5047.477932502,4963.353300293,5047.477932502,4963.353300293,22159.0
2007-04-10,4963.353300293,4963.353300293,5047.477932502,4963.353300293,15039.0
2007-04-12,5047.477932502,4935.311756224,5047.477932502,4935.311756224,36399.0
2007-04-13,4935.311756224,4935.311756224,4991.394844363,4991.394844363,25039.0
2007-04-16,4991.394844363,4879.228668085,4991.394844363,4879.228668085,65039.0
2007-04-18,4710.979403668,4486.647051113,4935.311756224,4935.311756224,79519.0
2007-04-19,4935.311756224,4935.311756224,4935.311756224,4935.311756224,17119.0
2007-04-20,4935.311756224,4879.228668085,5047.477932502,5047.477932502,53679.0
