Date,Price Open,Price Low,Price High,Price Close,Volume
2010-03-16,8749.868861199,8492.519777046,9007.217945352,8930.013220106,2753725.0
2010-03-17,8930.013220106,8492.519777046,8930.013220106,8492.519777046,427865.0
2010-03-18,8492.519777046,8183.700876063,8492.519777046,8363.84523497,351372.0
2010-03-22,7952.086700325,7617.532890927,8106.496150817,7617.532890927,514691.0
2010-03-23,7617.532890927,7257.244173112,7643.267799342,7257.244173112,2047552.0
2010-03-26,7977.821608741,7591.797982511,7977.821608741,7977.821608741,979866.0
2010-03-30,7591.797982511,7566.063074096,7952.086700325,7720.472524588,2166865.0
2010-03-31,7720.472524588,7463.123440435,7797.677249834,7463.123440435,754632.0
2010-04-01,7463.123440435,7205.774356282,7591.797982511,7463.123440435,589470.0
2010-04-02,7463.123440435,7411.653623604,7643.267799342,7463.123440435,658594.0
2010-04-07,8209.435784478,7977.821608741,8466.784868631,8312.375418139,1935383.0
2010-04-08,8312.375418139,8209.435784478,8389.580143385,8235.170692894,1929071.0
2010-04-09,8235.170692894,8003.556517156,8260.905601309,8003.556517156,1738727.0
2010-04-12,8003.556517156,7900.616883495,8080.761242402,7926.35179191,1460036.0
2010-04-13,7926.35179191,7720.472524588,7977.821608741,7720.472524588,1147398.0
2010-04-14,7720.472524588,7669.002707757,7926.35179191,7849.147066664,1029911.0
2010-04-15,7849.147066664,7849.147066664,7977.821608741,7900.616883495,1160647.0
2010-04-16,7900.616883495,7900.616883495,8209.435784478,8106.496150817,2320252.0
2010-04-19,8106.496150817,7874.881975079,8106.496150817,7952.086700325,1308843.0
2010-04-20,7952.086700325,7926.35179191,8106.496150817,7952.086700325,1366946.0
2010-04-21,7952.086700325,7900.616883495,8003.556517156,7900.616883495,592786.0
2010-04-22,7900.616883495,7874.881975079,8209.435784478,7874.881975079,1450600.0
2010-04-26,7874.881975079,7617.532890927,7926.35179191,7617.532890927,976726.0
2010-04-27,7617.532890927,7514.593257265,7720.472524588,7540.328165681,745324.0
2010-04-28,7540.328165681,7463.123440435,7591.797982511,7463.123440435,1076768.0
2010-04-29,7463.123440435,7437.388532019,7566.063074096,7488.85834885,1337454.0
2010-05-04,7488.85834885,7488.85834885,7720.472524588,7540.328165681,1173783.0
2010-05-05,7540.328165681,7334.448898358,7566.063074096,7463.123440435,964327.0
2010-05-11,7257.244173112,7205.774356282,7360.183806774,7205.774356282,847737.0
2010-05-13,6845.485638468,6691.076187976,7051.36490579,6691.076187976,610840.0
2010-05-14,6691.076187976,6691.076187976,6896.955455298,6896.955455298,748688.0
2010-05-17,6896.955455298,6588.136554315,6896.955455298,6691.076187976,426648.0
2010-05-18,6691.076187976,6533.640638527,6743.556803621,6612.359200437,932689.0
2010-05-24,5877.652622611,5589.017895608,5877.652622611,5589.017895608,1145316.0
2010-05-25,5589.017895608,5326.622689241,5589.017895608,5326.622689241,1402061.0
2010-05-31,6140.047828977,6035.089746431,6428.682555981,6218.766390887,2066439.0
2010-06-01,6218.766390887,6008.850225794,6218.766390887,6218.766390887,960130.0
2010-06-02,6218.766390887,6008.850225794,6218.766390887,6140.047828977,688022.0
2010-06-03,6140.047828977,6113.808308341,6271.245432161,6140.047828977,717034.0
2010-06-04,6140.047828977,5930.131663884,6166.287349614,5930.131663884,552609.0
2010-06-08,5641.496936881,5510.299333698,5772.694540064,5720.215498791,389018.0
2010-06-09,5720.215498791,5641.496936881,5798.934060701,5641.496936881,327775.0
2010-06-10,5641.496936881,5589.017895608,5693.975978154,5641.496936881,479736.0
2010-06-11,5641.496936881,5615.257416244,5746.455019428,5641.496936881,331235.0
2010-06-14,5641.496936881,5562.778374971,5693.975978154,5562.778374971,498688.0
2010-06-17,5877.652622611,5693.975978154,5903.892143248,5693.975978154,635655.0
2010-06-18,5693.975978154,5641.496936881,5772.694540064,5641.496936881,575597.0
2010-06-21,5641.496936881,5589.017895608,5667.736457518,5641.496936881,700245.0
2010-06-22,5641.496936881,5589.017895608,5903.892143248,5798.934060701,2665698.0
2010-06-23,5798.934060701,5693.975978154,5798.934060701,5720.215498791,640540.0
2010-06-24,5720.215498791,5667.736457518,5746.455019428,5693.975978154,650665.0
2010-06-28,5562.778374971,5457.820292424,5693.975978154,5484.059813061,558937.0
2010-07-01,5379.101730514,5352.862209878,5457.820292424,5379.101730514,326029.0
2010-07-02,5379.101730514,5352.862209878,5405.341251151,5379.101730514,375898.0
2010-07-05,5379.101730514,5326.622689241,5484.059813061,5379.101730514,387512.0
2010-07-06,5379.101730514,5326.622689241,5405.341251151,5379.101730514,622262.0
2010-07-09,5615.257416244,5484.059813061,5641.496936881,5510.299333698,548508.0
2010-07-12,5510.299333698,5431.580771788,5536.538854334,5536.538854334,139658.0
2010-07-13,5536.538854334,5457.820292424,5693.975978154,5589.017895608,485215.0
2010-07-14,5589.017895608,5431.580771788,5641.496936881,5431.580771788,693629.0
2010-07-15,5431.580771788,5431.580771788,5667.736457518,5536.538854334,773166.0
2010-07-16,5536.538854334,5510.299333698,5615.257416244,5510.299333698,420208.0
2010-07-19,5510.299333698,5457.820292424,5510.299333698,5457.820292424,181004.0
2010-07-20,5457.820292424,5431.580771788,5536.538854334,5431.580771788,460177.0
2010-07-21,5431.580771788,5379.101730514,5431.580771788,5379.101730514,484991.0
2010-07-22,5379.101730514,5274.143647968,5379.101730514,5300.383168604,634854.0
2010-07-23,5300.383168604,5247.904127331,5352.862209878,5274.143647968,794008.0
