Date,Price Open,Price Low,Price High,Price Close,Volume
2000-08-04,536.401586451,536.401586451,536.401586451,536.401586451,1336.0
2004-10-19,2204.225892347,2202.798753392,2223.449991705,2223.449991705,9978.0
2004-10-25,2204.225892347,2195.915007287,2237.217483914,2237.217483914,5434.0
2004-11-02,2217.721152913,2216.566245601,2237.217483914,2216.566245601,13542.0
2004-11-08,2204.225892347,2133.961292348,2223.449991705,2223.449991705,534.0
2004-11-11,2204.225892347,2202.798753392,2209.682499496,2209.682499496,2227.0
2004-11-22,2204.225892347,2195.915007287,2216.566245601,2195.915007287,12918.0
2004-11-26,2163.740110651,2161.496276766,2175.263768974,2175.263768974,14433.0
2004-12-02,2222.219573101,2202.798753392,2223.449991705,2202.798753392,5434.0
2004-12-03,2213.222732724,2202.798753392,2230.333737809,2230.333737809,89.0
2004-12-06,2204.225892347,2202.798753392,2230.333737809,2202.798753392,30291.0
2004-12-16,2199.727472159,2195.915007287,2202.798753392,2195.915007287,18353.0
2004-12-27,2222.219573101,2209.682499496,2223.449991705,2209.682499496,5612.0
2005-01-11,2235.714833666,2223.450443454,2258.743307635,2258.743307635,356.0
2005-02-16,2285.403706644,2230.50901629,2294.036171817,2294.036171817,12473.0
2005-02-23,2237.217483914,2223.450443454,2258.743307635,2258.743307635,4098.0
2005-03-04,2271.636214435,2265.801880472,2279.919026144,2279.919026144,4454.0
2006-07-26,3469.564811953,3387.496516867,3585.306532451,3585.306532451,127690.0
2006-08-02,3477.540823015,3420.464852798,3544.096112537,3544.096112537,148905.0
2006-11-03,5066.15661031,4986.4608095,5068.881649327,5027.671229414,81470.0
2006-11-08,5268.802874722,5192.512909066,5274.933748893,5274.933748893,255865.0
2006-11-10,5147.215116075,5110.09206924,5192.512909066,5151.302489153,24844.0
2006-11-30,5674.095403547,5645.827528112,5687.037948025,5687.037948025,238845.0
2007-08-06,5687.037948025,5686.269613931,5829.620948736,5686.269613931,68398.0
2007-08-07,5687.037948025,5686.269613931,5734.053392199,5734.053392199,35871.0
2007-08-08,5687.037948025,5638.485835663,5925.188505273,5925.188505273,16014.0
2007-09-18,6166.586099326,6164.107396614,6211.891174883,6211.891174883,105693.0
2008-03-04,6068.539840078,5977.823238891,6122.447994671,6122.447994671,13024.0
2008-03-17,5877.404727004,5736.781979258,5881.406735038,5736.781979258,114661.0
2008-03-18,5734.053392199,5495.740719626,5736.781979258,5495.740719626,129322.0
2009-02-05,4049.493161829,3750.619270892,4063.1708768,3833.966365801,15170.0
2009-02-10,3706.317031612,3563.088307348,3792.292818347,3792.292818347,10952.0
2009-06-17,3588.656173466,3576.514542942,3933.117165992,3933.117165992,123611.0
2009-06-18,3922.028604881,3765.30416691,3933.117165992,3775.792479352,79391.0
2009-06-19,3922.028604881,3597.491167827,3922.628853549,3870.187291336,74969.0
2009-06-22,3951.443819417,3681.397667368,4058.976915304,3985.558728205,19660.0
2009-06-23,3823.977889759,3786.280791795,3985.558728205,3933.117165992,39049.0
2009-07-03,3245.478670539,3136.005420351,3293.330106991,3136.005420351,47349.0
2009-07-07,3314.114171124,3303.818419433,3356.259981646,3303.818419433,14558.0
2009-07-24,3495.356155231,3461.143106073,3524.072980729,3524.072980729,51975.0
2009-07-27,3584.980672032,3524.072980729,3660.421042483,3660.421042483,6939.0
2009-08-07,3823.979383501,3607.97948027,3880.675603779,3880.675603779,61975.0
2009-08-12,4013.186696747,3826.441853938,4061.915198795,3826.441853938,117389.0
2009-08-13,3983.311857813,3849.989188423,4014.820529824,4003.046862581,31089.0
2009-08-25,3958.987008164,3849.989188423,4061.915198795,3885.310190152,75027.0
2009-08-26,3844.384752665,3744.026183237,3885.310190152,3744.026183237,146721.0
2009-09-07,3646.435402256,3532.100172866,3767.573517723,3767.573517723,29332.0
2009-09-16,3750.619270892,3661.610512537,3767.573517723,3767.573517723,122237.0
2009-09-18,3604.761854802,3567.421174594,3744.026183237,3744.026183237,169144.0
2010-05-19,4061.915198795,4038.513255967,4326.978488536,4052.936517596,17015.0
2010-05-21,4156.104536738,3980.820209453,4182.745872252,4182.745872252,20954.0
2010-05-25,4226.746540196,4197.16913388,4326.978488536,4326.978488536,51602.0
2010-06-02,4579.956557482,4399.094796679,4615.443721105,4615.443721105,10653.0
2010-06-03,4532.861888511,4471.211104821,4557.750674592,4471.211104821,5301.0
2010-09-24,4427.941319936,4355.825011793,4586.597197849,4586.597197849,319157.0
2010-10-04,4399.094796679,4384.67153505,4615.443721105,4384.67153505,353743.0
2010-10-12,4615.443721105,4500.057628078,4788.522860647,4788.522860647,44483.0
2010-11-15,4687.560029248,4687.560029248,4867.850799603,4687.560029248,242.0
2010-11-24,4788.522860647,4633.472798141,4867.850799603,4867.850799603,6220.0
2010-12-06,4759.67633739,4597.41464407,4813.763568497,4813.763568497,12723.0
2010-12-07,4831.792645532,4831.792645532,4831.792645532,4831.792645532,1211.0
2010-12-08,4615.443721105,4597.41464407,4831.792645532,4831.792645532,3231.0
2011-01-07,4557.750674592,4489.240181856,4867.850799603,4867.850799603,5614.0
2011-05-09,4326.978488536,4200.774949287,4507.269258892,4200.774949287,4604.0
2011-05-10,4370.248273422,4002.455101896,4399.094796679,4146.687718181,3150.0
2011-05-20,4384.67153505,4375.807238841,4601.170701786,4375.807238841,444.0
2011-05-23,4384.67153505,4169.224064475,4582.390413207,4375.807238841,3514.0
2011-05-24,4326.978488536,4169.224064475,4375.807238841,4169.224064475,1373.0
2011-12-23,4526.049547471,4413.367815998,4601.170701786,4601.170701786,102760.0
2012-01-13,3756.057715743,3756.057715743,4131.663487318,3756.057715743,6503.0
2012-12-27,5185.91941755,5033.042425786,5282.614777478,5033.042425786,76.0
2013-01-11,5425.047652774,5033.042425786,5532.187129169,5386.603257349,3923.0
2013-01-14,5404.880189381,5137.030905657,5615.377913067,5137.030905657,3885.0
2013-08-09,5033.042425786,5002.136412065,5282.428538603,5002.136412065,423.0
2013-08-16,5261.817081503,5174.62387455,5498.037866709,5498.037866709,769.0
